Date,First Rand,Nedbank
2004/05/12,935,1124
2004/05/13,935,1125
2004/05/14,902,1120
2004/05/17,925,1125
2004/05/18,915,1120
2004/05/19,960,1121
2004/05/20,971,1120
2004/05/21,955,1125
2004/05/24,930,1125
2004/05/25,955,1125
2004/05/26,975,1130
2004/05/27,1012,1125
2004/05/28,1000,1115
2004/05/31,1018,1115
2004/06/01,1010,1100
2004/06/02,1005,1099
2004/06/03,996,1099
2004/06/04,1000,1095
2004/06/07,1010,1120
2004/06/08,1020,1115
2004/06/09,1020,1115
2004/06/10,1007,1115
2004/06/11,1000,1110
2004/06/14,1015,1110
2004/06/15,1011,1110
2004/06/17,1005,1100
2004/06/18,1014,1105
2004/06/21,1020,1100
2004/06/22,1005,1105
2004/06/23,1015,1098
2004/06/24,1024,1098
2004/06/25,1010,1100
2004/06/28,1008,1100
2004/06/29,1020,1095
2004/06/30,1019,1095
2004/07/01,1010,1096
2004/07/02,1000,1110
2004/07/05,1019,1100
2004/07/06,1010,1110
2004/07/07,1010,1120
2004/07/08,1008,1118
2004/07/09,997,1110
2004/07/12,1005,1105
2004/07/13,1031,1110
2004/07/14,1027,1110
2004/07/15,1042,1116
2004/07/16,1010,1110
2004/07/19,1000,1110
2004/07/20,995,1110
2004/07/21,1015,1110
2004/07/22,1008,1120
2004/07/23,1010,1118
2004/07/26,1005,1123
2004/07/27,1010,1130
2004/07/28,1012,1135
2004/07/29,995,1138
2004/07/30,1004,1136
2004/08/02,1000,1140
2004/08/03,1003,1145
2004/08/04,1003,1160
2004/08/05,995,1163
2004/08/06,982,1170
2004/08/10,980,1170
2004/08/11,975,1175
2004/08/12,996,1169
2004/08/13,987,1169
2004/08/16,984,1170
2004/08/17,979,1170
2004/08/18,983,1173
2004/08/19,980,1171
2004/08/20,990,1170
2004/08/23,1020,1140
2004/08/24,1036,1140
2004/08/25,1036,1140
2004/08/26,1050,1100
2004/08/27,1061,1135
2004/08/30,1055,1135
2004/08/31,1069,1133
2004/09/01,1080,1145
2004/09/02,1090,1140
2004/09/03,1098,1131
2004/09/06,1080,1150
2004/09/07,1084,1150
2004/09/08,1091,1165
2004/09/09,1112,1175
2004/09/10,1098,1175
2004/09/13,1110,1175
2004/09/14,1125,1175
2004/09/15,1124,1140
2004/09/16,1145,1135
2004/09/17,1160,1140
2004/09/20,1185,1131
2004/09/21,1180,1125
2004/09/22,1160,1135
2004/09/23,1173,1140
2004/09/27,1170,1146
2004/09/28,1180,1140
2004/09/29,1210,1137
2004/09/30,1212,1135
2004/10/01,1210,1135
2004/10/04,1193,1137
2004/10/05,1190,1130
2004/10/06,1200,1121
2004/10/07,1199,1130
2004/10/08,1180,1160
2004/10/11,1185,1160
2004/10/12,1160,1160
2004/10/13,1170,1150
2004/10/14,1185,1150
2004/10/15,1192,1150
2004/10/18,1190,1148
2004/10/19,1190,1150
2004/10/20,1185,1150
2004/10/21,1195,1145
2004/10/22,1196,1140
2004/10/25,1175,1139
2004/10/26,1210,1148
2004/10/27,1226,1130
2004/10/28,1220,1130
2004/10/29,1215,1135
2004/11/01,1250,1140
2004/11/02,1260,1145
2004/11/03,1237,1140
2004/11/04,1244,1145
2004/11/05,1265,1140
2004/11/08,1290,1145
2004/11/09,1270,1140
2004/11/10,1242,1170
2004/11/11,1240,1165
2004/11/12,1249,1175
2004/11/15,1249,1175
2004/11/16,1250,1185
2004/11/17,1266,1185
2004/11/18,1258,1170
2004/11/19,1240,1173
2004/11/22,1245,1190
2004/11/23,1230,1190
2004/11/24,1251,1185
2004/11/25,1300,1180
2004/11/26,1295,1185
2004/11/29,1320,1185
2004/11/30,1330,1184
2004/12/01,1340,1180
2004/12/02,1334,1180
2004/12/03,1325,1180
2004/12/06,1325,1180
2004/12/07,1309,1180
2004/12/08,1300,1180
2004/12/09,1290,1200
2004/12/10,1300,1200
2004/12/13,1325,1210
2004/12/14,1310,1245
2004/12/15,1320,1271
2004/12/17,1330,1300
2004/12/20,1340,1317
2004/12/21,1346,1342
2004/12/22,1357,1370
2004/12/23,1374,1307
2004/12/24,1350,1300
2004/12/28,1385,1310
2004/12/29,1377,1300
2004/12/30,1360,1310
2004/12/31,1335,1200
2005/01/03,1366,1220
2005/01/04,1395,1225
2005/01/05,1380,1266
2005/01/06,1320,1290
2005/01/07,1345,1295
2005/01/10,1342,1300
2005/01/11,1303,1305
2005/01/12,1325,1308
2005/01/13,1320,1305
2005/01/14,1313,1304
2005/01/17,1290,1295
2005/01/18,1260,1260
2005/01/19,1270,1230
2005/01/20,1263,1235
2005/01/21,1299,1240
2005/01/24,1300,1235
2005/01/25,1298,1225
2005/01/26,1310,1230
2005/01/27,1346,1250
2005/01/28,1345,1265
2005/01/31,1365,1250
2005/02/01,1352,1246
2005/02/02,1311,1241
2005/02/03,1330,1240
2005/02/04,1357,1210
2005/02/07,1315,1240
2005/02/08,1300,1230
2005/02/09,1330,1240
2005/02/10,1360,1250
2005/02/11,1359,1250
2005/02/14,1349,1250
2005/02/15,1363,1250
2005/02/16,1394,1250
2005/02/17,1395,1250
2005/02/18,1375,1250
2005/02/21,1370,1220
2005/02/22,1405,1220
2005/02/23,1399,1230
2005/02/24,1395,1235
2005/02/25,1410,1250
2005/02/28,1399,1225
2005/03/01,1385,1250
2005/03/02,1381,1240
2005/03/03,1395,1240
2005/03/04,1419,1250
2005/03/07,1405,1250
2005/03/08,1425,1240
2005/03/09,1430,1250
2005/03/10,1422,1250
2005/03/11,1400,1250
2005/03/14,1394,1195
2005/03/15,1380,1196
2005/03/16,1350,1200
2005/03/17,1315,1180
2005/03/18,1300,1180
2005/03/22,1326,1150
2005/03/23,1319,1175
2005/03/24,1318,1160
2005/03/29,1323,1180
2005/03/30,1320,1180
2005/03/31,1333,1190
2005/04/01,1373,1200
