Date,SBK,Absa
2004/05/12,3890,4450
2004/05/13,3850,4500
2004/05/14,3726,4320
2004/05/17,3825,4450
2004/05/18,3800,4349
2004/05/19,3972,4475
2004/05/20,4001,4580
2004/05/21,4001,4575
2004/05/24,3905,4470
2004/05/25,3930,4435
2004/05/26,4065,4502
2004/05/27,4200,4625
2004/05/28,4200,4700
2004/05/31,4200,4790
2004/06/01,4211,4780
2004/06/02,4280,4865
2004/06/03,4262,4859
2004/06/04,4250,4850
2004/06/07,4350,4960
2004/06/08,4320,5050
2004/06/09,4290,5040
2004/06/10,4240,5003
2004/06/11,4180,4870
2004/06/14,4200,4875
2004/06/15,4230,4860
2004/06/17,4210,4935
2004/06/18,4229,5045
2004/06/21,4234,4985
2004/06/22,4295,5000
2004/06/23,4211,4930
2004/06/24,4310,4955
2004/06/25,4290,5035
2004/06/28,4217,5030
2004/06/29,4320,5045
2004/06/30,4300,5100
2004/07/01,4330,5025
2004/07/02,4290,5010
2004/07/05,4335,5040
2004/07/06,4300,5067
2004/07/07,4290,5000
2004/07/08,4235,4950
2004/07/09,4250,4960
2004/07/12,4270,4973
2004/07/13,4345,5020
2004/07/14,4410,5130
2004/07/15,4375,5200
2004/07/16,4290,5130
2004/07/19,4279,5101
2004/07/20,4275,5090
2004/07/21,4369,5161
2004/07/22,4310,5165
2004/07/23,4350,5180
2004/07/26,4310,5180
2004/07/27,4363,5215
2004/07/28,4350,5212
2004/07/29,4270,5110
2004/07/30,4290,5107
2004/08/02,4330,5108
2004/08/03,4360,5060
2004/08/04,4330,5141
2004/08/05,4260,5080
2004/08/06,4166,5000
2004/08/10,4170,5045
2004/08/11,4180,5055
2004/08/12,4310,5220
2004/08/13,4260,5075
2004/08/16,4280,5150
2004/08/17,4290,5140
2004/08/18,4207,5165
2004/08/19,4195,5150
2004/08/20,4239,5150
2004/08/23,4365,5250
2004/08/24,4387,5258
2004/08/25,4364,5270
2004/08/26,4367,5350
2004/08/27,4400,5480
2004/08/30,4410,5480
2004/08/31,4439,5510
2004/09/01,4530,5601
2004/09/02,4600,5700
2004/09/03,4600,5830
2004/09/06,4550,5755
2004/09/07,4590,5676
2004/09/08,4601,5650
2004/09/09,4685,5820
2004/09/10,4660,5830
2004/09/13,4765,5850
2004/09/14,4821,5835
2004/09/15,4655,5725
2004/09/16,4750,5860
2004/09/17,4750,6044
2004/09/20,4810,6100
2004/09/21,4880,6125
2004/09/22,4750,6050
2004/09/23,4800,6275
2004/09/27,4900,6290
2004/09/28,4875,6298
2004/09/29,4990,6410
2004/09/30,5091,6510
2004/10/01,5100,6450
2004/10/04,5140,6380
2004/10/05,5120,6325
2004/10/06,5160,6355
2004/10/07,5140,6390
2004/10/08,5040,6340
