Date,Omnia,AECI
2004/05/12,2800,3450
2004/05/13,2800,3420
2004/05/14,2800,3380
2004/05/17,2790,3340
2004/05/18,2750,3265
2004/05/19,2700,3275
2004/05/20,2660,3250
2004/05/21,2700,3226
2004/05/24,2700,3225
2004/05/25,2800,3175
2004/05/26,2850,3200
2004/05/27,2805,3180
2004/05/28,2950,3180
2004/05/31,3000,3280
2004/06/01,3000,3280
2004/06/02,2999,3290
2004/06/03,2999,3275
2004/06/04,2980,3190
2004/06/07,2980,3190
2004/06/08,3000,3200
2004/06/09,2999,3215
2004/06/10,3000,3290
2004/06/11,2990,3370
2004/06/14,2995,3350
2004/06/15,2984,3350
2004/06/17,2940,3290
2004/06/18,2900,3225
2004/06/21,2895,3200
2004/06/22,2935,3200
2004/06/23,2940,3200
2004/06/24,2990,3175
2004/06/25,2900,3140
2004/06/28,2950,3080
2004/06/29,2950,3090
2004/06/30,2980,3090
2004/07/01,3010,3065
2004/07/02,3000,3030
2004/07/05,3000,3045
2004/07/06,3000,3085
2004/07/07,3025,3150
2004/07/08,3025,3150
2004/07/09,3030,3150
2004/07/12,2900,3138
2004/07/13,2930,3120
2004/07/14,2925,3100
2004/07/15,2925,3050
2004/07/16,2925,3000
2004/07/19,2940,2990
2004/07/20,2945,2982
2004/07/21,2980,3010
2004/07/22,2925,3030
2004/07/23,2925,3015
2004/07/26,2920,3050
2004/07/27,2900,3130
2004/07/28,2875,3050
2004/07/29,2875,3051
2004/07/30,2860,3040
2004/08/02,2850,3010
2004/08/03,2800,3100
2004/08/04,2800,3100
2004/08/05,2845,3100
2004/08/06,2800,3030
2004/08/10,2775,3020
2004/08/11,2775,3015
2004/08/12,2775,3020
2004/08/13,2800,3100
2004/08/16,2850,3165
2004/08/17,2850,3200
2004/08/18,2870,3275
2004/08/19,2860,3350
2004/08/20,2900,3360
2004/08/23,2925,3350
2004/08/24,2870,3400
2004/08/25,2900,3375
2004/08/26,2925,3375
2004/08/27,2925,3350
2004/08/30,2925,3350
2004/08/31,2900,3350
2004/09/01,2900,3400
2004/09/02,2925,3450
2004/09/03,3000,3460
2004/09/06,3100,3385
2004/09/07,3130,3348
2004/09/08,3150,3325
2004/09/09,3155,3240
2004/09/10,3150,3210
2004/09/13,3150,3150
2004/09/14,3140,3130
2004/09/15,3160,3080
2004/09/16,3160,3100
2004/09/17,3180,3150
2004/09/20,3195,3195
2004/09/21,3200,3250
2004/09/22,3250,3200
2004/09/23,3250,3250
2004/09/27,3250,3249
2004/09/28,3250,3200
2004/09/29,3245,3210
2004/09/30,3210,3200
2004/10/01,3210,3250
2004/10/04,3200,3330
2004/10/05,3200,3350
2004/10/06,3195,3400
2004/10/07,3189,3520
2004/10/08,3180,3555
2004/10/11,3220,3550
2004/10/12,3250,3505
2004/10/13,3500,3450
2004/10/14,3550,3400
2004/10/15,3600,3390
2004/10/18,3600,3400
2004/10/19,3600,3375
2004/10/20,3550,3355
2004/10/21,3550,3355
2004/10/22,3500,3400
2004/10/25,3500,3480
2004/10/26,3400,3515
2004/10/27,3400,3530
2004/10/28,3450,3540
2004/10/29,3550,3540
2004/11/01,3551,3510
2004/11/02,3720,3600
2004/11/03,3725,3660
2004/11/04,4000,3755
2004/11/05,4050,3810
2004/11/08,4050,3798
2004/11/09,4000,3780
2004/11/10,4000,3770
2004/11/11,4000,3720
2004/11/12,4020,3740
2004/11/15,4133,3741
2004/11/16,4120,3561
2004/11/17,4100,3549
2004/11/18,3890,3500
2004/11/19,3950,3560
2004/11/22,4000,3675
2004/11/23,4300,3750
2004/11/24,4400,3830
2004/11/25,4400,3780
2004/11/26,4450,3740
2004/11/29,4350,3700
2004/11/30,4350,3700
2004/12/01,4350,3593
2004/12/02,4400,3580
2004/12/03,4500,3600
2004/12/06,4570,3500
2004/12/07,4672,3603
2004/12/08,4780,3625
2004/12/09,4725,3650
2004/12/10,4760,3730
2004/12/13,4725,3740
2004/12/14,4770,3700
2004/12/15,4800,3630
2004/12/17,4750,3601
2004/12/20,4800,3630
2004/12/21,4800,3730
2004/12/22,4775,3725
2004/12/23,4800,3800
2004/12/24,4800,3850
2004/12/28,4785,3875
2004/12/29,4800,3875
2004/12/30,4800,3900
2004/12/31,4798,3900
2005/01/03,4790,3907
2005/01/04,4790,3989
2005/01/05,4740,4000
2005/01/06,4800,4050
2005/01/07,4900,4036
2005/01/10,5000,4116
2005/01/11,4990,4200
2005/01/12,4990,4190
2005/01/13,4950,4230
2005/01/14,4900,4250
2005/01/17,5000,4255
2005/01/18,4880,4100
2005/01/19,4800,4000
2005/01/20,4800,4100
2005/01/21,4750,4000
2005/01/24,4645,4000
2005/01/25,4560,3926
2005/01/26,4720,4090
2005/01/27,4870,4050
2005/01/28,4855,4025
2005/01/31,4855,4100
2005/02/01,4700,4115
2005/02/02,4675,4115
2005/02/03,4605,4028
2005/02/04,4620,4100
2005/02/07,4720,4235
2005/02/08,4775,4235
2005/02/09,4750,4200
2005/02/10,4650,4170
2005/02/11,4655,4101
2005/02/14,4650,4100
2005/02/15,4600,4100
2005/02/16,4575,4130
2005/02/17,4585,4155
2005/02/18,4591,4200
2005/02/21,4596,4170
2005/02/22,4600,4105
2005/02/23,4600,4132
2005/02/24,4600,4275
2005/02/25,4610,4300
2005/02/28,4700,4300
2005/03/01,4605,4350
2005/03/02,4605,4400
2005/03/03,4650,4400
2005/03/04,4690,4400
2005/03/07,4670,4420
2005/03/08,4576,4420
2005/03/09,4581,4450
2005/03/10,4609,4450
2005/03/11,4599,4460
2005/03/14,4590,4365
2005/03/15,4600,4305
2005/03/16,4600,4200
2005/03/17,4500,4071
2005/03/18,4486,4075
2005/03/22,4451,4075
2005/03/23,4455,4075
2005/03/24,4450,4040
2005/03/29,4330,4100
2005/03/30,4150,4175
2005/03/31,4205,4250
2005/04/01,4305,4300
2005/04/04,4350,4250
2005/04/05,4250,4201
2005/04/06,4300,4180
2005/04/07,4298,4140
2005/04/08,4250,4100
2005/04/11,4200,4070
2005/04/12,4180,4100
2005/04/13,4200,4001
2005/04/14,4130,4002
2005/04/15,4130,4000
2005/04/18,4080,3811
2005/04/19,4060,3950
2005/04/20,4205,4050
2005/04/21,4302,4150
2005/04/22,4406,4100
2005/04/25,4450,4105
2005/04/26,4520,4137
2005/04/28,4520,4168
2005/04/29,4500,4145
2005/05/03,4470,4100
2005/05/04,4350,4100
2005/05/05,4351,4140
2005/05/06,4400,4149
2005/05/09,4400,4151
2005/05/10,4385,4179
2005/05/11,4385,4175
2005/05/12,4400,4160
2005/05/13,4400,4105
2005/05/16,4425,4150
2005/05/17,4469,4150
2005/05/18,4459,4155
2005/05/19,4465,4170
2005/05/20,4425,4120
2005/05/23,4550,4125
2005/05/24,4150,4120
2005/05/25,4251,4100
2005/05/26,4000,4110
2005/05/27,3925,4150
2005/05/30,3970,4226
2005/05/31,3950,4262
2005/06/01,3930,4360
2005/06/02,3930,4450
2005/06/03,3900,4450
2005/06/06,3900,4450
2005/06/07,3900,4451
2005/06/08,3950,4500
2005/06/09,4100,4500
2005/06/10,4150,4611
2005/06/13,4100,4700
2005/06/14,4075,4680
2005/06/15,4100,4660
2005/06/17,4100,4675
2005/06/20,4250,4645
2005/06/21,4270,4665
2005/06/22,3950,4701
2005/06/23,3950,4709
2005/06/24,3900,4665
2005/06/27,3875,4550
2005/06/28,3750,4500
2005/06/29,3750,4500
2005/06/30,3750,4490
2005/07/01,3750,4650
2005/07/04,3731,4605
2005/07/05,3760,4611
2005/07/06,3750,4700
2005/07/07,3748,4712
2005/07/08,3760,4790
2005/07/11,3760,4800
2005/07/12,3750,4835
2005/07/13,3750,4850
2005/07/14,3950,4840
2005/07/15,3950,4850
2005/07/18,4100,4800
