Date,Group5,M&R,PPC,WHBO,AVENGE
2004/05/12,975,1360,1402,1690,751
2004/05/13,975,1367,1440,1700,776
2004/05/14,975,1400,1410,1700,755
2004/05/17,985,1390,1465,1680,760
2004/05/18,950,1320,1423,1720,748
2004/05/19,950,1361,1410.5,1750,735
2004/05/20,950,1370,1417,1800,760
2004/05/21,950,1380,1417.5,1796,760
2004/05/24,942,1380,1410,1800,765
2004/05/25,950,1365,1408,1795,760
2004/05/26,950,1400,1420,1785,786
2004/05/27,950,1400,1415,1770,785
2004/05/28,954,1450,1424,1750,788
2004/05/31,950,1380,1410.5,1750,770
2004/06/01,955,1400,1426.5,1775,760
2004/06/02,965,1400,1417,1800,770
2004/06/03,965,1385,1417,1790,765
2004/06/04,967,1370,1417.1,1790,755
2004/06/07,976,1351,1418,1810,770
2004/06/08,971,1347,1417.3,1815,770
2004/06/09,985,1300,1421,1810,753
2004/06/10,985,1320,1423.1,1810,755
2004/06/11,975,1320,1430,1810,755
2004/06/14,990,1290,1480.1,1840,756
2004/06/15,1000,1300,1475,1825,760
2004/06/17,1025,1295,1524,1825,770
2004/06/18,1032,1280,1500,1830,770
2004/06/21,1060,1290,1490,1830,755
2004/06/22,1055,1280,1456,1830,756
2004/06/23,1055,1280,1495,1841,746
2004/06/24,1055,1295,1502.5,1860,745
2004/06/25,1065,1300,1502.5,1870,740
2004/06/28,1080,1300,1507.5,1895,745
2004/06/29,1090,1294,1544,1900,745
2004/06/30,1100,1295,1560,1900,740
2004/07/01,1090,1300,1570,1900,740
2004/07/02,1080,1290,1580,1886,750
2004/07/05,1100,1260,1570,1887,750
2004/07/06,1085,1275,1551,1882,747
2004/07/07,1075,1270,1531,1880,745
2004/07/08,1050,1286,1510.5,1880,738
2004/07/09,1050,1285,1540,1850,737
2004/07/12,1050,1301,1530,1830,730
2004/07/13,1035,1310,1534.5,1825,730
2004/07/14,1025,1300,1510,1850,729
2004/07/15,1040,1300,1542.5,1830,738
2004/07/16,1060,1300,1555,1850,735
2004/07/19,1050,1290,1600,1850,735
2004/07/20,1050,1298,1598,1880,735
2004/07/21,1070,1290,1650,1889,736
2004/07/22,1070,1255,1648,1885,733
2004/07/23,1050,1245,1660,1901,728
2004/07/26,1050,1230,1663,1950,725
2004/07/27,1049,1217,1740.1,1930,700
2004/07/28,1050,1220,1732.5,1930,715
2004/07/29,1050,1235,1690,1940,725
2004/07/30,1040,1259,1689.9,1940,740
2004/08/02,1010,1275,1660,1940,759
2004/08/03,1010,1290,1670,1905,770
2004/08/04,1025,1265,1655,1900,770
2004/08/05,1030,1260,1652.5,1900,770
2004/08/06,1030,1225,1622.5,1900,751
2004/08/10,1030,1205,1614.9,1920,740
2004/08/11,1050,1210,1586,1940,740
2004/08/12,1050,1220,1600,1975,750
2004/08/13,1080,1240,1640,1980,750
2004/08/16,1169,1261,1635,1990,780
2004/08/17,1122,1265,1660,1970,756
2004/08/18,1040,1260,1670,2000,770
2004/08/19,1035,1250,1680,2000,787
2004/08/20,1050,1300,1748,2010,805
2004/08/23,1081,1317,1739.9,2000,820
2004/08/24,1080,1310,1699.9,2000,815
2004/08/25,1060,1290,1661,2000,820
2004/08/26,1050,1274,1665,2000,801
2004/08/27,1050,1250,1655,2000,810
2004/08/30,1057,1250,1680,2000,805
2004/08/31,1075,1230,1730,1975,810
2004/09/01,1085,1220,1730,1960,800
2004/09/02,1090,1185,1750,1955,810
2004/09/03,1090,1210,1800,1940,830
2004/09/06,1085,1195,1815,1939,815
2004/09/07,1056,1200,1785,1940,816
2004/09/08,1060,1200,1780,1990,795
2004/09/09,1090,1200,1790,1990,782
2004/09/10,1125,1200,1794.9,1970,780
2004/09/13,1150,1183,1776,1990,775
2004/09/14,1145,1200,1776,1965,803
2004/09/15,1140,1200,1780,1980,810
2004/09/16,1140,1200,1785,1966,806
2004/09/17,1139,1200,1790,1975,810
2004/09/20,1140,1200,1814.6,1980,830
2004/09/21,1150,1200,1810,1980,850
2004/09/22,1143,1180,1805,2000,855
2004/09/23,1120,1180,1800,2020,855
2004/09/27,1120,1180,1810,2010,854
2004/09/28,1132,1170,1810,2010,870
2004/09/29,1140,1180,1800,2030,867
2004/09/30,1141,1160,1810,2100,860
2004/10/01,1150,1200,1820,2100,895
2004/10/04,1160,1220,1822.7,2100,924
2004/10/05,1180,1225,1870,2129,900
2004/10/06,1180,1209,1910,2130,925
2004/10/07,1180,1195,1928,2155,925
2004/10/08,1180,1200,1900,2141,929
2004/10/11,1200,1180,1848,2200,927
2004/10/12,1205,1176,1855,2200,925
2004/10/13,1207,1180,1880,2180,905
2004/10/14,1190,1210,1880,2140,910
2004/10/15,1250,1240,1890,2180,925
2004/10/18,1220,1230,1905,2190,911
2004/10/19,1270,1245,1910,2220,915
2004/10/20,1280,1235,1880,2275,900
2004/10/21,1310,1252,1900,2320,905
2004/10/22,1300,1270,1940,2350,905
2004/10/25,1310,1300,1960,2350,926
2004/10/26,1355,1363,2036.5,2425,971
2004/10/27,1410,1402,2040,2460,990
2004/10/28,1400,1430,2015,2485,1005
2004/10/29,1380,1431,2014,2495,990
2004/11/01,1375,1475,2020,2500,990
2004/11/02,1410,1510,2040,2500,992
2004/11/03,1460,1500,2075,2500,1000
2004/11/04,1501,1490,2175,2540,1005
2004/11/05,1540,1480,2175,2500,1030
2004/11/08,1550,1450,2175,2550,1045
2004/11/09,1560,1435,2180,2550,1055
2004/11/10,1560,1420,2240,2500,1030
2004/11/11,1520,1390,2400,2550,1062
2004/11/12,1472,1440,2460,2510,1080
2004/11/15,1400,1450,2565,2550,1086
2004/11/16,1365,1460,2570,2510,1110
2004/11/17,1400,1475,2500,2512,1110
2004/11/18,1450,1450,2400,2515,1100
2004/11/19,1450,1427,2380,2600,1077
2004/11/22,1470,1440,2350,2600,1073
2004/11/23,1480,1430,2290,2600,1073
2004/11/24,1470,1445,2290,2600,1110
2004/11/25,1480,1470,2400,2600,1125
2004/11/26,1482,1470,2384.9,2550,1180
2004/11/29,1480,1450,2370,2600,1169
2004/11/30,1425,1495,2400,2560,1175
2004/12/01,1460,1449,2430,2550,1150
2004/12/02,1460,1425,2435,2580,1150
2004/12/03,1425,1415,2430,2580,1175
2004/12/06,1360,1410,2440,2572,1165
2004/12/07,1350,1450,2445,2520,1170
2004/12/08,1375,1410,2449,2550,1170
2004/12/09,1390,1405,2500.1,2520,1170
2004/12/10,1390,1400,2580,2520,1178
2004/12/13,1390,1400,2660,2545,1186
2004/12/14,1400,1410,2700,2635,1215
2004/12/15,1390,1380,2720,2669,1187
2004/12/17,1390,1375,2700,2700,1210
2004/12/20,1400,1420,2700,2650,1210
2004/12/21,1408,1430,2735,2650,1200
2004/12/22,1420,1401,2710.5,2635,1190
2004/12/23,1500,1386,2730,2700,1182
2004/12/24,1500,1380,2730,2700,1182
2004/12/28,1495,1345,2800,2750,1200
2004/12/29,1500,1395,2800,2800,1200
2004/12/30,1500,1384,2850,2750,1215
2004/12/31,1515,1375,2850,2650,1200
2005/01/03,1526,1388,2600,2750,1201
2005/01/04,1540,1350,2587.5,2750,1250
2005/01/05,1550,1340,2560,2800,1250
2005/01/06,1600,1350,2500,2800,1255
2005/01/07,1600,1425,2470,2799,1271
2005/01/10,1650,1435,2410,2798,1311
2005/01/11,1650,1440,2420,2799,1335
2005/01/12,1690,1490,2400,2775,1344
2005/01/13,1688,1500,2380,2740,1310
2005/01/14,1680,1534,2269,2749,1290
2005/01/17,1650,1530,2220,2750,1250
2005/01/18,1580,1495,2180,2650,1164
2005/01/19,1540,1515,2285,2639,1160
2005/01/20,1570,1500,2270,2700,1145
2005/01/21,1555,1490,2265,2650,1130
2005/01/24,1511,1475,2260,2645,1130
2005/01/25,1530,1460,2298.9,2645,1122
2005/01/26,1541,1430,2339.7,2645,1107
2005/01/27,1557,1450,2379.9,2700,1122
2005/01/28,1576,1420,2380,2700,1125
2005/01/31,1590,1450,2370,2750,1135
2005/02/01,1615,1460,2320,2740,1146
2005/02/02,1590,1425,2308.3,2700,1145
2005/02/03,1569,1400,2280,2700,1150
2005/02/04,1540,1400,2260,2699,1155
2005/02/07,1550,1396,2260,2699,1154
2005/02/08,1550,1395,2255.1,2650,1140
2005/02/09,1545,1400,2280,2650,1160
2005/02/10,1550,1430,2161.1,2650,1145
2005/02/11,1580,1433,2240,2700,1150
2005/02/14,1570,1430,2270,2700,1150
2005/02/15,1550,1430,2289.3,2750,1148
2005/02/16,1495,1470,2277.5,2750,1150
2005/02/17,1471,1500,2276,2700,1155
2005/02/18,1485,1501,2270,2700,1150
2005/02/21,1505,1530,2275,2700,1160
2005/02/22,1506,1515,2270,2725,1175
2005/02/23,1490,1521,2289.9,2725,1195
2005/02/24,1490,1538,2310,2800,1180
2005/02/25,1470,1530,2310,2820,1180
2005/02/28,1476,1525,2301,2872,1200
2005/03/01,1465,1495,2340,2875,1201
2005/03/02,1480,1488,2345,2896,1215
2005/03/03,1465,1465,2370,2801,1214
2005/03/04,1460,1465,2375,2900,1200
2005/03/07,1447,1480,2357,2830,1185
2005/03/08,1448,1459,2320.1,2830,1195
