Date,Group5,AVENGE
2004/05/12,975,751
2004/05/13,975,776
2004/05/14,975,755
2004/05/17,985,760
2004/05/18,950,748
2004/05/19,950,735
2004/05/20,950,760
2004/05/21,950,760
2004/05/24,942,765
2004/05/25,950,760
2004/05/26,950,786
2004/05/27,950,785
2004/05/28,954,788
2004/05/31,950,770
2004/06/01,955,760
2004/06/02,965,770
2004/06/03,965,765
2004/06/04,967,755
2004/06/07,976,770
2004/06/08,971,770
2004/06/09,985,753
2004/06/10,985,755
2004/06/11,975,755
2004/06/14,990,756
2004/06/15,1000,760
2004/06/17,1025,770
2004/06/18,1032,770
2004/06/21,1060,755
2004/06/22,1055,756
2004/06/23,1055,746
2004/06/24,1055,745
2004/06/25,1065,740
2004/06/28,1080,745
2004/06/29,1090,745
2004/06/30,1100,740
2004/07/01,1090,740
2004/07/02,1080,750
2004/07/05,1100,750
2004/07/06,1085,747
2004/07/07,1075,745
2004/07/08,1050,738
2004/07/09,1050,737
2004/07/12,1050,730
2004/07/13,1035,730
2004/07/14,1025,729
2004/07/15,1040,738
2004/07/16,1060,735
2004/07/19,1050,735
2004/07/20,1050,735
2004/07/21,1070,736
2004/07/22,1070,733
2004/07/23,1050,728
2004/07/26,1050,725
2004/07/27,1049,700
2004/07/28,1050,715
2004/07/29,1050,725
2004/07/30,1040,740
2004/08/02,1010,759
2004/08/03,1010,770
2004/08/04,1025,770
2004/08/05,1030,770
2004/08/06,1030,751
2004/08/10,1030,740
2004/08/11,1050,740
2004/08/12,1050,750
2004/08/13,1080,750
2004/08/16,1169,780
2004/08/17,1122,756
2004/08/18,1040,770
2004/08/19,1035,787
2004/08/20,1050,805
2004/08/23,1081,820
2004/08/24,1080,815
2004/08/25,1060,820
2004/08/26,1050,801
2004/08/27,1050,810
2004/08/30,1057,805
2004/08/31,1075,810
2004/09/01,1085,800
2004/09/02,1090,810
2004/09/03,1090,830
2004/09/06,1085,815
2004/09/07,1056,816
2004/09/08,1060,795
2004/09/09,1090,782
2004/09/10,1125,780
2004/09/13,1150,775
2004/09/14,1145,803
2004/09/15,1140,810
2004/09/16,1140,806
2004/09/17,1139,810
2004/09/20,1140,830
2004/09/21,1150,850
2004/09/22,1143,855
2004/09/23,1120,855
2004/09/27,1120,854
2004/09/28,1132,870
2004/09/29,1140,867
2004/09/30,1141,860
2004/10/01,1150,895
2004/10/04,1160,924
2004/10/05,1180,900
2004/10/06,1180,925
2004/10/07,1180,925
2004/10/08,1180,929
2004/10/11,1200,927
2004/10/12,1205,925
2004/10/13,1207,905
2004/10/14,1190,910
2004/10/15,1250,925
2004/10/18,1220,911
2004/10/19,1270,915
2004/10/20,1280,900
2004/10/21,1310,905
2004/10/22,1300,905
2004/10/25,1310,926
2004/10/26,1355,971
2004/10/27,1410,990
2004/10/28,1400,1005
2004/10/29,1380,990
2004/11/01,1375,990
2004/11/02,1410,992
2004/11/03,1460,1000
2004/11/04,1501,1005
2004/11/05,1540,1030
2004/11/08,1550,1045
2004/11/09,1560,1055
2004/11/10,1560,1030
2004/11/11,1520,1062
2004/11/12,1472,1080
2004/11/15,1400,1086
2004/11/16,1365,1110
2004/11/17,1400,1110
2004/11/18,1450,1100
2004/11/19,1450,1077
2004/11/22,1470,1073
2004/11/23,1480,1073
2004/11/24,1470,1110
2004/11/25,1480,1125
2004/11/26,1482,1180
2004/11/29,1480,1169
2004/11/30,1425,1175
2004/12/01,1460,1150
2004/12/02,1460,1150
2004/12/03,1425,1175
2004/12/06,1360,1165
2004/12/07,1350,1170
2004/12/08,1375,1170
2004/12/09,1390,1170
2004/12/10,1390,1178
2004/12/13,1390,1186
2004/12/14,1400,1215
2004/12/15,1390,1187
2004/12/17,1390,1210
2004/12/20,1400,1210
2004/12/21,1408,1200
2004/12/22,1420,1190
2004/12/23,1500,1182
2004/12/24,1500,1182
2004/12/28,1495,1200
2004/12/29,1500,1200
2004/12/30,1500,1215
2004/12/31,1515,1200
2005/01/03,1526,1201
2005/01/04,1540,1250
2005/01/05,1550,1250
2005/01/06,1600,1255
2005/01/07,1600,1271
2005/01/10,1650,1311
2005/01/11,1650,1335
2005/01/12,1690,1344
2005/01/13,1688,1310
2005/01/14,1680,1290
2005/01/17,1650,1250
2005/01/18,1580,1164
2005/01/19,1540,1160
2005/01/20,1570,1145
2005/01/21,1555,1130
2005/01/24,1511,1130
2005/01/25,1530,1122
2005/01/26,1541,1107
2005/01/27,1557,1122
2005/01/28,1576,1125
2005/01/31,1590,1135
2005/02/01,1615,1146
2005/02/02,1590,1145
2005/02/03,1569,1150
2005/02/04,1540,1155
2005/02/07,1550,1154
2005/02/08,1550,1140
2005/02/09,1545,1160
2005/02/10,1550,1145
2005/02/11,1580,1150
2005/02/14,1570,1150
2005/02/15,1550,1148
2005/02/16,1495,1150
2005/02/17,1471,1155
2005/02/18,1485,1150
2005/02/21,1505,1160
2005/02/22,1506,1175
2005/02/23,1490,1195
2005/02/24,1490,1180
2005/02/25,1470,1180
2005/02/28,1476,1200
2005/03/01,1465,1201
2005/03/02,1480,1215
2005/03/03,1465,1214
2005/03/04,1460,1200
2005/03/07,1447,1185
2005/03/08,1448,1195
2005/03/09,1424,1195
2005/03/10,1425,1186
2005/03/11,1425,1185
2005/03/14,1400,1175
2005/03/15,1400,1175
2005/03/16,1415,1180
2005/03/17,1430,1184
2005/03/18,1441,1171
2005/03/22,1460,1151
2005/03/23,1459,1115
2005/03/24,1460,1112
2005/03/29,1445,1120
2005/03/30,1430,1126
2005/03/31,1445,1130
2005/04/01,1435,1161
2005/04/04,1420,1153
2005/04/05,1415,1140
2005/04/06,1375,1135
2005/04/07,1340,1130
2005/04/08,1330,1140
2005/04/11,1315,1115
2005/04/12,1320,1100
2005/04/13,1330,1080
2005/04/14,1355,1100
2005/04/15,1390,1075
2005/04/18,1390,1080
2005/04/19,1420,1065
2005/04/20,1430,1065
2005/04/21,1400,1060
2005/04/22,1370,1080
2005/04/25,1380,1115
2005/04/26,1380,1100
2005/04/28,1370,1070
2005/04/29,1370,1070
2005/05/03,1379,1081
