Date,M&R,AVENGE
2004/05/12,1360,751
2004/05/13,1367,776
2004/05/14,1400,755
2004/05/17,1390,760
2004/05/18,1320,748
2004/05/19,1361,735
2004/05/20,1370,760
2004/05/21,1380,760
2004/05/24,1380,765
2004/05/25,1365,760
2004/05/26,1400,786
2004/05/27,1400,785
2004/05/28,1450,788
2004/05/31,1380,770
2004/06/01,1400,760
2004/06/02,1400,770
2004/06/03,1385,765
2004/06/04,1370,755
2004/06/07,1351,770
2004/06/08,1347,770
2004/06/09,1300,753
2004/06/10,1320,755
2004/06/11,1320,755
2004/06/14,1290,756
2004/06/15,1300,760
2004/06/17,1295,770
2004/06/18,1280,770
2004/06/21,1290,755
2004/06/22,1280,756
2004/06/23,1280,746
2004/06/24,1295,745
2004/06/25,1300,740
2004/06/28,1300,745
2004/06/29,1294,745
2004/06/30,1295,740
2004/07/01,1300,740
2004/07/02,1290,750
2004/07/05,1260,750
2004/07/06,1275,747
2004/07/07,1270,745
2004/07/08,1286,738
2004/07/09,1285,737
2004/07/12,1301,730
2004/07/13,1310,730
2004/07/14,1300,729
2004/07/15,1300,738
2004/07/16,1300,735
2004/07/19,1290,735
2004/07/20,1298,735
2004/07/21,1290,736
2004/07/22,1255,733
2004/07/23,1245,728
2004/07/26,1230,725
2004/07/27,1217,700
2004/07/28,1220,715
2004/07/29,1235,725
2004/07/30,1259,740
2004/08/02,1275,759
2004/08/03,1290,770
2004/08/04,1265,770
2004/08/05,1260,770
2004/08/06,1225,751
2004/08/10,1205,740
2004/08/11,1210,740
2004/08/12,1220,750
2004/08/13,1240,750
2004/08/16,1261,780
2004/08/17,1265,756
2004/08/18,1260,770
2004/08/19,1250,787
2004/08/20,1300,805
2004/08/23,1317,820
2004/08/24,1310,815
2004/08/25,1290,820
2004/08/26,1274,801
2004/08/27,1250,810
2004/08/30,1250,805
2004/08/31,1230,810
2004/09/01,1220,800
2004/09/02,1185,810
2004/09/03,1210,830
2004/09/06,1195,815
2004/09/07,1200,816
2004/09/08,1200,795
2004/09/09,1200,782
2004/09/10,1200,780
2004/09/13,1183,775
2004/09/14,1200,803
2004/09/15,1200,810
2004/09/16,1200,806
2004/09/17,1200,810
2004/09/20,1200,830
2004/09/21,1200,850
2004/09/22,1180,855
2004/09/23,1180,855
2004/09/27,1180,854
2004/09/28,1170,870
2004/09/29,1180,867
2004/09/30,1160,860
2004/10/01,1200,895
2004/10/04,1220,924
2004/10/05,1225,900
2004/10/06,1209,925
2004/10/07,1195,925
2004/10/08,1200,929
2004/10/11,1180,927
2004/10/12,1176,925
2004/10/13,1180,905
2004/10/14,1210,910
2004/10/15,1240,925
2004/10/18,1230,911
2004/10/19,1245,915
2004/10/20,1235,900
2004/10/21,1252,905
2004/10/22,1270,905
2004/10/25,1300,926
2004/10/26,1363,971
2004/10/27,1402,990
2004/10/28,1430,1005
2004/10/29,1431,990
2004/11/01,1475,990
2004/11/02,1510,992
2004/11/03,1500,1000
2004/11/04,1490,1005
2004/11/05,1480,1030
2004/11/08,1450,1045
2004/11/09,1435,1055
2004/11/10,1420,1030
2004/11/11,1390,1062
2004/11/12,1440,1080
2004/11/15,1450,1086
2004/11/16,1460,1110
2004/11/17,1475,1110
2004/11/18,1450,1100
2004/11/19,1427,1077
2004/11/22,1440,1073
2004/11/23,1430,1073
2004/11/24,1445,1110
2004/11/25,1470,1125
2004/11/26,1470,1180
2004/11/29,1450,1169
2004/11/30,1495,1175
2004/12/01,1449,1150
2004/12/02,1425,1150
2004/12/03,1415,1175
2004/12/06,1410,1165
2004/12/07,1450,1170
