Date,M&R,PPC
2004/05/12,1360,1402
2004/05/13,1367,1440
2004/05/14,1400,1410
2004/05/17,1390,1465
2004/05/18,1320,1423
2004/05/19,1361,1410.5
2004/05/20,1370,1417
2004/05/21,1380,1417.5
2004/05/24,1380,1410
2004/05/25,1365,1408
2004/05/26,1400,1420
2004/05/27,1400,1415
2004/05/28,1450,1424
2004/05/31,1380,1410.5
2004/06/01,1400,1426.5
2004/06/02,1400,1417
2004/06/03,1385,1417
2004/06/04,1370,1417.1
2004/06/07,1351,1418
2004/06/08,1347,1417.3
2004/06/09,1300,1421
2004/06/10,1320,1423.1
2004/06/11,1320,1430
2004/06/14,1290,1480.1
2004/06/15,1300,1475
2004/06/17,1295,1524
2004/06/18,1280,1500
2004/06/21,1290,1490
2004/06/22,1280,1456
2004/06/23,1280,1495
2004/06/24,1295,1502.5
2004/06/25,1300,1502.5
2004/06/28,1300,1507.5
2004/06/29,1294,1544
2004/06/30,1295,1560
2004/07/01,1300,1570
2004/07/02,1290,1580
2004/07/05,1260,1570
2004/07/06,1275,1551
2004/07/07,1270,1531
2004/07/08,1286,1510.5
2004/07/09,1285,1540
2004/07/12,1301,1530
2004/07/13,1310,1534.5
2004/07/14,1300,1510
2004/07/15,1300,1542.5
2004/07/16,1300,1555
2004/07/19,1290,1600
2004/07/20,1298,1598
2004/07/21,1290,1650
2004/07/22,1255,1648
2004/07/23,1245,1660
2004/07/26,1230,1663
2004/07/27,1217,1740.1
2004/07/28,1220,1732.5
2004/07/29,1235,1690
2004/07/30,1259,1689.9
2004/08/02,1275,1660
2004/08/03,1290,1670
2004/08/04,1265,1655
2004/08/05,1260,1652.5
2004/08/06,1225,1622.5
2004/08/10,1205,1614.9
2004/08/11,1210,1586
2004/08/12,1220,1600
2004/08/13,1240,1640
2004/08/16,1261,1635
2004/08/17,1265,1660
2004/08/18,1260,1670
2004/08/19,1250,1680
2004/08/20,1300,1748
2004/08/23,1317,1739.9
2004/08/24,1310,1699.9
2004/08/25,1290,1661
2004/08/26,1274,1665
2004/08/27,1250,1655
2004/08/30,1250,1680
2004/08/31,1230,1730
2004/09/01,1220,1730
2004/09/02,1185,1750
2004/09/03,1210,1800
2004/09/06,1195,1815
2004/09/07,1200,1785
2004/09/08,1200,1780
2004/09/09,1200,1790
2004/09/10,1200,1794.9
2004/09/13,1183,1776
2004/09/14,1200,1776
2004/09/15,1200,1780
2004/09/16,1200,1785
2004/09/17,1200,1790
2004/09/20,1200,1814.6
2004/09/21,1200,1810
2004/09/22,1180,1805
2004/09/23,1180,1800
2004/09/27,1180,1810
2004/09/28,1170,1810
2004/09/29,1180,1800
2004/09/30,1160,1810
2004/10/01,1200,1820
2004/10/04,1220,1822.7
2004/10/05,1225,1870
2004/10/06,1209,1910
2004/10/07,1195,1928
2004/10/08,1200,1900
2004/10/11,1180,1848
2004/10/12,1176,1855
2004/10/13,1180,1880
2004/10/14,1210,1880
2004/10/15,1240,1890
2004/10/18,1230,1905
2004/10/19,1245,1910
2004/10/20,1235,1880
2004/10/21,1252,1900
2004/10/22,1270,1940
2004/10/25,1300,1960
2004/10/26,1363,2036.5
2004/10/27,1402,2040
2004/10/28,1430,2015
2004/10/29,1431,2014
2004/11/01,1475,2020
2004/11/02,1510,2040
2004/11/03,1500,2075
2004/11/04,1490,2175
2004/11/05,1480,2175
2004/11/08,1450,2175
2004/11/09,1435,2180
2004/11/10,1420,2240
2004/11/11,1390,2400
2004/11/12,1440,2460
2004/11/15,1450,2565
2004/11/16,1460,2570
2004/11/17,1475,2500
2004/11/18,1450,2400
2004/11/19,1427,2380
2004/11/22,1440,2350
2004/11/23,1430,2290
2004/11/24,1445,2290
2004/11/25,1470,2400
2004/11/26,1470,2384.9
2004/11/29,1450,2370
2004/11/30,1495,2400
2004/12/01,1449,2430
2004/12/02,1425,2435
2004/12/03,1415,2430
2004/12/06,1410,2440
2004/12/07,1450,2445
2004/12/08,1410,2449
2004/12/09,1405,2500.1
2004/12/10,1400,2580
2004/12/13,1400,2660
2004/12/14,1410,2700
2004/12/15,1380,2720
2004/12/17,1375,2700
2004/12/20,1420,2700
2004/12/21,1430,2735
2004/12/22,1401,2710.5
2004/12/23,1386,2730
2004/12/24,1380,2730
2004/12/28,1345,2800
2004/12/29,1395,2800
2004/12/30,1384,2850
2004/12/31,1375,2850
2005/01/03,1388,2600
2005/01/04,1350,2587.5
2005/01/05,1340,2560
2005/01/06,1350,2500
2005/01/07,1425,2470
2005/01/10,1435,2410
2005/01/11,1440,2420
2005/01/12,1490,2400
2005/01/13,1500,2380
2005/01/14,1534,2269
2005/01/17,1530,2220
2005/01/18,1495,2180
2005/01/19,1515,2285
2005/01/20,1500,2270
2005/01/21,1490,2265
2005/01/24,1475,2260
2005/01/25,1460,2298.9
2005/01/26,1430,2339.7
2005/01/27,1450,2379.9
2005/01/28,1420,2380
2005/01/31,1450,2370
2005/02/01,1460,2320
2005/02/02,1425,2308.3
2005/02/03,1400,2280
2005/02/04,1400,2260
2005/02/07,1396,2260
2005/02/08,1395,2255.1
2005/02/09,1400,2280
2005/02/10,1430,2161.1
2005/02/11,1433,2240
2005/02/14,1430,2270
2005/02/15,1430,2289.3
2005/02/16,1470,2277.5
2005/02/17,1500,2276
2005/02/18,1501,2270
2005/02/21,1530,2275
2005/02/22,1515,2270
2005/02/23,1521,2289.9
2005/02/24,1538,2310
2005/02/25,1530,2310
2005/02/28,1525,2301
2005/03/01,1495,2340
2005/03/02,1488,2345
2005/03/03,1465,2370
2005/03/04,1465,2375
2005/03/07,1480,2357
2005/03/08,1459,2320.1
2005/03/09,1440,2334
2005/03/10,1435,2330
