Date,Brait,Peregrine
2004/05/12,695,220
2004/05/13,695,220
2004/05/14,690,220
2004/05/17,700,220
2004/05/18,686,220
2004/05/19,685,220
2004/05/20,690,220
2004/05/21,690,220
2004/05/24,690,220
2004/05/25,685,220
2004/05/26,685,220
2004/05/27,685,215
2004/05/28,685,225
2004/05/31,690,236
2004/06/01,680,224
2004/06/02,680,218
2004/06/03,685,220
2004/06/04,685,225
2004/06/07,701,236
2004/06/08,715,238
2004/06/09,740,225
2004/06/10,754,225
2004/06/11,760,225
2004/06/14,745,225
2004/06/15,717,225
2004/06/17,716,225
2004/06/18,720,225
2004/06/21,720,225
2004/06/22,725,225
2004/06/23,711,223
2004/06/24,720,225
2004/06/25,710,225
2004/06/28,710,224
2004/06/29,720,224
2004/06/30,720,223
2004/07/01,720,223
2004/07/02,750,224
2004/07/05,740,220
2004/07/06,725,217
2004/07/07,725,225
2004/07/08,730,225
2004/07/09,730,229
2004/07/12,728,225
2004/07/13,730,225
2004/07/14,730,225
2004/07/15,725,216
2004/07/16,720,216
2004/07/19,720,220
2004/07/20,720,220
2004/07/21,718,220
2004/07/22,718,220
2004/07/23,715,215
2004/07/26,705,220
2004/07/27,701,218
2004/07/28,720,211
2004/07/29,720,215
2004/07/30,720,210
2004/08/02,716,210
2004/08/03,720,210
2004/08/04,718,214
2004/08/05,700,210
2004/08/06,700,215
2004/08/10,690,221
2004/08/11,689,210
2004/08/12,700,215
2004/08/13,700,220
2004/08/16,700,220
2004/08/17,700,220
2004/08/18,700,215
2004/08/19,700,220
2004/08/20,718,218
2004/08/23,704,225
2004/08/24,700,223
2004/08/25,706,225
2004/08/26,706,225
2004/08/27,720,223
2004/08/30,730,224
2004/08/31,720,220
2004/09/01,730,218
2004/09/02,728,220
2004/09/03,728,223
2004/09/06,730,224
2004/09/07,730,220
2004/09/08,730,220
2004/09/09,735,219
2004/09/10,740,220
2004/09/13,770,217
2004/09/14,780,217
2004/09/15,770,218
2004/09/16,770,225
2004/09/17,770,220
2004/09/20,755,225
2004/09/21,745,227
2004/09/22,750,230
2004/09/23,750,230
2004/09/27,750,235
2004/09/28,755,230
2004/09/29,755,230
2004/09/30,754,240
2004/10/01,760,240
2004/10/04,785,244
2004/10/05,765,240
2004/10/06,765,240
2004/10/07,769,245
2004/10/08,760,243
2004/10/11,750,250
2004/10/12,753,240
2004/10/13,780,245
2004/10/14,770,250
2004/10/15,770,250
2004/10/18,775,249
2004/10/19,780,250
2004/10/20,775,245
2004/10/21,800,250
2004/10/22,800,246
2004/10/25,795,245
2004/10/26,795,249
2004/10/27,800,250
2004/10/28,815,250
2004/10/29,830,250
2004/11/01,855,250
2004/11/02,855,240
2004/11/03,855,241
2004/11/04,870,240
2004/11/05,885,240
2004/11/08,900,245
2004/11/09,945,245
2004/11/10,940,245
2004/11/11,950,250
2004/11/12,970,250
2004/11/15,995,252
2004/11/16,995,252
2004/11/17,960,250
2004/11/18,960,255
2004/11/19,950,251
2004/11/22,950,255
2004/11/23,970,255
2004/11/24,970,255
2004/11/25,970,258
2004/11/26,965,264
2004/11/29,970,260
2004/11/30,960,268
2004/12/01,980,275
2004/12/02,970,277
2004/12/03,955,280
2004/12/06,930,280
2004/12/07,925,275
2004/12/08,930,275
2004/12/09,925,266
2004/12/10,925,270
2004/12/13,933,270
2004/12/14,933,275
2004/12/15,930,275
2004/12/17,930,275
2004/12/20,926,280
2004/12/21,926,280
2004/12/22,945,289
2004/12/23,950,300
2004/12/24,960,306
2004/12/28,960,319
2004/12/29,970,310
2004/12/30,960,315
2004/12/31,965,320
2005/01/03,975,315
2005/01/04,1000,312
2005/01/05,1000,310
2005/01/06,1019,310
2005/01/07,1019,310
2005/01/10,1014,312
2005/01/11,1015,316
2005/01/12,1040,325
2005/01/13,1051,330
2005/01/14,1075,330
2005/01/17,1130,325
2005/01/18,1100,305
2005/01/19,1115,320
2005/01/20,1130,320
2005/01/21,1100,310
2005/01/24,1100,320
2005/01/25,1130,320
2005/01/26,1115,320
2005/01/27,1120,320
2005/01/28,1115,319
2005/01/31,1133,315
2005/02/01,1140,315
2005/02/02,1160,330
2005/02/03,1160,345
2005/02/04,1200,340
2005/02/07,1190,350
2005/02/08,1189,350
2005/02/09,1180,350
2005/02/10,1165,360
2005/02/11,1175,355
2005/02/14,1176,345
2005/02/15,1200,350
2005/02/16,1195,349
2005/02/17,1150,345
2005/02/18,1162,345
2005/02/21,1170,345
2005/02/22,1200,340
2005/02/23,1201,340
2005/02/24,1229,340
2005/02/25,1229,350
2005/02/28,1222,340
2005/03/01,1225,345
2005/03/02,1228,340
2005/03/03,1230,345
2005/03/04,1235,348
2005/03/07,1230,341
2005/03/08,1200,341
2005/03/09,1200,340
2005/03/10,1200,347
2005/03/11,1200,340
2005/03/14,1230,339
2005/03/15,1220,339
2005/03/16,1225,335
2005/03/17,1240,340
2005/03/18,1238,340
2005/03/22,1192,345
2005/03/23,1215,340
2005/03/24,1210,331
2005/03/29,1200,332
2005/03/30,1180,332
2005/03/31,1170,335
2005/04/01,1248,340
2005/04/04,1235,340
2005/04/05,1300,355
2005/04/06,1300,350
2005/04/07,1320,370
2005/04/08,1310,375
2005/04/11,1310,395
2005/04/12,1280,380
2005/04/13,1280,375
2005/04/14,1300,375
2005/04/15,1290,375
2005/04/18,1250,370
2005/04/19,1275,380
2005/04/20,1270,378
2005/04/21,1212,378
2005/04/22,1240,380
2005/04/25,1240,380
2005/04/26,1235,385
2005/04/28,1190,385
2005/04/29,1220,390
2005/05/03,1240,400
2005/05/04,1235,405
2005/05/05,1250,417
2005/05/06,1240,425
2005/05/09,1250,425
2005/05/10,1265,405
2005/05/11,1310,400
2005/05/12,1300,395
2005/05/13,1270,407
2005/05/16,1290,405
2005/05/17,1299,403
2005/05/18,1300,405
2005/05/19,1310,420
2005/05/20,1300,449
2005/05/23,1310,448
2005/05/24,1312,445
2005/05/25,1312,445
2005/05/26,1315,444
2005/05/27,1420,434
2005/05/30,1400,420
2005/05/31,1372,410
2005/06/01,1359,412
2005/06/02,1375,440
2005/06/03,1400,440
2005/06/06,1390,450
2005/06/07,1350,465
2005/06/08,1360,450
2005/06/09,1320,450
2005/06/10,1307,450
2005/06/13,1325,432
2005/06/14,1330,445
2005/06/15,1330,445
2005/06/17,1350,445
2005/06/20,1340,444
2005/06/21,1345,440
2005/06/22,1345,440
2005/06/23,1345,420
2005/06/24,1320,410
2005/06/27,1320,412
