Date,Coronation,SASFIN
2004/05/12,360,1000
2004/05/13,350,1000
2004/05/14,350,1000
2004/05/17,345,990
2004/05/18,345,990
2004/05/19,345,980
2004/05/20,340,980
2004/05/21,340,990
2004/05/24,335,990
2004/05/25,330,1015
2004/05/26,313,1010
2004/05/27,320,1019
2004/05/28,320,1019
2004/05/31,320,1019
2004/06/01,325,1019
2004/06/02,325,1019
2004/06/03,320,1019
2004/06/04,320,1050
2004/06/07,320,1050
2004/06/08,326,1050
2004/06/09,330,1095
2004/06/10,330,1095
2004/06/11,335,1095
2004/06/14,335,1095
2004/06/15,320,1095
2004/06/17,310,1080
2004/06/18,320,1080
2004/06/21,310,1080
2004/06/22,308,1075
2004/06/23,300,1070
2004/06/24,300,1070
2004/06/25,300,1070
2004/06/28,310,1070
2004/06/29,303,1070
2004/06/30,320,1070
2004/07/01,320,1070
2004/07/02,330,1070
2004/07/05,330,1060
2004/07/06,333,1060
2004/07/07,330,1080
2004/07/08,320,1090
2004/07/09,310,1090
2004/07/12,310,1105
2004/07/13,310,1105
2004/07/14,310,1105
2004/07/15,310,1105
2004/07/16,310,1105
2004/07/19,310,1075
2004/07/20,320,1105
2004/07/21,315,1100
2004/07/22,320,1100
2004/07/23,321,1100
2004/07/26,335,1100
2004/07/27,340,1115
2004/07/28,361,1115
2004/07/29,370,1150
2004/07/30,375,1150
2004/08/02,370,1150
2004/08/03,370,1200
2004/08/04,370,1200
2004/08/05,398,1200
2004/08/06,385,1200
2004/08/10,380,1170
2004/08/11,385,1230
2004/08/12,385,1225
2004/08/13,370,1250
2004/08/16,360,1250
2004/08/17,330,1250
2004/08/18,350,1250
2004/08/19,340,1250
2004/08/20,330,1250
2004/08/23,330,1250
2004/08/24,330,1275
2004/08/25,330,1275
2004/08/26,340,1270
2004/08/27,340,1275
2004/08/30,345,1275
2004/08/31,350,1275
2004/09/01,345,1276
2004/09/02,345,1276
2004/09/03,345,1276
2004/09/06,345,1420
2004/09/07,350,1449
2004/09/08,349,1450
2004/09/09,350,1420
2004/09/10,345,1430
2004/09/13,348,1420
2004/09/14,343,1450
2004/09/15,340,1475
2004/09/16,340,1490
2004/09/17,330,1495
2004/09/20,329,1520
2004/09/21,325,1510
2004/09/22,320,1520
2004/09/23,321,1520
2004/09/27,326,1500
2004/09/28,325,1500
2004/09/29,345,1500
2004/09/30,350,1500
2004/10/01,350,1470
2004/10/04,365,1500
2004/10/05,370,1480
2004/10/06,370,1500
2004/10/07,370,1500
2004/10/08,385,1500
2004/10/11,370,1521
2004/10/12,376,1520
2004/10/13,375,1515
2004/10/14,375,1500
2004/10/15,384,1500
2004/10/18,375,1500
2004/10/19,385,1500
2004/10/20,375,1515
2004/10/21,370,1530
2004/10/22,375,1555
2004/10/25,375,1580
2004/10/26,375,1580
2004/10/27,375,1580
2004/10/28,380,1615
2004/10/29,390,1630
2004/11/01,400,1651
2004/11/02,400,1700
2004/11/03,400,1700
2004/11/04,405,1720
2004/11/05,405,1705
2004/11/08,410,1580
2004/11/09,440,1600
2004/11/10,445,1600
2004/11/11,421,1610
2004/11/12,422,1640
2004/11/15,440,1680
2004/11/16,440,1685
2004/11/17,440,1710
2004/11/18,440,1710
2004/11/19,440,1710
2004/11/22,440,1710
2004/11/23,439,1710
2004/11/24,439,1710
2004/11/25,430,1710
2004/11/26,415,1700
2004/11/29,430,1685
2004/11/30,435,1680
2004/12/01,450,1720
2004/12/02,435,1730
2004/12/03,445,1730
2004/12/06,418,1730
2004/12/07,399,1720
2004/12/08,410,1730
2004/12/09,410,1750
2004/12/10,385,1750
2004/12/13,400,1700
2004/12/14,390,1760
2004/12/15,385,1762
2004/12/17,390,1780
2004/12/20,385,1800
2004/12/21,380,1950
2004/12/22,381,1950
2004/12/23,382,2000
2004/12/24,385,2000
2004/12/28,392,2000
2004/12/29,386,2100
2004/12/30,395,2200
2004/12/31,400,2200
2005/01/03,400,2100
2005/01/04,400,2110
2005/01/05,396,2060
2005/01/06,420,2060
2005/01/07,412,2060
2005/01/10,410,2060
2005/01/11,415,2000
2005/01/12,410,1975
2005/01/13,420,1975
2005/01/14,420,1990
2005/01/17,420,1990
2005/01/18,399,1990
2005/01/19,396,1921
2005/01/20,395,1990
2005/01/21,385,1950
2005/01/24,385,1990
2005/01/25,388,1990
2005/01/26,405,1990
2005/01/27,410,1989
2005/01/28,404,1982
2005/01/31,402,1982
2005/02/01,402,2000
2005/02/02,400,2000
2005/02/03,405,2000
2005/02/04,390,2000
2005/02/07,390,2000
2005/02/08,382,2000
2005/02/09,385,2000
2005/02/10,400,2000
2005/02/11,400,2000
2005/02/14,400,2000
2005/02/15,400,2000
2005/02/16,404,1985
2005/02/17,404,2000
2005/02/18,405,2000
2005/02/21,406,2001
2005/02/22,405,2001
2005/02/23,405,2025
2005/02/24,407,2025
2005/02/25,400,2025
2005/02/28,398,2050
2005/03/01,388,2025
2005/03/02,384,2000
2005/03/03,395,1995
2005/03/04,385,2000
2005/03/07,390,1995
2005/03/08,390,1970
2005/03/09,390,1950
2005/03/10,395,1955
2005/03/11,395,1940
2005/03/14,390,1950
2005/03/15,390,1950
2005/03/16,390,1961
2005/03/17,380,1940
2005/03/18,370,1940
2005/03/22,362,1935
2005/03/23,365,1915
2005/03/24,370,1900
2005/03/29,370,1880
2005/03/30,355,1880
2005/03/31,370,1880
2005/04/01,370,1870
2005/04/04,375,1870
2005/04/05,375,1880
2005/04/06,370,1860
2005/04/07,360,1880
2005/04/08,371,1925
2005/04/11,371,1925
2005/04/12,390,1880
2005/04/13,400,1890
2005/04/14,405,1899
2005/04/15,395,1875
2005/04/18,373,1875
2005/04/19,365,1850
2005/04/20,355,1850
2005/04/21,360,1850
2005/04/22,375,1850
2005/04/25,374,1800
2005/04/26,361,1790
2005/04/28,355,1790
2005/04/29,350,1790
2005/05/03,370,1790
2005/05/04,370,1790
2005/05/05,365,1750
2005/05/06,365,1760
2005/05/09,365,1800
2005/05/10,375,1840
2005/05/11,387,1840
2005/05/12,390,1830
2005/05/13,385,1850
2005/05/16,373,1850
2005/05/17,380,1850
2005/05/18,390,1880
2005/05/19,380,1880
2005/05/20,400,1880
2005/05/23,400,1880
2005/05/24,400,1880
2005/05/25,400,1850
2005/05/26,400,1830
2005/05/27,410,1840
2005/05/30,419,1850
2005/05/31,420,1850
2005/06/01,410,2000
2005/06/02,420,1950
2005/06/03,410,2000
2005/06/06,415,2011
2005/06/07,415,2011
2005/06/08,415,2035
2005/06/09,415,2052
2005/06/10,422,2100
2005/06/13,420,2100
2005/06/14,417,2100
2005/06/15,405,2090
2005/06/17,410,2090
2005/06/20,410,2035
2005/06/21,410,1900
2005/06/22,411,1900
2005/06/23,410,2020
2005/06/24,410,2000
2005/06/27,385,2000
2005/06/28,395,2000
2005/06/29,405,2000
2005/06/30,395,2000
2005/07/01,395,1975
2005/07/04,395,1975
2005/07/05,390,1920
2005/07/06,395,1925
2005/07/07,400,1930
2005/07/08,400,1930
2005/07/11,405,1995
2005/07/12,420,1995
2005/07/13,425,1980
2005/07/14,426,2000
2005/07/15,425,2025
2005/07/18,430,2030
2005/07/19,435,2100
2005/07/20,431,2102
2005/07/21,420,2200
2005/07/22,425,2320
2005/07/25,450,2475
2005/07/26,450,2450
2005/07/27,450,2470
2005/07/28,456,2470
2005/07/29,455,2450
2005/08/01,450,2450
2005/08/02,455,2450
2005/08/03,460,2500
2005/08/04,480,2550
2005/08/05,480,2560
2005/08/08,490,2600
2005/08/10,495,2600
2005/08/11,497,2600
2005/08/12,495,2575
2005/08/15,495,2560
2005/08/16,495,2560
2005/08/17,485,2550
2005/08/18,475,2500
2005/08/19,485,2544
2005/08/22,480,2549
2005/08/23,490,2549
2005/08/24,485,2549
2005/08/25,470,2511
2005/08/26,465,2510
2005/08/29,460,2510
2005/08/30,470,2510
2005/08/31,470,2510
2005/09/01,479,2510
2005/09/02,480,2510
2005/09/05,481,2510
2005/09/06,500,2550
2005/09/07,501,2650
2005/09/08,500,2750
2005/09/09,501,2730
2005/09/12,500,2700
2005/09/13,490,2725
2005/09/14,500,2730
