Date,PSG,Brait
2004/05/12,275,695
2004/05/13,275,695
2004/05/14,270,690
2004/05/17,270,700
2004/05/18,265,686
2004/05/19,270,685
2004/05/20,265,690
2004/05/21,260,690
2004/05/24,256,690
2004/05/25,260,685
2004/05/26,258,685
2004/05/27,267,685
2004/05/28,265,685
2004/05/31,262,690
2004/06/01,262,680
2004/06/02,260,680
2004/06/03,261,685
2004/06/04,261,685
2004/06/07,265,701
2004/06/08,270,715
2004/06/09,275,740
2004/06/10,285,754
2004/06/11,290,760
2004/06/14,290,745
2004/06/15,285,717
2004/06/17,285,716
2004/06/18,290,720
2004/06/21,294,720
2004/06/22,290,725
2004/06/23,290,711
2004/06/24,298,720
2004/06/25,300,710
2004/06/28,295,710
2004/06/29,297,720
2004/06/30,310,720
2004/07/01,305,720
2004/07/02,305,750
2004/07/05,295,740
2004/07/06,305,725
2004/07/07,305,725
2004/07/08,300,730
2004/07/09,305,730
2004/07/12,301,728
2004/07/13,308,730
2004/07/14,301,730
2004/07/15,309,725
2004/07/16,309,720
2004/07/19,305,720
2004/07/20,315,720
2004/07/21,320,718
2004/07/22,315,718
2004/07/23,310,715
2004/07/26,305,705
2004/07/27,301,701
2004/07/28,304,720
2004/07/29,303,720
2004/07/30,310,720
2004/08/02,315,716
2004/08/03,315,720
2004/08/04,322,718
2004/08/05,340,700
2004/08/06,330,700
2004/08/10,326,690
2004/08/11,325,689
2004/08/12,340,700
2004/08/13,340,700
2004/08/16,335,700
2004/08/17,340,700
2004/08/18,345,700
2004/08/19,335,700
2004/08/20,310,718
2004/08/23,325,704
2004/08/24,332,700
2004/08/25,335,706
2004/08/26,335,706
2004/08/27,335,720
2004/08/30,335,730
2004/08/31,350,720
2004/09/01,316,730
2004/09/02,345,728
2004/09/03,350,728
2004/09/06,355,730
2004/09/07,350,730
2004/09/08,340,730
2004/09/09,345,735
2004/09/10,348,740
2004/09/13,345,770
2004/09/14,340,780
2004/09/15,342,770
2004/09/16,350,770
2004/09/17,350,770
2004/09/20,350,755
2004/09/21,360,745
2004/09/22,365,750
2004/09/23,375,750
2004/09/27,375,750
2004/09/28,375,755
2004/09/29,360,755
2004/09/30,365,754
2004/10/01,365,760
2004/10/04,360,785
2004/10/05,365,765
2004/10/06,395,765
2004/10/07,375,769
2004/10/08,400,760
2004/10/11,440,750
2004/10/12,450,753
2004/10/13,440,780
2004/10/14,450,770
2004/10/15,435,770
2004/10/18,445,775
2004/10/19,460,780
2004/10/20,455,775
2004/10/21,450,800
2004/10/22,440,800
2004/10/25,440,795
2004/10/26,445,795
2004/10/27,440,800
2004/10/28,440,815
2004/10/29,440,830
2004/11/01,435,855
2004/11/02,445,855
2004/11/03,453,855
2004/11/04,470,870
2004/11/05,456,885
2004/11/08,470,900
2004/11/09,476,945
2004/11/10,480,940
2004/11/11,482,950
2004/11/12,485,970
2004/11/15,500,995
2004/11/16,520,995
2004/11/17,525,960
2004/11/18,520,960
2004/11/19,520,950
2004/11/22,525,950
2004/11/23,525,970
2004/11/24,530,970
2004/11/25,528,970
2004/11/26,530,965
2004/11/29,530,970
2004/11/30,542,960
2004/12/01,545,980
2004/12/02,545,970
2004/12/03,545,955
2004/12/06,555,930
2004/12/07,560,925
2004/12/08,550,930
2004/12/09,560,925
2004/12/10,560,925
2004/12/13,570,933
