Date,Absa,Nedbank
2004/05/12,4450,1124
2004/05/13,4500,1125
2004/05/14,4320,1120
2004/05/17,4450,1125
2004/05/18,4349,1120
2004/05/19,4475,1121
2004/05/20,4580,1120
2004/05/21,4575,1125
2004/05/24,4470,1125
2004/05/25,4435,1125
2004/05/26,4502,1130
2004/05/27,4625,1125
2004/05/28,4700,1115
2004/05/31,4790,1115
2004/06/01,4780,1100
2004/06/02,4865,1099
2004/06/03,4859,1099
2004/06/04,4850,1095
2004/06/07,4960,1120
2004/06/08,5050,1115
2004/06/09,5040,1115
2004/06/10,5003,1115
2004/06/11,4870,1110
2004/06/14,4875,1110
2004/06/15,4860,1110
2004/06/17,4935,1100
2004/06/18,5045,1105
2004/06/21,4985,1100
2004/06/22,5000,1105
2004/06/23,4930,1098
2004/06/24,4955,1098
2004/06/25,5035,1100
2004/06/28,5030,1100
2004/06/29,5045,1095
2004/06/30,5100,1095
2004/07/01,5025,1096
2004/07/02,5010,1110
2004/07/05,5040,1100
2004/07/06,5067,1110
2004/07/07,5000,1120
2004/07/08,4950,1118
2004/07/09,4960,1110
2004/07/12,4973,1105
2004/07/13,5020,1110
2004/07/14,5130,1110
2004/07/15,5200,1116
2004/07/16,5130,1110
2004/07/19,5101,1110
2004/07/20,5090,1110
2004/07/21,5161,1110
2004/07/22,5165,1120
2004/07/23,5180,1118
2004/07/26,5180,1123
2004/07/27,5215,1130
2004/07/28,5212,1135
2004/07/29,5110,1138
2004/07/30,5107,1136
2004/08/02,5108,1140
2004/08/03,5060,1145
2004/08/04,5141,1160
2004/08/05,5080,1163
2004/08/06,5000,1170
2004/08/10,5045,1170
2004/08/11,5055,1175
2004/08/12,5220,1169
2004/08/13,5075,1169
2004/08/16,5150,1170
2004/08/17,5140,1170
2004/08/18,5165,1173
2004/08/19,5150,1171
2004/08/20,5150,1170
2004/08/23,5250,1140
2004/08/24,5258,1140
2004/08/25,5270,1140
2004/08/26,5350,1100
2004/08/27,5480,1135
2004/08/30,5480,1135
2004/08/31,5510,1133
2004/09/01,5601,1145
2004/09/02,5700,1140
2004/09/03,5830,1131
2004/09/06,5755,1150
2004/09/07,5676,1150
2004/09/08,5650,1165
2004/09/09,5820,1175
2004/09/10,5830,1175
2004/09/13,5850,1175
2004/09/14,5835,1175
2004/09/15,5725,1140
2004/09/16,5860,1135
2004/09/17,6044,1140
2004/09/20,6100,1131
2004/09/21,6125,1125
2004/09/22,6050,1135
2004/09/23,6275,1140
2004/09/27,6290,1146
2004/09/28,6298,1140
2004/09/29,6410,1137
2004/09/30,6510,1135
2004/10/01,6450,1135
2004/10/04,6380,1137
2004/10/05,6325,1130
2004/10/06,6355,1121
2004/10/07,6390,1130
2004/10/08,6340,1160
2004/10/11,6400,1160
2004/10/12,6400,1160
2004/10/13,6498,1150
2004/10/14,6450,1150
2004/10/15,6500,1150
2004/10/18,6500,1148
2004/10/19,6515,1150
2004/10/20,6580,1150
2004/10/21,6550,1145
2004/10/22,6505,1140
2004/10/25,6455,1139
2004/10/26,6511,1148
2004/10/27,6540,1130
2004/10/28,6600,1130
2004/10/29,6700,1135
2004/11/01,6860,1140
2004/11/02,6730,1145
2004/11/03,6700,1140
2004/11/04,6670,1145
2004/11/05,6790,1140
2004/11/08,6835,1145
2004/11/09,6870,1140
2004/11/10,6750,1170
2004/11/11,6680,1165
2004/11/12,6635,1175
2004/11/15,6700,1175
2004/11/16,6732,1185
2004/11/17,6930,1185
2004/11/18,6940,1170
2004/11/19,6960,1173
2004/11/22,6870,1190
2004/11/23,6870,1190
2004/11/24,6900,1185
2004/11/25,7102,1180
2004/11/26,7240,1185
2004/11/29,7200,1185
2004/11/30,7035,1184
2004/12/01,7040,1180
2004/12/02,7200,1180
2004/12/03,7225,1180
2004/12/06,7200,1180
2004/12/07,7220,1180
2004/12/08,7052,1180
2004/12/09,7120,1200
2004/12/10,7225,1200
2004/12/13,7275,1210
2004/12/14,7276,1245
2004/12/15,7340,1271
2004/12/17,7432,1300
2004/12/20,7440,1317
2004/12/21,7405,1342
2004/12/22,7420,1370
2004/12/23,7470,1307
2004/12/24,7480,1300
2004/12/28,7480,1310
2004/12/29,7562,1300
2004/12/30,7655,1310
2004/12/31,7599,1200
2005/01/03,7685,1220
2005/01/04,7529,1225
2005/01/05,7350,1266
2005/01/06,7169,1290
2005/01/07,7180,1295
2005/01/10,7267,1300
2005/01/11,7260,1305
2005/01/12,7190,1308
2005/01/13,7138,1305
2005/01/14,7199,1304
2005/01/17,7280,1295
2005/01/18,7125,1260
2005/01/19,7200,1230
2005/01/20,7201,1235
2005/01/21,7250,1240
2005/01/24,7210,1235
2005/01/25,7280,1225
2005/01/26,7520,1230
2005/01/27,7600,1250
2005/01/28,7616,1265
2005/01/31,7639,1250
2005/02/01,7572,1246
2005/02/02,7460,1241
2005/02/03,7449,1240
2005/02/04,7390,1210
2005/02/07,7270,1240
2005/02/08,7200,1230
2005/02/09,7430,1240
2005/02/10,7560,1250
2005/02/11,7515,1250
2005/02/14,7540,1250
2005/02/15,7521,1250
2005/02/16,7430,1250
2005/02/17,7500,1250
2005/02/18,7645,1250
2005/02/21,7835,1220
2005/02/22,7800,1220
2005/02/23,7840,1230
2005/02/24,7900,1235
2005/02/25,7900,1250
2005/02/28,7949,1225
2005/03/01,8070,1250
2005/03/02,7940,1240
2005/03/03,7921,1240
2005/03/04,7920,1250
2005/03/07,8040,1250
2005/03/08,8100,1240
2005/03/09,8150,1250
2005/03/10,8000,1250
2005/03/11,7950,1250
2005/03/14,7891,1195
2005/03/15,7750,1196
2005/03/16,7699,1200
2005/03/17,7750,1180
2005/03/18,7780,1180
2005/03/22,7625,1150
2005/03/23,7600,1175
2005/03/24,7510,1160
2005/03/29,7450,1180
2005/03/30,7400,1180
2005/03/31,7540,1190
2005/04/01,7650,1200
2005/04/04,7705,1198
2005/04/05,7640,1195
2005/04/06,7555,1200
2005/04/07,7550,1200
2005/04/08,7550,1200
2005/04/11,7550,1200
2005/04/12,7600,1220
2005/04/13,7475,1220
2005/04/14,7550,1215
2005/04/15,7820,1215
2005/04/18,7700,1230
2005/04/19,7755,1230
2005/04/20,7651,1230
2005/04/21,7778,1220
2005/04/22,7601,1215
2005/04/25,7660,1230
2005/04/26,7820,1230
2005/04/28,7830,1210
2005/04/29,7780,1210
2005/05/03,7770,1210
2005/05/04,7815,1210
2005/05/05,7950,1230
2005/05/06,8000,1230
2005/05/09,8250,1201
2005/05/10,8250,1205
2005/05/11,8260,1210
2005/05/12,8290,1210
2005/05/13,8275,1210
2005/05/16,8300,1210
2005/05/17,8300,1210
2005/05/18,8251,1205
2005/05/19,8250,1185
2005/05/20,8256,1175
2005/05/23,8285,1200
2005/05/24,8240,1210
2005/05/25,8230,1210
2005/05/26,8200,1210
2005/05/27,8175,1210
2005/05/30,8220,1210
2005/05/31,8244,1210
2005/06/01,8240,1206
2005/06/02,8250,1215
2005/06/03,8261,1195
2005/06/06,8290,1203
2005/06/07,8345,1210
2005/06/08,8300,1210
