Date,Absa,RMB
2004/05/12,4450,1412
2004/05/13,4500,1460
2004/05/14,4320,1415
2004/05/17,4450,1450
2004/05/18,4349,1405
2004/05/19,4475,1482
2004/05/20,4580,1501
2004/05/21,4575,1513
2004/05/24,4470,1490
2004/05/25,4435,1508
2004/05/26,4502,1531
2004/05/27,4625,1587
2004/05/28,4700,1570
2004/05/31,4790,1590
2004/06/01,4780,1585
2004/06/02,4865,1605
2004/06/03,4859,1590
2004/06/04,4850,1592
2004/06/07,4960,1601
2004/06/08,5050,1600
2004/06/09,5040,1605
2004/06/10,5003,1586
2004/06/11,4870,1571
2004/06/14,4875,1614
2004/06/15,4860,1588
2004/06/17,4935,1600
2004/06/18,5045,1600
2004/06/21,4985,1600
2004/06/22,5000,1590
2004/06/23,4930,1589
2004/06/24,4955,1631
2004/06/25,5035,1590
2004/06/28,5030,1587
2004/06/29,5045,1600
2004/06/30,5100,1615
2004/07/01,5025,1611
2004/07/02,5010,1600
2004/07/05,5040,1610
2004/07/06,5067,1605
2004/07/07,5000,1610
2004/07/08,4950,1601
2004/07/09,4960,1600
2004/07/12,4973,1595
2004/07/13,5020,1625
2004/07/14,5130,1641
2004/07/15,5200,1656
2004/07/16,5130,1590
2004/07/19,5101,1570
2004/07/20,5090,1570
2004/07/21,5161,1610
2004/07/22,5165,1573
2004/07/23,5180,1590
2004/07/26,5180,1605
2004/07/27,5215,1610
2004/07/28,5212,1600
2004/07/29,5110,1580
2004/07/30,5107,1609
2004/08/02,5108,1599
2004/08/03,5060,1598
2004/08/04,5141,1590
2004/08/05,5080,1565
2004/08/06,5000,1549
2004/08/10,5045,1540
2004/08/11,5055,1525
2004/08/12,5220,1530
2004/08/13,5075,1530
2004/08/16,5150,1530
2004/08/17,5140,1515
2004/08/18,5165,1512
2004/08/19,5150,1509
2004/08/20,5150,1539
2004/08/23,5250,1580
2004/08/24,5258,1598
2004/08/25,5270,1600
2004/08/26,5350,1600
2004/08/27,5480,1620
2004/08/30,5480,1618
2004/08/31,5510,1615
2004/09/01,5601,1635
2004/09/02,5700,1665
2004/09/03,5830,1660
2004/09/06,5755,1650
2004/09/07,5676,1670
2004/09/08,5650,1679
2004/09/09,5820,1708
2004/09/10,5830,1699
2004/09/13,5850,1705
2004/09/14,5835,1708
2004/09/15,5725,1715
2004/09/16,5860,1735
2004/09/17,6044,1770
2004/09/20,6100,1810
2004/09/21,6125,1841
2004/09/22,6050,1810
2004/09/23,6275,1800
2004/09/27,6290,1815
2004/09/28,6298,1816
2004/09/29,6410,1897
2004/09/30,6510,1879
2004/10/01,6450,1880
2004/10/04,6380,1875
2004/10/05,6325,1845
2004/10/06,6355,1865
2004/10/07,6390,1840
2004/10/08,6340,1795
2004/10/11,6400,1820
2004/10/12,6400,1802
2004/10/13,6498,1815
2004/10/14,6450,1820
2004/10/15,6500,1850
2004/10/18,6500,1813
2004/10/19,6515,1845
2004/10/20,6580,1800
2004/10/21,6550,1850
2004/10/22,6505,1865
2004/10/25,6455,1789
2004/10/26,6511,1865
2004/10/27,6540,1867
2004/10/28,6600,1851
2004/10/29,6700,1880
2004/11/01,6860,1948
2004/11/02,6730,1930
2004/11/03,6700,1920
2004/11/04,6670,1945
2004/11/05,6790,1983
2004/11/08,6835,2020
2004/11/09,6870,1980
2004/11/10,6750,1950
2004/11/11,6680,1980
2004/11/12,6635,1980
2004/11/15,6700,1975
2004/11/16,6732,1975
2004/11/17,6930,1975
2004/11/18,6940,1981
2004/11/19,6960,1975
2004/11/22,6870,1965
2004/11/23,6870,1951
2004/11/24,6900,2000
2004/11/25,7102,2125
2004/11/26,7240,2100
2004/11/29,7200,2120
2004/11/30,7035,2100
2004/12/01,7040,2105
2004/12/02,7200,2165
2004/12/03,7225,2169
2004/12/06,7200,2150
2004/12/07,7220,2135
2004/12/08,7052,2105
2004/12/09,7120,2100
2004/12/10,7225,2100
2004/12/13,7275,2151
2004/12/14,7276,2160
2004/12/15,7340,2150
2004/12/17,7432,2190
2004/12/20,7440,2190
2004/12/21,7405,2185
2004/12/22,7420,2190
2004/12/23,7470,2190
2004/12/24,7480,2185
2004/12/28,7480,2185
2004/12/29,7562,2185
2004/12/30,7655,2190
2004/12/31,7599,2176
2005/01/03,7685,2210
2005/01/04,7529,2200
2005/01/05,7350,2200
2005/01/06,7169,2130
2005/01/07,7180,2120
2005/01/10,7267,2140
2005/01/11,7260,2120
2005/01/12,7190,2125
2005/01/13,7138,2125
2005/01/14,7199,2105
2005/01/17,7280,2091
