Date,AngloGold,Anglo American
2004/05/12,22102,13350
2004/05/13,21800,13350
2004/05/14,21402,12760
2004/05/17,21697,12720
2004/05/18,20800,12750
2004/05/19,21800,13600
2004/05/20,22100,13230
2004/05/21,22400,13555
2004/05/24,22000,13250
2004/05/25,22620,13365
2004/05/26,22900,13650
2004/05/27,23363,13921
2004/05/28,23110,13560
2004/05/31,22800,13799
2004/06/01,22501,13630
2004/06/02,22100,13501
2004/06/03,21950,13310
2004/06/04,21550,13330
2004/06/07,22101,13720
2004/06/08,22150,13975
2004/06/09,21401,13660
2004/06/10,21100,13499
2004/06/11,20055,13280
2004/06/14,20401,13190
2004/06/15,20050,13101
2004/06/17,19626,13302
2004/06/18,20385,13191
2004/06/21,19798,13000
2004/06/22,20100,12751
2004/06/23,19999,12520
2004/06/24,20550,13050
2004/06/25,20500,13200
2004/06/28,20199,13040
2004/06/29,20000,12940
2004/06/30,20249,12710
2004/07/01,20199,12624
2004/07/02,20000,12301
2004/07/05,20300,12575
2004/07/06,20201,12505
2004/07/07,20300,12400
2004/07/08,20318,12216
2004/07/09,20620,12650
2004/07/12,20430,12579
2004/07/13,20388,12930
2004/07/14,20400,12605
2004/07/15,20400,12765
2004/07/16,20010,12610
2004/07/19,19100,12360
2004/07/20,18801,12350
2004/07/21,19395,12702
2004/07/22,19345,12300
2004/07/23,19550,12550
2004/07/26,19248,12670
2004/07/27,19330,12785
2004/07/28,19795,12920
2004/07/29,20399,13011
2004/07/30,20660,13320
2004/08/02,20900,13401
2004/08/03,21009,13575
2004/08/04,20800,13600
2004/08/05,20700,13550
2004/08/06,20580,13140
2004/08/10,20475,12920
2004/08/11,19900,13030
2004/08/12,20879,13964
2004/08/13,21600,14340
2004/08/16,22599,14940
2004/08/17,22350,14835
2004/08/18,22020,14765
2004/08/19,23300,15140
2004/08/20,24174,15070
2004/08/23,24320,15580
2004/08/24,23300,15069
2004/08/25,23600,14765
2004/08/26,23295,14795
2004/08/27,23406,15171
2004/08/30,23821,15200
2004/08/31,23500,15080
2004/09/01,23367,14995
2004/09/02,23110,14875
2004/09/03,23200,14850
2004/09/06,23300,15040
2004/09/07,22990,14690
2004/09/08,23100,14849
2004/09/09,23349,14900
2004/09/10,23695,14900
2004/09/13,23416,14800
2004/09/14,23685,14700
2004/09/15,24219,14505
2004/09/16,24159,14899
2004/09/17,24038,15220
2004/09/20,23733,15000
2004/09/21,24250,15031
2004/09/22,24405,15165
2004/09/23,24539,14910
2004/09/27,24055,14632
2004/09/28,24536,15170
2004/09/29,24650,15270
2004/09/30,24922,15400
2004/10/01,24750,15599
2004/10/04,23899,15190
2004/10/05,24200,15260
2004/10/06,24805,15460
2004/10/07,24863,15850
2004/10/08,25020,15765
2004/10/11,24875,15550
2004/10/12,24800,15200
2004/10/13,23580,14796
2004/10/14,23626,14890
2004/10/15,23900,14780
2004/10/18,23850,14465
2004/10/19,23551,14094
2004/10/20,23701,13849
2004/10/21,23301,13930
2004/10/22,23299,13581
2004/10/25,24049,13700
2004/10/26,24289,14200
2004/10/27,23979,13920
2004/10/28,22550,13302
2004/10/29,22650,13390
2004/11/01,22888,13575
2004/11/02,22400,13721
2004/11/03,22149,13601
2004/11/04,22848,13585
2004/11/05,22820,14000
2004/11/08,23895,13751
2004/11/09,23900,14100
2004/11/10,23800,14327
2004/11/11,24060,14570
2004/11/12,24499,14110
2004/11/15,25100,14300
2004/11/16,25100,14200
2004/11/17,25020,14210
2004/11/18,24874,14400
2004/11/19,24349,14370
2004/11/22,23903,13955
2004/11/23,23606,14000
2004/11/24,23100,13940
2004/11/25,22750,13930
2004/11/26,23000,14000
2004/11/29,23400,14170
2004/11/30,23345,13850
2004/12/01,23151,14030
2004/12/02,22995,14100
2004/12/03,22600,13799
2004/12/06,21750,13300
2004/12/07,21999,13330
2004/12/08,21599,13220
2004/12/09,21212,13100
2004/12/10,21160,13060
2004/12/13,20901,12950
2004/12/14,20975,12950
2004/12/15,21160,12895
2004/12/17,20840,13000
2004/12/20,20840,13200
2004/12/21,20790,13280
2004/12/22,20989,13300
2004/12/23,20999,13110
2004/12/24,20700,13300
2004/12/28,20800,13235
2004/12/29,20600,13267
2004/12/30,20427,13350
2004/12/31,19901,13350
2005/01/03,20325,13451
2005/01/04,20254,13300
2005/01/05,20250,13457
2005/01/06,20850,13970
2005/01/07,20601,13785
2005/01/10,20500,13775
2005/01/11,20352,13784
2005/01/12,20651,13895
2005/01/13,20101,13800
2005/01/14,19990,13931
2005/01/17,19502,13960
2005/01/18,19890,14180
2005/01/19,19703,13935
2005/01/20,19850,13865
2005/01/21,19771,13799
2005/01/24,19900,13855
2005/01/25,19306,13801
2005/01/26,19200,13895
2005/01/27,18711,13800
2005/01/28,19350,13800
2005/01/31,19569,13800
2005/02/01,19900,14440
2005/02/02,20394,14915
2005/02/03,20299,14840
2005/02/04,20001,14750
2005/02/07,20049,15121
2005/02/08,19552,15300
2005/02/09,19680,15150
2005/02/10,20501,15150
2005/02/11,21130,14960
2005/02/14,21005,15045
2005/02/15,21085,15011
2005/02/16,20930,14999
2005/02/17,20702,15020
2005/02/18,21055,15101
2005/02/21,21799,15161
2005/02/22,21100,14675
2005/02/23,21110,14320
2005/02/24,21150,14311
2005/02/25,20989,14400
2005/02/28,20800,14550
2005/03/01,20702,14540
2005/03/02,20820,14600
2005/03/03,21699,14850
2005/03/04,22000,14875
2005/03/07,21636,14500
2005/03/08,22000,14310
2005/03/09,22370,14250
2005/03/10,22649,14300
2005/03/11,22605,14149
2005/03/14,22645,14229
2005/03/15,22845,14495
2005/03/16,23350,14880
2005/03/17,23701,15180
2005/03/18,22900,14811
2005/03/22,22469,14751
2005/03/23,22300,14700
2005/03/24,21900,14600
2005/03/29,22060,14730
2005/03/30,21400,14652
2005/03/31,21600,14720
2005/04/01,21549,14899
2005/04/04,21700,14720
2005/04/05,21510,14700
2005/04/06,21406,14681
2005/04/07,21400,14600
2005/04/08,21511,14650
2005/04/11,21500,14710
2005/04/12,21300,14701
2005/04/13,21445,14340
2005/04/14,21649,14601
2005/04/15,21450,14575
2005/04/18,21150,14190
2005/04/19,21300,14110
2005/04/20,21720,13900
2005/04/21,21100,13650
2005/04/22,20700,13601
2005/04/25,20027,13700
2005/04/26,20770,13640
2005/04/28,19450,13190
2005/04/29,19500,13400
2005/05/03,19750,13625
2005/05/04,19695,13430
2005/05/05,19700,13550
2005/05/06,19270,13875
2005/05/09,19679,14080
2005/05/10,20005,13882
2005/05/11,19650,13862
2005/05/12,19800,14099
2005/05/13,19305,13705
2005/05/16,19740,14074
2005/05/17,20450,14290
2005/05/18,20875,14802
2005/05/19,20331,14700
2005/05/20,20500,15300
2005/05/23,20700,15385
2005/05/24,20661,15630
2005/05/25,20802,15180
2005/05/26,21427,15810
2005/05/27,21700,15920
2005/05/30,23000,16300
2005/05/31,22599,16120
2005/06/01,23801,16420
2005/06/02,24005,16510
2005/06/03,23775,16380
2005/06/06,23294,16195
2005/06/07,22479,15855
2005/06/08,22500,16080
2005/06/09,22390,16250
2005/06/10,22505,16175
2005/06/13,23995,16499
2005/06/14,23880,16530
2005/06/15,23749,16275
2005/06/17,23768,16425
2005/06/20,23580,16450
2005/06/21,23051,16280
2005/06/22,22651,16050
2005/06/23,23400,16050
2005/06/24,23700,15655
2005/06/27,23605,15690
2005/06/28,23525,15500
2005/06/29,24299,15740
2005/06/30,23950,15680
2005/07/01,24140,15890
2005/07/04,24320,16060
2005/07/05,24401,15890
2005/07/06,24601,15815
2005/07/07,24630,15475
2005/07/08,24600,15800
2005/07/11,24380,15734
2005/07/12,24219,15371
2005/07/13,24449,15565
2005/07/14,24330,15695
2005/07/15,24000,15500
2005/07/18,23824,15620
2005/07/19,23650,15400
2005/07/20,23803,15450
2005/07/21,23199,15800
2005/07/22,23900,16090
2005/07/25,23849,16280
2005/07/26,23299,16320
2005/07/27,22729,16400
2005/07/28,22800,16500
2005/07/29,22703,16575
2005/08/01,22524,16356
2005/08/02,22450,16451
2005/08/03,22600,16850
2005/08/04,23045,16845
2005/08/05,22559,17000
2005/08/08,22270,17220
2005/08/10,21951,16816
2005/08/11,22051,16820
2005/08/12,23010,17068
2005/08/15,23337,17035
2005/08/16,23501,16680
2005/08/17,23520,16480
2005/08/18,23155,16420
2005/08/19,23310,16479
2005/08/22,23125,16570
2005/08/23,23090,16550
2005/08/24,22925,16070
2005/08/25,22875,16007
2005/08/26,22701,15925
2005/08/29,22995,15740
2005/08/30,22652,16025
2005/08/31,22650,16200
2005/09/01,22780,16270
2005/09/02,23000,16450
2005/09/05,22751,16550
2005/09/06,23050,16800
2005/09/07,23000,16799
2005/09/08,23200,16625
2005/09/09,23905,16641
2005/09/12,24600,16700
2005/09/13,24550,16576
2005/09/14,24995,16815
2005/09/15,25527,17045
2005/09/16,27000,17850
2005/09/19,27870,18245
2005/09/20,27400,18286
2005/09/21,27785,18525
2005/09/22,27300,18270
2005/09/23,26850,18351
2005/09/26,27045,18950
2005/09/27,27501,18580
2005/09/28,26770,19175
2005/09/29,27600,18950
2005/09/30,27590,19100
2005/10/03,26840,18685
2005/10/04,27125,18775
2005/10/05,26815,18401
2005/10/06,27100,18850
2005/10/07,27615,18685
2005/10/10,28500,18575
2005/10/11,28600,18900
2005/10/12,28390,19000
2005/10/13,27100,18450
2005/10/14,26520,18100
2005/10/17,27720,18285
2005/10/18,27810,18200
2005/10/19,27410,17951
2005/10/20,27050,18040
2005/10/21,26480,17775
2005/10/24,27500,18499
2005/10/25,28545,18645
2005/10/26,28785,19470
2005/10/27,27545,19701
2005/10/28,26305,19475
2005/10/31,26750,19670
2005/11/01,26290,19705
2005/11/02,26190,19500
2005/11/03,26595,19950
2005/11/04,26295,19980
2005/11/07,26414,19885
2005/11/08,26110,20021
2005/11/09,26590,20010
2005/11/10,27795,20500
2005/11/11,27595,20599
2005/11/14,28440,21165
2005/11/15,28348,21021
2005/11/16,28450,20605
2005/11/17,29300,20840
2005/11/18,28975,21190
2005/11/21,29160,20950
2005/11/22,29505,20960
2005/11/23,28435,20685
2005/11/24,27949,21280
2005/11/25,28606,21000
2005/11/28,28405,20730
2005/11/29,27806,20525
2005/11/30,27845,20210
2005/12/01,27735,20230
2005/12/02,27895,20311
2005/12/05,27401,20100
2005/12/06,27444,20149
2005/12/07,28739,20499
2005/12/08,29600,20420
2005/12/09,30355,21120
2005/12/12,30595,21450
2005/12/13,29006,21061
2005/12/14,29197,21035
2005/12/15,29889,21300
2005/12/19,30750,21390
2005/12/20,29700,21074
2005/12/21,29500,21389
2005/12/22,30695,21425
2005/12/23,31200,21415
2005/12/27,30945,21877
2005/12/28,30600,21510
2005/12/29,31099,21480
2005/12/30,31400,21370
2006/01/03,31790,21860
2006/01/04,32125,22025
2006/01/05,31545,21610
2006/01/06,32010,21571
2006/01/09,32945,21700
2006/01/10,32500,21010
2006/01/11,32500,20910
2006/01/12,32306,21250
2006/01/13,32445,21015
2006/01/16,32715,21000
2006/01/17,33205,21200
2006/01/18,33095,21095
2006/01/19,33500,21070
2006/01/20,34000,21490
2006/01/23,33700,21220
2006/01/24,34400,21465
2006/01/25,35070,22026
2006/01/26,35205,22695
2006/01/27,37100,23628
2006/01/30,36900,23420
2006/01/31,37100,23450
2006/02/01,37545,23700
2006/02/02,37840,23750
2006/02/03,36380,22856
2006/02/06,37050,23150
2006/02/07,36375,22775
2006/02/08,35400,21830
2006/02/09,37175,22100
2006/02/10,36794,22050
2006/02/13,35600,21700
2006/02/14,34525,21755
2006/02/15,34000,21490
2006/02/16,32850,21055
2006/02/17,33600,22600
2006/02/20,32699,22185
2006/02/21,33025,22750
2006/02/22,33240,23150
2006/02/23,33100,23235
2006/02/24,32655,23001
2006/02/27,33200,23400
2006/02/28,31801,22820
2006/03/02,31206,23100
2006/03/03,32051,23210
2006/03/06,31450,22775
2006/03/07,30800,21500
2006/03/08,30800,21364
2006/03/09,30850,21465
2006/03/10,29500,20950
2006/03/13,30395,21190
2006/03/14,31000,21515
2006/03/15,31500,22200
2006/03/16,31500,22175
2006/03/17,31000,22220
2006/03/20,31300,22840
2006/03/22,30770,22250
2006/03/23,30400,22626
2006/03/24,30425,23200
2006/03/27,32300,23499
2006/03/28,32700,23481
2006/03/29,32500,23460
2006/03/30,33200,24150
2006/03/31,32800,23680
2006/04/03,33750,24110
2006/04/04,32595,24425
2006/04/05,32321,24925
2006/04/06,32550,25200
2006/04/07,32290,24757
2006/04/10,31502,25415
2006/04/11,31700,25970
2006/04/12,30605,25515
2006/04/13,30900,25315
2006/04/18,31900,25787
2006/04/19,32277,26202
2006/04/20,31999,25760
2006/04/21,31960,26400
2006/04/24,31900,26749
2006/04/25,32250,26200
2006/04/26,32800,26605
2006/04/28,32601,25900
2006/05/02,33109,26553
2006/05/03,32920,26400
2006/05/04,34017,26850
2006/05/05,33700,27701
2006/05/08,32389,27900
2006/05/09,33600,28255
2006/05/10,34600,28450
2006/05/11,34595,28870
2006/05/12,34400,28410
2006/05/15,32205,27300
2006/05/16,31500,26531
2006/05/17,32200,25706
2006/05/18,31980,25400
2006/05/19,30580,25010
2006/05/22,30000,23671
2006/05/23,31040,25551
2006/05/24,30000,25050
2006/05/25,30422,25200
2006/05/26,30500,26400
2006/05/29,30800,26639
2006/05/30,31006,26250
2006/05/31,30900,26745
2006/06/01,30225,25800
2006/06/02,31400,26520
2006/06/05,31650,26269
2006/06/06,29651,24950
2006/06/07,28801,24522
2006/06/08,27420,23000
2006/06/09,28143,24085
2006/06/12,27702,24025
2006/06/13,25751,23000
2006/06/14,27474,23500
2006/06/15,27675,25000
2006/06/19,29799,25535
2006/06/20,29910,27000
2006/06/21,30855,27791
2006/06/22,31750,27869
2006/06/23,32575,28200
2006/06/26,33350,28850
2006/06/27,33250,28000
2006/06/28,32299,27480
2006/06/29,32625,28699
2006/06/30,35499,29322
2006/07/03,34910,29200
2006/07/04,35000,29100
2006/07/05,34000,28600
2006/07/06,34900,29150
2006/07/07,34880,29750
2006/07/10,34440,29250
2006/07/11,34925,29152
2006/07/12,36040,29567
2006/07/13,34101,28900
2006/07/14,34100,28500
2006/07/17,33800,27801
2006/07/18,33600,27475
2006/07/19,34750,28668
2006/07/20,34089,27935
2006/07/21,33154,27550
2006/07/24,32225,27599
2006/07/25,32425,27751
2006/07/26,33490,27769
2006/07/27,33500,28440
2006/07/28,32700,28720
2006/07/31,33175,29000
2006/08/01,33300,28772
2006/08/02,34800,28999
2006/08/03,34500,28999
2006/08/04,34511,30200
2006/08/07,33802,29600
2006/08/08,34300,29650
2006/08/10,34200,29400
2006/08/11,34240,29700
2006/08/14,33475,30097
2006/08/15,33499,30440
2006/08/16,34231,30495
2006/08/17,34100,31145
2006/08/18,33295,31050
2006/08/21,34600,31976
2006/08/22,35055,32500
2006/08/23,34401,32054
2006/08/24,34450,31850
2006/08/25,34000,31705
2006/08/28,33625,31851
2006/08/29,32425,30805
2006/08/30,32680,31420
2006/08/31,32689,31075
2006/09/01,33050,31965
2006/09/04,33600,32600
2006/09/05,33950,32465
2006/09/06,35053,31780
2006/09/07,33050,30891
2006/09/08,32375,30425
2006/09/11,29916,29101
2006/09/12,29680,29370
2006/09/13,29300,29600
2006/09/14,29532,30255
2006/09/15,29000,29221
2006/09/18,29000,29650
2006/09/19,28700,29575
2006/09/20,28700,29950
2006/09/21,28990,30861
2006/09/22,29475,31268
2006/09/26,29699,31000
2006/09/27,29550,31701
2006/09/28,29495,32700
2006/09/29,29120,32250
2006/10/02,29690,33515
2006/10/03,28422,32560
2006/10/04,28506,32822
2006/10/05,29125,32600
2006/10/06,29075,32475
2006/10/09,29500,33300
2006/10/10,29295,33390
2006/10/11,29200,33150
2006/10/12,28650,33197
2006/10/13,29200,33205
2006/10/16,29000,33825
2006/10/17,29216,33980
2006/10/18,29625,33793
2006/10/19,29260,34291
2006/10/20,30300,34249
2006/10/23,30740,34566
2006/10/24,31465,34355
2006/10/25,32041,34405
2006/10/26,31690,33650
2006/10/27,31074,33650
2006/10/30,31975,33698
2006/10/31,31260,33500
2006/11/01,31475,33900
2006/11/02,31600,34021
2006/11/03,31800,33850
2006/11/06,32250,34600
2006/11/07,31725,34841
2006/11/08,32100,34350
2006/11/09,31825,33730
2006/11/10,32250,34398
2006/11/13,31460,33545
2006/11/14,32225,33500
2006/11/15,31740,33918
2006/11/16,31605,33526
2006/11/17,30251,32675
2006/11/20,31699,33750
2006/11/21,32200,33600
2006/11/22,32701,33569
2006/11/23,32600,33000
2006/11/24,33550,33551
2006/11/27,33695,33101
2006/11/28,33750,32820
2006/11/29,33566,32650
2006/11/30,34350,33250
2006/12/01,34555,33330
2006/12/04,34100,33625
2006/12/05,33700,34601
2006/12/06,32999,34200
2006/12/07,32374,33950
2006/12/08,33398,33375
2006/12/11,33000,33382
2006/12/12,32280,33325
2006/12/13,32300,33500
2006/12/14,32587,34207
2006/12/15,32500,34420
2006/12/18,32450,33622
2006/12/19,32202,33869
2006/12/20,32280,34103
2006/12/21,32450,33900
2006/12/22,31845,33425
2006/12/27,33010,33956
2006/12/28,33399,34305
2006/12/29,32999,34200
2007/01/02,33600,34645
2007/01/03,32800,33315
