Date,BHP Bill,Anglo American
2004/05/12,5350,13350
2004/05/13,5352,13350
2004/05/14,5161,12760
2004/05/17,5230,12720
2004/05/18,5220,12750
2004/05/19,5550,13600
2004/05/20,5410,13230
2004/05/21,5585,13555
2004/05/24,5451,13250
2004/05/25,5418,13365
2004/05/26,5525,13650
2004/05/27,5591,13921
2004/05/28,5502,13560
2004/05/31,5550,13799
2004/06/01,5450,13630
2004/06/02,5390,13501
2004/06/03,5250,13310
2004/06/04,5267,13330
2004/06/07,5421,13720
2004/06/08,5542,13975
2004/06/09,5481,13660
2004/06/10,5401,13499
2004/06/11,5351,13280
2004/06/14,5320,13190
2004/06/15,5255,13101
2004/06/17,5451,13302
2004/06/18,5460,13191
2004/06/21,5400,13000
2004/06/22,5308,12751
2004/06/23,5215,12520
2004/06/24,5370,13050
2004/06/25,5510,13200
2004/06/28,5425,13040
2004/06/29,5419,12940
2004/06/30,5382,12710
2004/07/01,5385,12624
2004/07/02,5325,12301
2004/07/05,5420,12575
2004/07/06,5500,12505
2004/07/07,5470,12400
2004/07/08,5439,12216
2004/07/09,5580,12650
2004/07/12,5580,12579
2004/07/13,5652,12930
2004/07/14,5552,12605
2004/07/15,5635,12765
2004/07/16,5565,12610
2004/07/19,5485,12360
2004/07/20,5404,12350
2004/07/21,5585,12702
2004/07/22,5415,12300
2004/07/23,5410,12550
2004/07/26,5461,12670
2004/07/27,5530,12785
2004/07/28,5629,12920
2004/07/29,5725,13011
2004/07/30,5735,13320
2004/08/02,5760,13401
2004/08/03,5875,13575
2004/08/04,5900,13600
2004/08/05,5870,13550
2004/08/06,5730,13140
2004/08/10,5675,12920
2004/08/11,5714,13030
2004/08/12,5974,13964
2004/08/13,6060,14340
2004/08/16,6300,14940
2004/08/17,6270,14835
2004/08/18,6130,14765
2004/08/19,6360,15140
2004/08/20,6379,15070
2004/08/23,6545,15580
2004/08/24,6349,15069
2004/08/25,6201,14765
2004/08/26,6220,14795
2004/08/27,6374,15171
2004/08/30,6290,15200
2004/08/31,6215,15080
2004/09/01,6240,14995
2004/09/02,6220,14875
2004/09/03,6230,14850
2004/09/06,6225,15040
2004/09/07,6105,14690
2004/09/08,6198,14849
2004/09/09,6188,14900
2004/09/10,6142,14900
2004/09/13,6160,14800
2004/09/14,6139,14700
2004/09/15,6130,14505
2004/09/16,6365,14899
2004/09/17,6550,15220
2004/09/20,6430,15000
2004/09/21,6515,15031
2004/09/22,6535,15165
2004/09/23,6470,14910
2004/09/27,6425,14632
2004/09/28,6775,15170
2004/09/29,6850,15270
2004/09/30,6800,15400
2004/10/01,6945,15599
2004/10/04,6795,15190
2004/10/05,6920,15260
2004/10/06,6980,15460
2004/10/07,7215,15850
2004/10/08,7266,15765
2004/10/11,7180,15550
2004/10/12,7026,15200
2004/10/13,6780,14796
2004/10/14,6752,14890
2004/10/15,6700,14780
2004/10/18,6550,14465
2004/10/19,6390,14094
2004/10/20,6385,13849
2004/10/21,6461,13930
2004/10/22,6430,13581
2004/10/25,6450,13700
2004/10/26,6595,14200
2004/10/27,6540,13920
2004/10/28,6200,13302
2004/10/29,6223,13390
2004/11/01,6369,13575
2004/11/02,6333,13721
2004/11/03,6365,13601
2004/11/04,6325,13585
2004/11/05,6485,14000
2004/11/08,6375,13751
2004/11/09,6542,14100
2004/11/10,6624,14327
2004/11/11,6670,14570
2004/11/12,6530,14110
2004/11/15,6560,14300
2004/11/16,6490,14200
2004/11/17,6521,14210
2004/11/18,6630,14400
2004/11/19,6660,14370
2004/11/22,6500,13955
2004/11/23,6680,14000
2004/11/24,6760,13940
2004/11/25,6785,13930
2004/11/26,6800,14000
2004/11/29,6751,14170
2004/11/30,6725,13850
2004/12/01,6815,14030
2004/12/02,6798,14100
2004/12/03,6600,13799
2004/12/06,6502,13300
2004/12/07,6510,13330
2004/12/08,6400,13220
2004/12/09,6325,13100
2004/12/10,6301,13060
2004/12/13,6295,12950
2004/12/14,6390,12950
2004/12/15,6385,12895
2004/12/17,6520,13000
2004/12/20,6649,13200
2004/12/21,6585,13280
2004/12/22,6555,13300
2004/12/23,6525,13110
2004/12/24,6560,13300
2004/12/28,6575,13235
2004/12/29,6545,13267
2004/12/30,6640,13350
2004/12/31,6600,13350
2005/01/03,6650,13451
2005/01/04,6530,13300
2005/01/05,6482,13457
2005/01/06,6799,13970
2005/01/07,6685,13785
2005/01/10,6610,13775
2005/01/11,6750,13784
2005/01/12,6810,13895
2005/01/13,6880,13800
2005/01/14,7035,13931
2005/01/17,7185,13960
2005/01/18,7215,14180
2005/01/19,7101,13935
2005/01/20,7065,13865
2005/01/21,7143,13799
2005/01/24,7220,13855
2005/01/25,7220,13801
2005/01/26,7310,13895
2005/01/27,7375,13800
2005/01/28,7250,13800
2005/01/31,7291,13800
2005/02/01,7657,14440
2005/02/02,7778,14915
2005/02/03,7795,14840
2005/02/04,7715,14750
2005/02/07,7866,15121
2005/02/08,7811,15300
2005/02/09,7691,15150
2005/02/10,7709,15150
2005/02/11,7668,14960
2005/02/14,7750,15045
2005/02/15,7775,15011
2005/02/16,8035,14999
2005/02/17,8168,15020
2005/02/18,8150,15101
2005/02/21,8170,15161
2005/02/22,7950,14675
2005/02/23,8110,14320
2005/02/24,8250,14311
2005/02/25,8470,14400
2005/02/28,8620,14550
2005/03/01,8502,14540
2005/03/02,8330,14600
2005/03/03,8467,14850
2005/03/04,8511,14875
2005/03/07,8352,14500
2005/03/08,8200,14310
2005/03/09,8381,14250
2005/03/10,8420,14300
2005/03/11,8310,14149
2005/03/14,8470,14229
2005/03/15,8465,14495
2005/03/16,8629,14880
2005/03/17,8875,15180
2005/03/18,8832,14811
2005/03/22,8625,14751
2005/03/23,8432,14700
2005/03/24,8260,14600
2005/03/29,8265,14730
2005/03/30,8303,14652
2005/03/31,8385,14720
