Date,Coronation,PSG
2004/05/12,360,275
2004/05/13,350,275
2004/05/14,350,270
2004/05/17,345,270
2004/05/18,345,265
2004/05/19,345,270
2004/05/20,340,265
2004/05/21,340,260
2004/05/24,335,256
2004/05/25,330,260
2004/05/26,313,258
2004/05/27,320,267
2004/05/28,320,265
2004/05/31,320,262
2004/06/01,325,262
2004/06/02,325,260
2004/06/03,320,261
2004/06/04,320,261
2004/06/07,320,265
2004/06/08,326,270
2004/06/09,330,275
2004/06/10,330,285
2004/06/11,335,290
2004/06/14,335,290
2004/06/15,320,285
2004/06/17,310,285
2004/06/18,320,290
2004/06/21,310,294
2004/06/22,308,290
2004/06/23,300,290
2004/06/24,300,298
2004/06/25,300,300
2004/06/28,310,295
2004/06/29,303,297
2004/06/30,320,310
2004/07/01,320,305
2004/07/02,330,305
2004/07/05,330,295
2004/07/06,333,305
2004/07/07,330,305
2004/07/08,320,300
2004/07/09,310,305
2004/07/12,310,301
2004/07/13,310,308
2004/07/14,310,301
2004/07/15,310,309
2004/07/16,310,309
2004/07/19,310,305
2004/07/20,320,315
2004/07/21,315,320
2004/07/22,320,315
2004/07/23,321,310
2004/07/26,335,305
2004/07/27,340,301
2004/07/28,361,304
2004/07/29,370,303
2004/07/30,375,310
2004/08/02,370,315
2004/08/03,370,315
2004/08/04,370,322
2004/08/05,398,340
2004/08/06,385,330
2004/08/10,380,326
2004/08/11,385,325
2004/08/12,385,340
2004/08/13,370,340
2004/08/16,360,335
2004/08/17,330,340
2004/08/18,350,345
2004/08/19,340,335
2004/08/20,330,310
2004/08/23,330,325
2004/08/24,330,332
2004/08/25,330,335
2004/08/26,340,335
2004/08/27,340,335
2004/08/30,345,335
2004/08/31,350,350
2004/09/01,345,316
2004/09/02,345,345
2004/09/03,345,350
2004/09/06,345,355
2004/09/07,350,350
2004/09/08,349,340
2004/09/09,350,345
2004/09/10,345,348
2004/09/13,348,345
2004/09/14,343,340
2004/09/15,340,342
2004/09/16,340,350
2004/09/17,330,350
2004/09/20,329,350
2004/09/21,325,360
2004/09/22,320,365
2004/09/23,321,375
2004/09/27,326,375
2004/09/28,325,375
2004/09/29,345,360
2004/09/30,350,365
2004/10/01,350,365
2004/10/04,365,360
2004/10/05,370,365
2004/10/06,370,395
2004/10/07,370,375
2004/10/08,385,400
2004/10/11,370,440
2004/10/12,376,450
2004/10/13,375,440
2004/10/14,375,450
2004/10/15,384,435
2004/10/18,375,445
2004/10/19,385,460
2004/10/20,375,455
2004/10/21,370,450
2004/10/22,375,440
2004/10/25,375,440
2004/10/26,375,445
2004/10/27,375,440
2004/10/28,380,440
2004/10/29,390,440
2004/11/01,400,435
2004/11/02,400,445
2004/11/03,400,453
2004/11/04,405,470
2004/11/05,405,456
2004/11/08,410,470
2004/11/09,440,476
2004/11/10,445,480
2004/11/11,421,482
2004/11/12,422,485
2004/11/15,440,500
2004/11/16,440,520
2004/11/17,440,525
2004/11/18,440,520
2004/11/19,440,520
2004/11/22,440,525
2004/11/23,439,525
2004/11/24,439,530
2004/11/25,430,528
2004/11/26,415,530
2004/11/29,430,530
2004/11/30,435,542
2004/12/01,450,545
2004/12/02,435,545
2004/12/03,445,545
2004/12/06,418,555
2004/12/07,399,560
2004/12/08,410,550
2004/12/09,410,560
2004/12/10,385,560
2004/12/13,400,570
2004/12/14,390,590
2004/12/15,385,595
2004/12/17,390,625
2004/12/20,385,627
2004/12/21,380,680
2004/12/22,381,655
2004/12/23,382,680
2004/12/24,385,680
2004/12/28,392,690
2004/12/29,386,700
2004/12/30,395,700
2004/12/31,400,700
2005/01/03,400,698
2005/01/04,400,690
2005/01/05,396,695
2005/01/06,420,680
2005/01/07,412,675
2005/01/10,410,675
2005/01/11,415,670
2005/01/12,410,665
2005/01/13,420,665
2005/01/14,420,675
2005/01/17,420,675
2005/01/18,399,668
2005/01/19,396,660
2005/01/20,395,680
2005/01/21,385,670
2005/01/24,385,650
2005/01/25,388,650
2005/01/26,405,650
2005/01/27,410,668
2005/01/28,404,665
2005/01/31,402,670
2005/02/01,402,670
2005/02/02,400,675
2005/02/03,405,692
2005/02/04,390,699
2005/02/07,390,700
2005/02/08,382,696
2005/02/09,385,675
2005/02/10,400,685
2005/02/11,400,680
2005/02/14,400,675
2005/02/15,400,675
2005/02/16,404,680
2005/02/17,404,680
2005/02/18,405,680
2005/02/21,406,685
2005/02/22,405,695
2005/02/23,405,700
2005/02/24,407,700
2005/02/25,400,700
2005/02/28,398,700
2005/03/01,388,685
2005/03/02,384,670
2005/03/03,395,670
2005/03/04,385,686
2005/03/07,390,700
2005/03/08,390,700
2005/03/09,390,700
2005/03/10,395,690
2005/03/11,395,690
2005/03/14,390,695
2005/03/15,390,690
2005/03/16,390,695
2005/03/17,380,685
2005/03/18,370,690
2005/03/22,362,660
2005/03/23,365,640
2005/03/24,370,630
2005/03/29,370,640
2005/03/30,355,620
2005/03/31,370,655
2005/04/01,370,650
2005/04/04,375,675
2005/04/05,375,680
2005/04/06,370,690
2005/04/07,360,685
2005/04/08,371,680
2005/04/11,371,685
2005/04/12,390,685
2005/04/13,400,660
2005/04/14,405,660
2005/04/15,395,665
2005/04/18,373,660
2005/04/19,365,665
2005/04/20,355,660
2005/04/21,360,660
2005/04/22,375,660
2005/04/25,374,650
2005/04/26,361,650
2005/04/28,355,670
2005/04/29,350,673
2005/05/03,370,670
2005/05/04,370,681
2005/05/05,365,690
2005/05/06,365,700
2005/05/09,365,695
2005/05/10,375,715
2005/05/11,387,745
2005/05/12,390,750
2005/05/13,385,750
2005/05/16,373,750
2005/05/17,380,725
2005/05/18,390,735
2005/05/19,380,750
2005/05/20,400,773
2005/05/23,400,760
2005/05/24,400,780
2005/05/25,400,809
2005/05/26,400,829
2005/05/27,410,845
2005/05/30,419,820
2005/05/31,420,800
2005/06/01,410,780
2005/06/02,420,804
2005/06/03,410,800
2005/06/06,415,790
2005/06/07,415,790
2005/06/08,415,790
2005/06/09,415,795
2005/06/10,422,805
2005/06/13,420,812
2005/06/14,417,810
2005/06/15,405,810
2005/06/17,410,820
2005/06/20,410,822
2005/06/21,410,830
2005/06/22,411,835
2005/06/23,410,835
2005/06/24,410,835
2005/06/27,385,830
2005/06/28,395,830
2005/06/29,405,847
2005/06/30,395,845
2005/07/01,395,820
2005/07/04,395,800
2005/07/05,390,800
2005/07/06,395,800
2005/07/07,400,805
2005/07/08,400,800
2005/07/11,405,802
2005/07/12,420,811
2005/07/13,425,850
2005/07/14,426,845
2005/07/15,425,840
2005/07/18,430,855
2005/07/19,435,875
2005/07/20,431,880
2005/07/21,420,860
2005/07/22,425,865
2005/07/25,450,860
2005/07/26,450,822
2005/07/27,450,860
2005/07/28,456,847
2005/07/29,455,870
2005/08/01,450,875
2005/08/02,455,895
2005/08/03,460,885
2005/08/04,480,900
2005/08/05,480,900
2005/08/08,490,920
2005/08/10,495,980
2005/08/11,497,980
2005/08/12,495,945
2005/08/15,495,945
2005/08/16,495,944
2005/08/17,485,940
2005/08/18,475,910
2005/08/19,485,920
2005/08/22,480,940
2005/08/23,490,951
2005/08/24,485,910
2005/08/25,470,905
2005/08/26,465,916
2005/08/29,460,910
2005/08/30,470,910
2005/08/31,470,925
2005/09/01,479,954
2005/09/02,480,1030
2005/09/05,481,1035
2005/09/06,500,1060
2005/09/07,501,1065
2005/09/08,500,1050
2005/09/09,501,1070
2005/09/12,500,1075
2005/09/13,490,1070
2005/09/14,500,1060
2005/09/15,515,1065
2005/09/16,520,1065
2005/09/19,523,1080
2005/09/20,520,1091
2005/09/21,525,1150
2005/09/22,540,1160
2005/09/23,538,1200
2005/09/26,545,1250
2005/09/27,545,1230
2005/09/28,545,1230
2005/09/29,530,1235
2005/09/30,550,1230
2005/10/03,535,1240
2005/10/04,539,1260
2005/10/05,535,1265
2005/10/06,530,1255
2005/10/07,525,1216
2005/10/10,503,1229
2005/10/11,520,1195
2005/10/12,510,1126
2005/10/13,500,1076
2005/10/14,510,1021
2005/10/17,540,1059
2005/10/18,530,1070
2005/10/19,500,1050
2005/10/20,506,1040
2005/10/21,517,1030
2005/10/24,515,1000
2005/10/25,505,1100
2005/10/26,550,1065
2005/10/27,540,1095
2005/10/28,539,1109
2005/10/31,545,1125
2005/11/01,550,1149
2005/11/02,545,1130
2005/11/03,555,1140
2005/11/04,565,1130
2005/11/07,590,1175
2005/11/08,581,1181
2005/11/09,580,1190
2005/11/10,575,1190
2005/11/11,575,1200
2005/11/14,585,1190
2005/11/15,575,1180
2005/11/16,559,1175
2005/11/17,570,1170
2005/11/18,570,1140
2005/11/21,560,1139
2005/11/22,558,1100
2005/11/23,550,1100
2005/11/24,550,1105
2005/11/25,535,1140
2005/11/28,545,1155
2005/11/29,520,1165
2005/11/30,515,1170
2005/12/01,515,1185
2005/12/02,515,1195
2005/12/05,515,1190
2005/12/06,520,1200
2005/12/07,520,1200
2005/12/08,506,1235
2005/12/09,508,1250
2005/12/12,520,1330
2005/12/13,535,1329
2005/12/14,530,1290
2005/12/15,530,1325
2005/12/19,535,1320
2005/12/20,538,1350
2005/12/21,545,1375
2005/12/22,540,1400
2005/12/23,545,1500
2005/12/27,555,1575
2005/12/28,545,1575
2005/12/29,543,1600
2005/12/30,550,1650
2006/01/03,555,1605
2006/01/04,556,1535
2006/01/05,575,1570
2006/01/06,575,1565
2006/01/09,589,1520
2006/01/10,595,1532
2006/01/11,635,1530
2006/01/12,629,1561
2006/01/13,610,1599
2006/01/16,620,1580
2006/01/17,602,1560
2006/01/18,610,1566
2006/01/19,625,1571
2006/01/20,605,1650
2006/01/23,620,1610
2006/01/24,615,1660
2006/01/25,610,1690
2006/01/26,612,1700
2006/01/27,615,1700
2006/01/30,620,1705
2006/01/31,620,1705
2006/02/01,620,1701
2006/02/02,620,1740
2006/02/03,620,1735
2006/02/06,600,1790
2006/02/07,600,1790
2006/02/08,600,1750
2006/02/09,604,1758
2006/02/10,605,1750
2006/02/13,600,1750
2006/02/14,600,1760
2006/02/15,601,1782
2006/02/16,600,1796
2006/02/17,610,1800
2006/02/20,605,1830
2006/02/21,607,1875
2006/02/22,610,1990
2006/02/23,615,2051
2006/02/24,615,2102
2006/02/27,625,2200
2006/02/28,625,2266
