Date,Coronation,Brait
2004/05/12,360,695
2004/05/13,350,695
2004/05/14,350,690
2004/05/17,345,700
2004/05/18,345,686
2004/05/19,345,685
2004/05/20,340,690
2004/05/21,340,690
2004/05/24,335,690
2004/05/25,330,685
2004/05/26,313,685
2004/05/27,320,685
2004/05/28,320,685
2004/05/31,320,690
2004/06/01,325,680
2004/06/02,325,680
2004/06/03,320,685
2004/06/04,320,685
2004/06/07,320,701
2004/06/08,326,715
2004/06/09,330,740
2004/06/10,330,754
2004/06/11,335,760
2004/06/14,335,745
2004/06/15,320,717
2004/06/17,310,716
2004/06/18,320,720
2004/06/21,310,720
2004/06/22,308,725
2004/06/23,300,711
2004/06/24,300,720
2004/06/25,300,710
2004/06/28,310,710
2004/06/29,303,720
2004/06/30,320,720
2004/07/01,320,720
2004/07/02,330,750
2004/07/05,330,740
2004/07/06,333,725
2004/07/07,330,725
2004/07/08,320,730
2004/07/09,310,730
2004/07/12,310,728
2004/07/13,310,730
2004/07/14,310,730
2004/07/15,310,725
2004/07/16,310,720
2004/07/19,310,720
2004/07/20,320,720
2004/07/21,315,718
2004/07/22,320,718
2004/07/23,321,715
2004/07/26,335,705
2004/07/27,340,701
2004/07/28,361,720
2004/07/29,370,720
2004/07/30,375,720
2004/08/02,370,716
2004/08/03,370,720
2004/08/04,370,718
2004/08/05,398,700
2004/08/06,385,700
2004/08/10,380,690
2004/08/11,385,689
2004/08/12,385,700
2004/08/13,370,700
2004/08/16,360,700
2004/08/17,330,700
2004/08/18,350,700
2004/08/19,340,700
2004/08/20,330,718
2004/08/23,330,704
2004/08/24,330,700
2004/08/25,330,706
2004/08/26,340,706
2004/08/27,340,720
2004/08/30,345,730
2004/08/31,350,720
2004/09/01,345,730
2004/09/02,345,728
2004/09/03,345,728
2004/09/06,345,730
2004/09/07,350,730
2004/09/08,349,730
2004/09/09,350,735
2004/09/10,345,740
2004/09/13,348,770
2004/09/14,343,780
2004/09/15,340,770
2004/09/16,340,770
2004/09/17,330,770
2004/09/20,329,755
