Date,Discovery,OldMutual
2004/05/12,1299,1136
2004/05/13,1325,1150
2004/05/14,1285,1115
2004/05/17,1285,1110
2004/05/18,1275,1102
2004/05/19,1285,1110
2004/05/20,1256,1111
2004/05/21,1250,1103
2004/05/24,1240,1095
2004/05/25,1220,1098
2004/05/26,1220,1125
2004/05/27,1234,1137
2004/05/28,1255,1137
2004/05/31,1284,1151
2004/06/01,1250,1130
2004/06/02,1261,1126
2004/06/03,1250,1131
2004/06/04,1265,1138
2004/06/07,1265,1155
2004/06/08,1271,1181
2004/06/09,1265,1192
2004/06/10,1260,1180
2004/06/11,1230,1175
2004/06/14,1268,1185
2004/06/15,1232,1160
2004/06/17,1250,1185
2004/06/18,1250,1170
2004/06/21,1258,1167
2004/06/22,1260,1165
2004/06/23,1255,1169
2004/06/24,1290,1166
2004/06/25,1275,1170
2004/06/28,1265,1167
2004/06/29,1245,1185
2004/06/30,1283,1165
2004/07/01,1300,1170
2004/07/02,1275,1160
2004/07/05,1300,1160
2004/07/06,1285,1165
2004/07/07,1285,1161
2004/07/08,1285,1139
2004/07/09,1299,1144
2004/07/12,1280,1139
2004/07/13,1299,1160
2004/07/14,1280,1132
2004/07/15,1280,1125
2004/07/16,1280,1112
2004/07/19,1250,1090
2004/07/20,1250,1101
2004/07/21,1250,1148
2004/07/22,1230,1140
2004/07/23,1229,1152
2004/07/26,1220,1151
2004/07/27,1230,1188
2004/07/28,1290,1206
2004/07/29,1295,1200
2004/07/30,1335,1189
2004/08/02,1320,1196
2004/08/03,1368,1200
2004/08/04,1330,1205
2004/08/05,1300,1192
2004/08/06,1310,1155
2004/08/10,1405,1166
2004/08/11,1331,1160
2004/08/12,1400,1170
2004/08/13,1400,1162
2004/08/16,1400,1197
2004/08/17,1400,1175
2004/08/18,1361,1171
2004/08/19,1380,1185
2004/08/20,1388,1195
2004/08/23,1400,1229
2004/08/24,1400,1234
2004/08/25,1399,1241
2004/08/26,1399,1250
2004/08/27,1410,1270
2004/08/30,1450,1265
2004/08/31,1495,1272
2004/09/01,1485,1270
2004/09/02,1485,1284
2004/09/03,1450,1295
2004/09/06,1440,1300
2004/09/07,1445,1278
2004/09/08,1430,1275
2004/09/09,1375,1270
2004/09/10,1355,1268
2004/09/13,1376,1275
2004/09/14,1385,1281
2004/09/15,1375,1276
2004/09/16,1370,1300
2004/09/17,1395,1288
2004/09/20,1397,1266
2004/09/21,1400,1275
2004/09/22,1440,1280
2004/09/23,1400,1271
2004/09/27,1400,1265
2004/09/28,1411,1275
2004/09/29,1440,1310
2004/09/30,1470,1328
2004/10/01,1500,1352
2004/10/04,1525,1358
2004/10/05,1530,1375
2004/10/06,1530,1367
2004/10/07,1550,1358
2004/10/08,1545,1345
2004/10/11,1540,1348
