Date,First Rand,Absa
2004/05/12,935,4450
2004/05/13,935,4500
2004/05/14,902,4320
2004/05/17,925,4450
2004/05/18,915,4349
2004/05/19,960,4475
2004/05/20,971,4580
2004/05/21,955,4575
2004/05/24,930,4470
2004/05/25,955,4435
2004/05/26,975,4502
2004/05/27,1012,4625
2004/05/28,1000,4700
2004/05/31,1018,4790
2004/06/01,1010,4780
2004/06/02,1005,4865
2004/06/03,996,4859
2004/06/04,1000,4850
2004/06/07,1010,4960
2004/06/08,1020,5050
2004/06/09,1020,5040
2004/06/10,1007,5003
2004/06/11,1000,4870
2004/06/14,1015,4875
2004/06/15,1011,4860
2004/06/17,1005,4935
2004/06/18,1014,5045
2004/06/21,1020,4985
2004/06/22,1005,5000
2004/06/23,1015,4930
2004/06/24,1024,4955
2004/06/25,1010,5035
2004/06/28,1008,5030
2004/06/29,1020,5045
2004/06/30,1019,5100
2004/07/01,1010,5025
2004/07/02,1000,5010
2004/07/05,1019,5040
2004/07/06,1010,5067
2004/07/07,1010,5000
2004/07/08,1008,4950
2004/07/09,997,4960
2004/07/12,1005,4973
2004/07/13,1031,5020
2004/07/14,1027,5130
2004/07/15,1042,5200
2004/07/16,1010,5130
2004/07/19,1000,5101
2004/07/20,995,5090
2004/07/21,1015,5161
2004/07/22,1008,5165
2004/07/23,1010,5180
2004/07/26,1005,5180
2004/07/27,1010,5215
2004/07/28,1012,5212
2004/07/29,995,5110
2004/07/30,1004,5107
2004/08/02,1000,5108
2004/08/03,1003,5060
2004/08/04,1003,5141
2004/08/05,995,5080
2004/08/06,982,5000
2004/08/10,980,5045
2004/08/11,975,5055
2004/08/12,996,5220
2004/08/13,987,5075
2004/08/16,984,5150
2004/08/17,979,5140
2004/08/18,983,5165
2004/08/19,980,5150
2004/08/20,990,5150
2004/08/23,1020,5250
2004/08/24,1036,5258
2004/08/25,1036,5270
2004/08/26,1050,5350
2004/08/27,1061,5480
2004/08/30,1055,5480
2004/08/31,1069,5510
2004/09/01,1080,5601
2004/09/02,1090,5700
2004/09/03,1098,5830
2004/09/06,1080,5755
2004/09/07,1084,5676
2004/09/08,1091,5650
2004/09/09,1112,5820
2004/09/10,1098,5830
2004/09/13,1110,5850
2004/09/14,1125,5835
2004/09/15,1124,5725
2004/09/16,1145,5860
2004/09/17,1160,6044
2004/09/20,1185,6100
2004/09/21,1180,6125
2004/09/22,1160,6050
2004/09/23,1173,6275
2004/09/27,1170,6290
2004/09/28,1180,6298
2004/09/29,1210,6410
2004/09/30,1212,6510
2004/10/01,1210,6450
2004/10/04,1193,6380
2004/10/05,1190,6325
2004/10/06,1200,6355
2004/10/07,1199,6390
2004/10/08,1180,6340
2004/10/11,1185,6400
2004/10/12,1160,6400
2004/10/13,1170,6498
2004/10/14,1185,6450
2004/10/15,1192,6500
2004/10/18,1190,6500
2004/10/19,1190,6515
2004/10/20,1185,6580
2004/10/21,1195,6550
2004/10/22,1196,6505
2004/10/25,1175,6455
2004/10/26,1210,6511
2004/10/27,1226,6540
2004/10/28,1220,6600
2004/10/29,1215,6700
2004/11/01,1250,6860
2004/11/02,1260,6730
2004/11/03,1237,6700
2004/11/04,1244,6670
2004/11/05,1265,6790
2004/11/08,1290,6835
2004/11/09,1270,6870
2004/11/10,1242,6750
2004/11/11,1240,6680
2004/11/12,1249,6635
2004/11/15,1249,6700
2004/11/16,1250,6732
2004/11/17,1266,6930
2004/11/18,1258,6940
2004/11/19,1240,6960
2004/11/22,1245,6870
2004/11/23,1230,6870
2004/11/24,1251,6900
2004/11/25,1300,7102
2004/11/26,1295,7240
2004/11/29,1320,7200
2004/11/30,1330,7035
2004/12/01,1340,7040
2004/12/02,1334,7200
2004/12/03,1325,7225
2004/12/06,1325,7200
2004/12/07,1309,7220
2004/12/08,1300,7052
2004/12/09,1290,7120
2004/12/10,1300,7225
2004/12/13,1325,7275
2004/12/14,1310,7276
2004/12/15,1320,7340
2004/12/17,1330,7432
2004/12/20,1340,7440
2004/12/21,1346,7405
2004/12/22,1357,7420
2004/12/23,1374,7470
2004/12/24,1350,7480
2004/12/28,1385,7480
2004/12/29,1377,7562
2004/12/30,1360,7655
2004/12/31,1335,7599
2005/01/03,1366,7685
2005/01/04,1395,7529
2005/01/05,1380,7350
2005/01/06,1320,7169
2005/01/07,1345,7180
2005/01/10,1342,7267
2005/01/11,1303,7260
2005/01/12,1325,7190
2005/01/13,1320,7138
2005/01/14,1313,7199
2005/01/17,1290,7280
2005/01/18,1260,7125
2005/01/19,1270,7200
2005/01/20,1263,7201
2005/01/21,1299,7250
2005/01/24,1300,7210
2005/01/25,1298,7280
2005/01/26,1310,7520
2005/01/27,1346,7600
2005/01/28,1345,7616
2005/01/31,1365,7639
2005/02/01,1352,7572
2005/02/02,1311,7460
2005/02/03,1330,7449
2005/02/04,1357,7390
2005/02/07,1315,7270
2005/02/08,1300,7200
2005/02/09,1330,7430
2005/02/10,1360,7560
2005/02/11,1359,7515
2005/02/14,1349,7540
2005/02/15,1363,7521
2005/02/16,1394,7430
2005/02/17,1395,7500
2005/02/18,1375,7645
2005/02/21,1370,7835
2005/02/22,1405,7800
2005/02/23,1399,7840
2005/02/24,1395,7900
2005/02/25,1410,7900
2005/02/28,1399,7949
2005/03/01,1385,8070
2005/03/02,1381,7940
2005/03/03,1395,7921
2005/03/04,1419,7920
2005/03/07,1405,8040
2005/03/08,1425,8100
2005/03/09,1430,8150
2005/03/10,1422,8000
2005/03/11,1400,7950
2005/03/14,1394,7891
2005/03/15,1380,7750
2005/03/16,1350,7699
2005/03/17,1315,7750
2005/03/18,1300,7780
2005/03/22,1326,7625
2005/03/23,1319,7600
2005/03/24,1318,7510
2005/03/29,1323,7450
2005/03/30,1320,7400
2005/03/31,1333,7540
2005/04/01,1373,7650
2005/04/04,1346,7705
2005/04/05,1318,7640
2005/04/06,1321,7555
2005/04/07,1318,7550
2005/04/08,1322,7550
2005/04/11,1304,7550
2005/04/12,1291,7600
2005/04/13,1285,7475
2005/04/14,1320,7550
2005/04/15,1315,7820
2005/04/18,1320,7700
2005/04/19,1325,7755
2005/04/20,1305,7651
2005/04/21,1324,7778
2005/04/22,1300,7601
2005/04/25,1305,7660
2005/04/26,1340,7820
2005/04/28,1300,7830
2005/04/29,1295,7780
2005/05/03,1316,7770
2005/05/04,1340,7815
2005/05/05,1361,7950
2005/05/06,1385,8000
2005/05/09,1400,8250
2005/05/10,1390,8250
2005/05/11,1412,8260
2005/05/12,1381,8290
2005/05/13,1392,8275
2005/05/16,1402,8300
2005/05/17,1367,8300
2005/05/18,1376,8251
2005/05/19,1382,8250
2005/05/20,1400,8256
2005/05/23,1360,8285
2005/05/24,1365,8240
2005/05/25,1390,8230
2005/05/26,1387,8200
2005/05/27,1386,8175
2005/05/30,1385,8220
2005/05/31,1368,8244
2005/06/01,1335,8240
2005/06/02,1335,8250
2005/06/03,1375,8261
2005/06/06,1410,8290
2005/06/07,1443,8345
2005/06/08,1445,8300
2005/06/09,1430,8300
2005/06/10,1454,8275
2005/06/13,1410,8290
2005/06/14,1395,8310
2005/06/15,1440,8338
2005/06/17,1453,8340
2005/06/20,1449,8155
2005/06/21,1450,8175
2005/06/22,1449,8170
2005/06/23,1430,8229
2005/06/24,1390,8190
2005/06/27,1387,8187
2005/06/28,1415,8203
2005/06/29,1422,8260
2005/06/30,1387,8248
2005/07/01,1390,8251
2005/07/04,1397,8250
2005/07/05,1396,8250
2005/07/06,1392,8245
2005/07/07,1400,8255
2005/07/08,1393,8254
2005/07/11,1423,8251
2005/07/12,1490,8300
2005/07/13,1501,8420
2005/07/14,1546,8761
2005/07/15,1480,8595
2005/07/18,1515,8700
2005/07/19,1550,8970
2005/07/20,1543,9100
2005/07/21,1545,9050
2005/07/22,1570,9050
2005/07/25,1582,9225
2005/07/26,1560,9299
2005/07/27,1591,9375
2005/07/28,1620,9400
2005/07/29,1585,9155
2005/08/01,1605,9316
2005/08/02,1630,9360
2005/08/03,1615,9370
2005/08/04,1602,9475
2005/08/05,1620,9571
2005/08/08,1660,10000
2005/08/10,1692,9915
2005/08/11,1695,9850
2005/08/12,1681,9701
2005/08/15,1659,9530
2005/08/16,1648,9275
2005/08/17,1604,9199
2005/08/18,1605,9180
2005/08/19,1624,9369
2005/08/22,1625,9496
2005/08/23,1639,9500
2005/08/24,1611,9485
2005/08/25,1586,9460
2005/08/26,1552,9512
2005/08/29,1545,9474
2005/08/30,1523,9300
2005/08/31,1520,9210
2005/09/01,1576,9245
2005/09/02,1615,9480
2005/09/05,1609,9700
2005/09/06,1616,9725
2005/09/07,1670,9825
2005/09/08,1640,9800
2005/09/09,1620,9660
2005/09/12,1640,9640
2005/09/13,1650,9480
2005/09/14,1675,9450
2005/09/15,1655,9325
2005/09/16,1680,9205
2005/09/19,1660,9140
2005/09/20,1647,9200
2005/09/21,1650,9200
2005/09/22,1627,9041
2005/09/23,1610,9000
2005/09/26,1647,9240
2005/09/27,1654,9220
2005/09/28,1657,9270
2005/09/29,1663,9425
2005/09/30,1695,9380
2005/10/03,1650,9100
2005/10/04,1645,8985
2005/10/05,1635,9120
2005/10/06,1602,8950
2005/10/07,1588,8900
2005/10/10,1612,8745
2005/10/11,1616,8840
2005/10/12,1611,8835
2005/10/13,1568,8650
2005/10/14,1551,8465
2005/10/17,1560,8770
2005/10/18,1550,8720
2005/10/19,1491,8525
2005/10/20,1530,8570
2005/10/21,1520,8500
2005/10/24,1570,8614
2005/10/25,1570,8640
2005/10/26,1589,8799
2005/10/27,1550,8600
2005/10/28,1545,8800
2005/10/31,1579,8900
2005/11/01,1624,8888
2005/11/02,1615,8915
2005/11/03,1635,9020
2005/11/04,1615,9026
2005/11/07,1635,9230
2005/11/08,1566,9000
2005/11/09,1600,8925
2005/11/10,1635,9000
2005/11/11,1665,9000
2005/11/14,1700,9120
2005/11/15,1660,9085
2005/11/16,1655,8920
2005/11/17,1670,8950
2005/11/18,1649,8930
2005/11/21,1625,8880
2005/11/22,1590,8900
2005/11/23,1602,9227
2005/11/24,1630,9318
2005/11/25,1605,9330
2005/11/28,1590,9300
2005/11/29,1603,9200
2005/11/30,1580,9180
2005/12/01,1561,9050
2005/12/02,1595,8900
2005/12/05,1625,9036
2005/12/06,1690,9285
2005/12/07,1760,9718
2005/12/08,1725,9625
2005/12/09,1725,9810
2005/12/12,1740,10000
2005/12/13,1755,9930
2005/12/14,1740,9950
2005/12/15,1802,9970
2005/12/19,1848,9900
2005/12/20,1850,9780
2005/12/21,1876,9900
2005/12/22,1882,10195
2005/12/23,1900,10170
2005/12/27,1945,10320
2005/12/28,1900,10130
2005/12/29,1900,10010
2005/12/30,1845,10100
2006/01/03,1895,10340
2006/01/04,1875,10346
2006/01/05,1831,10240
2006/01/06,1892,10501
2006/01/09,1900,10576
2006/01/10,1915,10655
2006/01/11,1965,11146
2006/01/12,1939,11140
2006/01/13,1947,11370
2006/01/16,1900,11205
2006/01/17,1845,10900
2006/01/18,1840,10770
2006/01/19,1935,11375
2006/01/20,1920,11270
2006/01/23,1909,11180
2006/01/24,1915,11200
2006/01/25,1911,11300
2006/01/26,1880,11252
2006/01/27,1900,11159
2006/01/30,1885,11059
2006/01/31,1935,11190
2006/02/01,1975,11410
2006/02/02,1984,11370
2006/02/03,1925,10900
2006/02/06,1999,10900
2006/02/07,1926,10875
2006/02/08,1870,10799
2006/02/09,1920,11000
2006/02/10,1904,11200
2006/02/13,1856,10820
2006/02/14,1821,10799
2006/02/15,1850,10985
2006/02/16,1910,11372
2006/02/17,1990,11851
2006/02/20,1990,11800
2006/02/21,2020,11800
2006/02/22,2015,11860
2006/02/23,2035,12099
2006/02/24,1970,11876
2006/02/27,1981,11940
2006/02/28,1870,11487
2006/03/02,1910,11460
2006/03/03,1886,11375
2006/03/06,1915,11350
2006/03/07,1778,11125
2006/03/08,1832,11270
2006/03/09,1940,11450
2006/03/10,1888,11450
2006/03/13,1920,11350
2006/03/14,1949,11365
2006/03/15,2000,11611
2006/03/16,2030,11625
2006/03/17,2040,11847
2006/03/20,2075,11860
2006/03/22,2060,11800
2006/03/23,2080,11900
2006/03/24,2078,11920
2006/03/27,2093,11900
2006/03/28,2025,11575
2006/03/29,2050,11475
2006/03/30,2080,11750
2006/03/31,2000,11600
2006/04/03,2038,11750
2006/04/04,1976,11500
2006/04/05,2005,11600
2006/04/06,1956,11725
2006/04/07,2010,11760
2006/04/10,2005,11901
2006/04/11,2015,12139
2006/04/12,1975,12125
2006/04/13,2020,12070
2006/04/18,2015,12250
2006/04/19,2043,12300
2006/04/20,2020,12400
2006/04/21,2010,12100
2006/04/24,1985,11949
2006/04/25,1970,11950
2006/04/26,1976,11911
2006/04/28,1980,11870
2006/05/02,1966,11821
2006/05/03,1935,11685
2006/05/04,1918,11876
2006/05/05,1930,11900
2006/05/08,1906,11825
2006/05/09,1925,11880
2006/05/10,1928,11890
2006/05/11,1905,11800
2006/05/12,1864,11680
2006/05/15,1813,11100
2006/05/16,1875,11225
2006/05/17,1880,11300
2006/05/18,1861,11075
2006/05/19,1819,11150
2006/05/22,1712,10733
2006/05/23,1780,11499
2006/05/24,1735,11194
2006/05/25,1780,11000
2006/05/26,1825,11200
2006/05/29,1850,11231
2006/05/30,1786,10902
2006/05/31,1771,11100
2006/06/01,1810,11100
2006/06/02,1875,11500
2006/06/05,1870,11225
2006/06/06,1780,10760
2006/06/07,1720,10330
2006/06/08,1620,9601
2006/06/09,1780,10600
2006/06/12,1723,10525
2006/06/13,1725,10508
2006/06/14,1755,10500
2006/06/15,1820,11000
2006/06/19,1820,11000
2006/06/20,1815,10800
2006/06/21,1765,10400
2006/06/22,1736,10000
2006/06/23,1645,9699
2006/06/26,1540,9100
2006/06/27,1552,9500
2006/06/28,1586,9375
2006/06/29,1651,9676
2006/06/30,1690,10030
2006/07/03,1769,10584
2006/07/04,1760,10590
2006/07/05,1700,10244
2006/07/06,1700,10100
2006/07/07,1719,10264
2006/07/10,1755,10400
2006/07/11,1711,10375
2006/07/12,1750,10558
2006/07/13,1685,10260
2006/07/14,1660,10020
2006/07/17,1591,9650
2006/07/18,1600,9650
2006/07/19,1656,9800
2006/07/20,1656,9800
2006/07/21,1655,9701
2006/07/24,1665,9759
2006/07/25,1670,9830
2006/07/26,1670,10000
2006/07/27,1715,10290
2006/07/28,1695,10301
2006/07/31,1727,10252
2006/08/01,1661,10070
2006/08/02,1649,10021
2006/08/03,1650,9720
2006/08/04,1670,9751
2006/08/07,1620,9600
2006/08/08,1630,9705
2006/08/10,1632,9691
2006/08/11,1641,9725
2006/08/14,1620,9720
2006/08/15,1620,9749
2006/08/16,1624,9800
2006/08/17,1689,9801
2006/08/18,1704,9800
2006/08/21,1711,9795
2006/08/22,1730,9895
2006/08/23,1720,9975
2006/08/24,1720,9820
2006/08/25,1730,9850
2006/08/28,1760,9720
2006/08/29,1792,9975
2006/08/30,1822,10355
2006/08/31,1785,10321
2006/09/01,1800,10405
2006/09/04,1840,10600
2006/09/05,1835,10535
2006/09/06,1805,10350
2006/09/07,1767,9950
2006/09/08,1750,9830
2006/09/11,1691,9505
2006/09/12,1712,9650
2006/09/13,1753,9850
2006/09/14,1721,9860
2006/09/15,1762,9780
2006/09/18,1810,9945
2006/09/19,1804,10050
2006/09/20,1800,10180
2006/09/21,1840,10300
2006/09/22,1795,9975
2006/09/26,1800,9965
2006/09/27,1775,9850
2006/09/28,1789,9950
2006/09/29,1770,9950
2006/10/02,1750,9680
2006/10/03,1750,9718
2006/10/04,1770,9690
2006/10/05,1795,9839
2006/10/06,1815,9870
2006/10/09,1821,9840
2006/10/10,1788,9830
2006/10/11,1785,9680
2006/10/12,1800,10059
2006/10/13,1850,10285
2006/10/16,1875,10601
2006/10/17,1852,10405
2006/10/18,1855,10481
2006/10/19,1840,10670
2006/10/20,1840,10650
2006/10/23,1815,10655
2006/10/24,1825,10780
2006/10/25,1835,10760
2006/10/26,1804,10650
2006/10/27,1811,10780
2006/10/30,1810,10830
2006/10/31,1927,11399
2006/11/01,1961,11520
2006/11/02,1930,11450
2006/11/03,1935,11325
2006/11/06,1977,11255
2006/11/07,1958,11378
2006/11/08,1980,11370
2006/11/09,1958,11195
2006/11/10,1939,11026
2006/11/13,1950,11250
2006/11/14,1935,11295
2006/11/15,1919,11185
2006/11/16,1899,11250
2006/11/17,1888,11230
2006/11/20,1901,11355
2006/11/21,1955,11681
2006/11/22,2008,11800
2006/11/23,2040,11980
2006/11/24,2030,12000
2006/11/27,2039,12000
2006/11/28,1955,11705
2006/11/29,1993,11599
2006/11/30,1977,11270
2006/12/01,1997,11490
2006/12/04,2002,11480
2006/12/05,1970,11405
2006/12/06,1965,11370
2006/12/07,1970,11304
2006/12/08,1970,11370
2006/12/11,1952,11450
2006/12/12,1945,11475
2006/12/13,1999,11750
2006/12/14,2043,11750
2006/12/15,2070,11830
2006/12/18,2080,11875
2006/12/19,2060,11900
2006/12/20,2152,12150
2006/12/21,2235,12400
2006/12/22,2255,12401
2006/12/27,2254,12615
2006/12/28,2230,12505
2006/12/29,2220,12510
2007/01/02,2219,12700
2007/01/03,2171,12600
2007/01/04,2115,12286
2007/01/05,2181,12370
2007/01/09,2310,12550
2007/01/10,2275,12439
2007/01/11,2265,12400
2007/01/12,2260,12550
2007/01/15,2310,13000
2007/01/16,2350,13310
2007/01/17,2350,13200
2007/01/18,2382,13505
2007/01/19,2319,13440
2007/01/22,2365,13756
2007/01/23,2365,13570
2007/01/24,2343,13450
2007/01/25,2291,13355
2007/01/26,2325,13275
2007/01/29,2282,13175
2007/01/30,2310,13500
2007/01/31,2300,13245
2007/02/01,2360,13590
2007/02/02,2337,13600
2007/02/05,2284,13300
2007/02/06,2358,13565
2007/02/07,2330,13360
2007/02/08,2242,13250
2007/02/09,2261,13140
2007/02/12,2282,13050
2007/02/13,2285,12990
2007/02/14,2250,12900
2007/02/15,2314,13250
2007/02/16,2380,13450
2007/02/19,2360,13597
2007/02/20,2350,13820
2007/02/21,2360,13802
2007/02/22,2455,13960
2007/02/23,2445,14060
2007/02/26,2467,14300
2007/02/27,2382,13820
2007/02/28,2395,13706
2007/03/01,2316,13450
2007/03/02,2300,13361
2007/03/05,2186,12902
2007/03/06,2210,13060
2007/03/07,2230,13150
2007/03/08,2299,13480
2007/03/09,2355,13870
2007/03/12,2350,13555
