Date,First Rand,RMB
2004/05/12,935,1412
2004/05/13,935,1460
2004/05/14,902,1415
2004/05/17,925,1450
2004/05/18,915,1405
2004/05/19,960,1482
2004/05/20,971,1501
2004/05/21,955,1513
2004/05/24,930,1490
2004/05/25,955,1508
2004/05/26,975,1531
2004/05/27,1012,1587
2004/05/28,1000,1570
2004/05/31,1018,1590
2004/06/01,1010,1585
2004/06/02,1005,1605
2004/06/03,996,1590
2004/06/04,1000,1592
2004/06/07,1010,1601
2004/06/08,1020,1600
2004/06/09,1020,1605
2004/06/10,1007,1586
2004/06/11,1000,1571
2004/06/14,1015,1614
2004/06/15,1011,1588
2004/06/17,1005,1600
2004/06/18,1014,1600
2004/06/21,1020,1600
2004/06/22,1005,1590
2004/06/23,1015,1589
2004/06/24,1024,1631
2004/06/25,1010,1590
2004/06/28,1008,1587
2004/06/29,1020,1600
2004/06/30,1019,1615
2004/07/01,1010,1611
2004/07/02,1000,1600
2004/07/05,1019,1610
2004/07/06,1010,1605
2004/07/07,1010,1610
2004/07/08,1008,1601
2004/07/09,997,1600
2004/07/12,1005,1595
2004/07/13,1031,1625
2004/07/14,1027,1641
2004/07/15,1042,1656
2004/07/16,1010,1590
2004/07/19,1000,1570
2004/07/20,995,1570
2004/07/21,1015,1610
2004/07/22,1008,1573
2004/07/23,1010,1590
2004/07/26,1005,1605
2004/07/27,1010,1610
2004/07/28,1012,1600
2004/07/29,995,1580
2004/07/30,1004,1609
2004/08/02,1000,1599
2004/08/03,1003,1598
2004/08/04,1003,1590
2004/08/05,995,1565
2004/08/06,982,1549
2004/08/10,980,1540
2004/08/11,975,1525
2004/08/12,996,1530
2004/08/13,987,1530
2004/08/16,984,1530
2004/08/17,979,1515
2004/08/18,983,1512
2004/08/19,980,1509
2004/08/20,990,1539
2004/08/23,1020,1580
2004/08/24,1036,1598
2004/08/25,1036,1600
2004/08/26,1050,1600
2004/08/27,1061,1620
2004/08/30,1055,1618
2004/08/31,1069,1615
2004/09/01,1080,1635
2004/09/02,1090,1665
2004/09/03,1098,1660
2004/09/06,1080,1650
2004/09/07,1084,1670
2004/09/08,1091,1679
2004/09/09,1112,1708
2004/09/10,1098,1699
2004/09/13,1110,1705
2004/09/14,1125,1708
2004/09/15,1124,1715
2004/09/16,1145,1735
2004/09/17,1160,1770
2004/09/20,1185,1810
2004/09/21,1180,1841
2004/09/22,1160,1810
2004/09/23,1173,1800
2004/09/27,1170,1815
2004/09/28,1180,1816
2004/09/29,1210,1897
2004/09/30,1212,1879
2004/10/01,1210,1880
2004/10/04,1193,1875
2004/10/05,1190,1845
2004/10/06,1200,1865
2004/10/07,1199,1840
2004/10/08,1180,1795
2004/10/11,1185,1820
2004/10/12,1160,1802
2004/10/13,1170,1815
2004/10/14,1185,1820
2004/10/15,1192,1850
2004/10/18,1190,1813
2004/10/19,1190,1845
2004/10/20,1185,1800
2004/10/21,1195,1850
2004/10/22,1196,1865
2004/10/25,1175,1789
2004/10/26,1210,1865
2004/10/27,1226,1867
2004/10/28,1220,1851
2004/10/29,1215,1880
2004/11/01,1250,1948
2004/11/02,1260,1930
2004/11/03,1237,1920
2004/11/04,1244,1945
2004/11/05,1265,1983
2004/11/08,1290,2020
2004/11/09,1270,1980
2004/11/10,1242,1950
2004/11/11,1240,1980
2004/11/12,1249,1980
2004/11/15,1249,1975
2004/11/16,1250,1975
2004/11/17,1266,1975
2004/11/18,1258,1981
2004/11/19,1240,1975
2004/11/22,1245,1965
2004/11/23,1230,1951
2004/11/24,1251,2000
2004/11/25,1300,2125
2004/11/26,1295,2100
2004/11/29,1320,2120
2004/11/30,1330,2100
2004/12/01,1340,2105
2004/12/02,1334,2165
2004/12/03,1325,2169
2004/12/06,1325,2150
2004/12/07,1309,2135
2004/12/08,1300,2105
2004/12/09,1290,2100
2004/12/10,1300,2100
2004/12/13,1325,2151
2004/12/14,1310,2160
2004/12/15,1320,2150
2004/12/17,1330,2190
2004/12/20,1340,2190
2004/12/21,1346,2185
2004/12/22,1357,2190
2004/12/23,1374,2190
2004/12/24,1350,2185
2004/12/28,1385,2185
2004/12/29,1377,2185
2004/12/30,1360,2190
2004/12/31,1335,2176
2005/01/03,1366,2210
2005/01/04,1395,2200
2005/01/05,1380,2200
2005/01/06,1320,2130
2005/01/07,1345,2120
2005/01/10,1342,2140
2005/01/11,1303,2120
2005/01/12,1325,2125
2005/01/13,1320,2125
2005/01/14,1313,2105
2005/01/17,1290,2091
2005/01/18,1260,2049
2005/01/19,1270,2050
2005/01/20,1263,2021
2005/01/21,1299,2060
2005/01/24,1300,2050
2005/01/25,1298,2040
2005/01/26,1310,2055
2005/01/27,1346,2095
2005/01/28,1345,2110
2005/01/31,1365,2150
2005/02/01,1352,2149
2005/02/02,1311,2120
2005/02/03,1330,2129
2005/02/04,1357,2125
2005/02/07,1315,2090
2005/02/08,1300,2050
2005/02/09,1330,2120
2005/02/10,1360,2150
2005/02/11,1359,2135
2005/02/14,1349,2115
2005/02/15,1363,2150
2005/02/16,1394,2160
2005/02/17,1395,2205
2005/02/18,1375,2181
2005/02/21,1370,2200
2005/02/22,1405,2200
2005/02/23,1399,2200
2005/02/24,1395,2180
2005/02/25,1410,2229
2005/02/28,1399,2175
2005/03/01,1385,2160
2005/03/02,1381,2165
2005/03/03,1395,2160
2005/03/04,1419,2210
2005/03/07,1405,2215
2005/03/08,1425,2215
2005/03/09,1430,2240
2005/03/10,1422,2215
2005/03/11,1400,2220
2005/03/14,1394,2239
2005/03/15,1380,2219
2005/03/16,1350,2160
2005/03/17,1315,2133
2005/03/18,1300,2116
2005/03/22,1326,2145
2005/03/23,1319,2076
2005/03/24,1318,2080
2005/03/29,1323,2075
2005/03/30,1320,2087
2005/03/31,1333,2143
2005/04/01,1373,2200
2005/04/04,1346,2173
2005/04/05,1318,2094
2005/04/06,1321,2106
2005/04/07,1318,2075
2005/04/08,1322,2118
2005/04/11,1304,2101
2005/04/12,1291,2070
2005/04/13,1285,2058
2005/04/14,1320,2107
2005/04/15,1315,2117
2005/04/18,1320,2135
2005/04/19,1325,2106
2005/04/20,1305,2100
2005/04/21,1324,2100
2005/04/22,1300,2079
2005/04/25,1305,2055
2005/04/26,1340,2130
2005/04/28,1300,2095
2005/04/29,1295,2065
2005/05/03,1316,2087
2005/05/04,1340,2135
2005/05/05,1361,2179
2005/05/06,1385,2205
2005/05/09,1400,2270
2005/05/10,1390,2250
2005/05/11,1412,2269
2005/05/12,1381,2200
2005/05/13,1392,2201
2005/05/16,1402,2230
2005/05/17,1367,2200
2005/05/18,1376,2220
2005/05/19,1382,2220
2005/05/20,1400,2205
2005/05/23,1360,2211
2005/05/24,1365,2209
2005/05/25,1390,2260
2005/05/26,1387,2245
2005/05/27,1386,2240
2005/05/30,1385,2218
2005/05/31,1368,2155
2005/06/01,1335,2168
2005/06/02,1335,2165
2005/06/03,1375,2225
2005/06/06,1410,2279
2005/06/07,1443,2325
2005/06/08,1445,2311
2005/06/09,1430,2318
2005/06/10,1454,2313
2005/06/13,1410,2299
2005/06/14,1395,2227
2005/06/15,1440,2299
2005/06/17,1453,2281
2005/06/20,1449,2299
2005/06/21,1450,2297
2005/06/22,1449,2300
2005/06/23,1430,2289
2005/06/24,1390,2235
2005/06/27,1387,2215
2005/06/28,1415,2235
2005/06/29,1422,2248
2005/06/30,1387,2225
2005/07/01,1390,2202
2005/07/04,1397,2202
2005/07/05,1396,2225
2005/07/06,1392,2213
2005/07/07,1400,2195
2005/07/08,1393,2245
2005/07/11,1423,2255
2005/07/12,1490,2345
2005/07/13,1501,2400
2005/07/14,1546,2470
2005/07/15,1480,2390
2005/07/18,1515,2459
2005/07/19,1550,2520
2005/07/20,1543,2480
2005/07/21,1545,2490
2005/07/22,1570,2520
2005/07/25,1582,2510
2005/07/26,1560,2500
2005/07/27,1591,2530
2005/07/28,1620,2550
2005/07/29,1585,2505
2005/08/01,1605,2525
2005/08/02,1630,2579
2005/08/03,1615,2570
2005/08/04,1602,2535
2005/08/05,1620,2557
2005/08/08,1660,2600
2005/08/10,1692,2699
2005/08/11,1695,2650
2005/08/12,1681,2630
2005/08/15,1659,2563
2005/08/16,1648,2600
2005/08/17,1604,2514
2005/08/18,1605,2486
2005/08/19,1624,2514
2005/08/22,1625,2549
2005/08/23,1639,2551
2005/08/24,1611,2503
2005/08/25,1586,2485
2005/08/26,1552,2420
2005/08/29,1545,2444
2005/08/30,1523,2406
2005/08/31,1520,2405
2005/09/01,1576,2480
2005/09/02,1615,2574
2005/09/05,1609,2558
2005/09/06,1616,2575
2005/09/07,1670,2649
2005/09/08,1640,2615
2005/09/09,1620,2590
2005/09/12,1640,2620
2005/09/13,1650,2650
2005/09/14,1675,2630
2005/09/15,1655,2665
2005/09/16,1680,2636
2005/09/19,1660,2590
2005/09/20,1647,2630
2005/09/21,1650,2620
2005/09/22,1627,2580
2005/09/23,1610,2540
2005/09/26,1647,2619
2005/09/27,1654,2615
2005/09/28,1657,2600
2005/09/29,1663,2619
2005/09/30,1695,2620
2005/10/03,1650,2570
2005/10/04,1645,2540
2005/10/05,1635,2539
2005/10/06,1602,2465
2005/10/07,1588,2456
2005/10/10,1612,2475
2005/10/11,1616,2532
2005/10/12,1611,2528
2005/10/13,1568,2436
2005/10/14,1551,2430
2005/10/17,1560,2434
2005/10/18,1550,2386
2005/10/19,1491,2333
2005/10/20,1530,2449
2005/10/21,1520,2405
2005/10/24,1570,2510
2005/10/25,1570,2492
2005/10/26,1589,2535
2005/10/27,1550,2474
2005/10/28,1545,2500
2005/10/31,1579,2420
2005/11/01,1624,2440
2005/11/02,1615,2480
2005/11/03,1635,2536
2005/11/04,1615,2450
2005/11/07,1635,2460
2005/11/08,1566,2390
2005/11/09,1600,2420
2005/11/10,1635,2507
2005/11/11,1665,2506
2005/11/14,1700,2624
2005/11/15,1660,2545
2005/11/16,1655,2539
2005/11/17,1670,2524
2005/11/18,1649,2475
2005/11/21,1625,2475
2005/11/22,1590,2410
2005/11/23,1602,2436
2005/11/24,1630,2500
2005/11/25,1605,2453
2005/11/28,1590,2425
2005/11/29,1603,2410
2005/11/30,1580,2400
2005/12/01,1561,2401
2005/12/02,1595,2475
2005/12/05,1625,2475
2005/12/06,1690,2550
2005/12/07,1760,2655
2005/12/08,1725,2640
2005/12/09,1725,2620
2005/12/12,1740,2630
2005/12/13,1755,2650
2005/12/14,1740,2588
2005/12/15,1802,2720
2005/12/19,1848,2686
2005/12/20,1850,2770
2005/12/21,1876,2850
2005/12/22,1882,2851
2005/12/23,1900,2885
2005/12/27,1945,2925
2005/12/28,1900,2832
2005/12/29,1900,2875
