Date,GoldFields,AngloGold
2004/05/12,7160,22102
2004/05/13,7075,21800
2004/05/14,6957,21402
2004/05/17,7200,21697
2004/05/18,6930,20800
2004/05/19,7300,21800
2004/05/20,7249,22100
2004/05/21,7450,22400
2004/05/24,7190,22000
2004/05/25,7500,22620
2004/05/26,7600,22900
2004/05/27,7750,23363
2004/05/28,7610,23110
2004/05/31,7709,22800
2004/06/01,7530,22501
2004/06/02,7213,22100
2004/06/03,7135,21950
2004/06/04,6995,21550
2004/06/07,7121,22101
2004/06/08,7166,22150
2004/06/09,6915,21401
2004/06/10,6880,21100
2004/06/11,6700,20055
2004/06/14,6702,20401
2004/06/15,6606,20050
2004/06/17,6601,19626
2004/06/18,6701,20385
2004/06/21,6600,19798
2004/06/22,6760,20100
2004/06/23,6502,19999
2004/06/24,6830,20550
2004/06/25,6890,20500
2004/06/28,6849,20199
2004/06/29,6515,20000
2004/06/30,6531,20249
2004/07/01,6560,20199
2004/07/02,6450,20000
2004/07/05,6390,20300
2004/07/06,6311,20201
2004/07/07,6327,20300
2004/07/08,6265,20318
2004/07/09,6224,20620
2004/07/12,6150,20430
2004/07/13,6155,20388
2004/07/14,6101,20400
2004/07/15,6030,20400
2004/07/16,5872,20010
2004/07/19,5509,19100
2004/07/20,5550,18801
2004/07/21,5750,19395
2004/07/22,5750,19345
2004/07/23,5805,19550
2004/07/26,5840,19248
2004/07/27,5884,19330
2004/07/28,6151,19795
2004/07/29,6400,20399
2004/07/30,6461,20660
2004/08/02,6649,20900
2004/08/03,6718,21009
2004/08/04,6762,20800
2004/08/05,6699,20700
2004/08/06,6625,20580
2004/08/10,6570,20475
2004/08/11,6601,19900
2004/08/12,7201,20879
2004/08/13,7419,21600
2004/08/16,7700,22599
2004/08/17,7670,22350
2004/08/18,7725,22020
2004/08/19,8090,23300
2004/08/20,8355,24174
2004/08/23,8350,24320
2004/08/24,8200,23300
2004/08/25,8200,23600
2004/08/26,8150,23295
2004/08/27,8202,23406
2004/08/30,8269,23821
2004/08/31,8075,23500
2004/09/01,7970,23367
2004/09/02,7840,23110
2004/09/03,7700,23200
2004/09/06,7700,23300
2004/09/07,7470,22990
2004/09/08,7550,23100
2004/09/09,7625,23349
2004/09/10,7845,23695
2004/09/13,7800,23416
2004/09/14,7930,23685
2004/09/15,7950,24219
2004/09/16,8095,24159
2004/09/17,8130,24038
2004/09/20,8063,23733
2004/09/21,8264,24250
2004/09/22,8475,24405
2004/09/23,8358,24539
2004/09/27,8169,24055
2004/09/28,8474,24536
2004/09/29,8579,24650
2004/09/30,8750,24922
2004/10/01,8700,24750
2004/10/04,8628,23899
2004/10/05,8850,24200
2004/10/06,8900,24805
2004/10/07,9100,24863
2004/10/08,9385,25020
2004/10/11,9100,24875
2004/10/12,9140,24800
2004/10/13,8987,23580
2004/10/14,9089,23626
2004/10/15,9402,23900
2004/10/18,9200,23850
2004/10/19,9010,23551
2004/10/20,8850,23701
2004/10/21,9060,23301
2004/10/22,9200,23299
2004/10/25,9161,24049
2004/10/26,9160,24289
2004/10/27,9100,23979
2004/10/28,8650,22550
2004/10/29,8601,22650
2004/11/01,8603,22888
2004/11/02,8680,22400
2004/11/03,8685,22149
2004/11/04,8450,22848
2004/11/05,8500,22820
2004/11/08,8500,23895
2004/11/09,8500,23900
2004/11/10,8500,23800
2004/11/11,8816,24060
2004/11/12,8350,24499
2004/11/15,8452,25100
2004/11/16,8436,25100
2004/11/17,8906,25020
2004/11/18,8970,24874
2004/11/19,8908,24349
2004/11/22,8835,23903
2004/11/23,8570,23606
2004/11/24,8230,23100
2004/11/25,8251,22750
2004/11/26,8300,23000
2004/11/29,8086,23400
2004/11/30,8220,23345
2004/12/01,8175,23151
2004/12/02,8215,22995
2004/12/03,8090,22600
2004/12/06,7765,21750
2004/12/07,7782,21999
2004/12/08,7462,21599
2004/12/09,7528,21212
2004/12/10,7450,21160
2004/12/13,7429,20901
2004/12/14,7400,20975
2004/12/15,7498,21160
2004/12/17,7405,20840
2004/12/20,7349,20840
2004/12/21,7132,20790
2004/12/22,7150,20989
2004/12/23,7000,20999
