Date,Group5,M&R
2004/05/12,975,1360
2004/05/13,975,1367
2004/05/14,975,1400
2004/05/17,985,1390
2004/05/18,950,1320
2004/05/19,950,1361
2004/05/20,950,1370
2004/05/21,950,1380
2004/05/24,942,1380
2004/05/25,950,1365
2004/05/26,950,1400
2004/05/27,950,1400
2004/05/28,954,1450
2004/05/31,950,1380
2004/06/01,955,1400
2004/06/02,965,1400
2004/06/03,965,1385
2004/06/04,967,1370
2004/06/07,976,1351
2004/06/08,971,1347
2004/06/09,985,1300
2004/06/10,985,1320
2004/06/11,975,1320
2004/06/14,990,1290
2004/06/15,1000,1300
2004/06/17,1025,1295
2004/06/18,1032,1280
2004/06/21,1060,1290
2004/06/22,1055,1280
2004/06/23,1055,1280
2004/06/24,1055,1295
2004/06/25,1065,1300
2004/06/28,1080,1300
2004/06/29,1090,1294
2004/06/30,1100,1295
2004/07/01,1090,1300
2004/07/02,1080,1290
2004/07/05,1100,1260
2004/07/06,1085,1275
2004/07/07,1075,1270
2004/07/08,1050,1286
2004/07/09,1050,1285
2004/07/12,1050,1301
2004/07/13,1035,1310
2004/07/14,1025,1300
2004/07/15,1040,1300
2004/07/16,1060,1300
2004/07/19,1050,1290
2004/07/20,1050,1298
2004/07/21,1070,1290
2004/07/22,1070,1255
2004/07/23,1050,1245
2004/07/26,1050,1230
2004/07/27,1049,1217
2004/07/28,1050,1220
2004/07/29,1050,1235
2004/07/30,1040,1259
2004/08/02,1010,1275
2004/08/03,1010,1290
2004/08/04,1025,1265
2004/08/05,1030,1260
2004/08/06,1030,1225
2004/08/10,1030,1205
2004/08/11,1050,1210
2004/08/12,1050,1220
2004/08/13,1080,1240
2004/08/16,1169,1261
2004/08/17,1122,1265
2004/08/18,1040,1260
2004/08/19,1035,1250
2004/08/20,1050,1300
2004/08/23,1081,1317
2004/08/24,1080,1310
2004/08/25,1060,1290
2004/08/26,1050,1274
2004/08/27,1050,1250
2004/08/30,1057,1250
2004/08/31,1075,1230
2004/09/01,1085,1220
2004/09/02,1090,1185
2004/09/03,1090,1210
2004/09/06,1085,1195
2004/09/07,1056,1200
2004/09/08,1060,1200
2004/09/09,1090,1200
2004/09/10,1125,1200
2004/09/13,1150,1183
2004/09/14,1145,1200
2004/09/15,1140,1200
2004/09/16,1140,1200
2004/09/17,1139,1200
2004/09/20,1140,1200
2004/09/21,1150,1200
2004/09/22,1143,1180
2004/09/23,1120,1180
2004/09/27,1120,1180
2004/09/28,1132,1170
2004/09/29,1140,1180
2004/09/30,1141,1160
2004/10/01,1150,1200
2004/10/04,1160,1220
2004/10/05,1180,1225
2004/10/06,1180,1209
2004/10/07,1180,1195
2004/10/08,1180,1200
2004/10/11,1200,1180
2004/10/12,1205,1176
2004/10/13,1207,1180
2004/10/14,1190,1210
2004/10/15,1250,1240
2004/10/18,1220,1230
2004/10/19,1270,1245
2004/10/20,1280,1235
2004/10/21,1310,1252
2004/10/22,1300,1270
2004/10/25,1310,1300
2004/10/26,1355,1363
2004/10/27,1410,1402
2004/10/28,1400,1430
2004/10/29,1380,1431
2004/11/01,1375,1475
2004/11/02,1410,1510
2004/11/03,1460,1500
2004/11/04,1501,1490
2004/11/05,1540,1480
2004/11/08,1550,1450
2004/11/09,1560,1435
2004/11/10,1560,1420
2004/11/11,1520,1390
2004/11/12,1472,1440
2004/11/15,1400,1450
2004/11/16,1365,1460
2004/11/17,1400,1475
2004/11/18,1450,1450
2004/11/19,1450,1427
2004/11/22,1470,1440
2004/11/23,1480,1430
2004/11/24,1470,1445
2004/11/25,1480,1470
2004/11/26,1482,1470
2004/11/29,1480,1450
2004/11/30,1425,1495
2004/12/01,1460,1449
2004/12/02,1460,1425
2004/12/03,1425,1415
2004/12/06,1360,1410
2004/12/07,1350,1450
2004/12/08,1375,1410
2004/12/09,1390,1405
