Date,Group5,PPC
2004/05/12,975,1402
2004/05/13,975,1440
2004/05/14,975,1410
2004/05/17,985,1465
2004/05/18,950,1423
2004/05/19,950,1410.5
2004/05/20,950,1417
2004/05/21,950,1417.5
2004/05/24,942,1410
2004/05/25,950,1408
2004/05/26,950,1420
2004/05/27,950,1415
2004/05/28,954,1424
2004/05/31,950,1410.5
2004/06/01,955,1426.5
2004/06/02,965,1417
2004/06/03,965,1417
2004/06/04,967,1417.1
2004/06/07,976,1418
2004/06/08,971,1417.3
2004/06/09,985,1421
2004/06/10,985,1423.1
2004/06/11,975,1430
2004/06/14,990,1480.1
2004/06/15,1000,1475
2004/06/17,1025,1524
2004/06/18,1032,1500
2004/06/21,1060,1490
2004/06/22,1055,1456
2004/06/23,1055,1495
2004/06/24,1055,1502.5
2004/06/25,1065,1502.5
2004/06/28,1080,1507.5
2004/06/29,1090,1544
2004/06/30,1100,1560
2004/07/01,1090,1570
2004/07/02,1080,1580
2004/07/05,1100,1570
2004/07/06,1085,1551
2004/07/07,1075,1531
2004/07/08,1050,1510.5
2004/07/09,1050,1540
2004/07/12,1050,1530
2004/07/13,1035,1534.5
2004/07/14,1025,1510
2004/07/15,1040,1542.5
2004/07/16,1060,1555
2004/07/19,1050,1600
2004/07/20,1050,1598
2004/07/21,1070,1650
2004/07/22,1070,1648
2004/07/23,1050,1660
2004/07/26,1050,1663
2004/07/27,1049,1740.1
2004/07/28,1050,1732.5
2004/07/29,1050,1690
2004/07/30,1040,1689.9
2004/08/02,1010,1660
2004/08/03,1010,1670
2004/08/04,1025,1655
2004/08/05,1030,1652.5
2004/08/06,1030,1622.5
2004/08/10,1030,1614.9
2004/08/11,1050,1586
2004/08/12,1050,1600
2004/08/13,1080,1640
2004/08/16,1169,1635
2004/08/17,1122,1660
2004/08/18,1040,1670
2004/08/19,1035,1680
2004/08/20,1050,1748
2004/08/23,1081,1739.9
2004/08/24,1080,1699.9
2004/08/25,1060,1661
2004/08/26,1050,1665
2004/08/27,1050,1655
2004/08/30,1057,1680
2004/08/31,1075,1730
2004/09/01,1085,1730
2004/09/02,1090,1750
2004/09/03,1090,1800
2004/09/06,1085,1815
2004/09/07,1056,1785
2004/09/08,1060,1780
2004/09/09,1090,1790
