Date,Group5,WHBO
2004/05/12,975,1690
2004/05/13,975,1700
2004/05/14,975,1700
2004/05/17,985,1680
2004/05/18,950,1720
2004/05/19,950,1750
2004/05/20,950,1800
2004/05/21,950,1796
2004/05/24,942,1800
2004/05/25,950,1795
2004/05/26,950,1785
2004/05/27,950,1770
2004/05/28,954,1750
2004/05/31,950,1750
2004/06/01,955,1775
2004/06/02,965,1800
2004/06/03,965,1790
2004/06/04,967,1790
2004/06/07,976,1810
2004/06/08,971,1815
2004/06/09,985,1810
2004/06/10,985,1810
2004/06/11,975,1810
2004/06/14,990,1840
2004/06/15,1000,1825
2004/06/17,1025,1825
2004/06/18,1032,1830
2004/06/21,1060,1830
2004/06/22,1055,1830
2004/06/23,1055,1841
2004/06/24,1055,1860
2004/06/25,1065,1870
2004/06/28,1080,1895
2004/06/29,1090,1900
2004/06/30,1100,1900
2004/07/01,1090,1900
2004/07/02,1080,1886
2004/07/05,1100,1887
2004/07/06,1085,1882
2004/07/07,1075,1880
2004/07/08,1050,1880
2004/07/09,1050,1850
2004/07/12,1050,1830
2004/07/13,1035,1825
2004/07/14,1025,1850
2004/07/15,1040,1830
2004/07/16,1060,1850
2004/07/19,1050,1850
2004/07/20,1050,1880
2004/07/21,1070,1889
2004/07/22,1070,1885
2004/07/23,1050,1901
2004/07/26,1050,1950
2004/07/27,1049,1930
2004/07/28,1050,1930
2004/07/29,1050,1940
2004/07/30,1040,1940
2004/08/02,1010,1940
2004/08/03,1010,1905
2004/08/04,1025,1900
2004/08/05,1030,1900
2004/08/06,1030,1900
2004/08/10,1030,1920
2004/08/11,1050,1940
2004/08/12,1050,1975
2004/08/13,1080,1980
2004/08/16,1169,1990
2004/08/17,1122,1970
2004/08/18,1040,2000
2004/08/19,1035,2000
2004/08/20,1050,2010
2004/08/23,1081,2000
2004/08/24,1080,2000
2004/08/25,1060,2000
2004/08/26,1050,2000
2004/08/27,1050,2000
2004/08/30,1057,2000
2004/08/31,1075,1975
2004/09/01,1085,1960
2004/09/02,1090,1955
2004/09/03,1090,1940
2004/09/06,1085,1939
2004/09/07,1056,1940
2004/09/08,1060,1990
2004/09/09,1090,1990
2004/09/10,1125,1970
2004/09/13,1150,1990
2004/09/14,1145,1965
2004/09/15,1140,1980
2004/09/16,1140,1966
2004/09/17,1139,1975
2004/09/20,1140,1980
2004/09/21,1150,1980
2004/09/22,1143,2000
2004/09/23,1120,2020
2004/09/27,1120,2010
2004/09/28,1132,2010
2004/09/29,1140,2030
2004/09/30,1141,2100
2004/10/01,1150,2100
2004/10/04,1160,2100
2004/10/05,1180,2129
2004/10/06,1180,2130
2004/10/07,1180,2155
2004/10/08,1180,2141
2004/10/11,1200,2200
2004/10/12,1205,2200
2004/10/13,1207,2180
2004/10/14,1190,2140
2004/10/15,1250,2180
2004/10/18,1220,2190
2004/10/19,1270,2220
2004/10/20,1280,2275
2004/10/21,1310,2320
2004/10/22,1300,2350
2004/10/25,1310,2350
2004/10/26,1355,2425
2004/10/27,1410,2460
2004/10/28,1400,2485
2004/10/29,1380,2495
2004/11/01,1375,2500
2004/11/02,1410,2500
2004/11/03,1460,2500
2004/11/04,1501,2540
2004/11/05,1540,2500
2004/11/08,1550,2550
2004/11/09,1560,2550
2004/11/10,1560,2500
2004/11/11,1520,2550
2004/11/12,1472,2510
2004/11/15,1400,2550
2004/11/16,1365,2510
2004/11/17,1400,2512
2004/11/18,1450,2515
2004/11/19,1450,2600
2004/11/22,1470,2600
2004/11/23,1480,2600
2004/11/24,1470,2600
2004/11/25,1480,2600
2004/11/26,1482,2550
2004/11/29,1480,2600
2004/11/30,1425,2560
2004/12/01,1460,2550
2004/12/02,1460,2580
2004/12/03,1425,2580
2004/12/06,1360,2572
2004/12/07,1350,2520
2004/12/08,1375,2550
2004/12/09,1390,2520
2004/12/10,1390,2520
2004/12/13,1390,2545
2004/12/14,1400,2635
2004/12/15,1390,2669
2004/12/17,1390,2700
2004/12/20,1400,2650
2004/12/21,1408,2650
2004/12/22,1420,2635
2004/12/23,1500,2700
2004/12/24,1500,2700
2004/12/28,1495,2750
2004/12/29,1500,2800
2004/12/30,1500,2750
2004/12/31,1515,2650
2005/01/03,1526,2750
2005/01/04,1540,2750
2005/01/05,1550,2800
2005/01/06,1600,2800
2005/01/07,1600,2799
2005/01/10,1650,2798
2005/01/11,1650,2799
2005/01/12,1690,2775
2005/01/13,1688,2740
2005/01/14,1680,2749
2005/01/17,1650,2750
2005/01/18,1580,2650
2005/01/19,1540,2639
2005/01/20,1570,2700
2005/01/21,1555,2650
2005/01/24,1511,2645
2005/01/25,1530,2645
2005/01/26,1541,2645
2005/01/27,1557,2700
2005/01/28,1576,2700
2005/01/31,1590,2750
2005/02/01,1615,2740
2005/02/02,1590,2700
2005/02/03,1569,2700
2005/02/04,1540,2699
2005/02/07,1550,2699
2005/02/08,1550,2650
2005/02/09,1545,2650
2005/02/10,1550,2650
2005/02/11,1580,2700
2005/02/14,1570,2700
2005/02/15,1550,2750
2005/02/16,1495,2750
2005/02/17,1471,2700
2005/02/18,1485,2700
