Date,Harmony,AngloGold
2004/05/12,7300,22102
2004/05/13,7175,21800
2004/05/14,7055,21402
2004/05/17,7175,21697
2004/05/18,6980,20800
2004/05/19,7250,21800
2004/05/20,7375,22100
2004/05/21,7550,22400
2004/05/24,7451,22000
2004/05/25,7690,22620
2004/05/26,7724,22900
2004/05/27,7939,23363
2004/05/28,7775,23110
2004/05/31,7850,22800
2004/06/01,7610,22501
2004/06/02,7390,22100
2004/06/03,7151,21950
2004/06/04,7013,21550
2004/06/07,7180,22101
2004/06/08,7200,22150
2004/06/09,6929,21401
2004/06/10,6775,21100
2004/06/11,6480,20055
2004/06/14,6439,20401
2004/06/15,6100,20050
2004/06/17,6320,19626
2004/06/18,6569,20385
2004/06/21,6503,19798
2004/06/22,6662,20100
2004/06/23,6550,19999
2004/06/24,6750,20550
2004/06/25,6801,20500
2004/06/28,6833,20199
2004/06/29,6500,20000
2004/06/30,6525,20249
2004/07/01,6620,20199
2004/07/02,6510,20000
2004/07/05,6531,20300
2004/07/06,6555,20201
2004/07/07,6650,20300
2004/07/08,6651,20318
2004/07/09,6715,20620
2004/07/12,6705,20430
2004/07/13,6743,20388
2004/07/14,6690,20400
2004/07/15,6522,20400
2004/07/16,6216,20010
2004/07/19,5920,19100
2004/07/20,5850,18801
2004/07/21,6239,19395
2004/07/22,6250,19345
2004/07/23,6400,19550
2004/07/26,6380,19248
2004/07/27,6401,19330
2004/07/28,6600,19795
2004/07/29,6800,20399
2004/07/30,6900,20660
2004/08/02,6875,20900
2004/08/03,7000,21009
2004/08/04,6901,20800
2004/08/05,6775,20700
2004/08/06,6700,20580
2004/08/10,6615,20475
2004/08/11,6594,19900
2004/08/12,7170,20879
2004/08/13,7629,21600
2004/08/16,8060,22599
2004/08/17,7830,22350
2004/08/18,7785,22020
2004/08/19,8231,23300
2004/08/20,8379,24174
2004/08/23,8300,24320
2004/08/24,8022,23300
2004/08/25,8144,23600
2004/08/26,8180,23295
2004/08/27,8250,23406
2004/08/30,8397,23821
2004/08/31,8198,23500
2004/09/01,8141,23367
2004/09/02,8040,23110
2004/09/03,7930,23200
2004/09/06,7800,23300
2004/09/07,7466,22990
2004/09/08,7630,23100
2004/09/09,7800,23349
2004/09/10,8090,23695
2004/09/13,8059,23416
2004/09/14,8150,23685
2004/09/15,8200,24219
2004/09/16,8200,24159
2004/09/17,8280,24038
2004/09/20,8250,23733
2004/09/21,8497,24250
2004/09/22,8750,24405
2004/09/23,8540,24539
2004/09/27,8155,24055
2004/09/28,8450,24536
2004/09/29,8510,24650
2004/09/30,8810,24922
