Date,Harmony,GoldFields
2004/05/12,7300,7160
2004/05/13,7175,7075
2004/05/14,7055,6957
2004/05/17,7175,7200
2004/05/18,6980,6930
2004/05/19,7250,7300
2004/05/20,7375,7249
2004/05/21,7550,7450
2004/05/24,7451,7190
2004/05/25,7690,7500
2004/05/26,7724,7600
2004/05/27,7939,7750
2004/05/28,7775,7610
2004/05/31,7850,7709
2004/06/01,7610,7530
2004/06/02,7390,7213
2004/06/03,7151,7135
2004/06/04,7013,6995
2004/06/07,7180,7121
2004/06/08,7200,7166
2004/06/09,6929,6915
2004/06/10,6775,6880
2004/06/11,6480,6700
2004/06/14,6439,6702
2004/06/15,6100,6606
2004/06/17,6320,6601
2004/06/18,6569,6701
2004/06/21,6503,6600
2004/06/22,6662,6760
2004/06/23,6550,6502
2004/06/24,6750,6830
2004/06/25,6801,6890
2004/06/28,6833,6849
2004/06/29,6500,6515
2004/06/30,6525,6531
2004/07/01,6620,6560
2004/07/02,6510,6450
2004/07/05,6531,6390
2004/07/06,6555,6311
2004/07/07,6650,6327
2004/07/08,6651,6265
2004/07/09,6715,6224
2004/07/12,6705,6150
2004/07/13,6743,6155
2004/07/14,6690,6101
2004/07/15,6522,6030
2004/07/16,6216,5872
2004/07/19,5920,5509
2004/07/20,5850,5550
2004/07/21,6239,5750
2004/07/22,6250,5750
2004/07/23,6400,5805
2004/07/26,6380,5840
2004/07/27,6401,5884
2004/07/28,6600,6151
2004/07/29,6800,6400
2004/07/30,6900,6461
2004/08/02,6875,6649
2004/08/03,7000,6718
2004/08/04,6901,6762
2004/08/05,6775,6699
2004/08/06,6700,6625
2004/08/10,6615,6570
2004/08/11,6594,6601
2004/08/12,7170,7201
2004/08/13,7629,7419
2004/08/16,8060,7700
2004/08/17,7830,7670
2004/08/18,7785,7725
2004/08/19,8231,8090
2004/08/20,8379,8355
2004/08/23,8300,8350
2004/08/24,8022,8200
2004/08/25,8144,8200
2004/08/26,8180,8150
2004/08/27,8250,8202
2004/08/30,8397,8269
2004/08/31,8198,8075
2004/09/01,8141,7970
2004/09/02,8040,7840
2004/09/03,7930,7700
2004/09/06,7800,7700
2004/09/07,7466,7470
2004/09/08,7630,7550
2004/09/09,7800,7625
2004/09/10,8090,7845
2004/09/13,8059,7800
2004/09/14,8150,7930
2004/09/15,8200,7950
2004/09/16,8200,8095
2004/09/17,8280,8130
2004/09/20,8250,8063
2004/09/21,8497,8264
2004/09/22,8750,8475
2004/09/23,8540,8358
2004/09/27,8155,8169
2004/09/28,8450,8474
2004/09/29,8510,8579
2004/09/30,8810,8750
2004/10/01,8600,8700
2004/10/04,8433,8628
2004/10/05,8600,8850
2004/10/06,8929,8900
2004/10/07,9060,9100
2004/10/08,9250,9385
2004/10/11,8915,9100
2004/10/12,8820,9140
2004/10/13,8500,8987
2004/10/14,8441,9089
2004/10/15,8350,9402
2004/10/18,7548,9200
2004/10/19,7350,9010
2004/10/20,7215,8850
2004/10/21,7481,9060
2004/10/22,7700,9200
2004/10/25,7698,9161
2004/10/26,7749,9160
2004/10/27,7728,9100
2004/10/28,7258,8650
2004/10/29,7145,8601
2004/11/01,7200,8603
2004/11/02,7300,8680
2004/11/03,7160,8685
2004/11/04,7000,8450
2004/11/05,7000,8500
2004/11/08,6948,8500
2004/11/09,7000,8500
2004/11/10,6940,8500
2004/11/11,7050,8816
2004/11/12,6570,8350
2004/11/15,6616,8452
2004/11/16,6595,8436
2004/11/17,6920,8906
2004/11/18,6995,8970
2004/11/19,6865,8908
2004/11/22,6803,8835
2004/11/23,6700,8570
2004/11/24,6275,8230
2004/11/25,6350,8251
2004/11/26,6225,8300
2004/11/29,6177,8086
2004/11/30,6200,8220
2004/12/01,6150,8175
2004/12/02,6160,8215
2004/12/03,6100,8090
2004/12/06,6050,7765
2004/12/07,5749,7782
2004/12/08,5511,7462
2004/12/09,5500,7528
2004/12/10,5584,7450
2004/12/13,5489,7429
2004/12/14,5470,7400
2004/12/15,5450,7498
2004/12/17,5435,7405
2004/12/20,5475,7349
2004/12/21,5250,7132
2004/12/22,5291,7150
2004/12/23,5248,7000
2004/12/24,5200,7000
2004/12/28,5220,7005
2004/12/29,5185,6978
2004/12/30,5150,6910
2004/12/31,5120,6950
2005/01/03,5175,7000
2005/01/04,5165,6990
2005/01/05,5210,7095
2005/01/06,5675,7700
2005/01/07,5699,7575
2005/01/10,5675,7521
2005/01/11,5562,7431
2005/01/12,5599,7553
2005/01/13,5597,7401
2005/01/14,5525,7300
2005/01/17,5290,7010
2005/01/18,5268,7091
2005/01/19,5190,6950
2005/01/20,5250,7116
2005/01/21,5302,7100
2005/01/24,5339,7085
2005/01/25,5264,6950
2005/01/26,5024,6742
2005/01/27,4890,6602
2005/01/28,4894,6631
2005/01/31,4930,6840
2005/02/01,4960,7010
2005/02/02,4949,6889
2005/02/03,4940,6800
2005/02/04,4960,6790
2005/02/07,4920,6790
2005/02/08,4838,6730
2005/02/09,4925,6791
2005/02/10,4950,6822
2005/02/11,5090,7025
2005/02/14,5075,7175
2005/02/15,4963,7040
2005/02/16,4924,6832
2005/02/17,4815,6763
2005/02/18,4827,6899
2005/02/21,5074,6926
2005/02/22,4950,6900
2005/02/23,4946,6781
2005/02/24,4959,6950
2005/02/25,4980,6900
2005/02/28,5000,6905
2005/03/01,4900,7000
2005/03/02,4858,6936
2005/03/03,4926,7150
2005/03/04,4870,7060
2005/03/07,4880,7051
2005/03/08,4907,7100
2005/03/09,4980,7255
2005/03/10,5140,7360
2005/03/11,5100,7352
2005/03/14,5230,7425
2005/03/15,5230,7525
2005/03/16,5350,7750
2005/03/17,5660,8141
2005/03/18,5525,7851
2005/03/22,5350,7670
2005/03/23,5325,7637
2005/03/24,5200,7475
2005/03/29,5033,7335
2005/03/30,4899,7125
2005/03/31,4970,7250
2005/04/01,4894,7165
2005/04/04,4750,7025
2005/04/05,4750,6955
2005/04/06,4800,6981
2005/04/07,4756,6856
2005/04/08,4790,6925
2005/04/11,4750,6930
2005/04/12,4575,6731
2005/04/13,4374,6605
2005/04/14,4400,6650
2005/04/15,4401,6710
2005/04/18,4480,6600
2005/04/19,4460,6755
2005/04/20,4525,6822
2005/04/21,4395,6645
2005/04/22,4351,6600
2005/04/25,4000,6230
2005/04/26,3900,6170
2005/04/28,3700,5935
2005/04/29,3880,6100
2005/05/03,3748,5988
2005/05/04,3700,5900
2005/05/05,3700,5795
2005/05/06,3650,5815
2005/05/09,3750,6100
2005/05/10,3850,6185
2005/05/11,3869,6090
2005/05/12,4000,6170
2005/05/13,3890,6150
2005/05/16,3930,6139
2005/05/17,4026,6301
2005/05/18,4380,6691
2005/05/19,4300,6381
2005/05/20,4400,6389
2005/05/23,4830,6630
2005/05/24,4850,6715
2005/05/25,4850,6909
2005/05/26,4845,7070
2005/05/27,4925,7285
2005/05/30,5350,7698
2005/05/31,4970,7401
2005/06/01,5340,7750
2005/06/02,5374,7790
2005/06/03,5321,7275
2005/06/06,5230,7220
2005/06/07,4845,6800
2005/06/08,4900,6860
2005/06/09,4806,6851
2005/06/10,4950,6985
2005/06/13,5375,7400
2005/06/14,5400,7366
2005/06/15,5230,7250
2005/06/17,5429,7390
2005/06/20,5548,7279
2005/06/21,5520,7197
2005/06/22,5538,7101
2005/06/23,5600,7304
2005/06/24,5670,7447
2005/06/27,5550,7260
2005/06/28,5490,7120
2005/06/29,5665,7460
2005/06/30,5825,7620
2005/07/01,5790,7700
2005/07/04,5962,7870
2005/07/05,6000,7870
2005/07/06,5830,7750
2005/07/07,5950,7880
2005/07/08,5950,7899
2005/07/11,6000,7900
2005/07/12,5845,7675
2005/07/13,5790,7805
2005/07/14,5650,7625
2005/07/15,5486,7299
2005/07/18,5545,7350
2005/07/19,5499,7338
2005/07/20,5475,7370
2005/07/21,5366,7210
2005/07/22,5554,7290
2005/07/25,5530,7310
2005/07/26,5353,7107
2005/07/27,5401,7099
2005/07/28,5525,7210
2005/07/29,5500,7199
2005/08/01,5300,7000
2005/08/02,5153,7000
2005/08/03,5049,7031
2005/08/04,5350,7302
2005/08/05,5370,7260
2005/08/08,5200,7067
2005/08/10,5150,6901
2005/08/11,5301,7075
2005/08/12,5520,7371
2005/08/15,5740,7637
2005/08/16,5740,7621
2005/08/17,5680,7496
2005/08/18,5508,7300
2005/08/19,5584,7290
2005/08/22,5550,7320
2005/08/23,5340,7251
2005/08/24,5134,7269
2005/08/25,5000,7060
2005/08/26,4776,7130
2005/08/29,4880,7189
2005/08/30,4679,7130
2005/08/31,4730,7370
2005/09/01,4827,7371
2005/09/02,4980,7300
2005/09/05,4900,7200
2005/09/06,5099,7345
2005/09/07,5094,7350
2005/09/08,5041,7325
2005/09/09,5224,7549
2005/09/12,5355,7600
2005/09/13,5345,7460
2005/09/14,5495,7704
2005/09/15,5816,8205
2005/09/16,6474,8700
2005/09/19,6859,8997
2005/09/20,6461,8881
2005/09/21,6612,9050
2005/09/22,6580,8674
2005/09/23,6400,8490
2005/09/26,6450,8685
2005/09/27,6600,8935
2005/09/28,6602,8845
2005/09/29,6971,9372
2005/09/30,7150,9532
2005/10/03,6940,9261
2005/10/04,6930,9385
2005/10/05,6750,9110
2005/10/06,7001,9419
2005/10/07,7165,9550
2005/10/10,7429,9600
2005/10/11,7265,9450
2005/10/12,7354,9560
2005/10/13,6999,8901
2005/10/14,6940,8800
2005/10/17,7045,9234
2005/10/18,7249,9400
2005/10/19,6721,8960
2005/10/20,6700,8820
2005/10/21,6600,8660
2005/10/24,6960,9093
2005/10/25,7110,9255
2005/10/26,7293,9235
2005/10/27,6748,8800
2005/10/28,6950,8860
2005/10/31,7120,9030
2005/11/01,6900,8798
2005/11/02,6900,8840
2005/11/03,7000,8995
2005/11/04,6975,8900
2005/11/07,7100,9156
2005/11/08,7075,8900
2005/11/09,7170,9150
2005/11/10,7600,9790
2005/11/11,7625,9585
2005/11/14,7961,9897
2005/11/15,7985,9600
2005/11/16,8199,9571
2005/11/17,8500,10000
2005/11/18,8398,10190
2005/11/21,8625,10445
2005/11/22,8675,10550
2005/11/23,8320,10106
2005/11/24,8545,10339
2005/11/25,8406,10318
2005/11/28,8350,10310
2005/11/29,8216,10101
2005/11/30,7985,9925
2005/12/01,7930,9930
2005/12/02,8000,10094
2005/12/05,7869,9810
2005/12/06,7700,9644
2005/12/07,8070,10201
2005/12/08,8475,10475
2005/12/09,8550,10890
2005/12/12,8594,11189
2005/12/13,8100,10520
2005/12/14,8250,10710
2005/12/15,8269,10680
2005/12/19,8575,11099
2005/12/20,8289,10809
2005/12/21,7965,10465
2005/12/22,8300,10769
2005/12/23,8400,10805
2005/12/27,8588,11000
2005/12/28,8350,10921
2005/12/29,8376,11115
2005/12/30,8490,11180
2006/01/03,8651,11780
2006/01/04,8710,11925
2006/01/05,8381,11250
2006/01/06,8710,11735
2006/01/09,8650,11800
2006/01/10,8536,11644
2006/01/11,8750,11700
2006/01/12,8655,11336
2006/01/13,8800,11690
2006/01/16,9100,12030
2006/01/17,9001,12149
2006/01/18,8850,12117
2006/01/19,9224,12440
2006/01/20,9500,12620
2006/01/23,9590,12455
2006/01/24,9698,12490
2006/01/25,9960,12974
2006/01/26,10121,13215
2006/01/27,10600,13650
2006/01/30,10599,13500
2006/01/31,11075,14200
2006/02/01,11473,14610
2006/02/02,11400,14680
2006/02/03,11140,14100
2006/02/06,11150,14210
2006/02/07,11100,14200
2006/02/08,10595,13645
2006/02/09,10994,14190
2006/02/10,10450,14050
2006/02/13,9700,13601
2006/02/14,9175,13250
2006/02/15,9030,13150
2006/02/16,8735,12702
2006/02/17,9459,13549
2006/02/20,9595,13750
2006/02/21,9500,13910
2006/02/22,9535,13861
2006/02/23,9394,14040
2006/02/24,9118,13850
2006/02/27,9230,14149
2006/02/28,8445,13500
2006/03/02,8795,13050
2006/03/03,8761,12750
2006/03/06,8725,12621
2006/03/07,8220,11950
2006/03/08,7930,11725
2006/03/09,8245,12000
2006/03/10,7735,11675
2006/03/13,8200,11940
2006/03/14,8545,12280
2006/03/15,8845,12500
2006/03/16,8850,12350
2006/03/17,8900,12400
2006/03/20,9060,12650
2006/03/22,9011,12550
2006/03/23,9059,12340
2006/03/24,9420,12590
2006/03/27,9806,12950
2006/03/28,9600,12900
2006/03/29,9650,12899
2006/03/30,10250,13549
2006/03/31,10000,13439
2006/04/03,10150,13775
2006/04/04,9995,13650
2006/04/05,9761,13720
2006/04/06,9639,13945
2006/04/07,9185,13798
2006/04/10,9474,13600
