Date,Liberty,MMI
2004/05/12,4243,745
2004/05/13,4180,740
2004/05/14,4142,735
2004/05/17,4114,736
2004/05/18,4117,750
2004/05/19,4117,750
2004/05/20,4101,750
2004/05/21,4117,750
2004/05/24,4117,750
2004/05/25,4053,770
2004/05/26,4085,775
2004/05/27,4228,775
2004/05/28,4289,775
2004/05/31,4370,755
2004/06/01,4271,750
2004/06/02,4291,750
2004/06/03,4247,755
2004/06/04,4212,755
2004/06/07,4183,770
2004/06/08,4212,760
2004/06/09,4259,760
2004/06/10,4212,750
2004/06/11,4212,745
2004/06/14,4243,740
2004/06/15,4196,730
2004/06/17,4180,726
2004/06/18,4133,710
2004/06/21,4243,731
2004/06/22,4228,730
2004/06/23,4212,739
2004/06/24,4212,731
2004/06/25,4228,715
2004/06/28,4228,731
2004/06/29,4148,725
2004/06/30,4228,730
2004/07/01,4196,727
2004/07/02,4148,740
2004/07/05,4148,740
2004/07/06,4085,745
2004/07/07,4085,750
2004/07/08,4101,750
2004/07/09,4117,745
2004/07/12,4085,750
2004/07/13,4101,740
2004/07/14,4133,750
2004/07/15,4117,750
2004/07/16,4022,750
2004/07/19,3958,760
2004/07/20,3943,750
2004/07/21,4006,759
2004/07/22,4006,735
2004/07/23,4003,720
2004/07/26,4053,730
2004/07/27,4093,730
2004/07/28,4180,730
2004/07/29,4119,730
2004/07/30,4145,745
2004/08/02,4145,740
2004/08/03,4182,740
2004/08/04,4171,735
2004/08/05,4180,763
2004/08/06,4117,764
2004/08/10,4069,764
2004/08/11,4085,755
2004/08/12,4212,780
2004/08/13,4307,770
2004/08/16,4307,775
2004/08/17,4323,780
2004/08/18,4315,760
2004/08/19,4315,760
2004/08/20,4315,755
2004/08/23,4395,765
2004/08/24,4405,761
2004/08/25,4403,740
2004/08/26,4433,765
2004/08/27,4465,758
2004/08/30,4465,765
2004/08/31,4528,765
2004/09/01,4418,765
2004/09/02,4433,775
2004/09/03,4497,790
2004/09/06,4308,825
2004/09/07,4291,855
2004/09/08,4323,823
2004/09/09,4335,835
2004/09/10,4338,840
2004/09/13,4370,840
2004/09/14,4402,845
2004/09/15,4376,835
2004/09/16,4433,820
2004/09/17,4433,815
2004/09/20,4449,823
2004/09/21,4465,824
2004/09/22,4560,830
2004/09/23,4560,835
2004/09/27,4671,826
2004/09/28,4703,839
2004/09/29,4813,842
2004/09/30,4782,880
2004/10/01,4782,880
2004/10/04,4718,874
2004/10/05,4687,875
2004/10/06,4750,866
2004/10/07,4813,863
2004/10/08,4831,868
2004/10/11,4813,875
2004/10/12,4797,890
2004/10/13,4750,910
