Date,Liberty,OldMutual
2004/05/12,4243,1136
2004/05/13,4180,1150
2004/05/14,4142,1115
2004/05/17,4114,1110
2004/05/18,4117,1102
2004/05/19,4117,1110
2004/05/20,4101,1111
2004/05/21,4117,1103
2004/05/24,4117,1095
2004/05/25,4053,1098
2004/05/26,4085,1125
2004/05/27,4228,1137
2004/05/28,4289,1137
2004/05/31,4370,1151
2004/06/01,4271,1130
2004/06/02,4291,1126
2004/06/03,4247,1131
2004/06/04,4212,1138
2004/06/07,4183,1155
2004/06/08,4212,1181
2004/06/09,4259,1192
2004/06/10,4212,1180
2004/06/11,4212,1175
2004/06/14,4243,1185
2004/06/15,4196,1160
2004/06/17,4180,1185
2004/06/18,4133,1170
2004/06/21,4243,1167
2004/06/22,4228,1165
2004/06/23,4212,1169
2004/06/24,4212,1166
2004/06/25,4228,1170
2004/06/28,4228,1167
2004/06/29,4148,1185
2004/06/30,4228,1165
2004/07/01,4196,1170
2004/07/02,4148,1160
2004/07/05,4148,1160
2004/07/06,4085,1165
2004/07/07,4085,1161
2004/07/08,4101,1139
2004/07/09,4117,1144
2004/07/12,4085,1139
2004/07/13,4101,1160
2004/07/14,4133,1132
2004/07/15,4117,1125
2004/07/16,4022,1112
2004/07/19,3958,1090
2004/07/20,3943,1101
2004/07/21,4006,1148
2004/07/22,4006,1140
2004/07/23,4003,1152
2004/07/26,4053,1151
2004/07/27,4093,1188
2004/07/28,4180,1206
2004/07/29,4119,1200
2004/07/30,4145,1189
2004/08/02,4145,1196
2004/08/03,4182,1200
2004/08/04,4171,1205
2004/08/05,4180,1192
2004/08/06,4117,1155
2004/08/10,4069,1166
2004/08/11,4085,1160
2004/08/12,4212,1170
2004/08/13,4307,1162
2004/08/16,4307,1197
2004/08/17,4323,1175
2004/08/18,4315,1171
2004/08/19,4315,1185
2004/08/20,4315,1195
2004/08/23,4395,1229
2004/08/24,4405,1234
2004/08/25,4403,1241
2004/08/26,4433,1250
2004/08/27,4465,1270
2004/08/30,4465,1265
2004/08/31,4528,1272
2004/09/01,4418,1270
2004/09/02,4433,1284
2004/09/03,4497,1295
2004/09/06,4308,1300
2004/09/07,4291,1278
2004/09/08,4323,1275
2004/09/09,4335,1270
2004/09/10,4338,1268
2004/09/13,4370,1275
2004/09/14,4402,1281
2004/09/15,4376,1276
2004/09/16,4433,1300
2004/09/17,4433,1288
2004/09/20,4449,1266
2004/09/21,4465,1275
2004/09/22,4560,1280
2004/09/23,4560,1271
2004/09/27,4671,1265
2004/09/28,4703,1275
2004/09/29,4813,1310
2004/09/30,4782,1328
2004/10/01,4782,1352
2004/10/04,4718,1358
2004/10/05,4687,1375
2004/10/06,4750,1367
2004/10/07,4813,1358
2004/10/08,4831,1345
2004/10/11,4813,1348
2004/10/12,4797,1326
2004/10/13,4750,1332
2004/10/14,4750,1328
2004/10/15,4750,1328
2004/10/18,4750,1300
2004/10/19,4750,1306
2004/10/20,4720,1290
2004/10/21,4750,1300
2004/10/22,4782,1299
2004/10/25,4718,1297
2004/10/26,4687,1325
2004/10/27,4750,1313
2004/10/28,4782,1296
2004/10/29,4845,1292
2004/11/01,4845,1298
2004/11/02,4782,1326
2004/11/03,4877,1335
2004/11/04,4940,1330
2004/11/05,4988,1330
2004/11/08,5067,1360
2004/11/09,5067,1385
2004/11/10,5083,1382
2004/11/11,5098,1390
2004/11/12,5233,1390
2004/11/15,5320,1387
2004/11/16,5336,1372
2004/11/17,5225,1370
2004/11/18,5257,1395
2004/11/19,5241,1418
2004/11/22,5257,1400
2004/11/23,5241,1404
2004/11/24,5162,1405
2004/11/25,5257,1403
2004/11/26,5195,1420
2004/11/29,5225,1432
2004/11/30,5257,1470
2004/12/01,5257,1465
2004/12/02,5178,1495
2004/12/03,5193,1504
2004/12/06,5193,1485
2004/12/07,5193,1485
2004/12/08,5162,1469
2004/12/09,5130,1442
2004/12/10,5146,1433
2004/12/13,5193,1428
2004/12/14,5383,1455
2004/12/15,5463,1471
2004/12/17,5383,1481
2004/12/20,5447,1480
2004/12/21,5571,1456
2004/12/22,5558,1452
2004/12/23,5580,1462
2004/12/24,5573,1439
2004/12/28,5573,1440
2004/12/29,5621,1450
2004/12/30,5637,1450
2004/12/31,5580,1430
2005/01/03,5605,1450
2005/01/04,5605,1456
2005/01/05,5637,1446
2005/01/06,5637,1482
2005/01/07,5637,1466
2005/01/10,5542,1457
2005/01/11,5545,1430
2005/01/12,5542,1456
2005/01/13,5535,1477
2005/01/14,5539,1450
2005/01/17,5494,1425
2005/01/18,5382,1430
2005/01/19,5288,1442
2005/01/20,5320,1437
2005/01/21,5320,1437
2005/01/24,5288,1415
2005/01/25,5257,1405
2005/01/26,5257,1392
2005/01/27,5415,1390
2005/01/28,5494,1396
2005/01/31,5463,1425
2005/02/01,5463,1448
2005/02/02,5453,1451
2005/02/03,5383,1470
2005/02/04,5298,1472
2005/02/07,5225,1500
2005/02/08,5298,1535
2005/02/09,5320,1559
2005/02/10,5225,1547
2005/02/11,5225,1520
2005/02/14,5257,1535
2005/02/15,5288,1535
2005/02/16,5288,1540
2005/02/17,5304,1570
2005/02/18,5383,1545
2005/02/21,5393,1532
2005/02/22,5391,1506
2005/02/23,5415,1500
2005/02/24,5399,1534
2005/02/25,5393,1558
2005/02/28,5393,1578
2005/03/01,5383,1583
2005/03/02,5510,1582
2005/03/03,5589,1571
2005/03/04,5668,1594
2005/03/07,5668,1563
2005/03/08,5668,1565
2005/03/09,5827,1540
2005/03/10,5795,1548
2005/03/11,5748,1579
2005/03/14,5827,1581
2005/03/15,5779,1601
2005/03/16,5700,1592
2005/03/17,5795,1600
2005/03/18,5700,1560
2005/03/22,5673,1551
2005/03/23,5542,1564
2005/03/24,5510,1553
2005/03/29,5494,1576
2005/03/30,5320,1566
2005/03/31,5447,1574
2005/04/01,5446,1580
2005/04/04,5273,1535
2005/04/05,5178,1518
2005/04/06,5158,1503
2005/04/07,5067,1504
2005/04/08,5083,1530
2005/04/11,5054,1530
2005/04/12,5045,1534
2005/04/13,5041,1585
2005/04/14,5064,1568
2005/04/15,5003,1529
2005/04/18,4899,1460
2005/04/19,5007,1476
2005/04/20,5129,1460
2005/04/21,5146,1430
2005/04/22,5146,1440
2005/04/25,5067,1450
2005/04/26,5100,1446
2005/04/28,5114,1435
2005/04/29,5111,1468
2005/05/03,5067,1460
2005/05/04,5111,1440
2005/05/05,5130,1450
2005/05/06,5130,1465
2005/05/09,5225,1502
2005/05/10,5317,1494
2005/05/11,5304,1475
2005/05/12,5257,1516
2005/05/13,5130,1430
2005/05/16,5114,1453
2005/05/17,5225,1436
2005/05/18,5162,1413
2005/05/19,5288,1410
2005/05/20,5209,1408
2005/05/23,5352,1410
2005/05/24,5225,1400
2005/05/25,5209,1415
2005/05/26,5225,1439
2005/05/27,5217,1437
2005/05/30,5164,1433
2005/05/31,5161,1443
2005/06/01,5019,1434
2005/06/02,5003,1430
2005/06/03,5003,1422
2005/06/06,4924,1415
2005/06/07,4924,1422
2005/06/08,4908,1442
2005/06/09,4845,1437
2005/06/10,4813,1432
2005/06/13,4813,1454
2005/06/14,4823,1441
2005/06/15,4782,1432
2005/06/17,4750,1421
2005/06/20,4782,1438
2005/06/21,4750,1438
2005/06/22,4893,1456
2005/06/23,4940,1452
2005/06/24,4845,1484
2005/06/27,4782,1455
2005/06/28,4798,1450
2005/06/29,4814,1459
2005/06/30,4875,1460
2005/07/01,4875,1456
2005/07/04,4813,1460
2005/07/05,4782,1475
2005/07/06,4782,1463
2005/07/07,4782,1434
2005/07/08,4782,1460
2005/07/11,4861,1469
2005/07/12,4908,1487
2005/07/13,4893,1483
2005/07/14,4861,1495
2005/07/15,4845,1488
2005/07/18,4839,1491
2005/07/19,4877,1515
2005/07/20,4940,1510
2005/07/21,5035,1504
2005/07/22,5035,1481
2005/07/25,5035,1504
2005/07/26,5034,1493
2005/07/27,4972,1509
2005/07/28,4956,1503
2005/07/29,5003,1495
2005/08/01,5162,1507
2005/08/02,5162,1518
2005/08/03,5162,1500
2005/08/04,5257,1495
2005/08/05,5178,1500
2005/08/08,5178,1505
2005/08/10,5380,1551
2005/08/11,5288,1548
2005/08/12,5257,1559
2005/08/15,5257,1565
2005/08/16,5257,1562
2005/08/17,5073,1560
2005/08/18,5083,1553
2005/08/19,5098,1568
2005/08/22,5102,1574
2005/08/23,5116,1590
2005/08/24,5114,1585
2005/08/25,5114,1592
2005/08/26,5193,1585
2005/08/29,5162,1594
2005/08/30,5159,1600
2005/08/31,5130,1628
2005/09/01,5124,1668
2005/09/02,5178,1641
2005/09/05,5035,1625
2005/09/06,5225,1665
2005/09/07,5336,1650
2005/09/08,5320,1635
2005/09/09,5336,1611
2005/09/12,5350,1621
2005/09/13,5322,1602
2005/09/14,5320,1589
2005/09/15,5320,1582
2005/09/16,5383,1574
2005/09/19,5288,1585
2005/09/20,5320,1560
2005/09/21,5288,1563
2005/09/22,5187,1553
2005/09/23,5223,1533
2005/09/26,5178,1534
2005/09/27,5193,1548
2005/09/28,5218,1555
2005/09/29,5114,1556
2005/09/30,5114,1565
2005/10/03,5067,1555
2005/10/04,5083,1564
2005/10/05,5083,1576
2005/10/06,5030,1585
2005/10/07,5019,1558
2005/10/10,5019,1543
2005/10/11,5035,1534
2005/10/12,5067,1570
2005/10/13,5059,1551
2005/10/14,5019,1548
2005/10/17,5098,1543
2005/10/18,5122,1543
2005/10/19,5067,1537
2005/10/20,5068,1532
2005/10/21,5098,1530
2005/10/24,5162,1531
2005/10/25,5225,1548
2005/10/26,5193,1565
2005/10/27,5193,1532
2005/10/28,5067,1575
2005/10/31,5067,1564
2005/11/01,5193,1550
2005/11/02,5257,1574
2005/11/03,5334,1608
2005/11/04,5317,1607
2005/11/07,5507,1612
2005/11/08,5352,1590
2005/11/09,5339,1598
2005/11/10,5415,1601
2005/11/11,5368,1635
2005/11/14,5415,1659
2005/11/15,5415,1675
2005/11/16,5415,1668
2005/11/17,5399,1685
2005/11/18,5415,1711
2005/11/21,5447,1700
2005/11/22,5470,1667
