Date,Liberty,Sanlam
2004/05/12,4243,841
2004/05/13,4180,855
2004/05/14,4142,855
2004/05/17,4114,845
2004/05/18,4117,830
2004/05/19,4117,844
2004/05/20,4101,845
2004/05/21,4117,843
2004/05/24,4117,835
2004/05/25,4053,830
2004/05/26,4085,850
2004/05/27,4228,860
2004/05/28,4289,885
2004/05/31,4370,892
2004/06/01,4271,890
2004/06/02,4291,896
2004/06/03,4247,885
2004/06/04,4212,866
2004/06/07,4183,885
2004/06/08,4212,870
2004/06/09,4259,860
2004/06/10,4212,853
2004/06/11,4212,849
2004/06/14,4243,850
2004/06/15,4196,850
2004/06/17,4180,850
2004/06/18,4133,850
2004/06/21,4243,857
2004/06/22,4228,846
2004/06/23,4212,840
2004/06/24,4212,850
2004/06/25,4228,880
2004/06/28,4228,884
2004/06/29,4148,880
2004/06/30,4228,880
2004/07/01,4196,890
2004/07/02,4148,871
2004/07/05,4148,861
2004/07/06,4085,869
2004/07/07,4085,850
2004/07/08,4101,835
2004/07/09,4117,850
2004/07/12,4085,855
2004/07/13,4101,861
2004/07/14,4133,845
2004/07/15,4117,853
2004/07/16,4022,840
2004/07/19,3958,840
2004/07/20,3943,845
2004/07/21,4006,858
2004/07/22,4006,850
2004/07/23,4003,865
2004/07/26,4053,875
2004/07/27,4093,870
2004/07/28,4180,878
2004/07/29,4119,870
2004/07/30,4145,875
2004/08/02,4145,868
2004/08/03,4182,882
2004/08/04,4171,890
2004/08/05,4180,865
2004/08/06,4117,850
2004/08/10,4069,860
2004/08/11,4085,850
2004/08/12,4212,860
2004/08/13,4307,850
2004/08/16,4307,864
2004/08/17,4323,855
2004/08/18,4315,850
2004/08/19,4315,850
2004/08/20,4315,845
2004/08/23,4395,871
2004/08/24,4405,874
2004/08/25,4403,890
2004/08/26,4433,896
2004/08/27,4465,898
2004/08/30,4465,895
2004/08/31,4528,897
2004/09/01,4418,915
2004/09/02,4433,939
2004/09/03,4497,991
2004/09/06,4308,970
2004/09/07,4291,963
2004/09/08,4323,965
2004/09/09,4335,985
2004/09/10,4338,970
2004/09/13,4370,990
2004/09/14,4402,977
2004/09/15,4376,987
2004/09/16,4433,1005
2004/09/17,4433,995
2004/09/20,4449,999
2004/09/21,4465,1010
2004/09/22,4560,999
2004/09/23,4560,1047
2004/09/27,4671,1075
2004/09/28,4703,1082
2004/09/29,4813,1075
2004/09/30,4782,1096
2004/10/01,4782,1080
2004/10/04,4718,1059
2004/10/05,4687,1058
2004/10/06,4750,1071
2004/10/07,4813,1080
2004/10/08,4831,1080
2004/10/11,4813,1072
2004/10/12,4797,1060
2004/10/13,4750,1060
2004/10/14,4750,1060
2004/10/15,4750,1084
2004/10/18,4750,1065
2004/10/19,4750,1071
2004/10/20,4720,1050
2004/10/21,4750,1041
2004/10/22,4782,1055
2004/10/25,4718,1050
2004/10/26,4687,1060
2004/10/27,4750,1065
2004/10/28,4782,1077
2004/10/29,4845,1078
2004/11/01,4845,1080
2004/11/02,4782,1082
2004/11/03,4877,1075
2004/11/04,4940,1098
2004/11/05,4988,1120
2004/11/08,5067,1160
2004/11/09,5067,1184
2004/11/10,5083,1165
2004/11/11,5098,1154
2004/11/12,5233,1145
2004/11/15,5320,1143
2004/11/16,5336,1125
2004/11/17,5225,1127
2004/11/18,5257,1139
2004/11/19,5241,1130
2004/11/22,5257,1135
2004/11/23,5241,1135
2004/11/24,5162,1161
2004/11/25,5257,1205
2004/11/26,5195,1251
2004/11/29,5225,1250
2004/11/30,5257,1210
2004/12/01,5257,1220
2004/12/02,5178,1235
2004/12/03,5193,1245
2004/12/06,5193,1200
2004/12/07,5193,1221
2004/12/08,5162,1210
2004/12/09,5130,1185
2004/12/10,5146,1180
2004/12/13,5193,1200
2004/12/14,5383,1225
2004/12/15,5463,1255
2004/12/17,5383,1285
2004/12/20,5447,1260
2004/12/21,5571,1261
2004/12/22,5558,1270
2004/12/23,5580,1290
2004/12/24,5573,1290
2004/12/28,5573,1295
2004/12/29,5621,1300
2004/12/30,5637,1295
2004/12/31,5580,1300
2005/01/03,5605,1300
2005/01/04,5605,1275
2005/01/05,5637,1291
2005/01/06,5637,1250
2005/01/07,5637,1240
2005/01/10,5542,1245
2005/01/11,5545,1250
2005/01/12,5542,1260
2005/01/13,5535,1270
2005/01/14,5539,1225
2005/01/17,5494,1206
2005/01/18,5382,1180
2005/01/19,5288,1174
2005/01/20,5320,1165
2005/01/21,5320,1171
2005/01/24,5288,1165
2005/01/25,5257,1150
2005/01/26,5257,1185
2005/01/27,5415,1206
2005/01/28,5494,1240
2005/01/31,5463,1261
2005/02/01,5463,1266
2005/02/02,5453,1250
2005/02/03,5383,1275
2005/02/04,5298,1235
2005/02/07,5225,1206
2005/02/08,5298,1235
2005/02/09,5320,1236
2005/02/10,5225,1236
2005/02/11,5225,1245
2005/02/14,5257,1227
2005/02/15,5288,1235
2005/02/16,5288,1255
2005/02/17,5304,1300
2005/02/18,5383,1290
2005/02/21,5393,1290
2005/02/22,5391,1294
2005/02/23,5415,1301
2005/02/24,5399,1301
2005/02/25,5393,1310
2005/02/28,5393,1335
2005/03/01,5383,1356
2005/03/02,5510,1336
2005/03/03,5589,1313
2005/03/04,5668,1320
2005/03/07,5668,1319
2005/03/08,5668,1341
2005/03/09,5827,1345
2005/03/10,5795,1352
2005/03/11,5748,1356
2005/03/14,5827,1335
2005/03/15,5779,1300
2005/03/16,5700,1250
2005/03/17,5795,1265
2005/03/18,5700,1260
2005/03/22,5673,1240
2005/03/23,5542,1224
2005/03/24,5510,1200
2005/03/29,5494,1210
2005/03/30,5320,1210
2005/03/31,5447,1214
2005/04/01,5446,1215
2005/04/04,5273,1212
2005/04/05,5178,1218
2005/04/06,5158,1220
2005/04/07,5067,1202
2005/04/08,5083,1239
2005/04/11,5054,1222
2005/04/12,5045,1212
2005/04/13,5041,1205
2005/04/14,5064,1223
2005/04/15,5003,1236
2005/04/18,4899,1172
2005/04/19,5007,1166
2005/04/20,5129,1180
2005/04/21,5146,1160
2005/04/22,5146,1150
2005/04/25,5067,1165
2005/04/26,5100,1170
2005/04/28,5114,1128
2005/04/29,5111,1149
2005/05/03,5067,1160
2005/05/04,5111,1144
2005/05/05,5130,1150
2005/05/06,5130,1191
2005/05/09,5225,1215
2005/05/10,5317,1187
2005/05/11,5304,1194
2005/05/12,5257,1182
2005/05/13,5130,1173
2005/05/16,5114,1174
2005/05/17,5225,1160
2005/05/18,5162,1180
2005/05/19,5288,1183
2005/05/20,5209,1164
2005/05/23,5352,1167
2005/05/24,5225,1156
2005/05/25,5209,1155
2005/05/26,5225,1147
2005/05/27,5217,1139
2005/05/30,5164,1139
2005/05/31,5161,1120
2005/06/01,5019,1080
2005/06/02,5003,1102
2005/06/03,5003,1122
2005/06/06,4924,1139
2005/06/07,4924,1140
2005/06/08,4908,1110
2005/06/09,4845,1103
2005/06/10,4813,1105
2005/06/13,4813,1130
2005/06/14,4823,1153
2005/06/15,4782,1155
2005/06/17,4750,1144
2005/06/20,4782,1160
2005/06/21,4750,1175
2005/06/22,4893,1172
2005/06/23,4940,1194
2005/06/24,4845,1170
2005/06/27,4782,1155
2005/06/28,4798,1157
2005/06/29,4814,1170
2005/06/30,4875,1174
2005/07/01,4875,1198
2005/07/04,4813,1162
2005/07/05,4782,1175
2005/07/06,4782,1175
2005/07/07,4782,1150
2005/07/08,4782,1152
2005/07/11,4861,1160
2005/07/12,4908,1185
2005/07/13,4893,1191
2005/07/14,4861,1208
2005/07/15,4845,1200
2005/07/18,4839,1195
2005/07/19,4877,1183
2005/07/20,4940,1190
2005/07/21,5035,1192
2005/07/22,5035,1181
2005/07/25,5035,1192
2005/07/26,5034,1190
2005/07/27,4972,1210
2005/07/28,4956,1254
2005/07/29,5003,1235
2005/08/01,5162,1265
2005/08/02,5162,1236
2005/08/03,5162,1259
2005/08/04,5257,1295
2005/08/05,5178,1270
2005/08/08,5178,1267
2005/08/10,5380,1309
2005/08/11,5288,1322
2005/08/12,5257,1316
2005/08/15,5257,1331
2005/08/16,5257,1335
2005/08/17,5073,1327
2005/08/18,5083,1327
2005/08/19,5098,1331
2005/08/22,5102,1325
2005/08/23,5116,1335
2005/08/24,5114,1315
2005/08/25,5114,1311
2005/08/26,5193,1305
2005/08/29,5162,1306
2005/08/30,5159,1323
2005/08/31,5130,1327
2005/09/01,5124,1325
2005/09/02,5178,1340
2005/09/05,5035,1330
2005/09/06,5225,1345
2005/09/07,5336,1360
2005/09/08,5320,1347
2005/09/09,5336,1350
2005/09/12,5350,1353
2005/09/13,5322,1361
2005/09/14,5320,1345
2005/09/15,5320,1320
2005/09/16,5383,1285
2005/09/19,5288,1281
2005/09/20,5320,1299
2005/09/21,5288,1310
2005/09/22,5187,1267
2005/09/23,5223,1265
2005/09/26,5178,1280
2005/09/27,5193,1271
2005/09/28,5218,1267
2005/09/29,5114,1270
2005/09/30,5114,1280
2005/10/03,5067,1263
2005/10/04,5083,1255
2005/10/05,5083,1260
2005/10/06,5030,1240
2005/10/07,5019,1245
2005/10/10,5019,1220
2005/10/11,5035,1230
2005/10/12,5067,1244
2005/10/13,5059,1210
2005/10/14,5019,1210
2005/10/17,5098,1210
2005/10/18,5122,1210
2005/10/19,5067,1165
2005/10/20,5068,1222
2005/10/21,5098,1205
2005/10/24,5162,1230
2005/10/25,5225,1265
2005/10/26,5193,1245
2005/10/27,5193,1210
2005/10/28,5067,1200
2005/10/31,5067,1235
2005/11/01,5193,1260
2005/11/02,5257,1246
2005/11/03,5334,1270
2005/11/04,5317,1247
2005/11/07,5507,1270
2005/11/08,5352,1250
2005/11/09,5339,1251
2005/11/10,5415,1248
2005/11/11,5368,1260
2005/11/14,5415,1315
2005/11/15,5415,1295
2005/11/16,5415,1310
2005/11/17,5399,1330
2005/11/18,5415,1345
2005/11/21,5447,1338
2005/11/22,5470,1311
2005/11/23,5494,1330
2005/11/24,5558,1350
2005/11/25,5589,1340
2005/11/28,5573,1348
2005/11/29,5608,1340
2005/11/30,5700,1321
2005/12/01,5700,1325
2005/12/02,5798,1325
2005/12/05,5843,1336
2005/12/06,5827,1376
2005/12/07,5985,1428
2005/12/08,5890,1402
2005/12/09,5763,1400
2005/12/12,5715,1395
2005/12/13,5716,1385
2005/12/14,5668,1399
2005/12/15,5751,1440
2005/12/19,5858,1491
2005/12/20,5906,1490
2005/12/21,5858,1495
2005/12/22,5865,1500
2005/12/23,5865,1504
2005/12/27,5890,1540
2005/12/28,5890,1525
2005/12/29,5926,1525
2005/12/30,5985,1519
2006/01/03,6069,1510
2006/01/04,6080,1510
2006/01/05,5985,1475
2006/01/06,6048,1515
2006/01/09,6080,1540
2006/01/10,6143,1550
2006/01/11,6207,1560
2006/01/12,6365,1560
2006/01/13,6365,1568
2006/01/16,6397,1530
2006/01/17,6397,1520
2006/01/18,6365,1559
2006/01/19,6539,1620
2006/01/20,6492,1620
2006/01/23,6523,1595
2006/01/24,6523,1609
2006/01/25,6587,1620
2006/01/26,6523,1627
2006/01/27,6508,1630
2006/01/30,6555,1600
2006/01/31,6840,1610
2006/02/01,6789,1655
2006/02/02,6846,1630
2006/02/03,6840,1600
2006/02/06,6941,1629
2006/02/07,7125,1630
2006/02/08,7077,1590
2006/02/09,7220,1690
2006/02/10,7188,1645
2006/02/13,7125,1580
2006/02/14,6872,1551
2006/02/15,7090,1608
2006/02/16,7068,1640
2006/02/17,7157,1715
2006/02/20,7173,1690
2006/02/21,7062,1678
2006/02/22,7062,1700
2006/02/23,7062,1695
2006/02/24,6967,1650
2006/02/27,6935,1667
2006/02/28,6774,1605
2006/03/02,6919,1620
2006/03/03,6728,1570
2006/03/06,6729,1555
2006/03/07,6539,1415
2006/03/08,6539,1490
2006/03/09,6587,1560
2006/03/10,6713,1600
2006/03/13,6840,1620
2006/03/14,6872,1650
2006/03/15,6892,1680
2006/03/16,6935,1640
2006/03/17,6964,1660
2006/03/20,6951,1689
2006/03/22,6998,1690
2006/03/23,7030,1710
2006/03/24,6979,1728
2006/03/27,6983,1750
2006/03/28,6967,1680
2006/03/29,6998,1670
2006/03/30,6998,1695
2006/03/31,6998,1650
2006/04/03,6998,1660
2006/04/04,6903,1660
2006/04/05,6888,1631
2006/04/06,6808,1591
2006/04/07,6808,1625
2006/04/10,6650,1629
2006/04/11,6587,1639
2006/04/12,6556,1626
2006/04/13,6460,1605
2006/04/18,6397,1641
2006/04/19,6371,1648
2006/04/20,6365,1635
2006/04/21,6349,1578
2006/04/24,6323,1570
2006/04/25,6381,1560
2006/04/26,6555,1555
2006/04/28,6618,1553
2006/05/02,6650,1560
2006/05/03,6555,1570
2006/05/04,6618,1560
2006/05/05,6617,1561
2006/05/08,6618,1572
2006/05/09,6777,1610
2006/05/10,6777,1618
2006/05/11,6697,1620
2006/05/12,6618,1590
2006/05/15,6428,1575
2006/05/16,6428,1560
2006/05/17,6476,1555
2006/05/18,6492,1535
2006/05/19,6460,1550
2006/05/22,6207,1540
2006/05/23,6365,1570
2006/05/24,6302,1550
2006/05/25,6302,1551
2006/05/26,6428,1610
2006/05/29,6492,1625
2006/05/30,6437,1570
2006/05/31,6523,1531
2006/06/01,6303,1536
2006/06/02,6492,1581
2006/06/05,6444,1547
2006/06/06,6270,1480
2006/06/07,6177,1470
2006/06/08,5953,1400
2006/06/09,5763,1467
2006/06/12,5858,1450
2006/06/13,5526,1390
2006/06/14,5637,1450
2006/06/15,5700,1480
2006/06/19,5731,1467
2006/06/20,5953,1486
2006/06/21,5922,1541
2006/06/22,5860,1481
2006/06/23,5605,1450
2006/06/26,5478,1380
2006/06/27,5637,1405
2006/06/28,5668,1420
2006/06/29,5573,1430
2006/06/30,5637,1450
2006/07/03,5763,1439
2006/07/04,5763,1449
2006/07/05,5665,1410
2006/07/06,5827,1449
2006/07/07,5751,1469
2006/07/10,5858,1489
2006/07/11,5801,1499
2006/07/12,5811,1538
2006/07/13,5702,1470
2006/07/14,5637,1440
2006/07/17,5580,1425
2006/07/18,5637,1430
2006/07/19,5764,1474
2006/07/20,5859,1440
2006/07/21,5763,1430
2006/07/24,5763,1480
2006/07/25,5700,1512
2006/07/26,5858,1515
2006/07/27,6017,1564
2006/07/28,6048,1510
2006/07/31,5985,1536
2006/08/01,5763,1510
2006/08/02,5735,1513
2006/08/03,5684,1506
2006/08/04,5732,1540
2006/08/07,5732,1528
2006/08/08,5811,1495
2006/08/10,5643,1473
2006/08/11,5574,1501
2006/08/14,5573,1482
2006/08/15,5575,1490
2006/08/16,5580,1500
2006/08/17,5700,1549
2006/08/18,5700,1495
2006/08/21,5700,1520
2006/08/22,5732,1530
2006/08/23,5700,1501
2006/08/24,5700,1502
2006/08/25,5684,1486
2006/08/28,5748,1503
2006/08/29,5795,1510
2006/08/30,5732,1543
2006/08/31,5694,1515
2006/09/01,5732,1550
2006/09/04,5668,1596
2006/09/05,5700,1575
2006/09/06,5668,1599
2006/09/07,5605,1561
2006/09/08,5605,1555
2006/09/11,5605,1535
2006/09/12,5643,1576
2006/09/13,5645,1599
2006/09/14,5653,1590
2006/09/15,5630,1560
2006/09/18,5653,1571
2006/09/19,5699,1611
2006/09/20,5700,1620
2006/09/21,5700,1655
2006/09/22,5637,1643
2006/09/26,5922,1711
2006/09/27,5858,1695
2006/09/28,5843,1705
2006/09/29,5843,1710
2006/10/02,5660,1679
2006/10/03,5701,1709
2006/10/04,5700,1710
2006/10/05,5858,1700
2006/10/06,5862,1695
2006/10/09,5859,1700
2006/10/10,5868,1695
2006/10/11,5869,1711
2006/10/12,5869,1700
2006/10/13,5858,1700
2006/10/16,6017,1770
2006/10/17,6014,1770
2006/10/18,6083,1735
2006/10/19,6207,1707
2006/10/20,6080,1700
2006/10/23,5953,1705
2006/10/24,5985,1741
2006/10/25,5890,1720
2006/10/26,5795,1710
2006/10/27,5798,1710
2006/10/30,5795,1710
2006/10/31,5835,1750
2006/11/01,5922,1770
2006/11/02,6026,1750
2006/11/03,5953,1740
2006/11/06,5909,1755
2006/11/07,5874,1768
2006/11/08,5880,1785
2006/11/09,5874,1788
2006/11/10,5890,1740
2006/11/13,5953,1742
2006/11/14,6078,1765
2006/11/15,6001,1771
2006/11/16,6007,1765
2006/11/17,5971,1750
2006/11/20,5985,1762
2006/11/21,5985,1780
2006/11/22,6080,1790
2006/11/23,6207,1800
2006/11/24,6333,1825
2006/11/27,6413,1815
2006/11/28,6301,1792
2006/11/29,6311,1800
2006/11/30,6270,1780
2006/12/01,6270,1793
2006/12/04,6270,1780
2006/12/05,6223,1750
2006/12/06,6175,1771
2006/12/07,6151,1737
2006/12/08,6238,1747
2006/12/11,6207,1745
2006/12/12,6207,1779
2006/12/13,6175,1800
2006/12/14,6226,1815
2006/12/15,6175,1840
2006/12/18,6311,1804
2006/12/19,6254,1800
2006/12/20,6343,1809
2006/12/21,6476,1830
2006/12/22,6492,1821
2006/12/27,6666,1860
2006/12/28,6808,1860
2006/12/29,6650,1830
2007/01/02,6650,1900
2007/01/03,6618,1899
2007/01/04,6460,1880
2007/01/05,6428,1905
2007/01/09,6875,1990
2007/01/10,6808,1948
2007/01/11,6867,1950
2007/01/12,6888,1980
2007/01/15,6935,1975
2007/01/16,6935,1970
2007/01/17,6967,1970
2007/01/18,7062,1969
2007/01/19,6967,1944
2007/01/22,7030,1960
2007/01/23,7030,1943
2007/01/24,7051,1950
2007/01/25,7046,1961
2007/01/26,7046,1925
2007/01/29,7046,1880
2007/01/30,6986,1880
2007/01/31,6967,1865
2007/02/01,6976,1925
