Date,MMI,OldMutual
2004/05/12,745,1136
2004/05/13,740,1150
2004/05/14,735,1115
2004/05/17,736,1110
2004/05/18,750,1102
2004/05/19,750,1110
2004/05/20,750,1111
2004/05/21,750,1103
2004/05/24,750,1095
2004/05/25,770,1098
2004/05/26,775,1125
2004/05/27,775,1137
2004/05/28,775,1137
2004/05/31,755,1151
2004/06/01,750,1130
2004/06/02,750,1126
2004/06/03,755,1131
2004/06/04,755,1138
2004/06/07,770,1155
2004/06/08,760,1181
2004/06/09,760,1192
2004/06/10,750,1180
2004/06/11,745,1175
2004/06/14,740,1185
2004/06/15,730,1160
2004/06/17,726,1185
2004/06/18,710,1170
2004/06/21,731,1167
2004/06/22,730,1165
2004/06/23,739,1169
2004/06/24,731,1166
2004/06/25,715,1170
2004/06/28,731,1167
2004/06/29,725,1185
2004/06/30,730,1165
2004/07/01,727,1170
2004/07/02,740,1160
2004/07/05,740,1160
2004/07/06,745,1165
2004/07/07,750,1161
2004/07/08,750,1139
2004/07/09,745,1144
2004/07/12,750,1139
2004/07/13,740,1160
2004/07/14,750,1132
2004/07/15,750,1125
2004/07/16,750,1112
2004/07/19,760,1090
2004/07/20,750,1101
2004/07/21,759,1148
2004/07/22,735,1140
2004/07/23,720,1152
2004/07/26,730,1151
2004/07/27,730,1188
2004/07/28,730,1206
2004/07/29,730,1200
2004/07/30,745,1189
2004/08/02,740,1196
2004/08/03,740,1200
2004/08/04,735,1205
2004/08/05,763,1192
2004/08/06,764,1155
2004/08/10,764,1166
2004/08/11,755,1160
2004/08/12,780,1170
2004/08/13,770,1162
2004/08/16,775,1197
2004/08/17,780,1175
2004/08/18,760,1171
2004/08/19,760,1185
2004/08/20,755,1195
2004/08/23,765,1229
2004/08/24,761,1234
2004/08/25,740,1241
2004/08/26,765,1250
2004/08/27,758,1270
2004/08/30,765,1265
2004/08/31,765,1272
2004/09/01,765,1270
2004/09/02,775,1284
2004/09/03,790,1295
2004/09/06,825,1300
2004/09/07,855,1278
2004/09/08,823,1275
2004/09/09,835,1270
2004/09/10,840,1268
2004/09/13,840,1275
2004/09/14,845,1281
2004/09/15,835,1276
2004/09/16,820,1300
2004/09/17,815,1288
2004/09/20,823,1266
2004/09/21,824,1275
2004/09/22,830,1280
2004/09/23,835,1271
2004/09/27,826,1265
2004/09/28,839,1275
2004/09/29,842,1310
2004/09/30,880,1328
2004/10/01,880,1352
2004/10/04,874,1358
2004/10/05,875,1375
2004/10/06,866,1367
2004/10/07,863,1358
2004/10/08,868,1345
2004/10/11,875,1348
2004/10/12,890,1326
2004/10/13,910,1332
2004/10/14,910,1328
2004/10/15,906,1328
2004/10/18,919,1300
2004/10/19,910,1306
2004/10/20,895,1290
2004/10/21,890,1300
2004/10/22,880,1299
2004/10/25,890,1297
2004/10/26,885,1325
2004/10/27,890,1313
2004/10/28,890,1296
2004/10/29,885,1292
2004/11/01,875,1298
2004/11/02,877,1326
2004/11/03,948,1335
2004/11/04,921,1330
2004/11/05,930,1330
2004/11/08,930,1360
2004/11/09,930,1385
2004/11/10,915,1382
2004/11/11,915,1390
2004/11/12,914,1390
2004/11/15,915,1387
2004/11/16,955,1372
2004/11/17,960,1370
2004/11/18,960,1395
2004/11/19,959,1418
2004/11/22,940,1400
2004/11/23,930,1404
2004/11/24,935,1405
2004/11/25,950,1403
2004/11/26,958,1420
2004/11/29,965,1432
2004/11/30,959,1470
2004/12/01,960,1465
2004/12/02,1000,1495
2004/12/03,1020,1504
2004/12/06,1020,1485
2004/12/07,1031,1485
2004/12/08,1050,1469
2004/12/09,1060,1442
2004/12/10,1050,1433
2004/12/13,1052,1428
2004/12/14,1040,1455
2004/12/15,1025,1471
2004/12/17,1050,1481
2004/12/20,1050,1480
2004/12/21,1050,1456
2004/12/22,1070,1452
2004/12/23,1075,1462
2004/12/24,1075,1439
2004/12/28,1085,1440
2004/12/29,1090,1450
2004/12/30,1088,1450
2004/12/31,1090,1430
2005/01/03,990,1450
