Date,Vodacom,MTN
2009/05/18,5880,11425
2009/05/19,5680,11900
2009/05/20,5680,12201
2009/05/21,5560,11800
2009/05/22,5675,11900
2009/05/25,5700,12990
2009/05/26,5549,12485
2009/05/27,5306,11950
2009/05/28,5225,11950
2009/05/29,5200,11535
2009/06/01,5365,12000
2009/06/02,5405,12351
2009/06/03,5380,12100
2009/06/04,5500,11701
2009/06/05,5580,11650
2009/06/08,5550,11900
2009/06/09,5464,11950
2009/06/10,5510,11775
2009/06/11,5490,12000
2009/06/12,5450,12050
2009/06/15,5499,12310
2009/06/17,5525,11849
2009/06/18,5398,11751
2009/06/19,5328,12125
2009/06/22,5340,11900
2009/06/23,5410,11950
2009/06/24,5600,12076
2009/06/25,5575,11851
2009/06/26,5600,11990
2009/06/29,5600,11900
2009/06/30,5720,11831
2009/07/01,5730,11900
2009/07/02,5401,11900
2009/07/03,5450,11930
2009/07/06,5410,12000
2009/07/07,5575,12100
2009/07/08,5700,11900
2009/07/09,5760,12001
2009/07/10,5798,11990
2009/07/13,5790,12025
2009/07/14,5715,12349
2009/07/15,5860,12889
2009/07/16,5840,12945
2009/07/17,5727,12990
2009/07/20,5800,12895
2009/07/21,5860,13129
2009/07/22,5800,12980
2009/07/23,5740,12651
2009/07/24,5700,12588
2009/07/27,5830,12625
2009/07/28,5820,12600
2009/07/29,5770,12540
2009/07/30,5785,12699
2009/07/31,5870,12800
2009/08/03,5780,12700
2009/08/04,5711,12799
2009/08/05,5650,12700
2009/08/06,5739,12900
2009/08/07,5700,13110
2009/08/11,5530,13169
2009/08/12,5486,13050
2009/08/13,5535,13000
2009/08/14,5568,13096
2009/08/17,5550,12701
2009/08/18,5550,12860
2009/08/19,5550,12720
2009/08/20,5600,12635
2009/08/21,5725,12650
2009/08/24,5755,12795
2009/08/25,5800,12701
2009/08/26,5900,12735
2009/08/27,5840,13100
2009/08/28,5733,13200
2009/08/31,5760,12750
2009/09/01,5780,12706
2009/09/02,5800,12795
2009/09/03,5850,12611
2009/09/04,5750,12450
2009/09/07,5750,12525
2009/09/08,5635,12461
2009/09/09,5500,12700
2009/09/10,5450,12730
2009/09/11,5450,12625
2009/09/14,5350,12362
2009/09/15,5365,12538
