Date,Mpact,Nampac
2011/07/11,1360,2225
2011/07/12,1345,2250
2011/07/13,1325,2245
2011/07/14,1316,2256
2011/07/15,1330,2257
2011/07/18,1315,2230
2011/07/19,1329,2245
2011/07/20,1349,2260
2011/07/21,1355,2244
2011/07/22,1354,2237
2011/07/25,1370,2250
2011/07/26,1386,2245
2011/07/27,1340,2250
2011/07/28,1360,2229
2011/07/29,1370,2217
2011/08/01,1349,2170
2011/08/02,1346,2145
2011/08/03,1340,2148
2011/08/04,1334,2117
2011/08/05,1320,2090
2011/08/08,1298,2095
2011/08/10,1273,2139
2011/08/11,1315,2100
2011/08/12,1310,2100
2011/08/15,1320,2155
2011/08/16,1322,2189
2011/08/17,1320,2175
2011/08/18,1310,2100
2011/08/19,1310,2100
2011/08/22,1300,2084
2011/08/23,1300,2079
2011/08/24,1300,2098
2011/08/25,1310,2057
2011/08/26,1310,2030
2011/08/29,1304,2036
2011/08/30,1316,2070
2011/08/31,1330,2075
2011/09/01,1325,2080
2011/09/02,1317,2066
2011/09/05,1329,2065
2011/09/06,1335,2081
2011/09/07,1350,2030
2011/09/08,1365,2045
2011/09/09,1378,2059
2011/09/12,1354,2046
2011/09/13,1335,2010
2011/09/14,1331,2035
2011/09/15,1362,2038
2011/09/16,1376,2060
2011/09/19,1360,2061
2011/09/20,1341,2070
2011/09/21,1327,2143
2011/09/22,1302,2065
2011/09/23,1344,2035
2011/09/26,1314,2035
2011/09/27,1316,2060
2011/09/28,1318,2067
2011/09/29,1334,2053
2011/09/30,1321,2087
2011/10/03,1320,2100
2011/10/04,1325,2058
2011/10/05,1330,2066
2011/10/06,1320,2024
2011/10/07,1325,2070
2011/10/10,1345,2115
2011/10/11,1340,2174
2011/10/12,1340,2170
2011/10/13,1340,2169
2011/10/14,1330,2180
2011/10/17,1350,2150
2011/10/18,1350,2160
2011/10/19,1360,2178
2011/10/20,1330,2100
2011/10/21,1350,2150
2011/10/24,1370,2180
2011/10/25,1360,2177
2011/10/26,1360,2180
2011/10/27,1395,2219
2011/10/28,1400,2236
2011/10/31,1375,2180
2011/11/01,1397,2210
2011/11/02,1374,2239
2011/11/03,1350,2250
2011/11/04,1361,2220
2011/11/07,1382,2240
