Date,Nedbank,RMB
2004/05/12,1124,1412
2004/05/13,1125,1460
2004/05/14,1120,1415
2004/05/17,1125,1450
2004/05/18,1120,1405
2004/05/19,1121,1482
2004/05/20,1120,1501
2004/05/21,1125,1513
2004/05/24,1125,1490
2004/05/25,1125,1508
2004/05/26,1130,1531
2004/05/27,1125,1587
2004/05/28,1115,1570
2004/05/31,1115,1590
2004/06/01,1100,1585
2004/06/02,1099,1605
2004/06/03,1099,1590
2004/06/04,1095,1592
2004/06/07,1120,1601
2004/06/08,1115,1600
2004/06/09,1115,1605
2004/06/10,1115,1586
2004/06/11,1110,1571
2004/06/14,1110,1614
2004/06/15,1110,1588
2004/06/17,1100,1600
2004/06/18,1105,1600
2004/06/21,1100,1600
2004/06/22,1105,1590
2004/06/23,1098,1589
2004/06/24,1098,1631
2004/06/25,1100,1590
2004/06/28,1100,1587
2004/06/29,1095,1600
2004/06/30,1095,1615
2004/07/01,1096,1611
2004/07/02,1110,1600
2004/07/05,1100,1610
2004/07/06,1110,1605
2004/07/07,1120,1610
2004/07/08,1118,1601
2004/07/09,1110,1600
2004/07/12,1105,1595
2004/07/13,1110,1625
2004/07/14,1110,1641
2004/07/15,1116,1656
2004/07/16,1110,1590
2004/07/19,1110,1570
2004/07/20,1110,1570
2004/07/21,1110,1610
2004/07/22,1120,1573
2004/07/23,1118,1590
2004/07/26,1123,1605
2004/07/27,1130,1610
2004/07/28,1135,1600
2004/07/29,1138,1580
2004/07/30,1136,1609
2004/08/02,1140,1599
2004/08/03,1145,1598
2004/08/04,1160,1590
2004/08/05,1163,1565
2004/08/06,1170,1549
2004/08/10,1170,1540
2004/08/11,1175,1525
2004/08/12,1169,1530
2004/08/13,1169,1530
2004/08/16,1170,1530
2004/08/17,1170,1515
2004/08/18,1173,1512
2004/08/19,1171,1509
2004/08/20,1170,1539
2004/08/23,1140,1580
2004/08/24,1140,1598
2004/08/25,1140,1600
2004/08/26,1100,1600
2004/08/27,1135,1620
2004/08/30,1135,1618
2004/08/31,1133,1615
2004/09/01,1145,1635
2004/09/02,1140,1665
2004/09/03,1131,1660
2004/09/06,1150,1650
2004/09/07,1150,1670
2004/09/08,1165,1679
2004/09/09,1175,1708
2004/09/10,1175,1699
2004/09/13,1175,1705
2004/09/14,1175,1708
2004/09/15,1140,1715
2004/09/16,1135,1735
2004/09/17,1140,1770
2004/09/20,1131,1810
2004/09/21,1125,1841
2004/09/22,1135,1810
2004/09/23,1140,1800
2004/09/27,1146,1815
2004/09/28,1140,1816
2004/09/29,1137,1897
2004/09/30,1135,1879
2004/10/01,1135,1880
2004/10/04,1137,1875
2004/10/05,1130,1845
2004/10/06,1121,1865
2004/10/07,1130,1840
2004/10/08,1160,1795
2004/10/11,1160,1820
2004/10/12,1160,1802
2004/10/13,1150,1815
2004/10/14,1150,1820
2004/10/15,1150,1850
2004/10/18,1148,1813
2004/10/19,1150,1845
2004/10/20,1150,1800
2004/10/21,1145,1850
2004/10/22,1140,1865
2004/10/25,1139,1789
2004/10/26,1148,1865
2004/10/27,1130,1867
2004/10/28,1130,1851
2004/10/29,1135,1880
2004/11/01,1140,1948
2004/11/02,1145,1930
2004/11/03,1140,1920
2004/11/04,1145,1945
2004/11/05,1140,1983
2004/11/08,1145,2020
2004/11/09,1140,1980
2004/11/10,1170,1950
2004/11/11,1165,1980
2004/11/12,1175,1980
2004/11/15,1175,1975
2004/11/16,1185,1975
2004/11/17,1185,1975
2004/11/18,1170,1981
2004/11/19,1173,1975
2004/11/22,1190,1965
2004/11/23,1190,1951
2004/11/24,1185,2000
2004/11/25,1180,2125
2004/11/26,1185,2100
2004/11/29,1185,2120
2004/11/30,1184,2100
2004/12/01,1180,2105
2004/12/02,1180,2165
2004/12/03,1180,2169
2004/12/06,1180,2150
2004/12/07,1180,2135
2004/12/08,1180,2105
2004/12/09,1200,2100
2004/12/10,1200,2100
2004/12/13,1210,2151
2004/12/14,1245,2160
2004/12/15,1271,2150
2004/12/17,1300,2190
2004/12/20,1317,2190
2004/12/21,1342,2185
2004/12/22,1370,2190
2004/12/23,1307,2190
2004/12/24,1300,2185
2004/12/28,1310,2185
2004/12/29,1300,2185
2004/12/30,1310,2190
2004/12/31,1200,2176
2005/01/03,1220,2210
2005/01/04,1225,2200
2005/01/05,1266,2200
2005/01/06,1290,2130
2005/01/07,1295,2120
2005/01/10,1300,2140
2005/01/11,1305,2120
2005/01/12,1308,2125
2005/01/13,1305,2125
2005/01/14,1304,2105
2005/01/17,1295,2091
2005/01/18,1260,2049
2005/01/19,1230,2050
2005/01/20,1235,2021
2005/01/21,1240,2060
2005/01/24,1235,2050
2005/01/25,1225,2040
2005/01/26,1230,2055
2005/01/27,1250,2095
2005/01/28,1265,2110
2005/01/31,1250,2150
2005/02/01,1246,2149
2005/02/02,1241,2120
2005/02/03,1240,2129
2005/02/04,1210,2125
2005/02/07,1240,2090
2005/02/08,1230,2050
2005/02/09,1240,2120
2005/02/10,1250,2150
2005/02/11,1250,2135
2005/02/14,1250,2115
2005/02/15,1250,2150
2005/02/16,1250,2160
2005/02/17,1250,2205
2005/02/18,1250,2181
2005/02/21,1220,2200
2005/02/22,1220,2200
2005/02/23,1230,2200
2005/02/24,1235,2180
2005/02/25,1250,2229
2005/02/28,1225,2175
2005/03/01,1250,2160
2005/03/02,1240,2165
2005/03/03,1240,2160
2005/03/04,1250,2210
2005/03/07,1250,2215
2005/03/08,1240,2215
2005/03/09,1250,2240
2005/03/10,1250,2215
2005/03/11,1250,2220
2005/03/14,1195,2239
2005/03/15,1196,2219
2005/03/16,1200,2160
2005/03/17,1180,2133
2005/03/18,1180,2116
2005/03/22,1150,2145
2005/03/23,1175,2076
2005/03/24,1160,2080
2005/03/29,1180,2075
2005/03/30,1180,2087
2005/03/31,1190,2143
2005/04/01,1200,2200
2005/04/04,1198,2173
2005/04/05,1195,2094
2005/04/06,1200,2106
2005/04/07,1200,2075
2005/04/08,1200,2118
2005/04/11,1200,2101
2005/04/12,1220,2070
2005/04/13,1220,2058
2005/04/14,1215,2107
2005/04/15,1215,2117
2005/04/18,1230,2135
2005/04/19,1230,2106
2005/04/20,1230,2100
2005/04/21,1220,2100
2005/04/22,1215,2079
2005/04/25,1230,2055
2005/04/26,1230,2130
2005/04/28,1210,2095
2005/04/29,1210,2065
2005/05/03,1210,2087
2005/05/04,1210,2135
2005/05/05,1230,2179
2005/05/06,1230,2205
2005/05/09,1201,2270
2005/05/10,1205,2250
2005/05/11,1210,2269
2005/05/12,1210,2200
2005/05/13,1210,2201
2005/05/16,1210,2230
2005/05/17,1210,2200
2005/05/18,1205,2220
2005/05/19,1185,2220
2005/05/20,1175,2205
2005/05/23,1200,2211
2005/05/24,1210,2209
2005/05/25,1210,2260
2005/05/26,1210,2245
2005/05/27,1210,2240
2005/05/30,1210,2218
2005/05/31,1210,2155
2005/06/01,1206,2168
2005/06/02,1215,2165
2005/06/03,1195,2225
2005/06/06,1203,2279
2005/06/07,1210,2325
2005/06/08,1210,2311
2005/06/09,1215,2318
2005/06/10,1210,2313
2005/06/13,1210,2299
2005/06/14,1209,2227
2005/06/15,1209,2299
2005/06/17,1209,2281
2005/06/20,1209,2299
2005/06/21,1208,2297
2005/06/22,1206,2300
2005/06/23,1209,2289
2005/06/24,1195,2235
2005/06/27,1190,2215
2005/06/28,1196,2235
2005/06/29,1209,2248
2005/06/30,1209,2225
2005/07/01,1198,2202
2005/07/04,1190,2202
2005/07/05,1200,2225
2005/07/06,1200,2213
2005/07/07,1208,2195
2005/07/08,1200,2245
2005/07/11,1205,2255
2005/07/12,1210,2345
2005/07/13,1215,2400
2005/07/14,1220,2470
2005/07/15,1227,2390
2005/07/18,1230,2459
2005/07/19,1221,2520
2005/07/20,1226,2480
2005/07/21,1245,2490
2005/07/22,1245,2520
2005/07/25,1240,2510
2005/07/26,1244,2500
2005/07/27,1240,2530
2005/07/28,1241,2550
2005/07/29,1240,2505
2005/08/01,1235,2525
2005/08/02,1235,2579
2005/08/03,1230,2570
2005/08/04,1217,2535
2005/08/05,1205,2557
2005/08/08,1205,2600
2005/08/10,1211,2699
2005/08/11,1217,2650
2005/08/12,1255,2630
2005/08/15,1255,2563
2005/08/16,1230,2600
2005/08/17,1194,2514
2005/08/18,1200,2486
2005/08/19,1200,2514
2005/08/22,1156,2549
2005/08/23,1160,2551
2005/08/24,1150,2503
2005/08/25,1165,2485
2005/08/26,1160,2420
2005/08/29,1160,2444
2005/08/30,1160,2406
2005/08/31,1160,2405
2005/09/01,1166,2480
2005/09/02,1160,2574
2005/09/05,1160,2558
2005/09/06,1165,2575
2005/09/07,1180,2649
2005/09/08,1195,2615
2005/09/09,1185,2590
2005/09/12,1179,2620
2005/09/13,1180,2650
2005/09/14,1193,2630
2005/09/15,1189,2665
2005/09/16,1175,2636
2005/09/19,1180,2590
2005/09/20,1180,2630
2005/09/21,1181,2620
2005/09/22,1189,2580
2005/09/23,1189,2540
2005/09/26,1170,2619
2005/09/27,1170,2615
2005/09/28,1195,2600
2005/09/29,1200,2619
2005/09/30,1195,2620
2005/10/03,1180,2570
2005/10/04,1165,2540
2005/10/05,1170,2539
2005/10/06,1195,2465
2005/10/07,1175,2456
2005/10/10,1194,2475
2005/10/11,1199,2532
2005/10/12,1200,2528
2005/10/13,1200,2436
2005/10/14,1199,2430
2005/10/17,1199,2434
2005/10/18,1199,2386
2005/10/19,1199,2333
2005/10/20,1199,2449
2005/10/21,1199,2405
2005/10/24,1199,2510
2005/10/25,1202,2492
2005/10/26,1200,2535
2005/10/27,1210,2474
2005/10/28,1210,2500
2005/10/31,1210,2420
2005/11/01,1215,2440
2005/11/02,1211,2480
2005/11/03,1215,2536
2005/11/04,1220,2450
2005/11/07,1230,2460
2005/11/08,1230,2390
2005/11/09,1225,2420
2005/11/10,1225,2507
2005/11/11,1230,2506
2005/11/14,1230,2624
2005/11/15,1235,2545
2005/11/16,1240,2539
2005/11/17,1239,2524
2005/11/18,1235,2475
2005/11/21,1236,2475
2005/11/22,1245,2410
2005/11/23,1250,2436
2005/11/24,1255,2500
2005/11/25,1250,2453
2005/11/28,1251,2425
2005/11/29,1255,2410
2005/11/30,1249,2400
2005/12/01,1245,2401
2005/12/02,1245,2475
2005/12/05,1225,2475
2005/12/06,1245,2550
2005/12/07,1241,2655
2005/12/08,1240,2640
