Date,OldMutual,Sanlam
2004/05/12,1136,841
2004/05/13,1150,855
2004/05/14,1115,855
2004/05/17,1110,845
2004/05/18,1102,830
2004/05/19,1110,844
2004/05/20,1111,845
2004/05/21,1103,843
2004/05/24,1095,835
2004/05/25,1098,830
2004/05/26,1125,850
2004/05/27,1137,860
2004/05/28,1137,885
2004/05/31,1151,892
2004/06/01,1130,890
2004/06/02,1126,896
2004/06/03,1131,885
2004/06/04,1138,866
2004/06/07,1155,885
2004/06/08,1181,870
2004/06/09,1192,860
2004/06/10,1180,853
2004/06/11,1175,849
2004/06/14,1185,850
2004/06/15,1160,850
2004/06/17,1185,850
2004/06/18,1170,850
2004/06/21,1167,857
2004/06/22,1165,846
2004/06/23,1169,840
2004/06/24,1166,850
2004/06/25,1170,880
2004/06/28,1167,884
2004/06/29,1185,880
2004/06/30,1165,880
2004/07/01,1170,890
2004/07/02,1160,871
2004/07/05,1160,861
2004/07/06,1165,869
2004/07/07,1161,850
2004/07/08,1139,835
2004/07/09,1144,850
2004/07/12,1139,855
2004/07/13,1160,861
2004/07/14,1132,845
2004/07/15,1125,853
2004/07/16,1112,840
2004/07/19,1090,840
2004/07/20,1101,845
2004/07/21,1148,858
2004/07/22,1140,850
2004/07/23,1152,865
2004/07/26,1151,875
2004/07/27,1188,870
2004/07/28,1206,878
2004/07/29,1200,870
2004/07/30,1189,875
2004/08/02,1196,868
2004/08/03,1200,882
2004/08/04,1205,890
2004/08/05,1192,865
2004/08/06,1155,850
2004/08/10,1166,860
2004/08/11,1160,850
2004/08/12,1170,860
2004/08/13,1162,850
2004/08/16,1197,864
2004/08/17,1175,855
2004/08/18,1171,850
2004/08/19,1185,850
2004/08/20,1195,845
2004/08/23,1229,871
2004/08/24,1234,874
2004/08/25,1241,890
2004/08/26,1250,896
2004/08/27,1270,898
2004/08/30,1265,895
2004/08/31,1272,897
2004/09/01,1270,915
2004/09/02,1284,939
2004/09/03,1295,991
2004/09/06,1300,970
2004/09/07,1278,963
2004/09/08,1275,965
2004/09/09,1270,985
2004/09/10,1268,970
2004/09/13,1275,990
2004/09/14,1281,977
2004/09/15,1276,987
2004/09/16,1300,1005
2004/09/17,1288,995
2004/09/20,1266,999
2004/09/21,1275,1010
2004/09/22,1280,999
2004/09/23,1271,1047
2004/09/27,1265,1075
2004/09/28,1275,1082
2004/09/29,1310,1075
2004/09/30,1328,1096
