Date,SBK,First Rand
2004/05/12,3890,935
2004/05/13,3850,935
2004/05/14,3726,902
2004/05/17,3825,925
2004/05/18,3800,915
2004/05/19,3972,960
2004/05/20,4001,971
2004/05/21,4001,955
2004/05/24,3905,930
2004/05/25,3930,955
2004/05/26,4065,975
2004/05/27,4200,1012
2004/05/28,4200,1000
2004/05/31,4200,1018
2004/06/01,4211,1010
2004/06/02,4280,1005
2004/06/03,4262,996
2004/06/04,4250,1000
2004/06/07,4350,1010
2004/06/08,4320,1020
2004/06/09,4290,1020
2004/06/10,4240,1007
2004/06/11,4180,1000
2004/06/14,4200,1015
2004/06/15,4230,1011
2004/06/17,4210,1005
2004/06/18,4229,1014
2004/06/21,4234,1020
2004/06/22,4295,1005
2004/06/23,4211,1015
2004/06/24,4310,1024
2004/06/25,4290,1010
2004/06/28,4217,1008
2004/06/29,4320,1020
2004/06/30,4300,1019
2004/07/01,4330,1010
2004/07/02,4290,1000
2004/07/05,4335,1019
2004/07/06,4300,1010
2004/07/07,4290,1010
2004/07/08,4235,1008
2004/07/09,4250,997
2004/07/12,4270,1005
2004/07/13,4345,1031
2004/07/14,4410,1027
2004/07/15,4375,1042
2004/07/16,4290,1010
2004/07/19,4279,1000
2004/07/20,4275,995
2004/07/21,4369,1015
2004/07/22,4310,1008
2004/07/23,4350,1010
2004/07/26,4310,1005
2004/07/27,4363,1010
2004/07/28,4350,1012
2004/07/29,4270,995
2004/07/30,4290,1004
2004/08/02,4330,1000
2004/08/03,4360,1003
2004/08/04,4330,1003
2004/08/05,4260,995
2004/08/06,4166,982
2004/08/10,4170,980
2004/08/11,4180,975
2004/08/12,4310,996
2004/08/13,4260,987
2004/08/16,4280,984
2004/08/17,4290,979
2004/08/18,4207,983
2004/08/19,4195,980
2004/08/20,4239,990
2004/08/23,4365,1020
2004/08/24,4387,1036
2004/08/25,4364,1036
2004/08/26,4367,1050
2004/08/27,4400,1061
2004/08/30,4410,1055
2004/08/31,4439,1069
2004/09/01,4530,1080
2004/09/02,4600,1090
2004/09/03,4600,1098
2004/09/06,4550,1080
2004/09/07,4590,1084
2004/09/08,4601,1091
2004/09/09,4685,1112
2004/09/10,4660,1098
2004/09/13,4765,1110
2004/09/14,4821,1125
2004/09/15,4655,1124
2004/09/16,4750,1145
2004/09/17,4750,1160
2004/09/20,4810,1185
2004/09/21,4880,1180
2004/09/22,4750,1160
2004/09/23,4800,1173
2004/09/27,4900,1170
2004/09/28,4875,1180
2004/09/29,4990,1210
2004/09/30,5091,1212
2004/10/01,5100,1210
2004/10/04,5140,1193
2004/10/05,5120,1190
2004/10/06,5160,1200
2004/10/07,5140,1199
2004/10/08,5040,1180
2004/10/11,5080,1185
2004/10/12,5001,1160
2004/10/13,4981,1170
2004/10/14,5000,1185
2004/10/15,5070,1192
2004/10/18,5060,1190
2004/10/19,5225,1190
2004/10/20,5165,1185
2004/10/21,5220,1195
2004/10/22,5136,1196
2004/10/25,5120,1175
2004/10/26,5250,1210
2004/10/27,5340,1226
2004/10/28,5399,1220
2004/10/29,5380,1215
2004/11/01,5401,1250
2004/11/02,5397,1260
2004/11/03,5400,1237
2004/11/04,5550,1244
2004/11/05,5700,1265
2004/11/08,6000,1290
