Date,SBK,Nedbank
2004/05/12,3890,1124
2004/05/13,3850,1125
2004/05/14,3726,1120
2004/05/17,3825,1125
2004/05/18,3800,1120
2004/05/19,3972,1121
2004/05/20,4001,1120
2004/05/21,4001,1125
2004/05/24,3905,1125
2004/05/25,3930,1125
2004/05/26,4065,1130
2004/05/27,4200,1125
2004/05/28,4200,1115
2004/05/31,4200,1115
2004/06/01,4211,1100
2004/06/02,4280,1099
2004/06/03,4262,1099
2004/06/04,4250,1095
2004/06/07,4350,1120
2004/06/08,4320,1115
2004/06/09,4290,1115
2004/06/10,4240,1115
2004/06/11,4180,1110
2004/06/14,4200,1110
2004/06/15,4230,1110
2004/06/17,4210,1100
2004/06/18,4229,1105
2004/06/21,4234,1100
2004/06/22,4295,1105
2004/06/23,4211,1098
2004/06/24,4310,1098
2004/06/25,4290,1100
2004/06/28,4217,1100
2004/06/29,4320,1095
2004/06/30,4300,1095
2004/07/01,4330,1096
2004/07/02,4290,1110
2004/07/05,4335,1100
2004/07/06,4300,1110
2004/07/07,4290,1120
2004/07/08,4235,1118
2004/07/09,4250,1110
2004/07/12,4270,1105
2004/07/13,4345,1110
2004/07/14,4410,1110
2004/07/15,4375,1116
2004/07/16,4290,1110
2004/07/19,4279,1110
2004/07/20,4275,1110
2004/07/21,4369,1110
2004/07/22,4310,1120
2004/07/23,4350,1118
2004/07/26,4310,1123
2004/07/27,4363,1130
2004/07/28,4350,1135
2004/07/29,4270,1138
2004/07/30,4290,1136
2004/08/02,4330,1140
2004/08/03,4360,1145
2004/08/04,4330,1160
2004/08/05,4260,1163
2004/08/06,4166,1170
2004/08/10,4170,1170
2004/08/11,4180,1175
2004/08/12,4310,1169
2004/08/13,4260,1169
2004/08/16,4280,1170
2004/08/17,4290,1170
2004/08/18,4207,1173
2004/08/19,4195,1171
2004/08/20,4239,1170
2004/08/23,4365,1140
2004/08/24,4387,1140
2004/08/25,4364,1140
2004/08/26,4367,1100
2004/08/27,4400,1135
2004/08/30,4410,1135
2004/08/31,4439,1133
2004/09/01,4530,1145
2004/09/02,4600,1140
2004/09/03,4600,1131
2004/09/06,4550,1150
2004/09/07,4590,1150
2004/09/08,4601,1165
2004/09/09,4685,1175
2004/09/10,4660,1175
2004/09/13,4765,1175
2004/09/14,4821,1175
2004/09/15,4655,1140
2004/09/16,4750,1135
2004/09/17,4750,1140
2004/09/20,4810,1131
2004/09/21,4880,1125
2004/09/22,4750,1135
2004/09/23,4800,1140
2004/09/27,4900,1146
2004/09/28,4875,1140
2004/09/29,4990,1137
2004/09/30,5091,1135
2004/10/01,5100,1135
2004/10/04,5140,1137
2004/10/05,5120,1130
2004/10/06,5160,1121
2004/10/07,5140,1130
2004/10/08,5040,1160
2004/10/11,5080,1160
2004/10/12,5001,1160
2004/10/13,4981,1150
2004/10/14,5000,1150
2004/10/15,5070,1150
2004/10/18,5060,1148
2004/10/19,5225,1150
2004/10/20,5165,1150
2004/10/21,5220,1145
2004/10/22,5136,1140
2004/10/25,5120,1139
2004/10/26,5250,1148
2004/10/27,5340,1130
2004/10/28,5399,1130
2004/10/29,5380,1135
2004/11/01,5401,1140
2004/11/02,5397,1145
2004/11/03,5400,1140
2004/11/04,5550,1145
2004/11/05,5700,1140
2004/11/08,6000,1145
2004/11/09,5900,1140
2004/11/10,5770,1170
2004/11/11,5740,1165
2004/11/12,5700,1175
2004/11/15,5645,1175
2004/11/16,5720,1185
2004/11/17,5780,1185
2004/11/18,5810,1170
2004/11/19,5800,1173
2004/11/22,5700,1190
2004/11/23,5625,1190
2004/11/24,5690,1185
2004/11/25,5850,1180
2004/11/26,5975,1185
2004/11/29,6035,1185
2004/11/30,6200,1184
2004/12/01,6175,1180
2004/12/02,6000,1180
2004/12/03,5849,1180
2004/12/06,5880,1180
2004/12/07,5940,1180
2004/12/08,5900,1180
2004/12/09,5939,1200
2004/12/10,5964,1200
2004/12/13,6101,1210
2004/12/14,6165,1245
2004/12/15,6195,1271
2004/12/17,6205,1300
2004/12/20,6210,1317
2004/12/21,6210,1342
2004/12/22,6350,1370
2004/12/23,6384,1307
2004/12/24,6440,1300
2004/12/28,6650,1310
2004/12/29,6680,1300
2004/12/30,6589,1310
2004/12/31,6580,1200
2005/01/03,6580,1220
2005/01/04,6550,1225
2005/01/05,6296,1266
2005/01/06,6160,1290
2005/01/07,6140,1295
2005/01/10,6200,1300
2005/01/11,6175,1305
2005/01/12,6100,1308
2005/01/13,6040,1305
2005/01/14,5990,1304
2005/01/17,5980,1295
2005/01/18,5815,1260
2005/01/19,5910,1230
2005/01/20,5909,1235
2005/01/21,6000,1240
2005/01/24,6050,1235
2005/01/25,6170,1225
2005/01/26,6280,1230
2005/01/27,6530,1250
2005/01/28,6400,1265
2005/01/31,6481,1250
2005/02/01,6349,1246
2005/02/02,6125,1241
2005/02/03,6230,1240
2005/02/04,6295,1210
2005/02/07,6110,1240
2005/02/08,6170,1230
2005/02/09,6300,1240
2005/02/10,6450,1250
2005/02/11,6500,1250
2005/02/14,6360,1250
2005/02/15,6350,1250
2005/02/16,6345,1250
2005/02/17,6330,1250
2005/02/18,6300,1250
2005/02/21,6300,1220
2005/02/22,6490,1220
2005/02/23,6400,1230
2005/02/24,6375,1235
2005/02/25,6450,1250
2005/02/28,6427,1225
2005/03/01,6360,1250
2005/03/02,6330,1240
2005/03/03,6400,1240
2005/03/04,6558,1250
2005/03/07,6510,1250
2005/03/08,6580,1240
2005/03/09,6560,1250
2005/03/10,6460,1250
2005/03/11,6405,1250
2005/03/14,6450,1195
2005/03/15,6395,1196
2005/03/16,6185,1200
2005/03/17,6100,1180
2005/03/18,6279,1180
2005/03/22,6300,1150
2005/03/23,6200,1175
2005/03/24,6200,1160
2005/03/29,6080,1180
2005/03/30,6180,1180
2005/03/31,6288,1190
2005/04/01,6290,1200
2005/04/04,6200,1198
2005/04/05,6100,1195
2005/04/06,6240,1200
2005/04/07,6350,1200
2005/04/08,6335,1200
2005/04/11,6270,1200
2005/04/12,6170,1220
2005/04/13,6035,1220
2005/04/14,6193,1215
2005/04/15,6201,1215
2005/04/18,6160,1230
2005/04/19,6130,1230
2005/04/20,6035,1230
2005/04/21,6121,1220
2005/04/22,6150,1215
2005/04/25,6201,1230
2005/04/26,6380,1230
2005/04/28,6139,1210
