Date,SBK,RMB
2004/05/12,3890,1412
2004/05/13,3850,1460
2004/05/14,3726,1415
2004/05/17,3825,1450
2004/05/18,3800,1405
2004/05/19,3972,1482
2004/05/20,4001,1501
2004/05/21,4001,1513
2004/05/24,3905,1490
2004/05/25,3930,1508
2004/05/26,4065,1531
2004/05/27,4200,1587
2004/05/28,4200,1570
2004/05/31,4200,1590
2004/06/01,4211,1585
2004/06/02,4280,1605
2004/06/03,4262,1590
2004/06/04,4250,1592
2004/06/07,4350,1601
2004/06/08,4320,1600
2004/06/09,4290,1605
2004/06/10,4240,1586
2004/06/11,4180,1571
2004/06/14,4200,1614
2004/06/15,4230,1588
2004/06/17,4210,1600
2004/06/18,4229,1600
2004/06/21,4234,1600
2004/06/22,4295,1590
2004/06/23,4211,1589
2004/06/24,4310,1631
2004/06/25,4290,1590
2004/06/28,4217,1587
2004/06/29,4320,1600
2004/06/30,4300,1615
2004/07/01,4330,1611
2004/07/02,4290,1600
2004/07/05,4335,1610
2004/07/06,4300,1605
2004/07/07,4290,1610
2004/07/08,4235,1601
2004/07/09,4250,1600
2004/07/12,4270,1595
2004/07/13,4345,1625
2004/07/14,4410,1641
2004/07/15,4375,1656
2004/07/16,4290,1590
2004/07/19,4279,1570
2004/07/20,4275,1570
2004/07/21,4369,1610
2004/07/22,4310,1573
2004/07/23,4350,1590
2004/07/26,4310,1605
2004/07/27,4363,1610
2004/07/28,4350,1600
2004/07/29,4270,1580
2004/07/30,4290,1609
2004/08/02,4330,1599
2004/08/03,4360,1598
2004/08/04,4330,1590
2004/08/05,4260,1565
2004/08/06,4166,1549
2004/08/10,4170,1540
2004/08/11,4180,1525
2004/08/12,4310,1530
2004/08/13,4260,1530
2004/08/16,4280,1530
2004/08/17,4290,1515
2004/08/18,4207,1512
2004/08/19,4195,1509
2004/08/20,4239,1539
2004/08/23,4365,1580
2004/08/24,4387,1598
2004/08/25,4364,1600
2004/08/26,4367,1600
2004/08/27,4400,1620
2004/08/30,4410,1618
2004/08/31,4439,1615
2004/09/01,4530,1635
2004/09/02,4600,1665
2004/09/03,4600,1660
2004/09/06,4550,1650
2004/09/07,4590,1670
2004/09/08,4601,1679
2004/09/09,4685,1708
2004/09/10,4660,1699
