Date,Truworth,MrPrice
2004/05/12,1000,780
2004/05/13,980,781
2004/05/14,980,780
2004/05/17,970,760
2004/05/18,960,760
2004/05/19,970,765
2004/05/20,966,750
2004/05/21,982,750
2004/05/24,965,761
2004/05/25,967,755
2004/05/26,975,775
2004/05/27,961,780
2004/05/28,943,790
2004/05/31,955,805
2004/06/01,975,820
2004/06/02,974,820
2004/06/03,975,820
2004/06/04,970,805
2004/06/07,970,810
2004/06/08,975,810
2004/06/09,975,810
2004/06/10,976,810
2004/06/11,975,815
2004/06/14,1000,810
2004/06/15,985,810
2004/06/17,951,811
2004/06/18,975,820
2004/06/21,975,795
2004/06/22,985,785
2004/06/23,992,800
2004/06/24,994,800
2004/06/25,980,810
2004/06/28,1005,815
2004/06/29,1005,810
2004/06/30,1011,810
2004/07/01,1020,815
2004/07/02,1040,815
2004/07/05,1050,815
2004/07/06,1020,814
2004/07/07,1015,825
2004/07/08,1025,830
2004/07/09,1030,815
2004/07/12,1025,810
2004/07/13,1025,810
2004/07/14,1040,825
2004/07/15,1040,830
2004/07/16,1038,825
2004/07/19,1030,825
2004/07/20,1025,825
2004/07/21,1024,825
2004/07/22,1015,825
2004/07/23,1000,825
2004/07/26,1020,825
2004/07/27,1015,825
2004/07/28,1015,824
2004/07/29,1000,825
2004/07/30,1025,825
2004/08/02,1050,822
2004/08/03,1010,820
2004/08/04,1035,814
2004/08/05,1038,800
2004/08/06,1031,799
2004/08/10,1040,800
2004/08/11,1029,790
2004/08/12,1050,800
2004/08/13,1050,795
2004/08/16,1062,795
2004/08/17,1050,781
2004/08/18,1040,770
2004/08/19,1050,798
2004/08/20,1050,785
2004/08/23,1046,780
2004/08/24,1050,785
2004/08/25,1055,795
2004/08/26,1050,790
2004/08/27,1060,790
2004/08/30,1050,790
2004/08/31,1060,800
2004/09/01,1095,820
2004/09/02,1130,820
2004/09/03,1175,840
2004/09/06,1130,837
2004/09/07,1126,835
2004/09/08,1160,825
2004/09/09,1210,835
2004/09/10,1200,830
2004/09/13,1179,821
2004/09/14,1165,810
2004/09/15,1190,816
2004/09/16,1200,819
2004/09/17,1210,829
2004/09/20,1250,825
2004/09/21,1280,825
2004/09/22,1270,850
2004/09/23,1280,840
2004/09/27,1290,845
2004/09/28,1319,869
2004/09/29,1294,885
2004/09/30,1280,890
2004/10/01,1250,900
2004/10/04,1275,900
2004/10/05,1270,910
2004/10/06,1275,890
2004/10/07,1280,880
2004/10/08,1280,864
2004/10/11,1275,855
2004/10/12,1265,840
2004/10/13,1260,846
2004/10/14,1257,850
2004/10/15,1260,860
2004/10/18,1260,870
2004/10/19,1285,875
2004/10/20,1300,875
2004/10/21,1294,880
2004/10/22,1279,880
2004/10/25,1285,880
2004/10/26,1269,880
2004/10/27,1249,899
2004/10/28,1300,891
2004/10/29,1399,900
2004/11/01,1399,960
2004/11/02,1400,975
2004/11/03,1430,990
2004/11/04,1500,980
2004/11/05,1515,990
2004/11/08,1575,990
2004/11/09,1575,1026
2004/11/10,1620,1050
2004/11/11,1599,1075
2004/11/12,1590,1090
2004/11/15,1600,1080
2004/11/16,1594,1080
2004/11/17,1555,1100
2004/11/18,1550,1095
2004/11/19,1555,1095
2004/11/22,1544,1090
2004/11/23,1532,1080
2004/11/24,1550,1080
2004/11/25,1565,1090
2004/11/26,1650,1099
2004/11/29,1635,1105
2004/11/30,1675,1130
2004/12/01,1650,1130
2004/12/02,1650,1150
2004/12/03,1620,1150
2004/12/06,1592,1135
2004/12/07,1570,1085
2004/12/08,1530,1044
2004/12/09,1550,1020
2004/12/10,1575,1040
2004/12/13,1595,1060
2004/12/14,1600,1090
2004/12/15,1600,1110
2004/12/17,1627,1110
2004/12/20,1615,1115
2004/12/21,1650,1112
2004/12/22,1681,1136
2004/12/23,1715,1160
2004/12/24,1715,1170
2004/12/28,1715,1200
2004/12/29,1725,1220
2004/12/30,1715,1220
2004/12/31,1710,1244
2005/01/03,1720,1240
2005/01/04,1715,1252
2005/01/05,1650,1230
2005/01/06,1600,1190
2005/01/07,1615,1170
2005/01/10,1610,1148
2005/01/11,1620,1120
2005/01/12,1590,1055
2005/01/13,1620,1090
2005/01/14,1578,1100
2005/01/17,1570,1125
2005/01/18,1574,1115
2005/01/19,1615,1102
2005/01/20,1610,1130
2005/01/21,1661,1113
2005/01/24,1705,1130
2005/01/25,1670,1130
2005/01/26,1698,1132
2005/01/27,1715,1140
2005/01/28,1720,1140
2005/01/31,1700,1143
2005/02/01,1650,1115
2005/02/02,1615,1135
2005/02/03,1625,1130
2005/02/04,1595,1120
2005/02/07,1605,1100
2005/02/08,1600,1100
2005/02/09,1600,1100
2005/02/10,1600,1090
2005/02/11,1612,1100
2005/02/14,1640,1100
2005/02/15,1640,1125
2005/02/16,1640,1125
2005/02/17,1635,1095
2005/02/18,1647,1095
2005/02/21,1661,1110
2005/02/22,1690,1150
2005/02/23,1750,1170
2005/02/24,1773,1180
2005/02/25,1800,1200
2005/02/28,1740,1200
2005/03/01,1730,1101
