Date,Woolies,TFG
2004/05/12,720,1984
2004/05/13,726,1985
2004/05/14,725,1950
2004/05/17,728,1970
2004/05/18,720,1955
2004/05/19,722,1940
2004/05/20,720,1911
2004/05/21,715,1910
2004/05/24,715,1930
2004/05/25,707,1945
2004/05/26,701,1961
2004/05/27,725,2000
2004/05/28,705,1995
2004/05/31,720,2010
2004/06/01,712,2000
2004/06/02,712,2000
2004/06/03,712,2000
2004/06/04,710,2000
2004/06/07,701,2020
2004/06/08,710,2080
2004/06/09,716,2090
2004/06/10,708,2079
2004/06/11,706,2070
2004/06/14,708,2060
2004/06/15,710,2070
2004/06/17,703,2070
2004/06/18,716,2090
2004/06/21,720,2110
2004/06/22,720,2120
2004/06/23,705,2100
2004/06/24,720,2114
2004/06/25,710,2115
2004/06/28,702,2120
2004/06/29,710,2141
2004/06/30,710,2190
2004/07/01,725,2201
2004/07/02,727,2225
2004/07/05,729,2176
2004/07/06,730,2219
2004/07/07,726,2235
2004/07/08,725,2251
2004/07/09,730,2300
2004/07/12,725,2235
2004/07/13,750,2250
2004/07/14,750,2290
2004/07/15,750,2300
2004/07/16,740,2298
2004/07/19,730,2300
2004/07/20,740,2290
2004/07/21,749,2287
2004/07/22,739,2230
2004/07/23,739,2220
2004/07/26,738,2205
2004/07/27,746,2212
2004/07/28,760,2224
2004/07/29,752,2225
2004/07/30,765,2250
2004/08/02,775,2270
2004/08/03,775,2270
2004/08/04,780,2290
2004/08/05,780,2285
2004/08/06,770,2260
2004/08/10,761,2250
2004/08/11,740,2206
2004/08/12,760,2250
2004/08/13,760,2215
2004/08/16,775,2270
2004/08/17,765,2250
2004/08/18,776,2201
2004/08/19,767,2246
2004/08/20,775,2270
2004/08/23,780,2250
2004/08/24,784,2245
2004/08/25,782,2260
2004/08/26,783,2270
2004/08/27,785,2290
2004/08/30,775,2321
2004/08/31,793,2410
2004/09/01,800,2430
2004/09/02,810,2485
2004/09/03,840,2530
2004/09/06,810,2550
2004/09/07,825,2570
2004/09/08,820,2585
2004/09/09,860,2654
2004/09/10,841,2657
2004/09/13,832,2670
2004/09/14,825,2680
2004/09/15,839,2700
2004/09/16,863,2700
2004/09/17,875,2668
2004/09/20,875,2740
2004/09/21,890,2851
2004/09/22,889,2830
2004/09/23,875,2880
2004/09/27,880,2932
2004/09/28,895,2950
2004/09/29,890,2945
2004/09/30,890,2855
2004/10/01,882,2850
2004/10/04,893,2830
2004/10/05,890,2845
2004/10/06,904,2860
2004/10/07,890,2866
2004/10/08,895,2860
