Date,York,Sappi
2004/05/12,9280,295
2004/05/13,9450,295
2004/05/14,9202,295
2004/05/17,9100,295
2004/05/18,9175,295
2004/05/19,9350,295
2004/05/20,9320,295
2004/05/21,9400,295
2004/05/24,9300,295
2004/05/25,9265,325
2004/05/26,9180,325
2004/05/27,9200,325
2004/05/28,9090,325
2004/05/31,9140,325
2004/06/01,9100,325
2004/06/02,9100,325
2004/06/03,8900,325
2004/06/04,8965,325
2004/06/07,9055,325
2004/06/08,9110,325
2004/06/09,9185,325
2004/06/10,9255,325
2004/06/11,9275,325
2004/06/14,9275,325
2004/06/15,9101,325
2004/06/17,9001,325
2004/06/18,8849,325
2004/06/21,8765,325
2004/06/22,8745,325
2004/06/23,8955,325
2004/06/24,9299,325
2004/06/25,9430,325
2004/06/28,9400,325
2004/06/29,9300,325
2004/06/30,9470,330
2004/07/01,9500,330
2004/07/02,9400,325
2004/07/05,9381,325
2004/07/06,9490,325
2004/07/07,9449,310
2004/07/08,9265,310
2004/07/09,9240,310
2004/07/12,9200,310
2004/07/13,9375,300
2004/07/14,9529,300
2004/07/15,9630,300
2004/07/16,9630,300
2004/07/19,9479,300
2004/07/20,9525,300
2004/07/21,9600,300
2004/07/22,9470,290
2004/07/23,9465,290
2004/07/26,9385,300
2004/07/27,9400,300
2004/07/28,9400,300
2004/07/29,9115,300
2004/07/30,8906,300
2004/08/02,9300,300
2004/08/03,9252,300
2004/08/04,9265,300
2004/08/05,9341,300
2004/08/06,9238,300
2004/08/10,8965,300
2004/08/11,8980,300
2004/08/12,9265,300
2004/08/13,9040,300
2004/08/16,9300,300
2004/08/17,9225,300
2004/08/18,9200,300
2004/08/19,9239,300
2004/08/20,9225,300
2004/08/23,9250,300
2004/08/24,9260,300
2004/08/25,9260,300
2004/08/26,9260,300
2004/08/27,9351,300
2004/08/30,9370,300
2004/08/31,9369,300
2004/09/01,9205,300
2004/09/02,9130,350
2004/09/03,9250,350
2004/09/06,9219,330
2004/09/07,9092,330
2004/09/08,8850,320
2004/09/09,8770,320
2004/09/10,8720,320
2004/09/13,8875,320
2004/09/14,9130,320
2004/09/15,9200,320
2004/09/16,9200,320
2004/09/17,9001,320
2004/09/20,9090,320
2004/09/21,9050,300
2004/09/22,9140,300
2004/09/23,9040,300
2004/09/27,8979,300
2004/09/28,8900,300
2004/09/29,9025,300
2004/09/30,9150,300
2004/10/01,9425,300
2004/10/04,9515,300
2004/10/05,9499,300
2004/10/06,9251,300
2004/10/07,9255,300
2004/10/08,9115,300
2004/10/11,9115,300
2004/10/12,9100,300
2004/10/13,9125,300
2004/10/14,9098,300
2004/10/15,9061,300
2004/10/18,8875,300
2004/10/19,8870,300
2004/10/20,8645,300
2004/10/21,8765,300
2004/10/22,8900,300
2004/10/25,8730,300
2004/10/26,8800,300
2004/10/27,8800,300
2004/10/28,8850,400
2004/10/29,8800,400
2004/11/01,9029,400
2004/11/02,9050,400
2004/11/03,8899,400
2004/11/04,8710,400
2004/11/05,8800,350
2004/11/08,7925,350
2004/11/09,7830,350
2004/11/10,7850,350
2004/11/11,7750,350
2004/11/12,7580,350
2004/11/15,7605,350
2004/11/16,7745,350
2004/11/17,7730,350
2004/11/18,7849,350
2004/11/19,7835,350
2004/11/22,7800,350
2004/11/23,7799,350
2004/11/24,7800,350
2004/11/25,7900,350
2004/11/26,7750,350
2004/11/29,7770,350
2004/11/30,7874,300
2004/12/01,7848,300
2004/12/02,7758,300
2004/12/03,7865,300
2004/12/06,7795,300
2004/12/07,7845,300
2004/12/08,7866,300
2004/12/09,8050,257
2004/12/10,7975,290
2004/12/13,7951,290
2004/12/14,7799,310
2004/12/15,7835,310
2004/12/17,7901,310
2004/12/20,7999,310
2004/12/21,8150,310
