Date,Brait,SASFIN
2004/05/12,695,1000
2004/05/13,695,1000
2004/05/14,690,1000
2004/05/17,700,990
2004/05/18,686,990
2004/05/19,685,980
2004/05/20,690,980
2004/05/21,690,990
2004/05/24,690,990
2004/05/25,685,1015
2004/05/26,685,1010
2004/05/27,685,1019
2004/05/28,685,1019
2004/05/31,690,1019
2004/06/01,680,1019
2004/06/02,680,1019
2004/06/03,685,1019
2004/06/04,685,1050
2004/06/07,701,1050
2004/06/08,715,1050
2004/06/09,740,1095
2004/06/10,754,1095
2004/06/11,760,1095
2004/06/14,745,1095
2004/06/15,717,1095
2004/06/17,716,1080
2004/06/18,720,1080
2004/06/21,720,1080
2004/06/22,725,1075
2004/06/23,711,1070
2004/06/24,720,1070
2004/06/25,710,1070
2004/06/28,710,1070
2004/06/29,720,1070
2004/06/30,720,1070
2004/07/01,720,1070
2004/07/02,750,1070
2004/07/05,740,1060
2004/07/06,725,1060
2004/07/07,725,1080
2004/07/08,730,1090
2004/07/09,730,1090
2004/07/12,728,1105
2004/07/13,730,1105
2004/07/14,730,1105
2004/07/15,725,1105
2004/07/16,720,1105
2004/07/19,720,1075
2004/07/20,720,1105
2004/07/21,718,1100
2004/07/22,718,1100
2004/07/23,715,1100
2004/07/26,705,1100
2004/07/27,701,1115
2004/07/28,720,1115
2004/07/29,720,1150
2004/07/30,720,1150
2004/08/02,716,1150
2004/08/03,720,1200
2004/08/04,718,1200
2004/08/05,700,1200
2004/08/06,700,1200
2004/08/10,690,1170
2004/08/11,689,1230
2004/08/12,700,1225
2004/08/13,700,1250
2004/08/16,700,1250
2004/08/17,700,1250
2004/08/18,700,1250
2004/08/19,700,1250
2004/08/20,718,1250
2004/08/23,704,1250
2004/08/24,700,1275
2004/08/25,706,1275
2004/08/26,706,1270
2004/08/27,720,1275
2004/08/30,730,1275
2004/08/31,720,1275
2004/09/01,730,1276
2004/09/02,728,1276
2004/09/03,728,1276
2004/09/06,730,1420
2004/09/07,730,1449
2004/09/08,730,1450
2004/09/09,735,1420
2004/09/10,740,1430
2004/09/13,770,1420
2004/09/14,780,1450
2004/09/15,770,1475
2004/09/16,770,1490
2004/09/17,770,1495
2004/09/20,755,1520
2004/09/21,745,1510
2004/09/22,750,1520
2004/09/23,750,1520
2004/09/27,750,1500
2004/09/28,755,1500
2004/09/29,755,1500
2004/09/30,754,1500
2004/10/01,760,1470
2004/10/04,785,1500
2004/10/05,765,1480
2004/10/06,765,1500
2004/10/07,769,1500
2004/10/08,760,1500
2004/10/11,750,1521
2004/10/12,753,1520
2004/10/13,780,1515
2004/10/14,770,1500
2004/10/15,770,1500
2004/10/18,775,1500
2004/10/19,780,1500
2004/10/20,775,1515
2004/10/21,800,1530
2004/10/22,800,1555
2004/10/25,795,1580
2004/10/26,795,1580
2004/10/27,800,1580
2004/10/28,815,1615
2004/10/29,830,1630
2004/11/01,855,1651
2004/11/02,855,1700
2004/11/03,855,1700
2004/11/04,870,1720
2004/11/05,885,1705
2004/11/08,900,1580
2004/11/09,945,1600
2004/11/10,940,1600
2004/11/11,950,1610
2004/11/12,970,1640
2004/11/15,995,1680
2004/11/16,995,1685
2004/11/17,960,1710
2004/11/18,960,1710
2004/11/19,950,1710
2004/11/22,950,1710
2004/11/23,970,1710
2004/11/24,970,1710
2004/11/25,970,1710
2004/11/26,965,1700
2004/11/29,970,1685
2004/11/30,960,1680
2004/12/01,980,1720
2004/12/02,970,1730
2004/12/03,955,1730
2004/12/06,930,1730
2004/12/07,925,1720
2004/12/08,930,1730
2004/12/09,925,1750
2004/12/10,925,1750
2004/12/13,933,1700
2004/12/14,933,1760
2004/12/15,930,1762
2004/12/17,930,1780
2004/12/20,926,1800
2004/12/21,926,1950
2004/12/22,945,1950
2004/12/23,950,2000
2004/12/24,960,2000
2004/12/28,960,2000
2004/12/29,970,2100
2004/12/30,960,2200
2004/12/31,965,2200
2005/01/03,975,2100
2005/01/04,1000,2110
2005/01/05,1000,2060
2005/01/06,1019,2060
2005/01/07,1019,2060
2005/01/10,1014,2060
2005/01/11,1015,2000
2005/01/12,1040,1975
2005/01/13,1051,1975
2005/01/14,1075,1990
2005/01/17,1130,1990
2005/01/18,1100,1990
2005/01/19,1115,1921
2005/01/20,1130,1990
2005/01/21,1100,1950
2005/01/24,1100,1990
2005/01/25,1130,1990
2005/01/26,1115,1990
2005/01/27,1120,1989
2005/01/28,1115,1982
2005/01/31,1133,1982
2005/02/01,1140,2000
2005/02/02,1160,2000
2005/02/03,1160,2000
2005/02/04,1200,2000
2005/02/07,1190,2000
2005/02/08,1189,2000
2005/02/09,1180,2000
2005/02/10,1165,2000
2005/02/11,1175,2000
2005/02/14,1176,2000
2005/02/15,1200,2000
2005/02/16,1195,1985
2005/02/17,1150,2000
2005/02/18,1162,2000
