Date,Coronation,Peregrine
2004/05/12,360,220
2004/05/13,350,220
2004/05/14,350,220
2004/05/17,345,220
2004/05/18,345,220
2004/05/19,345,220
2004/05/20,340,220
2004/05/21,340,220
2004/05/24,335,220
2004/05/25,330,220
2004/05/26,313,220
2004/05/27,320,215
2004/05/28,320,225
2004/05/31,320,236
2004/06/01,325,224
2004/06/02,325,218
2004/06/03,320,220
2004/06/04,320,225
2004/06/07,320,236
2004/06/08,326,238
2004/06/09,330,225
2004/06/10,330,225
2004/06/11,335,225
2004/06/14,335,225
2004/06/15,320,225
2004/06/17,310,225
2004/06/18,320,225
2004/06/21,310,225
2004/06/22,308,225
2004/06/23,300,223
2004/06/24,300,225
2004/06/25,300,225
2004/06/28,310,224
2004/06/29,303,224
2004/06/30,320,223
2004/07/01,320,223
2004/07/02,330,224
2004/07/05,330,220
2004/07/06,333,217
2004/07/07,330,225
2004/07/08,320,225
2004/07/09,310,229
2004/07/12,310,225
2004/07/13,310,225
2004/07/14,310,225
2004/07/15,310,216
2004/07/16,310,216
2004/07/19,310,220
2004/07/20,320,220
2004/07/21,315,220
2004/07/22,320,220
2004/07/23,321,215
2004/07/26,335,220
2004/07/27,340,218
2004/07/28,361,211
2004/07/29,370,215
2004/07/30,375,210
2004/08/02,370,210
2004/08/03,370,210
2004/08/04,370,214
2004/08/05,398,210
2004/08/06,385,215
2004/08/10,380,221
2004/08/11,385,210
2004/08/12,385,215
2004/08/13,370,220
2004/08/16,360,220
2004/08/17,330,220
2004/08/18,350,215
2004/08/19,340,220
2004/08/20,330,218
2004/08/23,330,225
2004/08/24,330,223
2004/08/25,330,225
2004/08/26,340,225
2004/08/27,340,223
2004/08/30,345,224
2004/08/31,350,220
2004/09/01,345,218
2004/09/02,345,220
2004/09/03,345,223
2004/09/06,345,224
2004/09/07,350,220
2004/09/08,349,220
2004/09/09,350,219
2004/09/10,345,220
2004/09/13,348,217
2004/09/14,343,217
2004/09/15,340,218
2004/09/16,340,225
2004/09/17,330,220
2004/09/20,329,225
2004/09/21,325,227
2004/09/22,320,230
2004/09/23,321,230
2004/09/27,326,235
2004/09/28,325,230
2004/09/29,345,230
2004/09/30,350,240
2004/10/01,350,240
2004/10/04,365,244
2004/10/05,370,240
2004/10/06,370,240
2004/10/07,370,245
2004/10/08,385,243
2004/10/11,370,250
2004/10/12,376,240
2004/10/13,375,245
2004/10/14,375,250
2004/10/15,384,250
2004/10/18,375,249
2004/10/19,385,250
2004/10/20,375,245
2004/10/21,370,250
2004/10/22,375,246
2004/10/25,375,245
2004/10/26,375,249
2004/10/27,375,250
2004/10/28,380,250
2004/10/29,390,250
2004/11/01,400,250
2004/11/02,400,240
2004/11/03,400,241
2004/11/04,405,240
2004/11/05,405,240
2004/11/08,410,245
2004/11/09,440,245
2004/11/10,445,245
2004/11/11,421,250
2004/11/12,422,250
2004/11/15,440,252
2004/11/16,440,252
2004/11/17,440,250
2004/11/18,440,255
2004/11/19,440,251
2004/11/22,440,255
2004/11/23,439,255
2004/11/24,439,255
2004/11/25,430,258
2004/11/26,415,264
2004/11/29,430,260
2004/11/30,435,268
2004/12/01,450,275
2004/12/02,435,277
2004/12/03,445,280
2004/12/06,418,280
2004/12/07,399,275
2004/12/08,410,275
2004/12/09,410,266
2004/12/10,385,270
2004/12/13,400,270
2004/12/14,390,275
2004/12/15,385,275
2004/12/17,390,275
2004/12/20,385,280
2004/12/21,380,280
2004/12/22,381,289
2004/12/23,382,300
2004/12/24,385,306
2004/12/28,392,319
2004/12/29,386,310
2004/12/30,395,315
2004/12/31,400,320
2005/01/03,400,315
2005/01/04,400,312
2005/01/05,396,310
2005/01/06,420,310
2005/01/07,412,310
2005/01/10,410,312
2005/01/11,415,316
2005/01/12,410,325
2005/01/13,420,330
2005/01/14,420,330
2005/01/17,420,325
2005/01/18,399,305
2005/01/19,396,320
2005/01/20,395,320
2005/01/21,385,310
2005/01/24,385,320
2005/01/25,388,320
2005/01/26,405,320
2005/01/27,410,320
2005/01/28,404,319
2005/01/31,402,315
2005/02/01,402,315
2005/02/02,400,330
2005/02/03,405,345
2005/02/04,390,340
2005/02/07,390,350
2005/02/08,382,350
2005/02/09,385,350
2005/02/10,400,360
2005/02/11,400,355
2005/02/14,400,345
2005/02/15,400,350
2005/02/16,404,349
2005/02/17,404,345
2005/02/18,405,345
2005/02/21,406,345
2005/02/22,405,340
2005/02/23,405,340
2005/02/24,407,340
2005/02/25,400,350
2005/02/28,398,340
2005/03/01,388,345
2005/03/02,384,340
2005/03/03,395,345
2005/03/04,385,348
2005/03/07,390,341
2005/03/08,390,341
2005/03/09,390,340
2005/03/10,395,347
2005/03/11,395,340
2005/03/14,390,339
2005/03/15,390,339
2005/03/16,390,335
2005/03/17,380,340
2005/03/18,370,340
2005/03/22,362,345
2005/03/23,365,340
2005/03/24,370,331
2005/03/29,370,332
2005/03/30,355,332
2005/03/31,370,335
2005/04/01,370,340
2005/04/04,375,340
2005/04/05,375,355
2005/04/06,370,350
2005/04/07,360,370
2005/04/08,371,375
2005/04/11,371,395
2005/04/12,390,380
2005/04/13,400,375
2005/04/14,405,375
2005/04/15,395,375
2005/04/18,373,370
2005/04/19,365,380
2005/04/20,355,378
2005/04/21,360,378
2005/04/22,375,380
2005/04/25,374,380
2005/04/26,361,385
2005/04/28,355,385
2005/04/29,350,390
2005/05/03,370,400
2005/05/04,370,405
2005/05/05,365,417
2005/05/06,365,425
2005/05/09,365,425
2005/05/10,375,405
2005/05/11,387,400
2005/05/12,390,395
2005/05/13,385,407
2005/05/16,373,405
2005/05/17,380,403
2005/05/18,390,405
2005/05/19,380,420
2005/05/20,400,449
2005/05/23,400,448
2005/05/24,400,445
2005/05/25,400,445
2005/05/26,400,444
2005/05/27,410,434
2005/05/30,419,420
2005/05/31,420,410
2005/06/01,410,412
2005/06/02,420,440
2005/06/03,410,440
2005/06/06,415,450
2005/06/07,415,465
2005/06/08,415,450
2005/06/09,415,450
2005/06/10,422,450
2005/06/13,420,432
2005/06/14,417,445
2005/06/15,405,445
2005/06/17,410,445
2005/06/20,410,444
2005/06/21,410,440
2005/06/22,411,440
2005/06/23,410,420
2005/06/24,410,410
2005/06/27,385,412
2005/06/28,395,417
2005/06/29,405,420
2005/06/30,395,426
2005/07/01,395,426
2005/07/04,395,430
2005/07/05,390,430
2005/07/06,395,430
2005/07/07,400,430
2005/07/08,400,435
2005/07/11,405,440
2005/07/12,420,450
2005/07/13,425,450
2005/07/14,426,455
2005/07/15,425,450
2005/07/18,430,450
2005/07/19,435,450
2005/07/20,431,450
2005/07/21,420,445
2005/07/22,425,450
2005/07/25,450,450
2005/07/26,450,460
2005/07/27,450,460
2005/07/28,456,460
2005/07/29,455,470
2005/08/01,450,460
2005/08/02,455,490
2005/08/03,460,480
2005/08/04,480,500
2005/08/05,480,519
2005/08/08,490,530
2005/08/10,495,525
2005/08/11,497,525
2005/08/12,495,519
2005/08/15,495,515
2005/08/16,495,517
2005/08/17,485,510
2005/08/18,475,510
2005/08/19,485,533
2005/08/22,480,550
2005/08/23,490,585
2005/08/24,485,580
2005/08/25,470,575
2005/08/26,465,575
2005/08/29,460,550
2005/08/30,470,556
2005/08/31,470,550
2005/09/01,479,550
2005/09/02,480,560
2005/09/05,481,555
2005/09/06,500,547
2005/09/07,501,550
2005/09/08,500,568
2005/09/09,501,561
2005/09/12,500,570
2005/09/13,490,565
2005/09/14,500,560
2005/09/15,515,584
2005/09/16,520,598
2005/09/19,523,590
2005/09/20,520,600
2005/09/21,525,600
2005/09/22,540,600
2005/09/23,538,600
2005/09/26,545,600
2005/09/27,545,595
2005/09/28,545,595
2005/09/29,530,586
2005/09/30,550,610
2005/10/03,535,615
2005/10/04,539,620
2005/10/05,535,620
2005/10/06,530,620
2005/10/07,525,600
2005/10/10,503,610
2005/10/11,520,600
2005/10/12,510,610
2005/10/13,500,600
2005/10/14,510,580
2005/10/17,540,575
2005/10/18,530,580
2005/10/19,500,575
2005/10/20,506,580
2005/10/21,517,570
2005/10/24,515,580
2005/10/25,505,580
2005/10/26,550,595
2005/10/27,540,580
2005/10/28,539,639
2005/10/31,545,625
2005/11/01,550,650
2005/11/02,545,665
2005/11/03,555,665
2005/11/04,565,663
2005/11/07,590,662
2005/11/08,581,650
2005/11/09,580,660
2005/11/10,575,660
2005/11/11,575,660
2005/11/14,585,625
2005/11/15,575,630
2005/11/16,559,620
2005/11/17,570,620
2005/11/18,570,609
2005/11/21,560,615
2005/11/22,558,617
2005/11/23,550,610
2005/11/24,550,620
2005/11/25,535,601
2005/11/28,545,610
2005/11/29,520,605
2005/11/30,515,600
2005/12/01,515,590
2005/12/02,515,590
2005/12/05,515,619
2005/12/06,520,605
2005/12/07,520,601
2005/12/08,506,605
2005/12/09,508,595
2005/12/12,520,595
2005/12/13,535,595
2005/12/14,530,600
2005/12/15,530,619
2005/12/19,535,600
2005/12/20,538,601
2005/12/21,545,619
2005/12/22,540,620
2005/12/23,545,640
2005/12/27,555,640
2005/12/28,545,640
2005/12/29,543,649
2005/12/30,550,640
2006/01/03,555,660
2006/01/04,556,655
2006/01/05,575,660
2006/01/06,575,650
2006/01/09,589,675
2006/01/10,595,700
2006/01/11,635,700
2006/01/12,629,720
2006/01/13,610,725
2006/01/16,620,715
2006/01/17,602,700
2006/01/18,610,685
2006/01/19,625,700
2006/01/20,605,725
2006/01/23,620,710
2006/01/24,615,710
2006/01/25,610,700
2006/01/26,612,711
2006/01/27,615,730
2006/01/30,620,726
2006/01/31,620,732
2006/02/01,620,750
2006/02/02,620,750
2006/02/03,620,725
2006/02/06,600,725
2006/02/07,600,725
2006/02/08,600,715
2006/02/09,604,730
2006/02/10,605,729
2006/02/13,600,720
2006/02/14,600,721
2006/02/15,601,725
2006/02/16,600,735
2006/02/17,610,800
2006/02/20,605,775
2006/02/21,607,737
2006/02/22,610,770
2006/02/23,615,775
2006/02/24,615,770
2006/02/27,625,780
2006/02/28,625,781
2006/03/02,621,795
2006/03/03,613,795
2006/03/06,620,800
2006/03/07,605,800
2006/03/08,590,790
2006/03/09,600,783
2006/03/10,601,785
2006/03/13,616,805
2006/03/14,618,810
2006/03/15,618,830
2006/03/16,619,821
2006/03/17,625,825
2006/03/20,635,825
2006/03/22,635,825
2006/03/23,635,815
2006/03/24,635,827
2006/03/27,635,835
2006/03/28,630,835
2006/03/29,633,830
2006/03/30,635,835
2006/03/31,635,825
2006/04/03,645,834
2006/04/04,650,834
2006/04/05,645,825
2006/04/06,650,835
2006/04/07,660,857
2006/04/10,650,900
2006/04/11,650,900
2006/04/12,650,900
2006/04/13,650,950
2006/04/18,632,945
2006/04/19,650,930
2006/04/20,640,925
2006/04/21,640,945
2006/04/24,635,930
2006/04/25,630,932
