Date,M&R,WHBO
2004/05/12,1360,1690
2004/05/13,1367,1700
2004/05/14,1400,1700
2004/05/17,1390,1680
2004/05/18,1320,1720
2004/05/19,1361,1750
2004/05/20,1370,1800
2004/05/21,1380,1796
2004/05/24,1380,1800
2004/05/25,1365,1795
2004/05/26,1400,1785
2004/05/27,1400,1770
2004/05/28,1450,1750
2004/05/31,1380,1750
2004/06/01,1400,1775
2004/06/02,1400,1800
2004/06/03,1385,1790
2004/06/04,1370,1790
2004/06/07,1351,1810
2004/06/08,1347,1815
2004/06/09,1300,1810
2004/06/10,1320,1810
2004/06/11,1320,1810
2004/06/14,1290,1840
2004/06/15,1300,1825
2004/06/17,1295,1825
2004/06/18,1280,1830
2004/06/21,1290,1830
2004/06/22,1280,1830
2004/06/23,1280,1841
2004/06/24,1295,1860
2004/06/25,1300,1870
2004/06/28,1300,1895
2004/06/29,1294,1900
2004/06/30,1295,1900
2004/07/01,1300,1900
2004/07/02,1290,1886
2004/07/05,1260,1887
2004/07/06,1275,1882
2004/07/07,1270,1880
2004/07/08,1286,1880
2004/07/09,1285,1850
2004/07/12,1301,1830
2004/07/13,1310,1825
2004/07/14,1300,1850
2004/07/15,1300,1830
2004/07/16,1300,1850
2004/07/19,1290,1850
2004/07/20,1298,1880
2004/07/21,1290,1889
2004/07/22,1255,1885
2004/07/23,1245,1901
2004/07/26,1230,1950
2004/07/27,1217,1930
2004/07/28,1220,1930
2004/07/29,1235,1940
2004/07/30,1259,1940
2004/08/02,1275,1940
2004/08/03,1290,1905
2004/08/04,1265,1900
2004/08/05,1260,1900
2004/08/06,1225,1900
2004/08/10,1205,1920
2004/08/11,1210,1940
2004/08/12,1220,1975
2004/08/13,1240,1980
2004/08/16,1261,1990
2004/08/17,1265,1970
2004/08/18,1260,2000
2004/08/19,1250,2000
2004/08/20,1300,2010
2004/08/23,1317,2000
2004/08/24,1310,2000
2004/08/25,1290,2000
2004/08/26,1274,2000
2004/08/27,1250,2000
2004/08/30,1250,2000
2004/08/31,1230,1975
2004/09/01,1220,1960
2004/09/02,1185,1955
2004/09/03,1210,1940
2004/09/06,1195,1939
2004/09/07,1200,1940
2004/09/08,1200,1990
2004/09/09,1200,1990
2004/09/10,1200,1970
2004/09/13,1183,1990
2004/09/14,1200,1965
2004/09/15,1200,1980
2004/09/16,1200,1966
2004/09/17,1200,1975
2004/09/20,1200,1980
2004/09/21,1200,1980
2004/09/22,1180,2000
2004/09/23,1180,2020
2004/09/27,1180,2010
2004/09/28,1170,2010
2004/09/29,1180,2030
2004/09/30,1160,2100
2004/10/01,1200,2100
2004/10/04,1220,2100
2004/10/05,1225,2129
2004/10/06,1209,2130
2004/10/07,1195,2155
2004/10/08,1200,2141
2004/10/11,1180,2200
2004/10/12,1176,2200
2004/10/13,1180,2180
2004/10/14,1210,2140
2004/10/15,1240,2180
2004/10/18,1230,2190
2004/10/19,1245,2220
2004/10/20,1235,2275
2004/10/21,1252,2320
2004/10/22,1270,2350
2004/10/25,1300,2350
2004/10/26,1363,2425
2004/10/27,1402,2460
2004/10/28,1430,2485
2004/10/29,1431,2495
2004/11/01,1475,2500
2004/11/02,1510,2500
2004/11/03,1500,2500
2004/11/04,1490,2540
2004/11/05,1480,2500
2004/11/08,1450,2550
2004/11/09,1435,2550
2004/11/10,1420,2500
2004/11/11,1390,2550
2004/11/12,1440,2510
2004/11/15,1450,2550
2004/11/16,1460,2510
2004/11/17,1475,2512
2004/11/18,1450,2515
2004/11/19,1427,2600
2004/11/22,1440,2600
2004/11/23,1430,2600
2004/11/24,1445,2600
2004/11/25,1470,2600
2004/11/26,1470,2550
2004/11/29,1450,2600
2004/11/30,1495,2560
2004/12/01,1449,2550
2004/12/02,1425,2580
2004/12/03,1415,2580
2004/12/06,1410,2572
2004/12/07,1450,2520
2004/12/08,1410,2550
2004/12/09,1405,2520
2004/12/10,1400,2520
2004/12/13,1400,2545
2004/12/14,1410,2635
2004/12/15,1380,2669
2004/12/17,1375,2700
2004/12/20,1420,2650
2004/12/21,1430,2650
2004/12/22,1401,2635
2004/12/23,1386,2700
2004/12/24,1380,2700
2004/12/28,1345,2750
2004/12/29,1395,2800
2004/12/30,1384,2750
2004/12/31,1375,2650
2005/01/03,1388,2750
2005/01/04,1350,2750
2005/01/05,1340,2800
2005/01/06,1350,2800
2005/01/07,1425,2799
2005/01/10,1435,2798
2005/01/11,1440,2799
2005/01/12,1490,2775
2005/01/13,1500,2740
2005/01/14,1534,2749
2005/01/17,1530,2750
2005/01/18,1495,2650
2005/01/19,1515,2639
2005/01/20,1500,2700
2005/01/21,1490,2650
2005/01/24,1475,2645
2005/01/25,1460,2645
2005/01/26,1430,2645
2005/01/27,1450,2700
2005/01/28,1420,2700
2005/01/31,1450,2750
2005/02/01,1460,2740
2005/02/02,1425,2700
2005/02/03,1400,2700
2005/02/04,1400,2699
2005/02/07,1396,2699
2005/02/08,1395,2650
2005/02/09,1400,2650
2005/02/10,1430,2650
2005/02/11,1433,2700
2005/02/14,1430,2700
2005/02/15,1430,2750
2005/02/16,1470,2750
2005/02/17,1500,2700
2005/02/18,1501,2700
2005/02/21,1530,2700
2005/02/22,1515,2725
2005/02/23,1521,2725
2005/02/24,1538,2800
2005/02/25,1530,2820
2005/02/28,1525,2872
2005/03/01,1495,2875
2005/03/02,1488,2896
2005/03/03,1465,2801
2005/03/04,1465,2900
2005/03/07,1480,2830
2005/03/08,1459,2830
2005/03/09,1440,2840
2005/03/10,1435,2850
2005/03/11,1400,2875
2005/03/14,1388,2850
2005/03/15,1380,2870
2005/03/16,1353,2845
2005/03/17,1353,2850
2005/03/18,1395,2845
2005/03/22,1385,2845
2005/03/23,1355,2845
2005/03/24,1330,2835
2005/03/29,1310,2750
2005/03/30,1336,2740
2005/03/31,1362,2750
2005/04/01,1402,2750
2005/04/04,1440,2740
2005/04/05,1425,2740
2005/04/06,1440,2700
2005/04/07,1450,2701
2005/04/08,1450,2730
2005/04/11,1430,2750
2005/04/12,1400,2725
2005/04/13,1410,2700
2005/04/14,1392,2700
2005/04/15,1380,2700
2005/04/18,1380,2650
2005/04/19,1380,2650
2005/04/20,1378,2650
2005/04/21,1375,2670
2005/04/22,1370,2670
2005/04/25,1380,2670
2005/04/26,1390,2650
2005/04/28,1370,2640
2005/04/29,1380,2650
2005/05/03,1360,2650
2005/05/04,1380,2650
2005/05/05,1375,2750
2005/05/06,1445,2800
2005/05/09,1450,2800
2005/05/10,1445,2850
