Date,PPC,WHBO
2004/05/12,1402,1690
2004/05/13,1440,1700
2004/05/14,1410,1700
2004/05/17,1465,1680
2004/05/18,1423,1720
2004/05/19,1410.5,1750
2004/05/20,1417,1800
2004/05/21,1417.5,1796
2004/05/24,1410,1800
2004/05/25,1408,1795
2004/05/26,1420,1785
2004/05/27,1415,1770
2004/05/28,1424,1750
2004/05/31,1410.5,1750
2004/06/01,1426.5,1775
2004/06/02,1417,1800
2004/06/03,1417,1790
2004/06/04,1417.1,1790
2004/06/07,1418,1810
2004/06/08,1417.3,1815
2004/06/09,1421,1810
2004/06/10,1423.1,1810
2004/06/11,1430,1810
2004/06/14,1480.1,1840
2004/06/15,1475,1825
2004/06/17,1524,1825
2004/06/18,1500,1830
2004/06/21,1490,1830
2004/06/22,1456,1830
2004/06/23,1495,1841
2004/06/24,1502.5,1860
2004/06/25,1502.5,1870
2004/06/28,1507.5,1895
2004/06/29,1544,1900
2004/06/30,1560,1900
2004/07/01,1570,1900
2004/07/02,1580,1886
2004/07/05,1570,1887
2004/07/06,1551,1882
2004/07/07,1531,1880
2004/07/08,1510.5,1880
2004/07/09,1540,1850
2004/07/12,1530,1830
2004/07/13,1534.5,1825
2004/07/14,1510,1850
2004/07/15,1542.5,1830
2004/07/16,1555,1850
2004/07/19,1600,1850
2004/07/20,1598,1880
2004/07/21,1650,1889
2004/07/22,1648,1885
2004/07/23,1660,1901
2004/07/26,1663,1950
2004/07/27,1740.1,1930
2004/07/28,1732.5,1930
2004/07/29,1690,1940
2004/07/30,1689.9,1940
2004/08/02,1660,1940
2004/08/03,1670,1905
2004/08/04,1655,1900
2004/08/05,1652.5,1900
2004/08/06,1622.5,1900
2004/08/10,1614.9,1920
2004/08/11,1586,1940
2004/08/12,1600,1975
2004/08/13,1640,1980
2004/08/16,1635,1990
2004/08/17,1660,1970
2004/08/18,1670,2000
2004/08/19,1680,2000
2004/08/20,1748,2010
2004/08/23,1739.9,2000
2004/08/24,1699.9,2000
2004/08/25,1661,2000
2004/08/26,1665,2000
2004/08/27,1655,2000
2004/08/30,1680,2000
2004/08/31,1730,1975
2004/09/01,1730,1960
2004/09/02,1750,1955
2004/09/03,1800,1940
2004/09/06,1815,1939
2004/09/07,1785,1940
2004/09/08,1780,1990
2004/09/09,1790,1990
2004/09/10,1794.9,1970
2004/09/13,1776,1990
2004/09/14,1776,1965
2004/09/15,1780,1980
2004/09/16,1785,1966
2004/09/17,1790,1975
2004/09/20,1814.6,1980
2004/09/21,1810,1980
2004/09/22,1805,2000
2004/09/23,1800,2020
2004/09/27,1810,2010
2004/09/28,1810,2010
2004/09/29,1800,2030
2004/09/30,1810,2100
2004/10/01,1820,2100
2004/10/04,1822.7,2100
2004/10/05,1870,2129
2004/10/06,1910,2130
2004/10/07,1928,2155
2004/10/08,1900,2141
2004/10/11,1848,2200
2004/10/12,1855,2200
2004/10/13,1880,2180
2004/10/14,1880,2140
2004/10/15,1890,2180
2004/10/18,1905,2190
2004/10/19,1910,2220
2004/10/20,1880,2275
2004/10/21,1900,2320
2004/10/22,1940,2350
2004/10/25,1960,2350
2004/10/26,2036.5,2425
2004/10/27,2040,2460
2004/10/28,2015,2485
2004/10/29,2014,2495
2004/11/01,2020,2500
2004/11/02,2040,2500
2004/11/03,2075,2500
2004/11/04,2175,2540
2004/11/05,2175,2500
2004/11/08,2175,2550
2004/11/09,2180,2550
2004/11/10,2240,2500
2004/11/11,2400,2550
2004/11/12,2460,2510
2004/11/15,2565,2550
2004/11/16,2570,2510
2004/11/17,2500,2512
2004/11/18,2400,2515
2004/11/19,2380,2600
2004/11/22,2350,2600
2004/11/23,2290,2600
2004/11/24,2290,2600
2004/11/25,2400,2600
2004/11/26,2384.9,2550
2004/11/29,2370,2600
2004/11/30,2400,2560
2004/12/01,2430,2550
2004/12/02,2435,2580
2004/12/03,2430,2580
2004/12/06,2440,2572
2004/12/07,2445,2520
2004/12/08,2449,2550
2004/12/09,2500.1,2520
2004/12/10,2580,2520
2004/12/13,2660,2545
2004/12/14,2700,2635
2004/12/15,2720,2669
2004/12/17,2700,2700
2004/12/20,2700,2650
2004/12/21,2735,2650
2004/12/22,2710.5,2635
2004/12/23,2730,2700
2004/12/24,2730,2700
2004/12/28,2800,2750
2004/12/29,2800,2800
2004/12/30,2850,2750
2004/12/31,2850,2650
2005/01/03,2600,2750
2005/01/04,2587.5,2750
2005/01/05,2560,2800
2005/01/06,2500,2800
2005/01/07,2470,2799
2005/01/10,2410,2798
2005/01/11,2420,2799
2005/01/12,2400,2775
2005/01/13,2380,2740
2005/01/14,2269,2749
2005/01/17,2220,2750
2005/01/18,2180,2650
2005/01/19,2285,2639
2005/01/20,2270,2700
2005/01/21,2265,2650
2005/01/24,2260,2645
2005/01/25,2298.9,2645
2005/01/26,2339.7,2645
2005/01/27,2379.9,2700
2005/01/28,2380,2700
2005/01/31,2370,2750
2005/02/01,2320,2740
2005/02/02,2308.3,2700
2005/02/03,2280,2700
2005/02/04,2260,2699
2005/02/07,2260,2699
2005/02/08,2255.1,2650
2005/02/09,2280,2650
2005/02/10,2161.1,2650
2005/02/11,2240,2700
2005/02/14,2270,2700
2005/02/15,2289.3,2750
2005/02/16,2277.5,2750
2005/02/17,2276,2700
2005/02/18,2270,2700
2005/02/21,2275,2700
2005/02/22,2270,2725
2005/02/23,2289.9,2725
2005/02/24,2310,2800
2005/02/25,2310,2820
2005/02/28,2301,2872
2005/03/01,2340,2875
2005/03/02,2345,2896
2005/03/03,2370,2801
2005/03/04,2375,2900
2005/03/07,2357,2830
2005/03/08,2320.1,2830
2005/03/09,2334,2840
2005/03/10,2330,2850
2005/03/11,2350,2875
2005/03/14,2387,2850
2005/03/15,2400,2870
2005/03/16,2310,2845
2005/03/17,2330.5,2850
2005/03/18,2296,2845
2005/03/22,2240,2845
2005/03/23,2165.2,2845
2005/03/24,2280.1,2835
2005/03/29,2300,2750
2005/03/30,2250,2740
2005/03/31,2212,2750
2005/04/01,2289,2750
2005/04/04,2260,2740
2005/04/05,2279,2740
2005/04/06,2265,2700
2005/04/07,2220.1,2701
2005/04/08,2210,2730
2005/04/11,2202,2750
2005/04/12,2180,2725
2005/04/13,2165,2700
2005/04/14,2200,2700
2005/04/15,2200,2700
2005/04/18,2175,2650
2005/04/19,2160,2650
2005/04/20,2190,2650
2005/04/21,2200,2670
2005/04/22,2180,2670
2005/04/25,2180.1,2670
2005/04/26,2210,2650
2005/04/28,2205,2640
2005/04/29,2230,2650
2005/05/03,2290,2650
2005/05/04,2334,2650
2005/05/05,2400,2750
2005/05/06,2339,2800
2005/05/09,2310,2800
2005/05/10,2300,2850
2005/05/11,2250,2856
2005/05/12,2240,2875
2005/05/13,2202.5,2875
2005/05/16,2250,2875
2005/05/17,2235,2875
2005/05/18,2240,2860
2005/05/19,2229.7,2860
2005/05/20,2225,2845
2005/05/23,2225,2835
2005/05/24,2240,2700
2005/05/25,2236,2700
2005/05/26,2240,2700
2005/05/27,2237.5,2695
2005/05/30,2200.5,2700
2005/05/31,2180,2700
2005/06/01,2110.5,2650
2005/06/02,2130,2675
2005/06/03,2170,2680
2005/06/06,2185,2700
2005/06/07,2175.6,2700
2005/06/08,2190,2750
2005/06/09,2150,2800
2005/06/10,2150,2800
2005/06/13,2150,2820
2005/06/14,2160,2850
2005/06/15,2149.9,2850
2005/06/17,2150,2850
2005/06/20,2150,2850
2005/06/21,2150,3100
2005/06/22,2155,3090
2005/06/23,2223,3050
2005/06/24,2220,3050
2005/06/27,2220,3000
2005/06/28,2260.8,2990
2005/06/29,2260,2960
2005/06/30,2299.5,2980
2005/07/01,2420,2978
2005/07/04,2390.1,2980
2005/07/05,2350,2990
2005/07/06,2360,3020
2005/07/07,2355,3000
2005/07/08,2360,3060
2005/07/11,2400,3070
2005/07/12,2410,3110
2005/07/13,2417,3120
2005/07/14,2490.1,3150
2005/07/15,2531,3150
2005/07/18,2539.9,3150
2005/07/19,2531,3150
2005/07/20,2505,3200
