Date,PSG,SASFIN
2004/05/12,275,1000
2004/05/13,275,1000
2004/05/14,270,1000
2004/05/17,270,990
2004/05/18,265,990
2004/05/19,270,980
2004/05/20,265,980
2004/05/21,260,990
2004/05/24,256,990
2004/05/25,260,1015
2004/05/26,258,1010
2004/05/27,267,1019
2004/05/28,265,1019
2004/05/31,262,1019
2004/06/01,262,1019
2004/06/02,260,1019
2004/06/03,261,1019
2004/06/04,261,1050
2004/06/07,265,1050
2004/06/08,270,1050
2004/06/09,275,1095
2004/06/10,285,1095
2004/06/11,290,1095
2004/06/14,290,1095
2004/06/15,285,1095
2004/06/17,285,1080
2004/06/18,290,1080
2004/06/21,294,1080
2004/06/22,290,1075
2004/06/23,290,1070
2004/06/24,298,1070
2004/06/25,300,1070
2004/06/28,295,1070
2004/06/29,297,1070
2004/06/30,310,1070
2004/07/01,305,1070
2004/07/02,305,1070
2004/07/05,295,1060
2004/07/06,305,1060
2004/07/07,305,1080
2004/07/08,300,1090
2004/07/09,305,1090
2004/07/12,301,1105
2004/07/13,308,1105
2004/07/14,301,1105
2004/07/15,309,1105
2004/07/16,309,1105
2004/07/19,305,1075
2004/07/20,315,1105
2004/07/21,320,1100
2004/07/22,315,1100
2004/07/23,310,1100
2004/07/26,305,1100
2004/07/27,301,1115
2004/07/28,304,1115
2004/07/29,303,1150
2004/07/30,310,1150
2004/08/02,315,1150
2004/08/03,315,1200
2004/08/04,322,1200
2004/08/05,340,1200
2004/08/06,330,1200
2004/08/10,326,1170
2004/08/11,325,1230
2004/08/12,340,1225
2004/08/13,340,1250
2004/08/16,335,1250
2004/08/17,340,1250
2004/08/18,345,1250
2004/08/19,335,1250
2004/08/20,310,1250
2004/08/23,325,1250
2004/08/24,332,1275
2004/08/25,335,1275
2004/08/26,335,1270
2004/08/27,335,1275
2004/08/30,335,1275
2004/08/31,350,1275
2004/09/01,316,1276
2004/09/02,345,1276
2004/09/03,350,1276
2004/09/06,355,1420
2004/09/07,350,1449
2004/09/08,340,1450
2004/09/09,345,1420
2004/09/10,348,1430
2004/09/13,345,1420
2004/09/14,340,1450
2004/09/15,342,1475
2004/09/16,350,1490
2004/09/17,350,1495
2004/09/20,350,1520
2004/09/21,360,1510
2004/09/22,365,1520
2004/09/23,375,1520
2004/09/27,375,1500
2004/09/28,375,1500
2004/09/29,360,1500
2004/09/30,365,1500
2004/10/01,365,1470
2004/10/04,360,1500
2004/10/05,365,1480
2004/10/06,395,1500
2004/10/07,375,1500
2004/10/08,400,1500
2004/10/11,440,1521
2004/10/12,450,1520
2004/10/13,440,1515
2004/10/14,450,1500
2004/10/15,435,1500
2004/10/18,445,1500
2004/10/19,460,1500
2004/10/20,455,1515
2004/10/21,450,1530
2004/10/22,440,1555
2004/10/25,440,1580
2004/10/26,445,1580
2004/10/27,440,1580
2004/10/28,440,1615
2004/10/29,440,1630
2004/11/01,435,1651
2004/11/02,445,1700
