Date,PSG,Peregrine
2004/05/12,275,220
2004/05/13,275,220
2004/05/14,270,220
2004/05/17,270,220
2004/05/18,265,220
2004/05/19,270,220
2004/05/20,265,220
2004/05/21,260,220
2004/05/24,256,220
2004/05/25,260,220
2004/05/26,258,220
2004/05/27,267,215
2004/05/28,265,225
2004/05/31,262,236
2004/06/01,262,224
2004/06/02,260,218
2004/06/03,261,220
2004/06/04,261,225
2004/06/07,265,236
2004/06/08,270,238
2004/06/09,275,225
2004/06/10,285,225
2004/06/11,290,225
2004/06/14,290,225
2004/06/15,285,225
2004/06/17,285,225
2004/06/18,290,225
2004/06/21,294,225
2004/06/22,290,225
2004/06/23,290,223
2004/06/24,298,225
2004/06/25,300,225
2004/06/28,295,224
2004/06/29,297,224
2004/06/30,310,223
2004/07/01,305,223
2004/07/02,305,224
2004/07/05,295,220
2004/07/06,305,217
2004/07/07,305,225
2004/07/08,300,225
2004/07/09,305,229
2004/07/12,301,225
2004/07/13,308,225
2004/07/14,301,225
2004/07/15,309,216
2004/07/16,309,216
2004/07/19,305,220
2004/07/20,315,220
2004/07/21,320,220
2004/07/22,315,220
2004/07/23,310,215
2004/07/26,305,220
2004/07/27,301,218
2004/07/28,304,211
2004/07/29,303,215
2004/07/30,310,210
2004/08/02,315,210
2004/08/03,315,210
2004/08/04,322,214
2004/08/05,340,210
2004/08/06,330,215
2004/08/10,326,221
2004/08/11,325,210
2004/08/12,340,215
2004/08/13,340,220
2004/08/16,335,220
2004/08/17,340,220
2004/08/18,345,215
2004/08/19,335,220
2004/08/20,310,218
2004/08/23,325,225
2004/08/24,332,223
2004/08/25,335,225
2004/08/26,335,225
2004/08/27,335,223
2004/08/30,335,224
2004/08/31,350,220
2004/09/01,316,218
2004/09/02,345,220
2004/09/03,350,223
2004/09/06,355,224
2004/09/07,350,220
2004/09/08,340,220
2004/09/09,345,219
2004/09/10,348,220
2004/09/13,345,217
2004/09/14,340,217
2004/09/15,342,218
2004/09/16,350,225
2004/09/17,350,220
2004/09/20,350,225
2004/09/21,360,227
2004/09/22,365,230
2004/09/23,375,230
2004/09/27,375,235
2004/09/28,375,230
2004/09/29,360,230
2004/09/30,365,240
2004/10/01,365,240
2004/10/04,360,244
2004/10/05,365,240
2004/10/06,395,240
2004/10/07,375,245
2004/10/08,400,243
2004/10/11,440,250
2004/10/12,450,240
2004/10/13,440,245
2004/10/14,450,250
2004/10/15,435,250
2004/10/18,445,249
2004/10/19,460,250
2004/10/20,455,245
2004/10/21,450,250
2004/10/22,440,246
2004/10/25,440,245
2004/10/26,445,249
2004/10/27,440,250
2004/10/28,440,250
2004/10/29,440,250
2004/11/01,435,250
2004/11/02,445,240
2004/11/03,453,241
2004/11/04,470,240
2004/11/05,456,240
2004/11/08,470,245
2004/11/09,476,245
2004/11/10,480,245
2004/11/11,482,250
2004/11/12,485,250
2004/11/15,500,252
2004/11/16,520,252
2004/11/17,525,250
2004/11/18,520,255
2004/11/19,520,251
2004/11/22,525,255
2004/11/23,525,255
2004/11/24,530,255
2004/11/25,528,258
2004/11/26,530,264
2004/11/29,530,260
2004/11/30,542,268
