Date,SASFIN,Peregrine
2004/05/12,1000,220
2004/05/13,1000,220
2004/05/14,1000,220
2004/05/17,990,220
2004/05/18,990,220
2004/05/19,980,220
2004/05/20,980,220
2004/05/21,990,220
2004/05/24,990,220
2004/05/25,1015,220
2004/05/26,1010,220
2004/05/27,1019,215
2004/05/28,1019,225
2004/05/31,1019,236
2004/06/01,1019,224
2004/06/02,1019,218
2004/06/03,1019,220
2004/06/04,1050,225
2004/06/07,1050,236
2004/06/08,1050,238
2004/06/09,1095,225
2004/06/10,1095,225
2004/06/11,1095,225
2004/06/14,1095,225
2004/06/15,1095,225
2004/06/17,1080,225
2004/06/18,1080,225
2004/06/21,1080,225
2004/06/22,1075,225
2004/06/23,1070,223
2004/06/24,1070,225
2004/06/25,1070,225
2004/06/28,1070,224
2004/06/29,1070,224
2004/06/30,1070,223
2004/07/01,1070,223
2004/07/02,1070,224
2004/07/05,1060,220
2004/07/06,1060,217
2004/07/07,1080,225
2004/07/08,1090,225
2004/07/09,1090,229
2004/07/12,1105,225
2004/07/13,1105,225
2004/07/14,1105,225
2004/07/15,1105,216
2004/07/16,1105,216
2004/07/19,1075,220
2004/07/20,1105,220
2004/07/21,1100,220
2004/07/22,1100,220
2004/07/23,1100,215
2004/07/26,1100,220
2004/07/27,1115,218
2004/07/28,1115,211
2004/07/29,1150,215
2004/07/30,1150,210
2004/08/02,1150,210
2004/08/03,1200,210
2004/08/04,1200,214
2004/08/05,1200,210
2004/08/06,1200,215
2004/08/10,1170,221
2004/08/11,1230,210
2004/08/12,1225,215
2004/08/13,1250,220
2004/08/16,1250,220
2004/08/17,1250,220
2004/08/18,1250,215
2004/08/19,1250,220
2004/08/20,1250,218
2004/08/23,1250,225
2004/08/24,1275,223
2004/08/25,1275,225
2004/08/26,1270,225
2004/08/27,1275,223
2004/08/30,1275,224
2004/08/31,1275,220
2004/09/01,1276,218
2004/09/02,1276,220
2004/09/03,1276,223
2004/09/06,1420,224
2004/09/07,1449,220
2004/09/08,1450,220
2004/09/09,1420,219
2004/09/10,1430,220
2004/09/13,1420,217
2004/09/14,1450,217
2004/09/15,1475,218
2004/09/16,1490,225
2004/09/17,1495,220
2004/09/20,1520,225
2004/09/21,1510,227
2004/09/22,1520,230
2004/09/23,1520,230
2004/09/27,1500,235
2004/09/28,1500,230
2004/09/29,1500,230
2004/09/30,1500,240
2004/10/01,1470,240
2004/10/04,1500,244
2004/10/05,1480,240
2004/10/06,1500,240
2004/10/07,1500,245
2004/10/08,1500,243
2004/10/11,1521,250
2004/10/12,1520,240
2004/10/13,1515,245
2004/10/14,1500,250
2004/10/15,1500,250
2004/10/18,1500,249
2004/10/19,1500,250
2004/10/20,1515,245
2004/10/21,1530,250
2004/10/22,1555,246
2004/10/25,1580,245
2004/10/26,1580,249
2004/10/27,1580,250
2004/10/28,1615,250
2004/10/29,1630,250
2004/11/01,1651,250
2004/11/02,1700,240
2004/11/03,1700,241
2004/11/04,1720,240
2004/11/05,1705,240
2004/11/08,1580,245
2004/11/09,1600,245
2004/11/10,1600,245
2004/11/11,1610,250
2004/11/12,1640,250
2004/11/15,1680,252
2004/11/16,1685,252
2004/11/17,1710,250
2004/11/18,1710,255
2004/11/19,1710,251
2004/11/22,1710,255
2004/11/23,1710,255
2004/11/24,1710,255
2004/11/25,1710,258
2004/11/26,1700,264
2004/11/29,1685,260
2004/11/30,1680,268
2004/12/01,1720,275
2004/12/02,1730,277
2004/12/03,1730,280
2004/12/06,1730,280
2004/12/07,1720,275
2004/12/08,1730,275
2004/12/09,1750,266
2004/12/10,1750,270
2004/12/13,1700,270
2004/12/14,1760,275
2004/12/15,1762,275
2004/12/17,1780,275
2004/12/20,1800,280
2004/12/21,1950,280
2004/12/22,1950,289
2004/12/23,2000,300
2004/12/24,2000,306
2004/12/28,2000,319
2004/12/29,2100,310
2004/12/30,2200,315
2004/12/31,2200,320
2005/01/03,2100,315
2005/01/04,2110,312
2005/01/05,2060,310
2005/01/06,2060,310
2005/01/07,2060,310
2005/01/10,2060,312
2005/01/11,2000,316
2005/01/12,1975,325
2005/01/13,1975,330
2005/01/14,1990,330
2005/01/17,1990,325
2005/01/18,1990,305
2005/01/19,1921,320
2005/01/20,1990,320
2005/01/21,1950,310
2005/01/24,1990,320
2005/01/25,1990,320
2005/01/26,1990,320
2005/01/27,1989,320
2005/01/28,1982,319
2005/01/31,1982,315
2005/02/01,2000,315
2005/02/02,2000,330
2005/02/03,2000,345
2005/02/04,2000,340
2005/02/07,2000,350
2005/02/08,2000,350
2005/02/09,2000,350
2005/02/10,2000,360
2005/02/11,2000,355
2005/02/14,2000,345
2005/02/15,2000,350
2005/02/16,1985,349
2005/02/17,2000,345
2005/02/18,2000,345
2005/02/21,2001,345
2005/02/22,2001,340
2005/02/23,2025,340
2005/02/24,2025,340
2005/02/25,2025,350
2005/02/28,2050,340
2005/03/01,2025,345
2005/03/02,2000,340
2005/03/03,1995,345
2005/03/04,2000,348
2005/03/07,1995,341
2005/03/08,1970,341
2005/03/09,1950,340
2005/03/10,1955,347
2005/03/11,1940,340
2005/03/14,1950,339
2005/03/15,1950,339
2005/03/16,1961,335
2005/03/17,1940,340
2005/03/18,1940,340
2005/03/22,1935,345
2005/03/23,1915,340
2005/03/24,1900,331
2005/03/29,1880,332
2005/03/30,1880,332
