Date,MrPrice,TFG
2004/05/12,780,1984
2004/05/13,781,1985
2004/05/14,780,1950
2004/05/17,760,1970
2004/05/18,760,1955
2004/05/19,765,1940
2004/05/20,750,1911
2004/05/21,750,1910
2004/05/24,761,1930
2004/05/25,755,1945
2004/05/26,775,1961
2004/05/27,780,2000
2004/05/28,790,1995
2004/05/31,805,2010
2004/06/01,820,2000
2004/06/02,820,2000
2004/06/03,820,2000
2004/06/04,805,2000
2004/06/07,810,2020
2004/06/08,810,2080
2004/06/09,810,2090
2004/06/10,810,2079
2004/06/11,815,2070
2004/06/14,810,2060
2004/06/15,810,2070
2004/06/17,811,2070
2004/06/18,820,2090
2004/06/21,795,2110
2004/06/22,785,2120
2004/06/23,800,2100
2004/06/24,800,2114
2004/06/25,810,2115
2004/06/28,815,2120
2004/06/29,810,2141
2004/06/30,810,2190
2004/07/01,815,2201
2004/07/02,815,2225
2004/07/05,815,2176
2004/07/06,814,2219
2004/07/07,825,2235
2004/07/08,830,2251
2004/07/09,815,2300
2004/07/12,810,2235
2004/07/13,810,2250
2004/07/14,825,2290
2004/07/15,830,2300
2004/07/16,825,2298
2004/07/19,825,2300
2004/07/20,825,2290
2004/07/21,825,2287
2004/07/22,825,2230
2004/07/23,825,2220
2004/07/26,825,2205
2004/07/27,825,2212
2004/07/28,824,2224
2004/07/29,825,2225
2004/07/30,825,2250
2004/08/02,822,2270
2004/08/03,820,2270
2004/08/04,814,2290
2004/08/05,800,2285
2004/08/06,799,2260
2004/08/10,800,2250
2004/08/11,790,2206
2004/08/12,800,2250
2004/08/13,795,2215
2004/08/16,795,2270
2004/08/17,781,2250
2004/08/18,770,2201
2004/08/19,798,2246
2004/08/20,785,2270
2004/08/23,780,2250
2004/08/24,785,2245
2004/08/25,795,2260
2004/08/26,790,2270
2004/08/27,790,2290
2004/08/30,790,2321
2004/08/31,800,2410
2004/09/01,820,2430
2004/09/02,820,2485
2004/09/03,840,2530
2004/09/06,837,2550
2004/09/07,835,2570
2004/09/08,825,2585
2004/09/09,835,2654
2004/09/10,830,2657
2004/09/13,821,2670
2004/09/14,810,2680
2004/09/15,816,2700
2004/09/16,819,2700
2004/09/17,829,2668
2004/09/20,825,2740
2004/09/21,825,2851
2004/09/22,850,2830
2004/09/23,840,2880
2004/09/27,845,2932
2004/09/28,869,2950
2004/09/29,885,2945
2004/09/30,890,2855
2004/10/01,900,2850
2004/10/04,900,2830
2004/10/05,910,2845
2004/10/06,890,2860
2004/10/07,880,2866
2004/10/08,864,2860
2004/10/11,855,2850
2004/10/12,840,2790
2004/10/13,846,2760
2004/10/14,850,2760
2004/10/15,860,2730
2004/10/18,870,2730
2004/10/19,875,2775
2004/10/20,875,2860
2004/10/21,880,2870
2004/10/22,880,2850
2004/10/25,880,2850
2004/10/26,880,2847
2004/10/27,899,2850
2004/10/28,891,2870
2004/10/29,900,3050
2004/11/01,960,3016
2004/11/02,975,3050
2004/11/03,990,3151
2004/11/04,980,3160
2004/11/05,990,3245
2004/11/08,990,3420
2004/11/09,1026,3500
2004/11/10,1050,3499
2004/11/11,1075,3450
2004/11/12,1090,3380
2004/11/15,1080,3400
2004/11/16,1080,3500
2004/11/17,1100,3599
2004/11/18,1095,3570
2004/11/19,1095,3666
2004/11/22,1090,3669
2004/11/23,1080,3549
2004/11/24,1080,3576
2004/11/25,1090,3620
2004/11/26,1099,3629
2004/11/29,1105,3650
2004/11/30,1130,3575
2004/12/01,1130,3650
2004/12/02,1150,3650
2004/12/03,1150,3600
2004/12/06,1135,3615
2004/12/07,1085,3600
2004/12/08,1044,3600
2004/12/09,1020,3530
2004/12/10,1040,3500
2004/12/13,1060,3530
2004/12/14,1090,3689
2004/12/15,1110,3800
2004/12/17,1110,3860
2004/12/20,1115,4000
2004/12/21,1112,4000
2004/12/22,1136,3970
2004/12/23,1160,3990
2004/12/24,1170,3975
2004/12/28,1200,4000
2004/12/29,1220,4000
2004/12/30,1220,4050
2004/12/31,1244,4000
2005/01/03,1240,3999
2005/01/04,1252,3990
2005/01/05,1230,3995
2005/01/06,1190,3900
2005/01/07,1170,3900
2005/01/10,1148,3890
2005/01/11,1120,3800
2005/01/12,1055,3735
2005/01/13,1090,3750
2005/01/14,1100,3708
2005/01/17,1125,3640
2005/01/18,1115,3589
2005/01/19,1102,3679
2005/01/20,1130,3675
2005/01/21,1113,3660
2005/01/24,1130,3765
2005/01/25,1130,3690
2005/01/26,1132,3750
2005/01/27,1140,3760
2005/01/28,1140,3775
2005/01/31,1143,3710
2005/02/01,1115,3720
2005/02/02,1135,3620
2005/02/03,1130,3573
2005/02/04,1120,3477
2005/02/07,1100,3550
2005/02/08,1100,3500
2005/02/09,1100,3460
2005/02/10,1090,3500
2005/02/11,1100,3599
2005/02/14,1100,3650
2005/02/15,1125,3600
2005/02/16,1125,3570
2005/02/17,1095,3580
2005/02/18,1095,3520
2005/02/21,1110,3600
2005/02/22,1150,3749
2005/02/23,1170,3775
2005/02/24,1180,3885
2005/02/25,1200,3900
2005/02/28,1200,3949
2005/03/01,1101,3879
2005/03/02,1150,3944
2005/03/03,1180,3991
2005/03/04,1190,3997
2005/03/07,1200,3836
2005/03/08,1200,3884
2005/03/09,1190,3820
2005/03/10,1200,3750
2005/03/11,1200,3660
2005/03/14,1250,3685
2005/03/15,1260,3690
2005/03/16,1200,3600
2005/03/17,1220,3515
2005/03/18,1170,3599
2005/03/22,1200,3608
2005/03/23,1155,3570
2005/03/24,1120,3521
2005/03/29,1140,3480
2005/03/30,1120,3500
2005/03/31,1145,3555
2005/04/01,1130,3540
2005/04/04,1115,3450
2005/04/05,1110,3400
2005/04/06,1109,3489
2005/04/07,1106,3410
2005/04/08,1115,3380
2005/04/11,1115,3354
