Date,Truworth,TFG
2004/05/12,1000,1984
2004/05/13,980,1985
2004/05/14,980,1950
2004/05/17,970,1970
2004/05/18,960,1955
2004/05/19,970,1940
2004/05/20,966,1911
2004/05/21,982,1910
2004/05/24,965,1930
2004/05/25,967,1945
2004/05/26,975,1961
2004/05/27,961,2000
2004/05/28,943,1995
2004/05/31,955,2010
2004/06/01,975,2000
2004/06/02,974,2000
2004/06/03,975,2000
2004/06/04,970,2000
2004/06/07,970,2020
2004/06/08,975,2080
2004/06/09,975,2090
2004/06/10,976,2079
2004/06/11,975,2070
2004/06/14,1000,2060
2004/06/15,985,2070
2004/06/17,951,2070
2004/06/18,975,2090
2004/06/21,975,2110
2004/06/22,985,2120
2004/06/23,992,2100
2004/06/24,994,2114
2004/06/25,980,2115
2004/06/28,1005,2120
2004/06/29,1005,2141
2004/06/30,1011,2190
2004/07/01,1020,2201
2004/07/02,1040,2225
2004/07/05,1050,2176
2004/07/06,1020,2219
2004/07/07,1015,2235
2004/07/08,1025,2251
2004/07/09,1030,2300
2004/07/12,1025,2235
2004/07/13,1025,2250
2004/07/14,1040,2290
2004/07/15,1040,2300
2004/07/16,1038,2298
2004/07/19,1030,2300
2004/07/20,1025,2290
2004/07/21,1024,2287
2004/07/22,1015,2230
2004/07/23,1000,2220
2004/07/26,1020,2205
2004/07/27,1015,2212
2004/07/28,1015,2224
2004/07/29,1000,2225
2004/07/30,1025,2250
2004/08/02,1050,2270
2004/08/03,1010,2270
2004/08/04,1035,2290
2004/08/05,1038,2285
2004/08/06,1031,2260
2004/08/10,1040,2250
2004/08/11,1029,2206
2004/08/12,1050,2250
2004/08/13,1050,2215
2004/08/16,1062,2270
2004/08/17,1050,2250
2004/08/18,1040,2201
2004/08/19,1050,2246
2004/08/20,1050,2270
2004/08/23,1046,2250
2004/08/24,1050,2245
2004/08/25,1055,2260
2004/08/26,1050,2270
2004/08/27,1060,2290
2004/08/30,1050,2321
2004/08/31,1060,2410
2004/09/01,1095,2430
2004/09/02,1130,2485
2004/09/03,1175,2530
2004/09/06,1130,2550
2004/09/07,1126,2570
2004/09/08,1160,2585
2004/09/09,1210,2654
2004/09/10,1200,2657
2004/09/13,1179,2670
2004/09/14,1165,2680
2004/09/15,1190,2700
2004/09/16,1200,2700
2004/09/17,1210,2668
2004/09/20,1250,2740
2004/09/21,1280,2851
2004/09/22,1270,2830
2004/09/23,1280,2880
2004/09/27,1290,2932
2004/09/28,1319,2950
2004/09/29,1294,2945
2004/09/30,1280,2855
2004/10/01,1250,2850
2004/10/04,1275,2830
2004/10/05,1270,2845
2004/10/06,1275,2860
2004/10/07,1280,2866
2004/10/08,1280,2860
2004/10/11,1275,2850
2004/10/12,1265,2790
2004/10/13,1260,2760
2004/10/14,1257,2760
2004/10/15,1260,2730
2004/10/18,1260,2730
2004/10/19,1285,2775
2004/10/20,1300,2860
2004/10/21,1294,2870
2004/10/22,1279,2850
2004/10/25,1285,2850
2004/10/26,1269,2847
2004/10/27,1249,2850
2004/10/28,1300,2870
2004/10/29,1399,3050
2004/11/01,1399,3016
2004/11/02,1400,3050
2004/11/03,1430,3151
2004/11/04,1500,3160
2004/11/05,1515,3245
2004/11/08,1575,3420
2004/11/09,1575,3500
2004/11/10,1620,3499
2004/11/11,1599,3450
2004/11/12,1590,3380
2004/11/15,1600,3400
2004/11/16,1594,3500
2004/11/17,1555,3599
2004/11/18,1550,3570
2004/11/19,1555,3666
2004/11/22,1544,3669
2004/11/23,1532,3549
2004/11/24,1550,3576
2004/11/25,1565,3620
2004/11/26,1650,3629
2004/11/29,1635,3650
2004/11/30,1675,3575
2004/12/01,1650,3650
2004/12/02,1650,3650
2004/12/03,1620,3600
2004/12/06,1592,3615
2004/12/07,1570,3600
2004/12/08,1530,3600
2004/12/09,1550,3530
2004/12/10,1575,3500
2004/12/13,1595,3530
2004/12/14,1600,3689
2004/12/15,1600,3800
2004/12/17,1627,3860
2004/12/20,1615,4000
2004/12/21,1650,4000
2004/12/22,1681,3970
2004/12/23,1715,3990
2004/12/24,1715,3975
2004/12/28,1715,4000
2004/12/29,1725,4000
2004/12/30,1715,4050
2004/12/31,1710,4000
