Date,Woolies,MrPrice
2004/05/12,720,780
2004/05/13,726,781
2004/05/14,725,780
2004/05/17,728,760
2004/05/18,720,760
2004/05/19,722,765
2004/05/20,720,750
2004/05/21,715,750
2004/05/24,715,761
2004/05/25,707,755
2004/05/26,701,775
2004/05/27,725,780
2004/05/28,705,790
2004/05/31,720,805
2004/06/01,712,820
2004/06/02,712,820
2004/06/03,712,820
2004/06/04,710,805
2004/06/07,701,810
2004/06/08,710,810
2004/06/09,716,810
2004/06/10,708,810
2004/06/11,706,815
2004/06/14,708,810
2004/06/15,710,810
2004/06/17,703,811
2004/06/18,716,820
2004/06/21,720,795
2004/06/22,720,785
2004/06/23,705,800
2004/06/24,720,800
2004/06/25,710,810
2004/06/28,702,815
2004/06/29,710,810
2004/06/30,710,810
2004/07/01,725,815
2004/07/02,727,815
2004/07/05,729,815
2004/07/06,730,814
2004/07/07,726,825
2004/07/08,725,830
2004/07/09,730,815
2004/07/12,725,810
2004/07/13,750,810
2004/07/14,750,825
2004/07/15,750,830
2004/07/16,740,825
2004/07/19,730,825
2004/07/20,740,825
2004/07/21,749,825
2004/07/22,739,825
2004/07/23,739,825
2004/07/26,738,825
2004/07/27,746,825
2004/07/28,760,824
2004/07/29,752,825
2004/07/30,765,825
2004/08/02,775,822
2004/08/03,775,820
2004/08/04,780,814
2004/08/05,780,800
2004/08/06,770,799
2004/08/10,761,800
2004/08/11,740,790
2004/08/12,760,800
2004/08/13,760,795
2004/08/16,775,795
2004/08/17,765,781
2004/08/18,776,770
2004/08/19,767,798
2004/08/20,775,785
2004/08/23,780,780
2004/08/24,784,785
2004/08/25,782,795
2004/08/26,783,790
2004/08/27,785,790
2004/08/30,775,790
2004/08/31,793,800
2004/09/01,800,820
2004/09/02,810,820
2004/09/03,840,840
2004/09/06,810,837
2004/09/07,825,835
2004/09/08,820,825
2004/09/09,860,835
2004/09/10,841,830
2004/09/13,832,821
2004/09/14,825,810
2004/09/15,839,816
2004/09/16,863,819
2004/09/17,875,829
2004/09/20,875,825
2004/09/21,890,825
2004/09/22,889,850
2004/09/23,875,840
2004/09/27,880,845
2004/09/28,895,869
2004/09/29,890,885
2004/09/30,890,890
2004/10/01,882,900
2004/10/04,893,900
2004/10/05,890,910
2004/10/06,904,890
2004/10/07,890,880
2004/10/08,895,864
2004/10/11,890,855
2004/10/12,881,840
2004/10/13,880,846
2004/10/14,865,850
2004/10/15,880,860
2004/10/18,885,870
2004/10/19,900,875
2004/10/20,895,875
2004/10/21,915,880
2004/10/22,920,880
2004/10/25,938,880
2004/10/26,926,880
2004/10/27,929,899
2004/10/28,940,891
2004/10/29,960,900
2004/11/01,960,960
2004/11/02,965,975
2004/11/03,975,990
2004/11/04,990,980
2004/11/05,1000,990
2004/11/08,1005,990
2004/11/09,1025,1026
2004/11/10,1050,1050
2004/11/11,1050,1075
2004/11/12,1030,1090
2004/11/15,1065,1080
2004/11/16,1040,1080
2004/11/17,1035,1100
2004/11/18,1029,1095
2004/11/19,1038,1095
2004/11/22,1030,1090
2004/11/23,1015,1080
2004/11/24,1020,1080
2004/11/25,1045,1090
2004/11/26,1055,1099
2004/11/29,1073,1105
2004/11/30,1020,1130
2004/12/01,1075,1130
2004/12/02,1075,1150
2004/12/03,1073,1150
2004/12/06,1069,1135
2004/12/07,1069,1085
2004/12/08,1055,1044
2004/12/09,1060,1020
2004/12/10,1060,1040
2004/12/13,1063,1060
2004/12/14,1060,1090
2004/12/15,1075,1110
2004/12/17,1080,1110
2004/12/20,1138,1115
2004/12/21,1125,1112
2004/12/22,1111,1136
2004/12/23,1130,1160
2004/12/24,1140,1170
2004/12/28,1140,1200
2004/12/29,1125,1220
2004/12/30,1125,1220
2004/12/31,1139,1244
2005/01/03,1165,1240
2005/01/04,1170,1252
2005/01/05,1146,1230
2005/01/06,1110,1190
2005/01/07,1100,1170
2005/01/10,1100,1148
2005/01/11,1105,1120
2005/01/12,1086,1055
2005/01/13,1096,1090
2005/01/14,1079,1100
2005/01/17,1056,1125
2005/01/18,1030,1115
2005/01/19,1020,1102
2005/01/20,1019,1130
2005/01/21,1035,1113
2005/01/24,1026,1130
2005/01/25,1046,1130
2005/01/26,1080,1132
2005/01/27,1100,1140
2005/01/28,1105,1140
2005/01/31,1104,1143
2005/02/01,1100,1115
2005/02/02,1090,1135
2005/02/03,1090,1130
2005/02/04,1086,1120
2005/02/07,1100,1100
2005/02/08,1090,1100
2005/02/09,1090,1100
2005/02/10,1070,1090
2005/02/11,1068,1100
2005/02/14,1068,1100
2005/02/15,1070,1125
2005/02/16,1050,1125
2005/02/17,1030,1095
2005/02/18,1020,1095
