Date,Woolies,Truworth
2004/05/12,720,1000
2004/05/13,726,980
2004/05/14,725,980
2004/05/17,728,970
2004/05/18,720,960
2004/05/19,722,970
2004/05/20,720,966
2004/05/21,715,982
2004/05/24,715,965
2004/05/25,707,967
2004/05/26,701,975
2004/05/27,725,961
2004/05/28,705,943
2004/05/31,720,955
2004/06/01,712,975
2004/06/02,712,974
2004/06/03,712,975
2004/06/04,710,970
2004/06/07,701,970
2004/06/08,710,975
2004/06/09,716,975
2004/06/10,708,976
2004/06/11,706,975
2004/06/14,708,1000
2004/06/15,710,985
2004/06/17,703,951
2004/06/18,716,975
2004/06/21,720,975
2004/06/22,720,985
2004/06/23,705,992
2004/06/24,720,994
2004/06/25,710,980
2004/06/28,702,1005
2004/06/29,710,1005
2004/06/30,710,1011
2004/07/01,725,1020
2004/07/02,727,1040
2004/07/05,729,1050
2004/07/06,730,1020
2004/07/07,726,1015
2004/07/08,725,1025
2004/07/09,730,1030
2004/07/12,725,1025
2004/07/13,750,1025
2004/07/14,750,1040
2004/07/15,750,1040
2004/07/16,740,1038
2004/07/19,730,1030
2004/07/20,740,1025
2004/07/21,749,1024
2004/07/22,739,1015
2004/07/23,739,1000
2004/07/26,738,1020
2004/07/27,746,1015
2004/07/28,760,1015
2004/07/29,752,1000
2004/07/30,765,1025
2004/08/02,775,1050
2004/08/03,775,1010
2004/08/04,780,1035
2004/08/05,780,1038
2004/08/06,770,1031
2004/08/10,761,1040
2004/08/11,740,1029
2004/08/12,760,1050
2004/08/13,760,1050
2004/08/16,775,1062
2004/08/17,765,1050
2004/08/18,776,1040
2004/08/19,767,1050
2004/08/20,775,1050
2004/08/23,780,1046
2004/08/24,784,1050
2004/08/25,782,1055
2004/08/26,783,1050
2004/08/27,785,1060
2004/08/30,775,1050
2004/08/31,793,1060
2004/09/01,800,1095
2004/09/02,810,1130
2004/09/03,840,1175
2004/09/06,810,1130
2004/09/07,825,1126
2004/09/08,820,1160
2004/09/09,860,1210
2004/09/10,841,1200
2004/09/13,832,1179
2004/09/14,825,1165
2004/09/15,839,1190
2004/09/16,863,1200
2004/09/17,875,1210
2004/09/20,875,1250
2004/09/21,890,1280
2004/09/22,889,1270
2004/09/23,875,1280
2004/09/27,880,1290
2004/09/28,895,1319
2004/09/29,890,1294
2004/09/30,890,1280
2004/10/01,882,1250
2004/10/04,893,1275
2004/10/05,890,1270
2004/10/06,904,1275
2004/10/07,890,1280
2004/10/08,895,1280
2004/10/11,890,1275
2004/10/12,881,1265
2004/10/13,880,1260
2004/10/14,865,1257
2004/10/15,880,1260
2004/10/18,885,1260
2004/10/19,900,1285
2004/10/20,895,1300
2004/10/21,915,1294
2004/10/22,920,1279
2004/10/25,938,1285
2004/10/26,926,1269
2004/10/27,929,1249
2004/10/28,940,1300
2004/10/29,960,1399
2004/11/01,960,1399
2004/11/02,965,1400
2004/11/03,975,1430
2004/11/04,990,1500
2004/11/05,1000,1515
2004/11/08,1005,1575
2004/11/09,1025,1575
2004/11/10,1050,1620
2004/11/11,1050,1599
2004/11/12,1030,1590
2004/11/15,1065,1600
2004/11/16,1040,1594
2004/11/17,1035,1555
2004/11/18,1029,1550
2004/11/19,1038,1555
2004/11/22,1030,1544
2004/11/23,1015,1532
2004/11/24,1020,1550
2004/11/25,1045,1565
2004/11/26,1055,1650
2004/11/29,1073,1635
2004/11/30,1020,1675
2004/12/01,1075,1650
2004/12/02,1075,1650
2004/12/03,1073,1620
2004/12/06,1069,1592
2004/12/07,1069,1570
2004/12/08,1055,1530
2004/12/09,1060,1550
2004/12/10,1060,1575
2004/12/13,1063,1595
2004/12/14,1060,1600
2004/12/15,1075,1600
2004/12/17,1080,1627
2004/12/20,1138,1615
2004/12/21,1125,1650
2004/12/22,1111,1681
2004/12/23,1130,1715
2004/12/24,1140,1715
2004/12/28,1140,1715
2004/12/29,1125,1725
2004/12/30,1125,1715
2004/12/31,1139,1710
2005/01/03,1165,1720
2005/01/04,1170,1715
2005/01/05,1146,1650
2005/01/06,1110,1600
2005/01/07,1100,1615
2005/01/10,1100,1610
2005/01/11,1105,1620
2005/01/12,1086,1590
2005/01/13,1096,1620
2005/01/14,1079,1578
2005/01/17,1056,1570
2005/01/18,1030,1574
2005/01/19,1020,1615
2005/01/20,1019,1610
2005/01/21,1035,1661
2005/01/24,1026,1705
2005/01/25,1046,1670
2005/01/26,1080,1698
2005/01/27,1100,1715
2005/01/28,1105,1720
2005/01/31,1104,1700
2005/02/01,1100,1650
2005/02/02,1090,1615
2005/02/03,1090,1625
2005/02/04,1086,1595
2005/02/07,1100,1605
2005/02/08,1090,1600
2005/02/09,1090,1600
2005/02/10,1070,1600
2005/02/11,1068,1612
2005/02/14,1068,1640
2005/02/15,1070,1640
2005/02/16,1050,1640
2005/02/17,1030,1635
2005/02/18,1020,1647
2005/02/21,1020,1661
2005/02/22,1020,1690
2005/02/23,1040,1750
2005/02/24,1045,1773
2005/02/25,1054,1800
2005/02/28,1043,1740
2005/03/01,1040,1730
2005/03/02,1039,1749
2005/03/03,1070,1750
2005/03/04,1075,1780
2005/03/07,1032,1760
2005/03/08,1050,1740
2005/03/09,1050,1711
2005/03/10,1036,1726
2005/03/11,1040,1685
2005/03/14,1044,1670
2005/03/15,1036,1670
2005/03/16,1002,1624
2005/03/17,1035,1590
2005/03/18,1046,1620
2005/03/22,1024,1620
2005/03/23,1010,1625
2005/03/24,1010,1620
2005/03/29,980,1590
2005/03/30,990,1610
2005/03/31,995,1630
2005/04/01,998,1640
2005/04/04,988,1601
2005/04/05,989,1590
2005/04/06,985,1594
2005/04/07,975,1600
2005/04/08,971,1601
2005/04/11,966,1600
2005/04/12,950,1572
2005/04/13,955,1570
2005/04/14,972,1592
2005/04/15,985,1580
2005/04/18,980,1560
2005/04/19,990,1645
2005/04/20,998,1584
2005/04/21,987,1580
2005/04/22,970,1600
2005/04/25,953,1585
2005/04/26,975,1578
2005/04/28,982,1580
2005/04/29,965,1605
2005/05/03,975,1620
2005/05/04,980,1630
2005/05/05,997,1640
2005/05/06,1010,1670
2005/05/09,1050,1702
2005/05/10,1042,1680
2005/05/11,1039,1660
2005/05/12,1050,1692
2005/05/13,1045,1680
2005/05/16,1050,1660
2005/05/17,1052,1662
2005/05/18,1045,1661
2005/05/19,1040,1701
2005/05/20,1047,1724
2005/05/23,1060,1700
2005/05/24,1063,1681
2005/05/25,1065,1676
2005/05/26,1065,1701
2005/05/27,1075,1704
2005/05/30,1065,1701
2005/05/31,1041,1675
2005/06/01,1010,1670
2005/06/02,1020,1730
2005/06/03,1020,1730
2005/06/06,1047,1724
2005/06/07,1060,1825
2005/06/08,1031,1760
2005/06/09,1027,1752
2005/06/10,1020,1801
2005/06/13,1025,1815
2005/06/14,1024,1779
2005/06/15,1010,1775
2005/06/17,1024,1819
2005/06/20,1035,1841
2005/06/21,1029,1850
2005/06/22,1023,1825
2005/06/23,1025,1790
2005/06/24,1025,1755
2005/06/27,1030,1750
2005/06/28,1048,1768
2005/06/29,1060,1771
2005/06/30,1050,1740
2005/07/01,1030,1725
2005/07/04,1043,1735
2005/07/05,1041,1755
2005/07/06,1049,1760
2005/07/07,1050,1760
2005/07/08,1050,1801
2005/07/11,1050,1800
2005/07/12,1050,1840
2005/07/13,1081,1891
2005/07/14,1110,1880
2005/07/15,1110,1860
2005/07/18,1110,1825
2005/07/19,1110,1845
2005/07/20,1109,1838
2005/07/21,1151,1809
2005/07/22,1155,1802
2005/07/25,1168,1880
2005/07/26,1130,1837
2005/07/27,1141,1880
2005/07/28,1176,1900
2005/07/29,1164,1880
2005/08/01,1177,1890
2005/08/02,1200,1930
2005/08/03,1195,1940
2005/08/04,1190,1941
2005/08/05,1180,1926
2005/08/08,1170,1965
2005/08/10,1180,1975
2005/08/11,1160,1915
2005/08/12,1160,1890
2005/08/15,1140,1900
2005/08/16,1131,1865
2005/08/17,1110,1820
2005/08/18,1115,1840
2005/08/19,1150,1920
2005/08/22,1164,1976
2005/08/23,1160,1981
2005/08/24,1145,1940
2005/08/25,1156,1908
2005/08/26,1173,1920
2005/08/29,1161,1920
2005/08/30,1170,1885
2005/08/31,1155,1900
2005/09/01,1164,1890
