Date,Discovery,Liberty
2004/05/12,1299,4243
2004/05/13,1325,4180
2004/05/14,1285,4142
2004/05/17,1285,4114
2004/05/18,1275,4117
2004/05/19,1285,4117
2004/05/20,1256,4101
2004/05/21,1250,4117
2004/05/24,1240,4117
2004/05/25,1220,4053
2004/05/26,1220,4085
2004/05/27,1234,4228
2004/05/28,1255,4289
2004/05/31,1284,4370
2004/06/01,1250,4271
2004/06/02,1261,4291
2004/06/03,1250,4247
2004/06/04,1265,4212
2004/06/07,1265,4183
2004/06/08,1271,4212
2004/06/09,1265,4259
2004/06/10,1260,4212
2004/06/11,1230,4212
2004/06/14,1268,4243
2004/06/15,1232,4196
2004/06/17,1250,4180
2004/06/18,1250,4133
2004/06/21,1258,4243
2004/06/22,1260,4228
2004/06/23,1255,4212
2004/06/24,1290,4212
2004/06/25,1275,4228
2004/06/28,1265,4228
2004/06/29,1245,4148
2004/06/30,1283,4228
2004/07/01,1300,4196
2004/07/02,1275,4148
2004/07/05,1300,4148
2004/07/06,1285,4085
2004/07/07,1285,4085
2004/07/08,1285,4101
2004/07/09,1299,4117
2004/07/12,1280,4085
2004/07/13,1299,4101
2004/07/14,1280,4133
2004/07/15,1280,4117
2004/07/16,1280,4022
2004/07/19,1250,3958
2004/07/20,1250,3943
2004/07/21,1250,4006
2004/07/22,1230,4006
2004/07/23,1229,4003
2004/07/26,1220,4053
2004/07/27,1230,4093
2004/07/28,1290,4180
2004/07/29,1295,4119
2004/07/30,1335,4145
2004/08/02,1320,4145
2004/08/03,1368,4182
2004/08/04,1330,4171
2004/08/05,1300,4180
2004/08/06,1310,4117
2004/08/10,1405,4069
2004/08/11,1331,4085
2004/08/12,1400,4212
2004/08/13,1400,4307
2004/08/16,1400,4307
2004/08/17,1400,4323
2004/08/18,1361,4315
2004/08/19,1380,4315
2004/08/20,1388,4315
2004/08/23,1400,4395
2004/08/24,1400,4405
2004/08/25,1399,4403
2004/08/26,1399,4433
2004/08/27,1410,4465
2004/08/30,1450,4465
2004/08/31,1495,4528
2004/09/01,1485,4418
2004/09/02,1485,4433
2004/09/03,1450,4497
2004/09/06,1440,4308
2004/09/07,1445,4291
2004/09/08,1430,4323
2004/09/09,1375,4335
2004/09/10,1355,4338
2004/09/13,1376,4370
2004/09/14,1385,4402
2004/09/15,1375,4376
2004/09/16,1370,4433
2004/09/17,1395,4433
2004/09/20,1397,4449
2004/09/21,1400,4465
2004/09/22,1440,4560
2004/09/23,1400,4560
2004/09/27,1400,4671
2004/09/28,1411,4703
2004/09/29,1440,4813
2004/09/30,1470,4782
2004/10/01,1500,4782
2004/10/04,1525,4718
2004/10/05,1530,4687
2004/10/06,1530,4750
2004/10/07,1550,4813
2004/10/08,1545,4831
2004/10/11,1540,4813
2004/10/12,1540,4797
2004/10/13,1520,4750
2004/10/14,1530,4750
2004/10/15,1492,4750
2004/10/18,1500,4750
2004/10/19,1500,4750
2004/10/20,1540,4720
2004/10/21,1540,4750
2004/10/22,1540,4782
2004/10/25,1540,4718
2004/10/26,1530,4687
2004/10/27,1574,4750
2004/10/28,1640,4782
2004/10/29,1660,4845
2004/11/01,1698,4845
2004/11/02,1700,4782
2004/11/03,1662,4877
2004/11/04,1700,4940
2004/11/05,1700,4988
2004/11/08,1670,5067
2004/11/09,1690,5067
2004/11/10,1660,5083
2004/11/11,1685,5098
2004/11/12,1690,5233
2004/11/15,1700,5320
2004/11/16,1688,5336
2004/11/17,1700,5225
2004/11/18,1720,5257
2004/11/19,1750,5241
2004/11/22,1780,5257
2004/11/23,1800,5241
2004/11/24,1810,5162
2004/11/25,1810,5257
2004/11/26,1850,5195
2004/11/29,1850,5225
2004/11/30,1859,5257
2004/12/01,1796,5257
2004/12/02,1780,5178
2004/12/03,1750,5193
2004/12/06,1795,5193
2004/12/07,1815,5193
2004/12/08,1822,5162
2004/12/09,1830,5130
2004/12/10,1790,5146
2004/12/13,1800,5193
2004/12/14,1800,5383
2004/12/15,1790,5463
