Date,Discovery,MMI
2004/05/12,1299,745
2004/05/13,1325,740
2004/05/14,1285,735
2004/05/17,1285,736
2004/05/18,1275,750
2004/05/19,1285,750
2004/05/20,1256,750
2004/05/21,1250,750
2004/05/24,1240,750
2004/05/25,1220,770
2004/05/26,1220,775
2004/05/27,1234,775
2004/05/28,1255,775
2004/05/31,1284,755
2004/06/01,1250,750
2004/06/02,1261,750
2004/06/03,1250,755
2004/06/04,1265,755
2004/06/07,1265,770
2004/06/08,1271,760
2004/06/09,1265,760
2004/06/10,1260,750
2004/06/11,1230,745
2004/06/14,1268,740
2004/06/15,1232,730
2004/06/17,1250,726
2004/06/18,1250,710
2004/06/21,1258,731
2004/06/22,1260,730
2004/06/23,1255,739
2004/06/24,1290,731
2004/06/25,1275,715
2004/06/28,1265,731
2004/06/29,1245,725
2004/06/30,1283,730
2004/07/01,1300,727
2004/07/02,1275,740
2004/07/05,1300,740
2004/07/06,1285,745
2004/07/07,1285,750
2004/07/08,1285,750
2004/07/09,1299,745
2004/07/12,1280,750
2004/07/13,1299,740
2004/07/14,1280,750
2004/07/15,1280,750
2004/07/16,1280,750
2004/07/19,1250,760
2004/07/20,1250,750
2004/07/21,1250,759
2004/07/22,1230,735
2004/07/23,1229,720
2004/07/26,1220,730
2004/07/27,1230,730
2004/07/28,1290,730
2004/07/29,1295,730
2004/07/30,1335,745
2004/08/02,1320,740
2004/08/03,1368,740
2004/08/04,1330,735
2004/08/05,1300,763
2004/08/06,1310,764
2004/08/10,1405,764
2004/08/11,1331,755
2004/08/12,1400,780
2004/08/13,1400,770
2004/08/16,1400,775
2004/08/17,1400,780
2004/08/18,1361,760
2004/08/19,1380,760
2004/08/20,1388,755
2004/08/23,1400,765
2004/08/24,1400,761
2004/08/25,1399,740
2004/08/26,1399,765
2004/08/27,1410,758
2004/08/30,1450,765
2004/08/31,1495,765
2004/09/01,1485,765
2004/09/02,1485,775
2004/09/03,1450,790
2004/09/06,1440,825
2004/09/07,1445,855
2004/09/08,1430,823
2004/09/09,1375,835
2004/09/10,1355,840
2004/09/13,1376,840
2004/09/14,1385,845
2004/09/15,1375,835
2004/09/16,1370,820
2004/09/17,1395,815
2004/09/20,1397,823
2004/09/21,1400,824
2004/09/22,1440,830
2004/09/23,1400,835
2004/09/27,1400,826
2004/09/28,1411,839
2004/09/29,1440,842
2004/09/30,1470,880
2004/10/01,1500,880
2004/10/04,1525,874
2004/10/05,1530,875
2004/10/06,1530,866
2004/10/07,1550,863
2004/10/08,1545,868
2004/10/11,1540,875
2004/10/12,1540,890
2004/10/13,1520,910
2004/10/14,1530,910
2004/10/15,1492,906
2004/10/18,1500,919
2004/10/19,1500,910
2004/10/20,1540,895
2004/10/21,1540,890
2004/10/22,1540,880
2004/10/25,1540,890
2004/10/26,1530,885
2004/10/27,1574,890
2004/10/28,1640,890
2004/10/29,1660,885
2004/11/01,1698,875
2004/11/02,1700,877
2004/11/03,1662,948
2004/11/04,1700,921
2004/11/05,1700,930
2004/11/08,1670,930
2004/11/09,1690,930
2004/11/10,1660,915
2004/11/11,1685,915
2004/11/12,1690,914
2004/11/15,1700,915
2004/11/16,1688,955
2004/11/17,1700,960
2004/11/18,1720,960
2004/11/19,1750,959
2004/11/22,1780,940
2004/11/23,1800,930
2004/11/24,1810,935
2004/11/25,1810,950
2004/11/26,1850,958
2004/11/29,1850,965
2004/11/30,1859,959
2004/12/01,1796,960
2004/12/02,1780,1000
2004/12/03,1750,1020
2004/12/06,1795,1020
2004/12/07,1815,1031
2004/12/08,1822,1050
2004/12/09,1830,1060
2004/12/10,1790,1050
2004/12/13,1800,1052
2004/12/14,1800,1040
2004/12/15,1790,1025
2004/12/17,1790,1050
2004/12/20,1790,1050
2004/12/21,1785,1050
2004/12/22,1782,1070
2004/12/23,1800,1075
2004/12/24,1800,1075
2004/12/28,1850,1085
2004/12/29,1845,1090
2004/12/30,1870,1088
2004/12/31,1870,1090
2005/01/03,1900,990
2005/01/04,1945,1005
2005/01/05,1940,1000
2005/01/06,2000,995
2005/01/07,1995,990
2005/01/10,1980,1000
2005/01/11,1980,1000
2005/01/12,1980,995
2005/01/13,1980,980
2005/01/14,1970,1010
2005/01/17,1930,1025
2005/01/18,1880,1001
2005/01/19,1866,995
2005/01/20,1860,1000
2005/01/21,1865,1020
2005/01/24,1860,1010
2005/01/25,1851,1005
2005/01/26,1825,1015
2005/01/27,1860,1015
2005/01/28,1870,1015
2005/01/31,1850,1010
2005/02/01,1840,1020
2005/02/02,1832,1020
2005/02/03,1811,1010
2005/02/04,1806,1025
2005/02/07,1760,1019
2005/02/08,1700,1020
2005/02/09,1735,1025
2005/02/10,1760,1025
2005/02/11,1765,1030
2005/02/14,1770,1065
2005/02/15,1750,1060
2005/02/16,1730,1060
2005/02/17,1740,1065
2005/02/18,1790,1075
2005/02/21,1852,1095
2005/02/22,1900,1100
2005/02/23,1910,1126
2005/02/24,1925,1120
2005/02/25,1930,1130
2005/02/28,1925,1130
2005/03/01,1900,1130
2005/03/02,1905,1145
2005/03/03,1920,1048
2005/03/04,2025,1129
2005/03/07,2075,1130
2005/03/08,2150,1115
2005/03/09,2150,1130
2005/03/10,2150,1109
2005/03/11,2130,1075
2005/03/14,2140,1047
2005/03/15,2100,1080
2005/03/16,2075,1090
2005/03/17,2050,1090
2005/03/18,2066,1085
2005/03/22,2120,1080
2005/03/23,2090,1079
2005/03/24,2025,1040
2005/03/29,2000,1035
2005/03/30,1970,1025
2005/03/31,2040,1035
2005/04/01,2050,1030
2005/04/04,2050,1020
2005/04/05,2000,1010
2005/04/06,2000,1021
2005/04/07,1980,1015
2005/04/08,1980,1030
2005/04/11,1980,1015
2005/04/12,1950,1025
2005/04/13,1960,995
2005/04/14,1960,982
2005/04/15,1965,990
2005/04/18,1952,995
2005/04/19,1960,1025
2005/04/20,1980,1041
2005/04/21,2000,1040
2005/04/22,1990,1040
2005/04/25,1999,1040
2005/04/26,1982,1045
