Date,Discovery,Sanlam
2004/05/12,1299,841
2004/05/13,1325,855
2004/05/14,1285,855
2004/05/17,1285,845
2004/05/18,1275,830
2004/05/19,1285,844
2004/05/20,1256,845
2004/05/21,1250,843
2004/05/24,1240,835
2004/05/25,1220,830
2004/05/26,1220,850
2004/05/27,1234,860
2004/05/28,1255,885
2004/05/31,1284,892
2004/06/01,1250,890
2004/06/02,1261,896
2004/06/03,1250,885
2004/06/04,1265,866
2004/06/07,1265,885
2004/06/08,1271,870
2004/06/09,1265,860
2004/06/10,1260,853
2004/06/11,1230,849
2004/06/14,1268,850
2004/06/15,1232,850
2004/06/17,1250,850
2004/06/18,1250,850
2004/06/21,1258,857
2004/06/22,1260,846
2004/06/23,1255,840
2004/06/24,1290,850
2004/06/25,1275,880
2004/06/28,1265,884
2004/06/29,1245,880
2004/06/30,1283,880
2004/07/01,1300,890
2004/07/02,1275,871
2004/07/05,1300,861
2004/07/06,1285,869
2004/07/07,1285,850
2004/07/08,1285,835
2004/07/09,1299,850
2004/07/12,1280,855
2004/07/13,1299,861
2004/07/14,1280,845
2004/07/15,1280,853
2004/07/16,1280,840
2004/07/19,1250,840
2004/07/20,1250,845
2004/07/21,1250,858
2004/07/22,1230,850
2004/07/23,1229,865
2004/07/26,1220,875
2004/07/27,1230,870
2004/07/28,1290,878
2004/07/29,1295,870
2004/07/30,1335,875
2004/08/02,1320,868
2004/08/03,1368,882
2004/08/04,1330,890
2004/08/05,1300,865
2004/08/06,1310,850
2004/08/10,1405,860
2004/08/11,1331,850
2004/08/12,1400,860
2004/08/13,1400,850
2004/08/16,1400,864
2004/08/17,1400,855
2004/08/18,1361,850
2004/08/19,1380,850
2004/08/20,1388,845
2004/08/23,1400,871
2004/08/24,1400,874
2004/08/25,1399,890
2004/08/26,1399,896
2004/08/27,1410,898
2004/08/30,1450,895
2004/08/31,1495,897
2004/09/01,1485,915
2004/09/02,1485,939
2004/09/03,1450,991
2004/09/06,1440,970
2004/09/07,1445,963
2004/09/08,1430,965
2004/09/09,1375,985
2004/09/10,1355,970
2004/09/13,1376,990
2004/09/14,1385,977
2004/09/15,1375,987
2004/09/16,1370,1005
2004/09/17,1395,995
2004/09/20,1397,999
2004/09/21,1400,1010
2004/09/22,1440,999
2004/09/23,1400,1047
2004/09/27,1400,1075
2004/09/28,1411,1082
2004/09/29,1440,1075
2004/09/30,1470,1096
2004/10/01,1500,1080
2004/10/04,1525,1059
2004/10/05,1530,1058
2004/10/06,1530,1071
2004/10/07,1550,1080
2004/10/08,1545,1080
2004/10/11,1540,1072
2004/10/12,1540,1060
2004/10/13,1520,1060
2004/10/14,1530,1060
2004/10/15,1492,1084
2004/10/18,1500,1065
2004/10/19,1500,1071
2004/10/20,1540,1050
2004/10/21,1540,1041
2004/10/22,1540,1055
2004/10/25,1540,1050
2004/10/26,1530,1060
2004/10/27,1574,1065
2004/10/28,1640,1077
2004/10/29,1660,1078
2004/11/01,1698,1080
2004/11/02,1700,1082
2004/11/03,1662,1075
2004/11/04,1700,1098
2004/11/05,1700,1120
2004/11/08,1670,1160
2004/11/09,1690,1184
2004/11/10,1660,1165
2004/11/11,1685,1154
2004/11/12,1690,1145
2004/11/15,1700,1143
2004/11/16,1688,1125
2004/11/17,1700,1127
2004/11/18,1720,1139
2004/11/19,1750,1130
2004/11/22,1780,1135
2004/11/23,1800,1135
2004/11/24,1810,1161
2004/11/25,1810,1205
2004/11/26,1850,1251
2004/11/29,1850,1250
2004/11/30,1859,1210
2004/12/01,1796,1220
2004/12/02,1780,1235
2004/12/03,1750,1245
2004/12/06,1795,1200
2004/12/07,1815,1221
2004/12/08,1822,1210
2004/12/09,1830,1185
2004/12/10,1790,1180
2004/12/13,1800,1200
2004/12/14,1800,1225
2004/12/15,1790,1255
2004/12/17,1790,1285
2004/12/20,1790,1260
2004/12/21,1785,1261
2004/12/22,1782,1270
2004/12/23,1800,1290
2004/12/24,1800,1290
2004/12/28,1850,1295
2004/12/29,1845,1300
2004/12/30,1870,1295
2004/12/31,1870,1300
2005/01/03,1900,1300
2005/01/04,1945,1275
2005/01/05,1940,1291
2005/01/06,2000,1250
2005/01/07,1995,1240
2005/01/10,1980,1245
2005/01/11,1980,1250
2005/01/12,1980,1260
2005/01/13,1980,1270
2005/01/14,1970,1225
2005/01/17,1930,1206
2005/01/18,1880,1180
2005/01/19,1866,1174
2005/01/20,1860,1165
2005/01/21,1865,1171
2005/01/24,1860,1165
2005/01/25,1851,1150
2005/01/26,1825,1185
2005/01/27,1860,1206
2005/01/28,1870,1240
2005/01/31,1850,1261
2005/02/01,1840,1266
2005/02/02,1832,1250
2005/02/03,1811,1275
2005/02/04,1806,1235
2005/02/07,1760,1206
2005/02/08,1700,1235
2005/02/09,1735,1236
2005/02/10,1760,1236
2005/02/11,1765,1245
2005/02/14,1770,1227
2005/02/15,1750,1235
2005/02/16,1730,1255
2005/02/17,1740,1300
2005/02/18,1790,1290
2005/02/21,1852,1290
2005/02/22,1900,1294
2005/02/23,1910,1301
2005/02/24,1925,1301
2005/02/25,1930,1310
2005/02/28,1925,1335
2005/03/01,1900,1356
2005/03/02,1905,1336
2005/03/03,1920,1313
2005/03/04,2025,1320
2005/03/07,2075,1319
2005/03/08,2150,1341
2005/03/09,2150,1345
2005/03/10,2150,1352
2005/03/11,2130,1356
2005/03/14,2140,1335
2005/03/15,2100,1300
2005/03/16,2075,1250
2005/03/17,2050,1265
2005/03/18,2066,1260
2005/03/22,2120,1240
2005/03/23,2090,1224
2005/03/24,2025,1200
2005/03/29,2000,1210
2005/03/30,1970,1210
2005/03/31,2040,1214
2005/04/01,2050,1215
2005/04/04,2050,1212
2005/04/05,2000,1218
2005/04/06,2000,1220
2005/04/07,1980,1202
2005/04/08,1980,1239
2005/04/11,1980,1222
2005/04/12,1950,1212
2005/04/13,1960,1205
2005/04/14,1960,1223
2005/04/15,1965,1236
2005/04/18,1952,1172
2005/04/19,1960,1166
2005/04/20,1980,1180
2005/04/21,2000,1160
2005/04/22,1990,1150
2005/04/25,1999,1165
2005/04/26,1982,1170
2005/04/28,2000,1128
2005/04/29,2000,1149
2005/05/03,2033,1160
2005/05/04,2060,1144
2005/05/05,2150,1150
2005/05/06,2165,1191
2005/05/09,2216,1215
2005/05/10,2220,1187
2005/05/11,2210,1194
2005/05/12,2180,1182
2005/05/13,2150,1173
2005/05/16,2100,1174
2005/05/17,2125,1160
2005/05/18,2150,1180
2005/05/19,2140,1183
2005/05/20,2200,1164
2005/05/23,2200,1167
2005/05/24,2235,1156
2005/05/25,2222,1155
2005/05/26,2230,1147
2005/05/27,2230,1139
2005/05/30,2220,1139
2005/05/31,2200,1120
2005/06/01,2200,1080
2005/06/02,2200,1102
2005/06/03,2165,1122
2005/06/06,2250,1139
2005/06/07,2275,1140
2005/06/08,2380,1110
2005/06/09,2525,1103
