Date,MMI,Sanlam
2004/05/12,745,841
2004/05/13,740,855
2004/05/14,735,855
2004/05/17,736,845
2004/05/18,750,830
2004/05/19,750,844
2004/05/20,750,845
2004/05/21,750,843
2004/05/24,750,835
2004/05/25,770,830
2004/05/26,775,850
2004/05/27,775,860
2004/05/28,775,885
2004/05/31,755,892
2004/06/01,750,890
2004/06/02,750,896
2004/06/03,755,885
2004/06/04,755,866
2004/06/07,770,885
2004/06/08,760,870
2004/06/09,760,860
2004/06/10,750,853
2004/06/11,745,849
2004/06/14,740,850
2004/06/15,730,850
2004/06/17,726,850
2004/06/18,710,850
2004/06/21,731,857
2004/06/22,730,846
2004/06/23,739,840
2004/06/24,731,850
2004/06/25,715,880
2004/06/28,731,884
2004/06/29,725,880
2004/06/30,730,880
2004/07/01,727,890
2004/07/02,740,871
2004/07/05,740,861
2004/07/06,745,869
2004/07/07,750,850
2004/07/08,750,835
2004/07/09,745,850
2004/07/12,750,855
2004/07/13,740,861
2004/07/14,750,845
2004/07/15,750,853
2004/07/16,750,840
2004/07/19,760,840
2004/07/20,750,845
2004/07/21,759,858
2004/07/22,735,850
2004/07/23,720,865
2004/07/26,730,875
2004/07/27,730,870
2004/07/28,730,878
2004/07/29,730,870
2004/07/30,745,875
2004/08/02,740,868
2004/08/03,740,882
2004/08/04,735,890
2004/08/05,763,865
2004/08/06,764,850
2004/08/10,764,860
2004/08/11,755,850
2004/08/12,780,860
2004/08/13,770,850
2004/08/16,775,864
2004/08/17,780,855
2004/08/18,760,850
2004/08/19,760,850
2004/08/20,755,845
2004/08/23,765,871
2004/08/24,761,874
2004/08/25,740,890
2004/08/26,765,896
2004/08/27,758,898
2004/08/30,765,895
2004/08/31,765,897
2004/09/01,765,915
2004/09/02,775,939
2004/09/03,790,991
2004/09/06,825,970
2004/09/07,855,963
2004/09/08,823,965
2004/09/09,835,985
2004/09/10,840,970
2004/09/13,840,990
2004/09/14,845,977
2004/09/15,835,987
2004/09/16,820,1005
2004/09/17,815,995
2004/09/20,823,999
2004/09/21,824,1010
2004/09/22,830,999
2004/09/23,835,1047
2004/09/27,826,1075
2004/09/28,839,1082
2004/09/29,842,1075
2004/09/30,880,1096
2004/10/01,880,1080
2004/10/04,874,1059
2004/10/05,875,1058
2004/10/06,866,1071
2004/10/07,863,1080
2004/10/08,868,1080
2004/10/11,875,1072
2004/10/12,890,1060
2004/10/13,910,1060
2004/10/14,910,1060
2004/10/15,906,1084
2004/10/18,919,1065
2004/10/19,910,1071
2004/10/20,895,1050
2004/10/21,890,1041
2004/10/22,880,1055
2004/10/25,890,1050
2004/10/26,885,1060
2004/10/27,890,1065
2004/10/28,890,1077
2004/10/29,885,1078
2004/11/01,875,1080
2004/11/02,877,1082
2004/11/03,948,1075
2004/11/04,921,1098
2004/11/05,930,1120
2004/11/08,930,1160
2004/11/09,930,1184
2004/11/10,915,1165
2004/11/11,915,1154
2004/11/12,914,1145
2004/11/15,915,1143
2004/11/16,955,1125
2004/11/17,960,1127
2004/11/18,960,1139
2004/11/19,959,1130
2004/11/22,940,1135
2004/11/23,930,1135
2004/11/24,935,1161
2004/11/25,950,1205
2004/11/26,958,1251
2004/11/29,965,1250
2004/11/30,959,1210
2004/12/01,960,1220
2004/12/02,1000,1235
2004/12/03,1020,1245
2004/12/06,1020,1200
2004/12/07,1031,1221
2004/12/08,1050,1210
2004/12/09,1060,1185
2004/12/10,1050,1180
2004/12/13,1052,1200
2004/12/14,1040,1225
2004/12/15,1025,1255
2004/12/17,1050,1285
2004/12/20,1050,1260
2004/12/21,1050,1261
2004/12/22,1070,1270
2004/12/23,1075,1290
2004/12/24,1075,1290
2004/12/28,1085,1295
2004/12/29,1090,1300
2004/12/30,1088,1295
2004/12/31,1090,1300
2005/01/03,990,1300
2005/01/04,1005,1275
2005/01/05,1000,1291
2005/01/06,995,1250
2005/01/07,990,1240
2005/01/10,1000,1245
2005/01/11,1000,1250
2005/01/12,995,1260
2005/01/13,980,1270
2005/01/14,1010,1225
2005/01/17,1025,1206
2005/01/18,1001,1180
2005/01/19,995,1174
2005/01/20,1000,1165
2005/01/21,1020,1171
2005/01/24,1010,1165
2005/01/25,1005,1150
2005/01/26,1015,1185
2005/01/27,1015,1206
2005/01/28,1015,1240
2005/01/31,1010,1261
2005/02/01,1020,1266
2005/02/02,1020,1250
2005/02/03,1010,1275
2005/02/04,1025,1235
2005/02/07,1019,1206
2005/02/08,1020,1235
2005/02/09,1025,1236
2005/02/10,1025,1236
2005/02/11,1030,1245
2005/02/14,1065,1227
2005/02/15,1060,1235
2005/02/16,1060,1255
2005/02/17,1065,1300
2005/02/18,1075,1290
2005/02/21,1095,1290
2005/02/22,1100,1294
2005/02/23,1126,1301
2005/02/24,1120,1301
2005/02/25,1130,1310
2005/02/28,1130,1335
2005/03/01,1130,1356
2005/03/02,1145,1336
2005/03/03,1048,1313
2005/03/04,1129,1320
2005/03/07,1130,1319
2005/03/08,1115,1341
2005/03/09,1130,1345
2005/03/10,1109,1352
2005/03/11,1075,1356
2005/03/14,1047,1335
2005/03/15,1080,1300
2005/03/16,1090,1250
2005/03/17,1090,1265
2005/03/18,1085,1260
2005/03/22,1080,1240
2005/03/23,1079,1224
2005/03/24,1040,1200
2005/03/29,1035,1210
2005/03/30,1025,1210
2005/03/31,1035,1214
2005/04/01,1030,1215
2005/04/04,1020,1212
2005/04/05,1010,1218
2005/04/06,1021,1220
2005/04/07,1015,1202
2005/04/08,1030,1239
2005/04/11,1015,1222
2005/04/12,1025,1212
2005/04/13,995,1205
2005/04/14,982,1223
2005/04/15,990,1236
2005/04/18,995,1172
2005/04/19,1025,1166
2005/04/20,1041,1180
2005/04/21,1040,1160
2005/04/22,1040,1150
2005/04/25,1040,1165
2005/04/26,1045,1170
2005/04/28,1040,1128
2005/04/29,1074,1149
2005/05/03,1050,1160
2005/05/04,1030,1144
2005/05/05,1050,1150
2005/05/06,1090,1191
2005/05/09,1085,1215
2005/05/10,1060,1187
