Date,AngloGold,Anglo Plat
2004/05/12,22102,22700
2004/05/13,21800,23200
2004/05/14,21402,22600
2004/05/17,21697,22700
2004/05/18,20800,21400
2004/05/19,21800,22650
2004/05/20,22100,22500
2004/05/21,22400,23000
2004/05/24,22000,22800
2004/05/25,22620,23350
2004/05/26,22900,24010
2004/05/27,23363,24375
2004/05/28,23110,23948
2004/05/31,22800,24260
2004/06/01,22501,24400
2004/06/02,22100,24400
2004/06/03,21950,24001
2004/06/04,21550,23750
2004/06/07,22101,24199
2004/06/08,22150,24800
2004/06/09,21401,24401
2004/06/10,21100,24500
2004/06/11,20055,24350
2004/06/14,20401,24030
2004/06/15,20050,24000
2004/06/17,19626,24050
2004/06/18,20385,24160
2004/06/21,19798,23959
2004/06/22,20100,23860
2004/06/23,19999,23500
2004/06/24,20550,23700
2004/06/25,20500,24000
2004/06/28,20199,23600
2004/06/29,20000,23400
2004/06/30,20249,23500
2004/07/01,20199,23800
2004/07/02,20000,23400
2004/07/05,20300,23600
2004/07/06,20201,23200
2004/07/07,20300,22900
2004/07/08,20318,22200
2004/07/09,20620,22500
2004/07/12,20430,22590
2004/07/13,20388,22900
2004/07/14,20400,23000
2004/07/15,20400,22900
2004/07/16,20010,22300
2004/07/19,19100,21500
2004/07/20,18801,22300
2004/07/21,19395,22700
2004/07/22,19345,22500
2004/07/23,19550,22970
2004/07/26,19248,23200
2004/07/27,19330,23400
2004/07/28,19795,23700
2004/07/29,20399,23980
2004/07/30,20660,24000
2004/08/02,20900,24302
2004/08/03,21009,24470
2004/08/04,20800,24600
2004/08/05,20700,25000
2004/08/06,20580,24500
2004/08/10,20475,24575
2004/08/11,19900,25150
2004/08/12,20879,26550
2004/08/13,21600,27600
2004/08/16,22599,29200
2004/08/17,22350,29120
2004/08/18,22020,28500
2004/08/19,23300,29100
2004/08/20,24174,29300
2004/08/23,24320,29300
2004/08/24,23300,28900
2004/08/25,23600,28600
2004/08/26,23295,28410
2004/08/27,23406,29000
2004/08/30,23821,29100
2004/08/31,23500,29550
2004/09/01,23367,29150
2004/09/02,23110,28910
2004/09/03,23200,29200
2004/09/06,23300,29550
2004/09/07,22990,28900
2004/09/08,23100,29000
2004/09/09,23349,29000
2004/09/10,23695,28401
2004/09/13,23416,28651
2004/09/14,23685,28450
2004/09/15,24219,28350
2004/09/16,24159,28400
2004/09/17,24038,28705
2004/09/20,23733,28299
2004/09/21,24250,27800
2004/09/22,24405,27800
2004/09/23,24539,27800
2004/09/27,24055,27800
2004/09/28,24536,28000
2004/09/29,24650,27800
2004/09/30,24922,27200
2004/10/01,24750,26800
2004/10/04,23899,26216
2004/10/05,24200,26500
2004/10/06,24805,27305
2004/10/07,24863,28110
2004/10/08,25020,28210
2004/10/11,24875,27400
2004/10/12,24800,26770
2004/10/13,23580,25700
2004/10/14,23626,25400
2004/10/15,23900,25300
2004/10/18,23850,25400
2004/10/19,23551,25195
2004/10/20,23701,24530
2004/10/21,23301,24850
2004/10/22,23299,24900
2004/10/25,24049,24400
