Date,Anglo Plat,Anglo American
2004/05/12,22700,13350
2004/05/13,23200,13350
2004/05/14,22600,12760
2004/05/17,22700,12720
2004/05/18,21400,12750
2004/05/19,22650,13600
2004/05/20,22500,13230
2004/05/21,23000,13555
2004/05/24,22800,13250
2004/05/25,23350,13365
2004/05/26,24010,13650
2004/05/27,24375,13921
2004/05/28,23948,13560
2004/05/31,24260,13799
2004/06/01,24400,13630
2004/06/02,24400,13501
2004/06/03,24001,13310
2004/06/04,23750,13330
2004/06/07,24199,13720
2004/06/08,24800,13975
2004/06/09,24401,13660
2004/06/10,24500,13499
2004/06/11,24350,13280
2004/06/14,24030,13190
2004/06/15,24000,13101
2004/06/17,24050,13302
2004/06/18,24160,13191
2004/06/21,23959,13000
2004/06/22,23860,12751
2004/06/23,23500,12520
2004/06/24,23700,13050
2004/06/25,24000,13200
2004/06/28,23600,13040
2004/06/29,23400,12940
2004/06/30,23500,12710
2004/07/01,23800,12624
2004/07/02,23400,12301
2004/07/05,23600,12575
2004/07/06,23200,12505
2004/07/07,22900,12400
2004/07/08,22200,12216
2004/07/09,22500,12650
2004/07/12,22590,12579
2004/07/13,22900,12930
2004/07/14,23000,12605
2004/07/15,22900,12765
2004/07/16,22300,12610
2004/07/19,21500,12360
2004/07/20,22300,12350
2004/07/21,22700,12702
2004/07/22,22500,12300
2004/07/23,22970,12550
2004/07/26,23200,12670
2004/07/27,23400,12785
2004/07/28,23700,12920
2004/07/29,23980,13011
2004/07/30,24000,13320
2004/08/02,24302,13401
2004/08/03,24470,13575
2004/08/04,24600,13600
2004/08/05,25000,13550
2004/08/06,24500,13140
2004/08/10,24575,12920
2004/08/11,25150,13030
2004/08/12,26550,13964
2004/08/13,27600,14340
2004/08/16,29200,14940
2004/08/17,29120,14835
2004/08/18,28500,14765
2004/08/19,29100,15140
2004/08/20,29300,15070
2004/08/23,29300,15580
2004/08/24,28900,15069
2004/08/25,28600,14765
2004/08/26,28410,14795
2004/08/27,29000,15171
2004/08/30,29100,15200
2004/08/31,29550,15080
2004/09/01,29150,14995
2004/09/02,28910,14875
2004/09/03,29200,14850
2004/09/06,29550,15040
2004/09/07,28900,14690
2004/09/08,29000,14849
2004/09/09,29000,14900
2004/09/10,28401,14900
2004/09/13,28651,14800
2004/09/14,28450,14700
2004/09/15,28350,14505
2004/09/16,28400,14899
2004/09/17,28705,15220
2004/09/20,28299,15000
2004/09/21,27800,15031
2004/09/22,27800,15165
2004/09/23,27800,14910
2004/09/27,27800,14632
2004/09/28,28000,15170
2004/09/29,27800,15270
2004/09/30,27200,15400
2004/10/01,26800,15599
2004/10/04,26216,15190
2004/10/05,26500,15260
2004/10/06,27305,15460
2004/10/07,28110,15850
2004/10/08,28210,15765
2004/10/11,27400,15550
2004/10/12,26770,15200
2004/10/13,25700,14796
2004/10/14,25400,14890
2004/10/15,25300,14780
2004/10/18,25400,14465
2004/10/19,25195,14094
2004/10/20,24530,13849
2004/10/21,24850,13930
2004/10/22,24900,13581
2004/10/25,24400,13700
2004/10/26,24351,14200
2004/10/27,24700,13920
2004/10/28,23600,13302
2004/10/29,23400,13390
2004/11/01,23399,13575
2004/11/02,23000,13721
2004/11/03,22700,13601
2004/11/04,22440,13585
2004/11/05,22820,14000
2004/11/08,23200,13751
2004/11/09,24100,14100
2004/11/10,23600,14327
2004/11/11,23300,14570
2004/11/12,22900,14110
2004/11/15,22850,14300
2004/11/16,22975,14200
2004/11/17,22350,14210
2004/11/18,22895,14400
2004/11/19,22000,14370
2004/11/22,21300,13955
