Date,Impla Plat,Anglo Plat
2004/05/12,5450,22700
2004/05/13,5552.625,23200
2004/05/14,5380,22600
2004/05/17,5499.875,22700
2004/05/18,5206.25,21400
2004/05/19,5485,22650
2004/05/20,5449.75,22500
2004/05/21,5550,23000
2004/05/24,5537.5,22800
2004/05/25,5625,23350
2004/05/26,5912.5,24010
2004/05/27,6062.5,24375
2004/05/28,5937.5,23948
2004/05/31,5999.875,24260
2004/06/01,6000,24400
2004/06/02,6123.75,24400
2004/06/03,6000,24001
2004/06/04,5887.5,23750
2004/06/07,5993.75,24199
2004/06/08,6186.25,24800
2004/06/09,6025,24401
2004/06/10,5900,24500
2004/06/11,5787.375,24350
2004/06/14,5650,24030
2004/06/15,5562.5,24000
2004/06/17,5750,24050
2004/06/18,5726.25,24160
2004/06/21,5631.25,23959
2004/06/22,5643.75,23860
2004/06/23,5540.75,23500
2004/06/24,5787.5,23700
2004/06/25,5812.5,24000
2004/06/28,5712.375,23600
2004/06/29,5637.5,23400
2004/06/30,5887.5,23500
2004/07/01,5962.5,23800
2004/07/02,5825,23400
2004/07/05,5812.5,23600
2004/07/06,5713.875,23200
2004/07/07,5587.5,22900
2004/07/08,5550,22200
2004/07/09,5600,22500
2004/07/12,5687.375,22590
2004/07/13,5701.25,22900
2004/07/14,5662.625,23000
2004/07/15,5700,22900
2004/07/16,5500,22300
2004/07/19,5387.625,21500
2004/07/20,5562.5,22300
2004/07/21,5712.5,22700
2004/07/22,5725,22500
2004/07/23,5862.5,22970
2004/07/26,6000,23200
2004/07/27,6125,23400
2004/07/28,6262.5,23700
2004/07/29,6225,23980
2004/07/30,6198.75,24000
2004/08/02,6250,24302
2004/08/03,6312.5,24470
2004/08/04,6356.25,24600
2004/08/05,6350,25000
2004/08/06,6250,24500
2004/08/10,6308.75,24575
2004/08/11,6248.75,25150
2004/08/12,6625,26550
2004/08/13,6650,27600
2004/08/16,6848.625,29200
2004/08/17,6774.375,29120
2004/08/18,6712.375,28500
2004/08/19,6862.5,29100
2004/08/20,6875,29300
2004/08/23,7037.5,29300
2004/08/24,6825,28900
2004/08/25,6820,28600
2004/08/26,6875,28410
2004/08/27,7000,29000
2004/08/30,6987.5,29100
2004/08/31,6981.25,29550
2004/09/01,6775,29150
2004/09/02,6725,28910
2004/09/03,6749.875,29200
2004/09/06,6787.5,29550
2004/09/07,6675,28900
2004/09/08,6687.5,29000
2004/09/09,6687.5,29000
2004/09/10,6686.25,28401
2004/09/13,6737.5,28651
2004/09/14,6749.875,28450
2004/09/15,6771.25,28350
2004/09/16,6816.625,28400
2004/09/17,6650,28705
2004/09/20,6500,28299
2004/09/21,6331.25,27800
2004/09/22,6418.75,27800
2004/09/23,6375,27800
2004/09/27,6287.375,27800
2004/09/28,6337.5,28000
2004/09/29,6437.5,27800
2004/09/30,6487.5,27200
2004/10/01,6487.5,26800
2004/10/04,6487.5,26216
2004/10/05,6525,26500
2004/10/06,6537.625,27305
2004/10/07,6612.5,28110
2004/10/08,6650,28210
2004/10/11,6650,27400
2004/10/12,6562.5,26770
2004/10/13,6331.25,25700
2004/10/14,6250,25400
2004/10/15,6262.5,25300
2004/10/18,6375,25400
2004/10/19,6300,25195
2004/10/20,6237.5,24530
2004/10/21,6287.5,24850
2004/10/22,6372.625,24900
2004/10/25,6263.875,24400
2004/10/26,6337.5,24351
2004/10/27,6437.5,24700
2004/10/28,6248.75,23600
2004/10/29,6165,23400
2004/11/01,6200,23399
2004/11/02,6175.125,23000
2004/11/03,6175,22700
2004/11/04,6175,22440
2004/11/05,6375.25,22820
2004/11/08,6600,23200
2004/11/09,6725,24100
2004/11/10,6675,23600
2004/11/11,6625,23300
2004/11/12,6575,22900
2004/11/15,6575,22850
2004/11/16,6625,22975
2004/11/17,6525,22350
2004/11/18,6550,22895
2004/11/19,6375,22000
2004/11/22,6375,21300
2004/11/23,6375.125,21340
2004/11/24,6300,21161
2004/11/25,6225,21389
2004/11/26,6087.5,21100
2004/11/29,6175,21300
2004/11/30,6200,21300
2004/12/01,6312.5,21100
2004/12/02,6462.5,21099
2004/12/03,6387.5,20700
2004/12/06,6237.5,20394
