Date,LTD,PLC
2004/05/12,2290,2220
2004/05/13,2294,2274
2004/05/14,2264,2265
2004/05/17,2230.2,2285
2004/05/18,2250,2220.4
2004/05/19,2300,2312.2
2004/05/20,2300,2300.4
2004/05/21,2340,2348
2004/05/24,2300,2296
2004/05/25,2270,2286
2004/05/26,2328,2345
2004/05/27,2400,2400
2004/05/28,2420,2400.2
2004/05/31,2410,2420
2004/06/01,2400,2400
2004/06/02,2400,2420
2004/06/03,2410,2426
2004/06/04,2400,2420
2004/06/07,2480.2,2510
2004/06/08,2480,2504
2004/06/09,2530,2526
2004/06/10,2500,2510
2004/06/11,2470,2504.2
2004/06/14,2520,2511
2004/06/15,2443,2488
2004/06/17,2442,2480
2004/06/18,2450.2,2470
2004/06/21,2446,2470
2004/06/22,2470,2476
2004/06/23,2460.2,2470.8
2004/06/24,2514,2519.8
2004/06/25,2476,2520
2004/06/28,2480,2510
2004/06/29,2520,2540
2004/06/30,2480,2540
2004/07/01,2520,2537
2004/07/02,2430,2455.6
2004/07/05,2424,2440
2004/07/06,2409,2390
2004/07/07,2360.2,2405
2004/07/08,2379.8,2380
2004/07/09,2360,2380
2004/07/12,2350,2371
2004/07/13,2346,2409.8
2004/07/14,2284,2360
2004/07/15,2320,2360
2004/07/16,2325,2355
2004/07/19,2315,2346.4
2004/07/20,2320,2361.2
2004/07/21,2350,2389.6
2004/07/22,2322,2350
2004/07/23,2350,2380.2
2004/07/26,2268,2306.2
2004/07/27,2300,2340
2004/07/28,2310,2339.2
2004/07/29,2305,2330
2004/07/30,2317.8,2350
2004/08/02,2320,2342
2004/08/03,2309,2348
2004/08/04,2285,2314
2004/08/05,2255,2280
2004/08/06,2187,2225
2004/08/10,2165,2180.2
2004/08/11,2156,2160
2004/08/12,2195,2200
2004/08/13,2180,2214
2004/08/16,2200,2210
2004/08/17,2188,2180
2004/08/18,2188,2198
2004/08/19,2260.2,2290
2004/08/20,2262.2,2280
2004/08/23,2302,2358
2004/08/24,2390,2400
2004/08/25,2362,2372.8
2004/08/26,2380,2410
2004/08/27,2380,2400
2004/08/30,2360,2380
2004/08/31,2380.6,2420.2
2004/09/01,2365,2385.4
2004/09/02,2380,2391.8
2004/09/03,2400,2439
2004/09/06,2470.4,2480
2004/09/07,2449.6,2460
2004/09/08,2420,2436
2004/09/09,2430,2439.8
2004/09/10,2421,2429.6
2004/09/13,2414,2425.8
2004/09/14,2440,2499.8
2004/09/15,2440,2462
2004/09/16,2556,2570
2004/09/17,2598,2642
2004/09/20,2570,2590
2004/09/21,2586,2600
2004/09/22,2630,2640
2004/09/23,2599.8,2600
2004/09/27,2530,2540
2004/09/28,2530,2536
2004/09/29,2580,2610
2004/09/30,2569,2580.2
2004/10/01,2582,2605
2004/10/04,2590,2595
2004/10/05,2562,2573
2004/10/06,2572,2584
2004/10/07,2624.8,2640
2004/10/08,2599.6,2612
2004/10/11,2560,2593.4
2004/10/12,2560,2571
2004/10/13,2540,2550
2004/10/14,2526,2540
2004/10/15,2513,2520
2004/10/18,2480,2485
2004/10/19,2550,2571.8
2004/10/20,2570,2573.8
2004/10/21,2620,2639
2004/10/22,2590,2597
2004/10/25,2620,2629.4
2004/10/26,2680.2,2680
2004/10/27,2736.6,2748
2004/10/28,2774,2770
2004/10/29,2800,2800
2004/11/01,2800,2790
2004/11/02,2820.2,2847
2004/11/03,2900,2902
2004/11/04,2922.2,2960
2004/11/05,2995,3029
2004/11/08,3060.2,3060
2004/11/09,3142,3150
2004/11/10,3139.8,3120
2004/11/11,3081,3095
2004/11/12,3040,3050
2004/11/15,2985,3000
2004/11/16,2930,2946
2004/11/17,2950,2966.8
2004/11/18,2980,3015
2004/11/19,3010,3040
2004/11/22,3100,3118
2004/11/23,3100,3130
2004/11/24,3134.4,3156
2004/11/25,3112,3135
2004/11/26,3200,3240
2004/11/29,3345,3371
2004/11/30,3280,3320
2004/12/01,3380,3400
2004/12/02,3424,3459.8
2004/12/03,3363,3409
2004/12/06,3250,3400
2004/12/07,3312,3359
2004/12/08,3380,3400
2004/12/09,3380,3395
2004/12/10,3408,3439.6
2004/12/13,3400,3450
2004/12/14,3419,3428
2004/12/15,3346,3420
2004/12/17,3430,3460
2004/12/20,3436,3478
2004/12/21,3440,3460
2004/12/22,3499.8,3500
2004/12/23,3640.2,3650
2004/12/24,3600,3620
2004/12/28,3620,3620
2004/12/29,3630,3630
2004/12/30,3610,3640
2004/12/31,3620,3628
2005/01/03,3730,3730
2005/01/04,3720,3734.8
2005/01/05,3680,3690
2005/01/06,3730,3740.2
2005/01/07,3620,3633.2
2005/01/10,3590,3605
2005/01/11,3489.8,3500
2005/01/12,3590,3595.8
